# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
# Countries!;;;;;;;;;;;X
##;;;;;;;;;;;X
GUY;가이아나 ;Guyana;;;;;;;;;X
HAI;아이티 ;Haiti;;;;;;;;;X
HOL;네덜란드 ;Netherlands;;;;;;;;;X
HON;온두라스 ;Honduras;;;;;;;;;X
HUN;헝가리 ;Hungary;;;;;;;;;X
ICL;아이슬란드 ;Iceland;;;;;;;;;X
IDC;인도차이나 ;Indochina;;;;;;;;;X
IND;인도 ;India;;;;;;;;;X
INO;인도네시아 ;Indonesia;;;;;;;;;X
IRE;아일랜드 ;Ireland;;;;;;;;;X
IRQ;이라크 ;Iraq;;;;;;;;;X
ISR;이스라엘 ;Israel;;;;;;;;;X
ITA;이탈리아 ;Italy;;;;;;;;;X
JAP;일본 ;Japan;;;;;;;;;X
JOR;요르단 ;Jordan;;;;;;;;;X
KAZ;카자흐스탄 ;Kazakhstan;;;;;;;;;X
KOR;대한민국 ;Korea;;;;;;;;;X
KUR;쿠르디스탄 ;Kurdistan;;;;;;;;;X
KYG;키르기즈스탄 ;Kyrgyzstan;;;;;;;;;X
LAO;라오스 ;Laos;;;;;;;;;X
LAT;라트비아 ;Latvia;;;;;;;;;X
LBY;리비아 ;Libya;;;;;;;;;X
LEB;레바논 ;Lebanon;;;;;;;;;X
LIB;라이베리아 ;Liberia;;;;;;;;;X
LIT;리투아니아 ;Lithuania;;;;;;;;;X
LUX;룩셈부르크 ;Luxemburg;;;;;;;;;X
MAD;마다가스카르 ;Madagascar;;;;;;;;;X
MAL;말리연방 ;Union of Mali;;;;;;;;;X
MAN;만주국 ;Manchukuo;;;;;;;;;X
MEN;몽강국 ;Mengjiang;;;;;;;;;X
MEX;멕시코 ;Mexico;;;;;;;;;X
MIN;(국가 미정) ;(Undefined Nation);;;;;;;;;X
MLY;말레이시아 ;Malaysia;;;;;;;;;X
MON;몽골 ;Mongolia;;;;;;;;;X
MOR;모로코 ;Morocco;;;;;;;;;X
MOZ;모잠비크 ;Mozambique;;;;;;;;;X
MTN;몬테네그로 ;Montenegro;;;;;;;;;X
NAM;나미비아 ;Namibia;;;;;;;;;X
NEP;네팔 ;Nepal;;;;;;;;;X
NIC;니카라과 ;Nicaragua;;;;;;;;;X
NIG;나이지리아 ;Nigeria;;;;;;;;;X
NOR;노르웨이 ;Norway;;;;;;;;;X
NZL;뉴질랜드 ;New Zealand;;;;;;;;;X
OMN;오만 ;Oman;;;;;;;;;X
OTT;오스만 제국 ;Ottoman Empire;;;;;;;;;X
PAK;파키스탄 ;Pakistan;;;;;;;;;X
PAL;팔레스타인 ;Palestine;;;;;;;;;X
PAN;파나마 ;Panama;;;;;;;;;X
PAR;파라과이 ;Paraguay;;;;;;;;;X
PER;이란 ;Iran;;;;;;;;;X
PHI;필리핀 ;Philippines;;;;;;;;;X
POL;폴란드 ;Poland;;;;;;;;;X
POR;포르투갈 ;Portugal;;;;;;;;;X
PRI;프리모르스크 ;Primorsk;;;;;;;;;X
PRK;조선민주주의인민공화국 ;People's Republic of Korea;;;;;;;;;X
PRU;페루 ;Peru;;;;;;;;;X
QUE;퀘벡 ;Quebec;;;;;;;;;X
RHO;로디지아-니아살랜드 ;Rhodesia and Nyasaland;;;;;;;;;X
ROM;루마니아 ;Romania;;;;;;;;;X
RSI;이탈리아 사회공화국 ;Italian Social Republic;;;;;;;;;X
RUS;러시아 ;Russia;;;;;;;;;X
SAF;남아프리카연방 ;Union of South Africa;;;;;;;;;X
SAL;엘살바도르 ;El Salvador;;;;;;;;;X
SAR;사라왁 ;Sarawak;;;;;;;;;X
SAU;사우디아라비아 ;Saudi Arabia;;;;;;;;;X
SCA;스칸디나비아 ;Scandinavia;;;;;;;;;X
SCH;스위스 ;Switzerland;;;;;;;;;X
SCO;스코틀랜드 ;Scotland;;;;;;;;;X
SER;세르비아 ;Serbia;;;;;;;;;X
SIA;태국 ;Thailand;;;;;;;;;X
SIA36;시암 ;Siam;;;;;;;;;X
SIB;시베리아 ;Siberia;;;;;;;;;X
SIE;시에라리온 ;Sierra Leone;;;;;;;;;X
SIK;신강 군벌 ;Xinjiang;;;;;;;;;X
SLO;슬로바키아 ;Slovakia;;;;;;;;;X
SLV;슬로베니아 ;Slovenia;;;;;;;;;X
SOM;소말리아 ;Somalia;;;;;;;;;X
SOV;소련 ;Soviet Union;;;;;;;;;X
SPA;스페인 ;Spanish State;;;;;;;;;X
SPR;스페인 공화국 ;Spanish Republic;;;;;;;;;X
SUD;수단 ;Sudan;;;;;;;;;X
SWE;스웨덴 ;Sweden;;;;;;;;;X
SYR;시리아 ;Syria;;;;;;;;;X
TAJ;타지키스탄 ;Tajikistan;;;;;;;;;X
TAN;탄누 투바 ;Tannu Tuva;;;;;;;;;X
TEX;텍사스 ;Texas;;;;;;;;;X
TIB;티베트 ;Tibet;;;;;;;;;X
TRA;트란스우랄 공화국 ;Transural Republic;;;;;;;;;X
TRK;투르크메니스탄 ;Turkmenistan;;;;;;;;;X
TUN;튀니지 ;Tunisia;;;;;;;;;X
TUR;터키 ;Turkey;;;;;;;;;X
UKR;우크라이나 ;Ukraine;;;;;;;;;X
URU;우루과이 ;Uruguay;;;;;;;;;X
USA;미국 ;USA;;;;;;;;;X
UZB;우즈베키스탄 ;Uzbekistan;;;;;;;;;X
VEN;베네수엘라 ;Venezuela;;;;;;;;;X
VIC;비시 프랑스 ;Vichy France;;;;;;;;;X
VIE;베트남 ;State of Vietnam;;;;;;;;;X
WLL;왈롱 ;Wallonia;;;;;;;;;X
YEM;예멘 ;Yemen;;;;;;;;;X
YUG;유고슬라비아 ;Yugoslavia;;;;;;;;;X
U00;User Defined;;;;;;;;;;X
U01;자유 프랑스 ;Free France;;;;;;;;;X
U02;영국령 인도 ;British Raj;;;;;;;;;X
U03;인도차이나 연방 ;Indochinese Union;;;;;;;;;X
U04;프랑스령 시리아 ;French Mandate for Syria;;;;;;;;;X
U05;네덜란드령 동인도 ;Dutch East Indies;;;;;;;;;X
U06;단치히 자유시 ;Free City of Danzig;;;;;;;;;X
U08;독일 ;Germany;;;;;;;;;X
U09;오스트리아-헝가리 ;Austria-Hungary;;;;;;;;;X
U10;네덜란드 사회주의연방 ;Dutch Socialist Union;;;;;;;;;X
U11;프랑스 인민공화국 ;People's Republic of France;;;;;;;;;X
U12;잉글랜드 공화국 ;English Republic;;;;;;;;;X
U13;헝가리 사회공화국 ;Hungarian Socialist Republic;;;;;;;;;X
U14;이탈리아 사회주의연방 ;Italian Union;;;;;;;;;X
U15;포르투갈 사회공화국 ;Socialist Republic of Portugal;;;;;;;;;X
U16;오스트리아 민주공화국 ;Austrian Democratic Republic;;;;;;;;;X
U17;벨기에 인민공화국 ;People's Republic of Belgium;;;;;;;;;X
U18;룩셈부르크 사회공화국 ;Luxembourg;;;;;;;;;X
U19;노르웨이 인민공화국 ;People's Republic of Norway;;;;;;;;;X
U20;핀란드 민주공화국 ;Finnish Democratic Republic;;;;;;;;;X
U21;스웨덴 사회주의연합 ;Swedish Socialist Union;;;;;;;;;X
U22;덴마크 인민공화국 ;People's Republic of Denmark;;;;;;;;;X
U23;자르 보호령 ;Saarprotektorat;;;;;;;;;X
U24;연합국 점령지역 ;Allied Occupation Zone;;;;;;;;;X
U25;소비에트 점령지역 ;Soviet Occupation Zone;;;;;;;;;X
U26;스위스 사회공화국 ;Swiss Socialist Republic;;;;;;;;;X
U27;유고슬라비아 공화국 ;Socialist Federal Republic of Yugoslavia;;;;;;;;;X
U28;알바니아 인민공화국 ;Socialist People's Republic of Albania;;;;;;;;;X
U29;불가리아 인민공화국 ;People's Republic of Bulgaria;;;;;;;;;X
U30;루마니아 사회공화국 ;Romanian People's Republic;;;;;;;;;X
U31;체코슬로바키아 공화국 ;Czechoslovak Socialist Republic;;;;;;;;;X
U32;폴란드 인민공화국 ;People's Republic of Poland;;;;;;;;;X
U33;그리스 민주공화국 ;Democratic Republic of Greece;;;;;;;;;X
U34;터키 사회주의공화국 ;Socialist Republic of Turkey;;;;;;;;;X
U35;스페인 인민공화국 ;Democratic Spanish Union;;;;;;;;;X
U36;직예 군벌 ;Zhili Clique;;;;;;;;;X
U37;발트 공국 연합 ;United Baltic Duchy;;;;;;;;;X
U39;하타이 ;Hatay State;;;;;;;;;X
U40;총독령 오스틀란트 ;Reichskommissariat Ostland;;;;;;;;;X
U41;총독령 우크라이나 ;Reichskommissariat Ukraine;;;;;;;;;X
U42;총독령 캅카스 ;Reichskommissariat Kaukasus;;;;;;;;;X
U43;총독령 모스크바 ;Reichskommissariat Moskowien;;;;;;;;;X
U44;총독령 폴란드 ;Generalgouvernement Polen;;;;;;;;;X
U45;총독령 노르웨이 ;Reichskommissariat Norwegen;;;;;;;;;X
U46;총독령 네덜란드 ;Reichskommissariat Niederlande;;;;;;;;;X
U47;총독령 벨기에-북프랑스 ;Reichskommissariat Belgien-Nordfrankreich;;;;;;;;;X
U48;총독령 투르키스탄 ;Reichskommissariat Turkestan;;;;;;;;;X
U49;이탈리아령 동아프리카 ;Italian East Africa;;;;;;;;;X
U50;헤자즈 ;Hejaz;;;;;;;;;X
U51;카타르 ;Qatar;;;;;;;;;X
U52;자발 샴마르 ;Jebel Shammar;;;;;;;;;X
U53;트루셜 오만 ;Trucial States;;;;;;;;;X
U54;서우크라이나 인민공화국 ;West Ukrainian People's Republic;;;;;;;;;X
U55;북캅카스 산악공화국 ;Mountain Republic;;;;;;;;;X
U56;우크라이나 자유령 ;Free Territory;;;;;;;;;X
U57;멕시코 입헌파 ;Constitucionalistas;;;;;;;;;X
U58;비야군 ;Villistas;;;;;;;;;X
U59;사파타군 ;Zapatistas;;;;;;;;;X
U60;뉴펀들랜드 ;Newfoundland;;;;;;;;;X
U61;돈 공화국 ;Don Republic;;;;;;;;;X
U62;극동 군단 ;Far Eastern Host;;;;;;;;;X
U63;체코슬로바키아 군단 ;Czechoslovak Legion;;;;;;;;;X
U64;동청철도 ;Chinese Eastern Railway Zone;;;;;;;;;X
U65;크리미아 ;Crimea;;;;;;;;;X
U66;핀두스 공국 ;Principality of the Pindus;;;;;;;;;X
U67;봉천 군벌 ;Fengtian Clique;;;;;;;;;X
U68;히바 ;Khiva;;;;;;;;;X
U69;부하라 ;Bukhara;;;;;;;;;X
U70;우간다 ;Uganda;;;;;;;;;X
U71;북아일랜드 ;Northern Ireland;;;;;;;;;X
U72;베트남 민주공화국 ;Democratic Republic of Vietnam;;;;;;;;;X
U73;잉글랜드 ;England;;;;;;;;;X
U74;중화제국 ;Imperial China;;;;;;;;;X
U75;싱가포르 ;Singapore;;;;;;;;;X
U76;웨일즈 ;Wales;;;;;;;;;X
U77;그란 콜롬비아 ;Greater Colombia;;;;;;;;;X
U78;중앙 아메리카 ;Central America;;;;;;;;;X
U79;서인도제도 ;West Indies;;;;;;;;;X
U80;카슈미르 ;Kashmir;;;;;;;;;X
U81;부르키나파소 ;Upper Volta;;;;;;;;;X
U82;중앙 아프리카 ;Central Africa;;;;;;;;;X
U83;실론 ;Ceylon;;;;;;;;;X
U84;차드 ;Chad;;;;;;;;;X
U85;콩고-브라자빌 ;Congo-Brazzaville;;;;;;;;;X
U86;감비아 ;Gambia;;;;;;;;;X
U87;난징 국민정부 ;Republic of China-Nanjing;;;;;;;;;X
U88;코트디부아르 ;Ivory Coast;;;;;;;;;X
U89;자메이카 ;Jamaica;;;;;;;;;X
U90;케냐 ;Kenya;;;;;;;;;X
U91;쿠웨이트 ;Kuwait;;;;;;;;;X
U92;말타 ;Malta;;;;;;;;;X
U93;모리타니 ;Mauritania;;;;;;;;;X
U94;니제르 ;Niger;;;;;;;;;X
U95;르완다 ;Rwanda;;;;;;;;;X
U96;세네갈 ;Senegal;;;;;;;;;X
U97;탕가니카 ;Tanganyika;;;;;;;;;X
U98;트리니다드 토바고 ;Trinidad and Tobago;;;;;;;;;X
U99;토고 ;Togo;;;;;;;;;X
UAP;아프리카 인민공화국 ;APR;;;;;;;;;X
UAU;오스트랄라시아 ;Australasia;;;;;;;;;X
UBO;부르봉 ;Bourbon;;;;;;;;;X
UCH;중화민국 ;Republic of China;;;;;;;;;X
UCS;아메리카 연합국 ;The Confederates;;;;;;;;;X
UER;우파 위원회 ;Ufa Directorate;;;;;;;;;;X
UES;소비에트 유럽 ;European Soviets;;;;;;;;;X
UGS;아르한겔스크 정부 ;Northern Army;;;;;;;;;X
UIC;인도차이나 ;Indo China;;;;;;;;;X
UIR;인도 공화국 ;Indian Republic;;;;;;;;;X
UPE;동투르키스탄 ;East Turkestan;;;;;;;;;X
UPR;프러시아 ;Prussia;;;;;;;;;X
UPS;욱일 인민공화국 ;PRRS;;;;;;;;;X
URO;로마 사회주의공화국 ;Roma;;;;;;;;;X
USN;북아메리카 합중국 ;USNA;;;;;;;;;X
UTC;러시아 의용군 ;Volunteer Army;;;;;;;;;X
UTL;리베르타도르 ;The Libertadores;;;;;;;;;X
UTO;오스만 ;The Ottomans;;;;;;;;;X
#EOF;;;;;;;;;;;X
#EOF;;;;;;;;;;;X
