SPA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
35022;에브로 화학 연구소 ;100326;4;1905;1916;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35023;사리아 화학 연구소 ;100326;4;1916;1970;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35024;레오나르도 토레스 ;100462;6;1893;1935;mechanics;industrial_engineering;management;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35025;후안 데 라 시에르바 ;100501;7;1918;1935;aircraft_testing;aeronautics;avionics;fighter_design;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35026;페드로 비베스 비크 ;100688;5;1898;1915;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35027;오라시오 에체바리에타 ;100463;4;1917;1952;naval_engineering;naval_artillery;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35028;발레리아노 베일레르 ;100464;4;1900;1913;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35029;다마소 베렝게르 ;100327;3;1913;1930;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35030;해군 군사학교 ;100329;5;1913;1943;naval_training;seamanship;marine_training;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35031;후안 바우티스타 아스나르 ;100465;5;1922;1933;large_taskforce_tactics;small_taskforce_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35032;쿠아트로 비엔토스 항공학교 ;100330;1;1911;1932;piloting;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35033;알프레도 킨더란 ;100466;4;1913;1930;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35034;육군 공병학교 ;100689;6;1833;1931;technical_efficiency;mechanics;aeronautics;aircraft_testing;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35035;카탈로니아 항공학교 ;100690;3;1916;1932;piloting;fighter_tactics;bomber_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35036;톨레도 육군학교 ;100691;4;1850;1932;mountain_training;training;maneuver_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35037;마테오 가르시아 ;100692;3;1915;1932;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35038;에스파냐 일반육군학교 ;100693;5;1882;1932;centralized_execution;decentralized_execution;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35039;에스파냐 기병학교 ;100694;4;1852;1932;cavalry_tactics;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35040;산티아고 라몬 ;100695;8;1875;1932;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35041;이스파노-수이사 ;100323;5;1904;1939;aeronautics;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35042;에스파냐 산업공학학교 ;100697;3;1907;1970;mechanics;industrial_engineering;management;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
