JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
50028;가와사키 항공기 ;T1902;7;1896;1970;bomber_design;munitions;aeronautics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50064;구기쇼 ;100232;5;1936;1970;aeronautics;avionics;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50038;가미무라 히코노조 ;100212;5;1894;1914;small_taskforce_tactics;naval_training;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50035;도고 헤이하치로 ;T1907;7;1903;1923;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50018;나가노 오사미 ;T1917;6;1923;1950;naval_training;large_taskforce_tactics;centralized_execution;seamanship;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50017;야마모토 이소로쿠 ;T1916;9;1926;1954;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50022;시마다 시게타로 ;T1921;6;1929;1970;large_taskforce_tactics;centralized_execution;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50024;해상자위대 ;T1923;6;1954;1970;small_taskforce_tactics;centralized_execution;naval_training;seamanship;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50065;제국 잠수함 회사 ;100233;5;1914;1970;decentralized_execution;submarine_tactics;small_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50019;하타 슌로쿠 ;T1918;6;1926;1962;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50020;야마시타 도모유키 ;T1919;7;1922;1953;small_unit_tactics;centralized_execution;combined_arms_focus;training;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50025;항공자위대 ;T1924;6;1954;1970;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50047;제국 육군항공대 ;100220;4;1919;1934;centralized_execution;fighter_tactics;training;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50048;제국 육군항공대 ;100220;6;1934;1954;centralized_execution;fighter_tactics;training;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50049;제국 해군항공대 ;100221;5;1912;1934;centralized_execution;individual_courage;training;carrier_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50050;제국 해군항공대 ;100221;8;1934;1954;centralized_execution;individual_courage;training;carrier_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50052;푸치다 미쓰오 ;100222;7;1939;1970;decentralized_execution;individual_courage;bomber_tactics;carrier_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50044;클레멘스 야코프 메켈 ;100217;7;1885;1905;decentralized_execution;large_taskforce_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50045;가쓰라 다로 ;100218;5;1870;1913;decentralized_execution;large_taskforce_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50041;제국 육군대학교 ;100215;4;1882;1888;centralized_execution;large_taskforce_tactics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50042;제국 육군대학교 ;100215;5;1888;1970;centralized_execution;large_taskforce_tactics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50039;오야마 이와오 ;100213;5;1897;1914;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50043;야마가타 아리토모 ;100216;5;1870;1920;centralized_execution;large_taskforce_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50016;데라우치 히사이치 ;T1915;6;1927;1959;large_unit_tactics;combined_arms_focus;training;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50015;도조 히데키 ;T1914;5;1930;1954;large_unit_tactics;individual_courage;centralized_execution;training;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50027;제국 특별병 학교 ;100205;6;1930;1970;small_unit_tactics;airborne_training;marine_training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50023;육상자위대 ;T1922;5;1954;1970;small_unit_tactics;combined_arms_focus;individual_courage;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
