ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10024;더들리 파운드 ;T323;6;1922;1943;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10025;휴 다우딩 ;T324;8;1933;1942;fighter_tactics;training;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10026;맥스 호튼 ;T325;6;1937;1951;small_taskforce_tactics;naval_training;decentralized_execution;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10027;퍼시 호바트 ;T326;6;1937;1957;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10028;퍼시 노블 ;T327;5;1931;1955;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10029;트래퍼드 리 말러리 ;T328;6;1938;1970;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10030;프랭크 휘틀 ;T329;7;1937;1970;fighter_design;aeronautics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10031;조지 패짓 톰슨 ;T330;5;1930;1970;nuclear_physics;nuclear_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10032;루이스 마운트배튼  ;T331;5;1955;1965;small_taskforce_tactics;naval_training;decentralized_execution;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10033;슈퍼마린 ;T314;8;1931;1970;fighter_design;aeronautics;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10034;소프위스 항공기 ;100093;8;1912;1920;aeronautics;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10035;숏 브라더스 ;100094;5;1908;1970;aeronautics;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10036;핸들리 페이지 컴퍼니 ;100095;7;1909;1970;aeronautics;mechanics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10037;찰스 하워드 포크스 ;100652;4;1914;1930;chemistry;training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10038;윌리엄 비어드모어 컴퍼니 ;100096;7;1890;1970;naval_engineering;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10039;해군 40호실 ;100653;9;1914;1970;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10040;알렉산더 플레밍 ;100097;8;1920;1970;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10041;윌리엄 포스터 컴퍼니 ;100098;8;1915;1970;mechanics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10042;마르코니 ;100376;8;1897;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10043;브리티시 웨스팅하우스 ;100377;8;1899;1919;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10044;롤스-로이스 ;100378;7;1906;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10045;존 프렌치 ;100099;5;1912;1920;centralized_execution;large_unit_tactics;large_unit_focus;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10046;윌리엄 니콜슨 ;100379;5;1908;1912;centralized_execution;large_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10047;네빌 라이틀턴 ;100380;3;1904;1908;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10048;프레드릭 로버츠 ;100381;5;1900;1904;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10049;가넷 워즐리 ;100382;5;1895;1900;infantry_focus;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10050;헨리 롤린슨 ;100100;7;1916;1925;decentralized_execution;small_unit_tactics;combined_arms_focus;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10057;더글라스 헤이그 ;100786;7;1915;1920;infantry_focus;large_unit_focus;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10051;에드워드 매녹 ;100101;7;1915;1918;decentralized_execution;fighter_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10052;라노에 호커 ;100102;5;1914;1917;fighter_tactics;piloting;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10053;필립 풀러드 ;100103;4;1917;1930;fighter_tactics;piloting;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10054;존 피셔 ;100104;8;1890;1920;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10055;데이비드 베티 ;100105;6;1913;1927;centralized_execution;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10056;영국 왕립 해병대 ;100784;7;1755;1999;small_unit_tactics;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
