OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
720011;베지히 휘르쿠스흐 ;100059;4;1918;1933;aeronautics;aircraft_testing;avionics;bomber_design;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720012;이스탄불 기술대학교 ;100261;4;1871;1933;industrial_engineering;management;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720013;하데하네 멕테비 ;team_noimage;3;1914;1933;mathematics;naval_artillery;naval_engineering;submarine_design;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720014;휘세인 라우프 ;100263;3;1914;1933;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720015;하산 으제트 ;100266;4;1914;1933;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720016;오스만 전쟁 학교 ;100267;3;1890;1933;mountain_training;small_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720017;골추크 조선소 ;T3500;4;1933;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720018;이스탄불 발데 조선소 ;T3501;5;1933;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720019;KTF ;T3502;4;1933;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720020;MKEK ;T3503;5;1933;1970;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720021;THK ;T3504;4;1933;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720022;터키 정유 회사 ;T3505;3;1933;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720023;오스만 공군 사관학교 ;T3506;4;1933;1970;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720024;에르칸 가탈리 ;T3507;3;1933;1970;bomber_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720025;페브지 차크마크 ;T3508;4;1933;1945;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720026;오스만 해군 사관학교 ;T3509;4;1933;1970;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720027;메흐메트 알리 윙겐 ;T3510;5;1933;1970;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720028;메흐메트 누리 야무트 ;T3511;4;1933;1961;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720029;이스탄불 군수 공장 ;T1103;4;1933;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720030;이스탄불 대학교 ;T3513;4;1933;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720031;에리히 세르노 ;100259;8;1914;1933;training;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720032;오토 폰 로소브 ;100325;7;1914;1933;large_unit_tactics;large_unit_focus;static_defense_tactics;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720033;한스 후만 ;team_noimage;6;1914;1933;large_taskforce_tactics;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720034;게오르그 마이어 ;100703;7;1914;1933;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
