CAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
220015;퍼시 넬스 ;T914;6;1930;1945;naval_training;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220019;해리 디울프 ;T918;5;1947;1960;naval_training;small_taskforce_tactics;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220022;윌리엄 비숍 ;100053;4;1917;1944;decentralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220010;C.N. 쿠페 ;T909;6;1930;1970;fighter_tactics;training;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220012;조지 크로일 ;T911;4;1930;1944;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220011;프랭크 로버트 밀러 ;T910;6;1942;1970;bomber_tactics;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220024;리처드 헤브던 헬리 ;100055;3;1900;1902;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220026;퍼시 레이크 ;100057;4;1904;1908;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220027;윌리엄 딜론 오터 ;100058;5;1908;1910;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220023;에드워드 허튼 ;100054;5;1898;1915;decentralized_execution;infantry_focus;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220025;더글라스 코크레인 ;100056;3;1902;1915;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220029;윌러비 가넌스 ;team_noimage;4;1907;1922;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220028;콜린 존 매킨지 ;team_noimage;4;1910;1931;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220021;아서 커리 ;100052;6;1914;1920;centralized_execution;large_unit_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220009;앤드루 맥노튼 ;T908;6;1939;1945;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220014;헨리 크레러르 ;T913;5;1940;1960;infantry_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220030;캐나다 승마경찰 ;100711;6;1920;1970;small_unit_tactics;centralized_execution;vehicle_engineering;general_equipment;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220031;헬리팩스 조선소 ;100712;7;1920;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220032;프레드릭 벤팅 ;100713;8;1921;1941;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220033;봄바르디어 ;T12800;5;1942;1970;general_equipment;mechanics;industrial_engineering;management;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220034;캐나다 자동차 ;T12801;5;1909;1957;mechanics;technical_efficiency;artillery;vehicle_engineering;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220035;캐나다항공 ;100714;6;1944;1970;fighter_design;aeronautics;general_equipment;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
