RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
515013;V.A. 데그차료프 설계국 ;T7213;6;1917;1970;general_equipment;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515015;상트페테르부르크 해군사관학교 ;100504;3;1900;1970;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515016;모스크바 철도공학대학 ;100472;5;1913;1970;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515017;툴라 조병창 ;100272;3;1712;1970;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515018;이고르 시코르스키 ;100273;7;1912;1970;aeronautics;mechanics;electronics;artillery;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515019;알렉산드르 프리드만 ;100274;8;1910;1925;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515020;아브람 요페 ;100275;7;1910;1960;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515021;이반 파블로프 ;100473;7;1890;1930;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515022;니콜라이 레베덴코 ;100474;3;1914;1930;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515023;발트 조선소 ;100276;5;1856;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515024;알렉세이 브루실로프 ;100277;7;1906;1924;centralized_execution;infantry_focus;large_unit_tactics;small_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515025;미하일 알렉세예프 ;100278;4;1904;1918;centralized_execution;large_unit_focus;large_unit_tactics;individual_courage;training;static_defense_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515033;파벨 베르몬트-아발로프 ;100591;5;1938;1955;infantry_focus;decentralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515040;니콜라이 유데니치 ;100710;5;1908;1925;centralized_execution;large_unit_focus;maneuver_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515014;모스크바 군사학교 ;100503;4;1900;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515031;니콜라이 참모대학 ;100479;4;1855;1909;training;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515026;니콜라이 폰 에센 ;100475;5;1910;1915;centralized_execution;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515027;알렉산드르 콜차크 ;100279;5;1915;1960;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515028;알렉세이 카자코프 ;100476;4;1915;1950;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515029;모스크바 공학대학 ;100477;5;1703;1912;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515030;알렉산드르 랴푸노프 ;100478;6;1885;1918;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515032;게오르게 가모프 ;100480;6;1926;1970;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515034;블라디미르 즈보리킨 ;100704;8;1917;1954;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515035;블라디미르 갈홉스키 ;100705;5;1929;1958;mathematics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515036;주코프스키 공군사관학교 ;100706;6;1906;1970;aeronautics;electronics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515037;알렉산드르 세베르스키 ;100707;5;1915;1970;piloting;bomber_tactics;fighter_design;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515038;페트르 네스테로프 ;100708;8;1909;1917;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515039;오브호프 공장 ;100709;7;1863;1970;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
