##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV63;오세르 ;;;;;;;;;;X
PROV64;르 크뢰조 ;;;;;;;;;;X
PROV65;부르주 ;;;;;;;;;;X
PROV66;오를레앙 ;;;;;;;;;;X
PROV67;몽-드-마르상 ;;;;;;;;;;X
PROV68;보르도 ;;;;;;;;;;X
PROV69;라 로셸 ;;;;;;;;;;X
PROV70;앙굴렘 ;;;;;;;;;;X
PROV71;클레르몽-페랑 ;;;;;;;;;;X
PROV72;샤토루 ;;;;;;;;;;X
PROV73;리모주 ;;;;;;;;;;X
PROV74;비시 ;;;;;;;;;;X
PROV75;페리괴 ;;;;;;;;;;X
PROV76;튈 ;;;;;;;;;;X
PROV77;툴루즈 ;;;;;;;;;;X
PROV78;생-테티엔 ;;;;;;;;;;X
PROV79;베지에 ;;;;;;;;;;X
PROV80;페르피냥 ;;;;;;;;;;X
PROV81;로데즈 ;;;;;;;;;;X
PROV82;몽펠리에 ;;;;;;;;;;X
PROV83;포 ;;;;;;;;;;X
PROV84;아쟁 ;;;;;;;;;;X
PROV85;리옹 ;;;;;;;;;;X
PROV86;툴롱 ;;;;;;;;;;X
PROV87;니스 ;;;;;;;;;;X
PROV88;부르-강-브레스 ;;;;;;;;;;X
PROV89;마르세유 ;;;;;;;;;;X
PROV90;그르노블 ;;;;;;;;;;X
PROV91;샹베리 ;;;;;;;;;;X
PROV92;발랑스 ;;;;;;;;;;X
PROV93;아비뇽 ;;;;;;;;;;X
PROV94;코르시카 ;;;;;;;;;;X
PROV95;쇼몽 ;;;;;;;;;;X
PROV96;롱위 ;;;;;;;;;;X
PROV97;벨포르 ;;;;;;;;;;X
PROV98;퐁탈리에 ;;;;;;;;;;X
PROV99;랭스 ;;;;;;;;;;X
PROV100;베르됭 ;;;;;;;;;;X
PROV101;랑 ;;;;;;;;;;X
PROV102;스당 ;;;;;;;;;;X
PROV103;이르송 ;;;;;;;;;;X
PROV104;메스 ;;;;;;;;;;X
PROV105;콜마르 ;;;;;;;;;;X
PROV106;낭시 ;;;;;;;;;;X
PROV107;스트라스부르 ;;;;;;;;;;X
PROV108;리에주 ;;;;;;;;;;X
PROV109;룩셈부르크 ;;;;;;;;;;X
PROV110;외펜 ;;;;;;;;;;X
PROV111;아를롱 ;;;;;;;;;;X
PROV112;몽스 ;;;;;;;;;;X
PROV113;나뮈르 ;;;;;;;;;;X
PROV114;브뤼헤 ;;;;;;;;;;X
PROV115;안트베르펜 ;;;;;;;;;;X
PROV116;브뤼셀 ;;;;;;;;;;X
PROV117;하셀트 ;;;;;;;;;;X
PROV118;에인트호번 ;;;;;;;;;;X
PROV119;아른험 ;;;;;;;;;;X
PROV120;네이메헌 ;;;;;;;;;;X
PROV121;마스트리흐트 ;;;;;;;;;;X
PROV122;암스테르담 ;;;;;;;;;;X
PROV123;미델뷔르흐 ;;;;;;;;;;X
PROV124;흐로닝언 ;;;;;;;;;;X
PROV125;로테르담 ;;;;;;;;;;X
PROV126;아헨 ;;;;;;;;;;X
PROV127;자르브뤼켄 ;;;;;;;;;;X
PROV128;트리어 ;;;;;;;;;;X
PROV129;코블렌츠 ;;;;;;;;;;X
PROV130;마인츠 ;;;;;;;;;;X
PROV131;쾰른 ;;;;;;;;;;X
PROV132;프라이부르크 ;;;;;;;;;;X
PROV133;콘스탄츠 ;;;;;;;;;;X
PROV134;슈투트가르트 ;;;;;;;;;;X
PROV135;튀빙겐 ;;;;;;;;;;X
PROV136;카를스루에 ;;;;;;;;;;X
PROV137;카셀 ;;;;;;;;;;X
PROV138;프랑크푸르트암마인 ;;;;;;;;;;X
PROV139;다름슈타트 ;;;;;;;;;;X
PROV140;풀다 ;;;;;;;;;;X
PROV141;뮌스터 ;;;;;;;;;;X
PROV142;뒤셀도르프 ;;;;;;;;;;X
PROV143;노이비트 ;;;;;;;;;;X
PROV144;빌레펠트 ;;;;;;;;;;X
PROV145;에센 ;;;;;;;;;;X
PROV146;하노버 ;;;;;;;;;;X
PROV147;빌헬름스하펜 ;;;;;;;;;;X
PROV148;브레멘 ;;;;;;;;;;X
PROV149;뤼네부르크 ;;;;;;;;;;X
PROV150;플렌스부르크 ;;;;;;;;;;X
PROV151;뤼베크 ;;;;;;;;;;X
PROV152;킬 ;;;;;;;;;;X
PROV153;로스토크 ;;;;;;;;;;X
PROV154;함부르크 ;;;;;;;;;;X
PROV155;스톨프 ;;;;;;;;;;X
PROV156;노이루핀 ;;;;;;;;;;X
PROV157;포츠담 ;;;;;;;;;;X
PROV158;슈테틴 ;;;;;;;;;;X
PROV159;메제리츠 ;;;;;;;;;;X
PROV160;프랑크푸르트 (오데르) ;;;;;;;;;;X
PROV161;도이치 크로네 ;;;;;;;;;;X
PROV162;슈트랄준트 ;;;;;;;;;;X
PROV163;베를린 ;;;;;;;;;;X
PROV164;오펠른 ;;;;;;;;;;X
PROV165;리그니츠 ;;;;;;;;;;X
PROV166;발덴부르크 ;;;;;;;;;;X
PROV167;브레슬라우 ;;;;;;;;;;X
PROV168;글라이비츠 ;;;;;;;;;;X
PROV169;마그데부르크 ;;;;;;;;;;X
PROV170;라이프치히 ;;;;;;;;;;X
PROV171;에르푸르트 ;;;;;;;;;;X
PROV172;콧부스 ;;;;;;;;;;X
PROV173;드레스덴 ;;;;;;;;;;X
PROV174;바이로이트 ;;;;;;;;;;X
PROV175;레겐스부르크 ;;;;;;;;;;X
PROV176;란츠후트 ;;;;;;;;;;X
PROV177;뉘른베르크 ;;;;;;;;;;X
PROV178;아우크스부르크 ;;;;;;;;;;X
PROV179;뮌헨 ;;;;;;;;;;X
PROV180;뷔르츠부르크 ;;;;;;;;;;X
PROV181;단치히 ;;;;;;;;;;X
PROV182;틸지트 ;;;;;;;;;;X
PROV183;엘빙 ;;;;;;;;;;X
PROV184;쾨니히스베르크 ;;;;;;;;;;X
PROV185;알렌슈타인 ;;;;;;;;;;X
PROV186;프라이슈타트 ;;;;;;;;;;X
PROV187;린츠 ;;;;;;;;;;X
PROV188;아이젠슈타트 ;;;;;;;;;;X
PROV189;인스부르크 ;;;;;;;;;;X
PROV190;그라츠 ;;;;;;;;;;X
PROV191;클라겐푸르트 ;;;;;;;;;;X
PROV192;잘츠부르크 ;;;;;;;;;;X
PROV193;장크트 푈텐 ;;;;;;;;;;X
PROV194;홀라브룬 ;;;;;;;;;;X
PROV195;빈 ;;;;;;;;;;X
PROV196;브르노 ;;;;;;;;;;X
PROV197;즈노이모 ;;;;;;;;;;X
PROV198;흐라데츠 크랄로베 ;;;;;;;;;;X
PROV199;플젠 ;;;;;;;;;;X
PROV200;리베레츠 ;;;;;;;;;;X
PROV201;오스트라바 ;;;;;;;;;;X
PROV202;체스케 부데요비체 ;;;;;;;;;;X
PROV203;테신 ;;;;;;;;;;X
PROV204;프라하티체 ;;;;;;;;;;X
PROV205;카를로비 바리 ;;;;;;;;;;X
PROV206;오파바 ;;;;;;;;;;X
PROV207;프라하 ;;;;;;;;;;X
PROV208;브라티슬라바 ;;;;;;;;;;X
PROV209;코시체 ;;;;;;;;;;X
PROV210;코마르노 ;;;;;;;;;;X
PROV211;반스카 비스트리차 ;;;;;;;;;;X
PROV212;질리나 ;;;;;;;;;;X
PROV213;후스트 ;;;;;;;;;;X
PROV214;프레쇼프 ;;;;;;;;;;X
PROV215;우즈호로드 ;;;;;;;;;;X
PROV216;오벤로 ;;;;;;;;;;X
PROV217;올보르 ;;;;;;;;;;X
PROV218;프레데릭스하운 ;;;;;;;;;;X
PROV219;오덴세 ;;;;;;;;;;X
PROV220;오르후스 ;;;;;;;;;;X
PROV221;카토비체 ;;;;;;;;;;X
PROV222;토룬 ;;;;;;;;;;X
PROV223;우지 ;;;;;;;;;;X
PROV224;포즈난 ;;;;;;;;;;X
PROV225;비드고슈치 ;;;;;;;;;;X
PROV226;그디니아 ;;;;;;;;;;X
PROV227;쳉스토호바 ;;;;;;;;;;X
PROV228;시에들체 ;;;;;;;;;;X
PROV229;오스트로웽카 ;;;;;;;;;;X
PROV230;푸오츠크 ;;;;;;;;;;X
PROV231;브로츠와베크 ;;;;;;;;;;X
PROV232;바르샤바 ;;;;;;;;;;X
PROV233;소스노비에츠 ;;;;;;;;;;X
PROV234;라돔 ;;;;;;;;;;X
PROV235;크라쿠프 ;;;;;;;;;;X
PROV236;노비 송치 ;;;;;;;;;;X
PROV237;타르누프 ;;;;;;;;;;X
PROV238;스타니스와보프 ;;;;;;;;;;X
PROV239;프셰미실 ;;;;;;;;;;X
PROV240;타르노폴 ;;;;;;;;;;X
PROV241;스트리 ;;;;;;;;;;X
PROV242;리비우 ;;;;;;;;;;X
PROV243;루블린 ;;;;;;;;;;X
PROV244;루브네 ;;;;;;;;;;X
PROV245;루츠크 ;;;;;;;;;;X
PROV246;헤움 ;;;;;;;;;;X
PROV247;브레스트-리토프스크 ;;;;;;;;;;X
PROV248;핀스크 ;;;;;;;;;;X
PROV249;사르니 ;;;;;;;;;;X
PROV250;우옴자 ;;;;;;;;;;X
PROV251;노보그루데크 ;;;;;;;;;;X
PROV252;수바우키 ;;;;;;;;;;X
PROV253;볼코비스크 ;;;;;;;;;;X
PROV254;비아위스토크 ;;;;;;;;;;X
PROV255;그로드노 ;;;;;;;;;;X
PROV256;빌레이카 ;;;;;;;;;;X
PROV257;글렝보키에 ;;;;;;;;;;X
PROV258;빌노 ;;;;;;;;;;X
PROV259;샤울라이 ;;;;;;;;;;X
PROV260;파네베지스 ;;;;;;;;;;X
PROV261;클라이페다 ;;;;;;;;;;X
PROV262;카우나스 ;;;;;;;;;;X
PROV263;알리투스 ;;;;;;;;;;X
PROV264;리가 ;;;;;;;;;;X
PROV265;발미에라 ;;;;;;;;;;X
PROV266;다우가프필스 ;;;;;;;;;;X
PROV267;예캅필스 ;;;;;;;;;;X
PROV268;리에파야 ;;;;;;;;;;X
PROV269;옐가바 ;;;;;;;;;;X
PROV270;탈린 ;;;;;;;;;;X
PROV271;패르누 ;;;;;;;;;;X
PROV272;타르투 ;;;;;;;;;;X
PROV273;보루 ;;;;;;;;;;X
PROV274;나르바 ;;;;;;;;;;X
PROV275;쿠레사아레 ;;;;;;;;;;X
PROV276;잘라에게르세그 ;;;;;;;;;;X
PROV277;페치 ;;;;;;;;;;X
PROV278;세케슈페헤르바르 ;;;;;;;;;;X
PROV279;죄르 ;;;;;;;;;;X
PROV280;세게드 ;;;;;;;;;;X
PROV281;데브레첸 ;;;;;;;;;;X
PROV282;미슈콜츠 ;;;;;;;;;;X
PROV283;베케슈처버 ;;;;;;;;;;X
PROV284;부다페스트 ;;;;;;;;;;X
PROV285;티미쇼아라 ;;;;;;;;;;X
PROV286;아라드 ;;;;;;;;;;X
PROV287;투르다 ;;;;;;;;;;X
PROV288;클루지 ;;;;;;;;;;X
PROV289;알바 이울리아 ;;;;;;;;;;X
PROV290;스토레 벨트 ;;;;;;;;;;X
PROV291;시비우 ;;;;;;;;;;X
PROV292;비스트리차 ;;;;;;;;;;X
PROV293;미에르쿠레아 치우크 ;;;;;;;;;;X
PROV294;코펜하겐 ;;;;;;;;;;X
PROV295;레시차 ;;;;;;;;;;X
PROV296;오라데아 ;;;;;;;;;;X
PROV297;이아시 ;;;;;;;;;;X
PROV298;갈라치 ;;;;;;;;;;X
PROV299;바커우 ;;;;;;;;;;X
PROV300;체르니우치 ;;;;;;;;;;X
PROV301;수체아바 ;;;;;;;;;;X
PROV302;호틴 ;;;;;;;;;;X
PROV303;벌치 ;;;;;;;;;;X
PROV304;키시너우 ;;;;;;;;;;X
PROV305;카훌 ;;;;;;;;;;X
PROV306;이즈마일 ;;;;;;;;;;X
PROV307;도브리치 ;;;;;;;;;;X
PROV308;지우르지우 ;;;;;;;;;;X
PROV309;브러일라 ;;;;;;;;;;X
PROV310;콘스탄차 ;;;;;;;;;;X
PROV311;플로에슈티 ;;;;;;;;;;X
PROV312;투르누 세베린 ;;;;;;;;;;X
PROV313;술리나 ;;;;;;;;;;X
PROV314;컬러라시 ;;;;;;;;;;X
PROV315;크라이오바 ;;;;;;;;;;X
PROV316;부쿠레슈티 ;;;;;;;;;;X
PROV317;루세 ;;;;;;;;;;X
PROV318;비딘 ;;;;;;;;;;X
PROV319;하스코보 ;;;;;;;;;;X
PROV320;고르나 주마야 ;;;;;;;;;;X
PROV321;소피아 ;;;;;;;;;;X
PROV322;가브로보 ;;;;;;;;;;X
PROV323;플레벤 ;;;;;;;;;;X
PROV324;플로브디프 ;;;;;;;;;;X
PROV325;부르가스 ;;;;;;;;;;X
PROV326;바르나 ;;;;;;;;;;X
PROV327;크루셰바츠 ;;;;;;;;;;X
PROV328;쿠마노보 ;;;;;;;;;;X
PROV329;프리슈티나 ;;;;;;;;;;X
PROV330;니시 ;;;;;;;;;;X
PROV331;피로트 ;;;;;;;;;;X
PROV332;체티네 ;;;;;;;;;;X
PROV333;스코페 ;;;;;;;;;;X
PROV334;테토보 ;;;;;;;;;;X
PROV335;프리예폴레 ;;;;;;;;;;X
PROV336;페트로브그라드 ;;;;;;;;;;X
PROV337;루마 ;;;;;;;;;;X
PROV338;베오그라드 ;;;;;;;;;;X
PROV339;보르 ;;;;;;;;;;X
PROV340;샤바츠 ;;;;;;;;;;X
PROV341;노비 사드 ;;;;;;;;;;X
PROV342;우지쳬 ;;;;;;;;;;X
PROV343;두브로브니크 ;;;;;;;;;;X
PROV344;오시예크 ;;;;;;;;;;X
PROV345;볘로바르 ;;;;;;;;;;X
PROV346;마리보르 ;;;;;;;;;;X
PROV347;카를로바츠 ;;;;;;;;;;X
PROV348;지브롤터 ;;;;;;;;;;X
PROV349;류블라나 ;;;;;;;;;;X
PROV350;스플리트 ;;;;;;;;;;X
PROV351;크닌 ;;;;;;;;;;X
PROV352;자그레브 ;;;;;;;;;;X
PROV353;바냐 루카 ;;;;;;;;;;X
PROV354;투즐라 ;;;;;;;;;;X
PROV355;사라예보 ;;;;;;;;;;X
PROV356;모스타르 ;;;;;;;;;;X
PROV357;비하츠 ;;;;;;;;;;X
PROV358;트라브니크 ;;;;;;;;;;X
PROV359;티라나 ;;;;;;;;;;X
PROV360;코르차 ;;;;;;;;;;X
PROV361;슈코더르 ;;;;;;;;;;X
PROV362;블로러 ;;;;;;;;;;X
PROV363;크산티 ;;;;;;;;;;X
PROV364;카발라 ;;;;;;;;;;X
PROV365;테살로니키 ;;;;;;;;;;X
PROV366;코자니 ;;;;;;;;;;X
PROV367;이오안니나 ;;;;;;;;;;X
PROV368;라리사 ;;;;;;;;;;X
PROV369;메트소보 ;;;;;;;;;;X
PROV370;알렉산드루폴리스 ;;;;;;;;;;X
PROV371;케르키라 ;;;;;;;;;;X
PROV372;파트라 ;;;;;;;;;;X
PROV373;코린토스 ;;;;;;;;;;X
PROV374;칼키스 ;;;;;;;;;;X
PROV375;레바디아 ;;;;;;;;;;X
PROV376;아그리니온 ;;;;;;;;;;X
PROV377;아테네 ;;;;;;;;;;X
PROV378;칼림노스 ;;;;;;;;;;X
PROV379;로도스 ;;;;;;;;;;X
PROV380;시티아 ;;;;;;;;;;X
PROV381;에르무폴리 ;;;;;;;;;;X
PROV382;이라클리오 ;;;;;;;;;;X
PROV383;미틸레네 ;;;;;;;;;;X
PROV384;갈리폴리 ;;;;;;;;;;X
PROV385;아드리아노폴리스 ;;;;;;;;;;X
PROV386;카르스 ;;;;;;;;;;X
PROV387;파마구스타 ;;;;;;;;;;X
PROV388;니코시아 ;;;;;;;;;;X
PROV389;취리히 ;;;;;;;;;;X
PROV390;루가노 ;;;;;;;;;;X
PROV391;제네바 ;;;;;;;;;;X
PROV392;베른 ;;;;;;;;;;X
PROV393;브레시아 ;;;;;;;;;;X
PROV394;벨루노 ;;;;;;;;;;X
PROV395;베르가모 ;;;;;;;;;;X
PROV396;제노바 ;;;;;;;;;;X
PROV397;마르마라 해 ;;;;;;;;;;X
PROV398;토리노 ;;;;;;;;;;X
PROV399;알레산드리아 ;;;;;;;;;;X
PROV400;베네치아 ;;;;;;;;;;X
PROV401;트렌토 ;;;;;;;;;;X
PROV402;볼차노 ;;;;;;;;;;X
PROV403;카포디스트리아 ;;;;;;;;;;X
PROV404;트리에스테 ;;;;;;;;;;X
PROV405;우디네 ;;;;;;;;;;X
PROV406;폴라 ;;;;;;;;;;X
PROV407;밀라노 ;;;;;;;;;;X
PROV408;파르마 ;;;;;;;;;;X
PROV409;이스탄불 ;;;;;;;;;;X
PROV410;플로렌스 ;;;;;;;;;;X
PROV411;볼로냐 ;;;;;;;;;;X
PROV412;안코나 ;;;;;;;;;;X
PROV413;리보르노 ;;;;;;;;;;X
PROV414;페루자 ;;;;;;;;;;X
PROV415;페스카라 ;;;;;;;;;;X
PROV416;안치오 ;;;;;;;;;;X
PROV417;카시노 ;;;;;;;;;;X
PROV418;가에타 ;;;;;;;;;;X
PROV419;로마 ;;;;;;;;;;X
PROV420;포자 ;;;;;;;;;;X
PROV421;나폴리 ;;;;;;;;;;X
PROV422;타란토 ;;;;;;;;;;X
PROV423;캄포바소 ;;;;;;;;;;X
PROV424;포텐차 ;;;;;;;;;;X
PROV425;레조 디 칼라브리아 ;;;;;;;;;;X
PROV426;바리 ;;;;;;;;;;X
PROV427;살레르노 ;;;;;;;;;;X
PROV428;코센차 ;;;;;;;;;;X
PROV429;몰타 ;;;;;;;;;;X
PROV430;팔레르모 ;;;;;;;;;;X
PROV431;메시나 ;;;;;;;;;;X
PROV432;카타니아 ;;;;;;;;;;X
PROV433;시라쿠사 ;;;;;;;;;;X
PROV434;칼리아리 ;;;;;;;;;;X
PROV435;사사리 ;;;;;;;;;;X
PROV436;타라고나 ;;;;;;;;;;X
PROV437;헤로나 ;;;;;;;;;;X
PROV438;우에스카 ;;;;;;;;;;X
PROV439;레리다 ;;;;;;;;;;X
PROV440;바르셀로나 ;;;;;;;;;;X
PROV441;라 코루냐 ;;;;;;;;;;X
PROV442;사라고사 ;;;;;;;;;;X
PROV443;빌바오 ;;;;;;;;;;X
PROV444;오비에도 ;;;;;;;;;;X
PROV445;산탄데르 ;;;;;;;;;;X
PROV446;팜플로나 ;;;;;;;;;;X
PROV447;살라망카 ;;;;;;;;;;X
PROV448;레온 ;;;;;;;;;;X
PROV449;비고 ;;;;;;;;;;X
PROV450;플라센시아 ;;;;;;;;;;X
PROV451;부르고스 ;;;;;;;;;;X
PROV452;세고비아 ;;;;;;;;;;X
PROV453;카세레스 ;;;;;;;;;;X
PROV454;타란콘 ;;;;;;;;;;X
PROV455;과달라하라 ;;;;;;;;;;X
PROV456;소리아 ;;;;;;;;;;X
PROV457;톨레도 ;;;;;;;;;;X
PROV458;바다호스 ;;;;;;;;;;X
PROV459;테루엘 ;;;;;;;;;;X
PROV460;마드리드 ;;;;;;;;;;X
PROV461;카스테욘 데 라 플라나 ;;;;;;;;;;X
PROV462;알리칸테 ;;;;;;;;;;X
PROV463;무르시아 ;;;;;;;;;;X
PROV464;발렌시아 ;;;;;;;;;;X
PROV465;알바세테 ;;;;;;;;;;X
PROV466;하엔 ;;;;;;;;;;X
PROV467;코르도바 ;;;;;;;;;;X
PROV468;시우다드 레알 ;;;;;;;;;;X
PROV469;알메리아 ;;;;;;;;;;X
PROV470;그라나다 ;;;;;;;;;;X
PROV471;말라가 ;;;;;;;;;;X
PROV472;우엘바 ;;;;;;;;;;X
PROV473;카디스 ;;;;;;;;;;X
PROV474;세비야 ;;;;;;;;;;X
PROV475;팔마 데 마요르카 ;;;;;;;;;;X
PROV476;리스본 ;;;;;;;;;;X
PROV477;세투발 ;;;;;;;;;;X
PROV478;베자 ;;;;;;;;;;X
PROV479;코임브라 ;;;;;;;;;;X
PROV480;에보라 ;;;;;;;;;;X
PROV481;포르투 ;;;;;;;;;;X
PROV482;쿠빌라 ;;;;;;;;;;X
PROV483;오슬로 ;;;;;;;;;;X
PROV484;프레드릭스타 ;;;;;;;;;;X
PROV485;크리스티안산 ;;;;;;;;;;X
PROV486;회네포스 ;;;;;;;;;;X
PROV487;스타방에르 ;;;;;;;;;;X
PROV488;베르겐 ;;;;;;;;;;X
PROV489;하마르 ;;;;;;;;;;X
PROV490;온달스네스 ;;;;;;;;;;X
PROV491;올레순 ;;;;;;;;;;X
PROV492;릴레함메르 ;;;;;;;;;;X
PROV493;트론헤임 ;;;;;;;;;;X
PROV494;보도 ;;;;;;;;;;X
PROV495;나르비크 ;;;;;;;;;;X
PROV496;알타 ;;;;;;;;;;X
PROV497;트롬쇠 ;;;;;;;;;;X
PROV498;파블로다르 ;;;;;;;;;;X
PROV499;에키바스츠 ;;;;;;;;;;X
PROV500;발하슈 ;;;;;;;;;;X
PROV501;콕셰타우 ;;;;;;;;;;X
PROV502;아크몰린스크 ;;;;;;;;;;X
PROV503;카라간다 ;;;;;;;;;;X
PROV504;알마티 ;;;;;;;;;;X
PROV505;사르 ;;;;;;;;;;X
PROV506;탈디-쿠르간 ;;;;;;;;;;X
PROV507;우스트-카메노고르스크 ;;;;;;;;;;X
PROV508;이리 호 ;;;;;;;;;;X
PROV509;미시간 호 ;;;;;;;;;;X
PROV510;휴런 호 ;;;;;;;;;;X
PROV511;에논테키오 ;;;;;;;;;;X
PROV512;포리 ;;;;;;;;;;X
PROV513;이나리 ;;;;;;;;;;X
PROV514;케미예르비 ;;;;;;;;;;X
PROV515;로바니에미 ;;;;;;;;;;X
PROV516;토르니오 ;;;;;;;;;;X
PROV517;페차모 ;;;;;;;;;;X
PROV518;수오미살미 ;;;;;;;;;;X
PROV519;살라 ;;;;;;;;;;X
PROV520;오울루 ;;;;;;;;;;X
PROV521;바사 ;;;;;;;;;;X
PROV522;쿠오피오 ;;;;;;;;;;X
PROV523;카야니 ;;;;;;;;;;X
PROV524;투르쿠 ;;;;;;;;;;X
PROV525;헬싱키 ;;;;;;;;;;X
PROV526;아베난마 ;;;;;;;;;;X
PROV527;탐페레 ;;;;;;;;;;X
PROV528;미켈리 ;;;;;;;;;;X
PROV529;코우볼라 ;;;;;;;;;;X
PROV530;테리요키 ;;;;;;;;;;X
PROV531;비푸리 ;;;;;;;;;;X
PROV532;소르타발라 ;;;;;;;;;;X
PROV533;요엔수 ;;;;;;;;;;X
PROV534;콜라 ;;;;;;;;;;X
PROV535;무르만스크 ;;;;;;;;;;X
PROV536;칸달락샤 ;;;;;;;;;;X
PROV537;켐 ;;;;;;;;;;X
PROV538;세게자 ;;;;;;;;;;X
PROV539;페트로자보츠크 ;;;;;;;;;;X
PROV540;케스텐가 ;;;;;;;;;;X
PROV541;벨로모르스크 ;;;;;;;;;;X
PROV542;아르한겔스크 ;;;;;;;;;;X
PROV543;토트마 ;;;;;;;;;;X
PROV544;키치멘스키 고로도크 ;;;;;;;;;;X
PROV545;벨스크 ;;;;;;;;;;X
PROV546;수도스트로이 ;;;;;;;;;;X
PROV547;키릴로프 ;;;;;;;;;;X
PROV548;볼로자 ;;;;;;;;;;X
PROV549;루가 ;;;;;;;;;;X
PROV550;킨기세프 ;;;;;;;;;;X
PROV551;가치나 ;;;;;;;;;;X
PROV552;그도프 ;;;;;;;;;;X
PROV553;레닌그라드 ;;;;;;;;;;X
PROV554;킨리 ;;;;;;;;;;X
PROV555;체레포베츠 ;;;;;;;;;;X
PROV556;비테그라 ;;;;;;;;;;X
PROV557;티흐빈 ;;;;;;;;;;X
PROV558;르제프 ;;;;;;;;;;X
PROV559;보로비치 ;;;;;;;;;;X
PROV560;노브고로드 ;;;;;;;;;;X
PROV561;스타라야 루사 ;;;;;;;;;;X
PROV562;키리시 ;;;;;;;;;;X
PROV563;토르조크 ;;;;;;;;;;X
PROV564;오포치카 ;;;;;;;;;;X
PROV565;드노 ;;;;;;;;;;X
PROV566;프스코프 ;;;;;;;;;;X
PROV567;세르푸호프 ;;;;;;;;;;X
PROV568;솔네치노고르스크 ;;;;;;;;;;X
PROV569;트베리 ;;;;;;;;;;X
PROV570;자고르스크 ;;;;;;;;;;X
PROV571;오레호보-주예보 ;;;;;;;;;;X
PROV572;모스크바 ;;;;;;;;;;X
PROV573;벨리키예 루키 ;;;;;;;;;;X
PROV574;뱌지마 ;;;;;;;;;;X
PROV575;사포노보 ;;;;;;;;;;X
PROV576;칼루가 ;;;;;;;;;;X
PROV577;넬리도보 ;;;;;;;;;;X
PROV578;사소보 ;;;;;;;;;;X
PROV579;랴잔 ;;;;;;;;;;X
PROV580;옐레츠 ;;;;;;;;;;X
PROV581;오룔 ;;;;;;;;;;X
PROV582;리브니 ;;;;;;;;;;X
PROV583;예프레모프 ;;;;;;;;;;X
PROV584;툴라 ;;;;;;;;;;X
PROV585;코젤스크 ;;;;;;;;;;X
PROV586;로슬라블 ;;;;;;;;;;X
PROV587;클린치 ;;;;;;;;;;X
PROV588;브랸스크 ;;;;;;;;;;X
PROV589;스몰렌스크 ;;;;;;;;;;X
