TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
440019;Minister of Armament;레칭 린포체 ;1937;1964;1999;PA;laissez-faire capitalist;High;M73002;X
440020;Minister of Armament;킬리신 찬살 ;1938;1964;1999;PA;Theoretical Scientist;Medium;M73050;X
440021;Minister of Armament;차마 삼페 ;1938;1964;1999;PA;Battle Fleet Proponent;High;M73009;X
440022;Minister of Armament;르할루 체왕 도르제 ;1939;1964;1999;SC;Submarine Proponent;Medium;M73019;X
440023;Minister of Armament;툽텐 닝제 ;1940;1964;1999;SC;Resource Industrialist;Medium;M73014;X
440024;Minister of Armament;텐파 잠양 ;1941;1964;1999;PA;Infantry Proponent;High;M73008;X
440025;Minister of Armament;바파 예셰 ;1942;1964;1999;SC;Air Superiority Proponent;Medium;M73020;X
440026;Minister of Armament;기야토 왕두 ;1943;1964;1999;PA;Tank Proponent;High;M73007;X
440027;Minister of Armament;지그메 타링 ;1944;1964;1999;SC;Military Entrepreneur;Medium;M73045;X
440028;Minister of Armament;삼포 체왕 리그친 ;1944;1964;1999;PA;Air to Ground Proponent;High;M73010;X
440029;Minister of Armament;W.G. 컨델링 ;1945;1964;1999;PA;Administrative Genius;High;M73006;X
440030;Minister of Security;차마 사남포 ;1933;1964;1999;SC;Back Stabber;Medium;M73016;X
440031;Minister of Security;바파 예셰 ;1937;1964;1999;SC;Man of the People;Medium;M73020;X
440032;Minister of Security;차마 삼페 ;1937;1964;1999;PA;Efficient Sociopath;High;M73009;X
440033;Minister of Security;탁트라 린포체 ;1938;1964;1999;PA;Compassionate Gentleman;Medium;M73041;X
440034;Minister of Security;테폰 라난포이 ;1939;1964;1999;PA;Crime Fighter;Medium;M73064;X
440035;Minister of Security;체폰 샤캅파 ;1941;1964;1999;PA;Prince of Terror;High;M73004;X
440036;Minister of Security;게둔 체펠 ;1943;1964;1999;SC;Silent Lawyer;Medium;M73012;X
440037;Head of Military Intelligence;텐파 잠양 ;1938;1964;1999;PA;Logistics Specialist;High;M73008;X
440038;Head of Military Intelligence;킬리신 찬살 ;1941;1964;1999;PA;Technical Specialist;Medium;M73050;X
440039;Head of Military Intelligence;툽텐 닝제 ;1943;1964;1999;SC;Industrial Specialist;Medium;M73014;X
440040;Head of Military Intelligence;차마 사남포 ;1944;1964;1999;SC;Dismal Enigma;Medium;M73016;X
440041;Head of Military Intelligence;차마 삼페 ;1945;1964;1999;PA;Political Specialist;High;M73009;X
440042;Chief of Staff;텐파 잠양 ;1937;1964;1999;PA;School of Fire Support;High;M73008;X
440043;Chief of Staff;안드루크 곤포 타시 ;1938;1964;1999;SC;School of Psychology;Medium;M73017;X
440044;Chief of Staff;잠팔 라비그예 린포체 ;1939;1964;1999;SC;School of Defence;Medium;M73018;X
440045;Chief of Staff;바파 예셰 ;1944;1964;1999;PA;School of Manoeuvre;High;M73020;X
440046;Chief of Army;바파 예셰 ;1933;1964;1999;PA;Elastic Defence Doctrine;High;M73020;X
440047;Chief of Army;착호에 남걀 도르제 ;1942;1964;1999;PA;Decisive Battle Doctrine;Medium;M73078;X
440048;Chief of Army;기야토 왕두 ;1943;1964;1999;PA;Armoured Spearhead Doctrine;High;M73007;X
440049;Chief of Army;잠팔 라비그예 린포체 ;1943;1964;1999;SC;Static Defence Doctrine;Medium;M73018;X
440050;Chief of Army;케메이 소남 왕디 ;1943;1964;1999;PA;Guns and Butter Doctrine;Medium;M73081;X
440051;Chief of Navy;르할루 체왕 도르제 ;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M73019;X
440052;Chief of Navy;착호에 남걀 도르제 ;1939;1964;1999;PA;Open Seas Doctrine;Medium;M73078;X
440053;Chief of Air Force;기야토 왕두 ;1937;1964;1999;PA;Army Aviation Doctrine;High;M73007;X
440054;Chief of Air Force;바파 예셰 ;1945;1964;1999;SC;Air Superiority Doctrine;Medium;M73020;X
440055;Head of State;텐진 갸초 ;1944;1964;1999;PA;Autocratic Charmer;High;M73086;X
440056;Chief of Army;하자 벤조르 도제 ;1900;1933;1999;PA;Decisive Battle Doctrine;High;unknownminister;X
440057;Chief of Army;칼론 라마 ;1904;1933;1999;PA;Guns and Butter Doctrine;Medium;3366;X
440058;Chief of Army;창그라 데프슨 ;1910;1933;1999;PA;static defence doctrine;Medium;3367;X
440059;Chief of Army;차롱 자사 ;1912;1933;1999;SC;Decisive Battle Doctrine;Medium;3368;X
440060;Chief of Staff;라마 참첸 은가왕 ;1900;1933;1999;PA;School of Mass Combat;High;unknownminister;X
440061;Chief of Staff;칼론 라마 ;1900;1933;1999;PA;School of Fire Support;High;3366;X
440062;Chief of Staff;차롱 자사 ;1912;1933;1999;SC;School of Psychology;High;3368;X
440063;Foreign Minister;아그반 드로지에프 ;1900;1933;1999;PA;Great Compromiser;High;3369;X
440064;Foreign Minister;실룬 참첸 ;1912;1933;1999;PA;biased intellectual;Medium;3370;X
440065;Foreign Minister;구드지르 초이온진 ;1913;1933;1999;PA;ideological crusader;Medium;unknownminister;X
440066;Head of Government;간덴 트리파 린포체 ;1900;1933;1999;PA;Naive Optimist;Medium;unknownminister;X
440067;Head of Government;간덴 치바 갸인카인 ;1904;1933;1999;PA;Naive Optimist;Medium;3371;X
440068;Head of Government;론첸 팔조르 샤트라 ;1907;1933;1999;PA;Silent Workhorse;Medium;3372;X
440069;Head of Government;남라 숄크항 ;1907;1933;1999;PA;Silent Workhorse;Medium;3373;X
440070;Head of Government;치크야크 참파 투브왕 ;1913;1933;1999;PA;Backroom Backstabber;Medium;3374;X
440071;Head of Government;차롱 자사 ;1924;1933;1999;SC;Old General;Medium;3368;X
440072;Head of Military Intelligence;간덴 랑세르링 ;1900;1933;1999;PA;Dismal Enigma;High;3375;X
440073;Head of Military Intelligence;칼론 라마 ;1900;1933;1999;PA;Political Specialist;High;3366;X
440074;Head of Military Intelligence;차롱 자사 ;1908;1933;1999;SC;Logistics Specialist;High;3368;X
440075;Head of State;튭텐 갸초 ;1900;1934;1934;PA;Popular Figurehead;High;3376;X
440076;Head of State;차롱 자사 ;1924;1933;1999;SC;Die-hard Reformer;High;3368;X
440077;Minister of Armament;소이캉 세덴 왕쿠그 ;1900;1933;1999;PA;Administrative Genius;High;3377;X
440078;Minister of Armament;간덴 트리파 린포체 ;1900;1933;1999;PA;Resource Industrialist;High;unknownminister;X
440079;Minister of Armament;룽샤르 쿠쇼 ;1912;1933;1999;PA;Resource Industrialist;High;unknownminister;X
440080;Minister of Armament;차롱 자사 ;1912;1933;1999;SC;military entrepreneur;High;3368;X
440081;Minister of Armament;구드지르 초이온진 ;1913;1933;1999;PA;corrupt kleptocrat;High;unknownminister;X
440082;Minister of Security;디보인 밍링바 ;1900;1933;1999;PA;Crime Fighter;High;unknownminister;X
440083;Minister of Security;남라 숄크항 ;1907;1933;1999;PA;Crime Fighter;High;3373;X
440084;Minister of Security;치크야크 참파 투브왕 ;1913;1933;1999;PA;Compassionate Gentleman;High;unknownminister;X
440085;Minister of Security;차롱 잠두이 ;1914;1933;1999;PA;Man of the People;Medium;unknownminister;X
440086;Minister of Security;도르가르 푼코그 ;1922;1933;1999;PA;Silent Lawyer;Medium;3378;X
440087;Head of State;레칭 린포체 ;1933;1939;1999;PA;Insignificant Layman;High;M73002;X
