SOV;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
30028;Minister of Security;라브렌티 P. 베리아 ;1938;1964;1999;ST;Secret police chief;Very High;3189;X
30029;Minister of Security;안드레이 G. 오를로프 ;1938;1964;1999;ST;Silent Lawyer;Medium;M4042;X
30030;Minister of Security;세르게이 G. 겐딘 ;1938;1964;1999;ST;Efficient Sociopath;Medium;M4043;X
30031;Minister of Security;안드레이 P. 판필로프 ;1941;1964;1999;ST;Man of the People;Medium;M4044;X
30032;Head of Military Intelligence;니콜라이 I. 예조프 ;1933;1940;1999;PA;Technical Specialist;Undying;3188;X
30033;Head of Military Intelligence;이반 I. 프로스쿠로프 ;1937;1964;1999;ST;Dismal Enigma;High;3193;X
30034;Head of Military Intelligence;필립 I. 골리코프 ;1940;1964;1999;ST;Political Specialist;Very High;3194;X
30035;Head of Military Intelligence;안드레이 P. 판필로프 ;1941;1964;1999;ST;Logistics Specialist;High;M4044;X
30036;Head of Military Intelligence;이고르 I. 일리체프 ;1942;1964;1999;ST;Industrial Specialist;Very High;M4049;X
30037;Head of Military Intelligence;표도르 F. 쿠즈네초프 ;1945;1964;1999;ST;Technical Specialist;Very High;M4050;X
30038;Chief of Staff;보리스 M. 샤포슈니코프 ;1937;1964;1999;ST;School of Mass Combat;Very High;3195;X
30039;Chief of Staff;키릴 A. 메레츠코프 ;1940;1964;1999;ST;School of Psychology;High;3196;X
30040;Chief of Staff;게오르기 K. 주코프 ;1941;1964;1999;ST;School of Fire Support;Medium;3197;X
30041;Chief of Staff;알렉산드르 M. 바실렙스키 ;1942;1964;1999;ST;School of Defence;High;3198;X
30042;Chief of Staff;니콜라이 A. 불가닌 ;1944;1964;1999;ST;School of Mass Combat;Low;3199;X
30043;Chief of Staff;알렉세이 I. 안토노프 ;1945;1964;1999;ST;School of Psychology;Very High;3200;X
30044;Chief of Staff;세르게이 M. 시테멘코 ;1946;1964;1999;ST;School of Manoeuvre;High;M4057;X
30045;Chief of Army;세묜 K. 티모셴코 ;1941;1964;1999;ST;Elastic Defence Doctrine;High;3201;X
30046;Chief of Army;이오시프 V. 스탈린 ;1941;1964;1999;ST;Guns and Butter Doctrine;Undying;3177;X
30047;Chief of Army;로디온 Y. 말리놉스키 ;1943;1964;1999;ST;Armoured Spearhead Doctrine;High;1171;X
30048;Chief of Navy;미하일 V. 빅토로프 ;1938;1964;1999;ST;Power Projection Doctrine;Very Low;M4061;X
30049;Chief of Navy;니콜라이 G. 쿠즈네초프 ;1939;1964;1999;ST;Decisive Naval Battle Doctrine;High;3202;X
30050;Chief of Navy;이반. S. 이사코프 ;1940;1964;1999;LE;Base Control Doctrine;Low;3203;X
30051;Chief of Air Force;알렉산드르 D. 록티오노프 ;1937;1941;1999;ST;Army Aviation Doctrine;Low;3204;X
30052;Chief of Air Force;파벨 V. 리차고프 ;1938;1964;1999;ST;Naval Aviation Doctrine;Medium;3205;X
30053;Chief of Air Force;야코프 V. 스무스케비치 ;1933;1942;1999;LE;Army Aviation Doctrine;Medium;3206;X
30054;Chief of Air Force;알렉산드르 E. 골로바노프 ;1940;1964;1999;LE;Army Aviation Doctrine;High;3207;X
30055;Chief of Air Force;알렉산드르 A. 노비코프 ;1942;1964;1999;ST;Air Superiority Doctrine;Very High;3208;X
30056;Chief of Air Force;Y.V. 블라디미로비치 ;1943;1964;1999;ST;Carpet Bombing Doctrine;Medium;M4069;X
30058;Head of Government;그레고리 N. 질렌코프 ;1933;1964;1999;PA;Political Protege;High;3209;X
30059;Foreign Minister;표도르 P. 보가치르축 ;1933;1964;1999;PA;Great Compromiser;Low;3210;X
30060;Minister of Armament;안톤 쉐글로프 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M4014;X
30061;Minister of Security;블라디미르 말리쉬킨 ;1933;1964;1999;PA;Back Stabber;Very High;M4015;X
30062;Head of Military Intelligence;미하일 A. 멘드로프 ;1933;1964;1999;PA;Dismal Enigma;Very High;M4016;X
30063;Chief of Staff;표도르 트리킨 ;1933;1964;1999;PA;School of Mass Combat;High;M4017;X
30064;Chief of Army;비탈리 말체프 ;1933;1964;1999;PA;Decisive Battle Doctrine;Very High;M4018;X
30065;Chief of Navy;P. 드로즈드 ;1933;1964;1999;PA;Power Projection Doctrine;High;M4019;X
30066;Chief of Air Force;S.A. 체르니흐 ;1933;1964;1999;PA;Army Aviation Doctrine;High;M4020;X
30067;Foreign Minister;드미트리 P. 로마노프 ;1933;1964;1999;SC;Biased Intellectual;Medium;3211;X
30068;Minister of Armament;블라디미르 M. 스미르노프 ;1933;1964;1999;SL;laissez-faire capitalist;High;M4024;X
30069;Minister of Security;이고르 N. 트루베츠코이 ;1933;1964;1999;SC;Man of the People;Medium;M4025;X
30070;Head of Military Intelligence;이고르 N. 트루베츠코이 ;1933;1964;1999;SC;Technical Specialist;Medium;M4025;X
30071;Chief of Staff;콘스탄틴 K. 로코솝스키 ;1940;1964;1999;LWR;School of Manoeuvre;High;M4027;X
30072;Chief of Army;게오르기 K. 주코프 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;3197;X
30073;Chief of Navy;니콜라이 G. 쿠즈네초프 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;3202;X
30074;Chief of Air Force;파벨 V. 리차고프 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;3205;X
30075;Minister of Armament;니콜라이 A. 불가닌 ;1953;1964;1999;ST;Planned economy proponent;High;3212;X
30076;Minister of Armament;이오시프 V. 스탈린 ;1933;1964;1999;ST;Planned economy proponent;Very High;3177;X
30077;Head of State;클리멘트 Y. 보로실로프 ;1953;1970;1999;ST;Resigned Generalissimo;High;3183;X
30078;Head of Government;니키타 S. 흐루쇼프 ;1958;1964;1999;ST;Flamboyant Tough Guy;High;3213;X
30079;Minister of Armament;알렉산드르 바실렙스키 ;1949;1964;1999;ST;Infantry Proponent;High;3214;X
30080;Minister of Security;세르게이 N. 크루흘로프 ;1953;1964;1999;ST;Secret police chief;Very High;3215;X
30081;Head of Military Intelligence;빅토르 S. 아바쿠모프 ;1946;1964;1999;ST;Logistics Specialist;Very High;3216;X
30082;Head of Military Intelligence;세묜 D. 이그나체프 ;1951;1964;1999;ST;Political Specialist;Very High;M4079;X
30083;Head of Military Intelligence;이반 A. 세로프 ;1953;1964;1999;ST;Technical Specialist;Very High;9885;X
30084;Head of State;레오니트 I. 브레즈네프 ;1960;1964;1999;ST;Stern Imperialist;High;M4084;X
30085;Head of Government;게오르기 M. 말렌코프 ;1953;1964;1999;ST;Political Protege;High;M4085;X
30086;Head of Government;니콜라이 A. 불가닌 ;1955;1964;1999;ST;Old General;High;3212;X
30087;Foreign Minister;드미트리 T. 셰필로프 ;1956;1964;1999;ST;Apologetic Clerk;Medium;3028;X
30088;Foreign Minister;안드레이 A. 그로미코 ;1957;1964;1999;ST;The Cloak N Dagger Schemer;Medium;3029;X
30089;Minister of Armament;게오르기 K. 주코프 ;1955;1964;1999;ST;Military Entrepreneur;High;3197;X
30090;Minister of Armament;로디온 Y. 말리놉스키 ;1959;1964;1999;ST;Tank Proponent;High;1171;X
30091;Minister of Security;니콜라이 두도로프 ;1956;1964;1999;ST;Back Stabber;Very High;M4091;X
30092;Head of Military Intelligence;알렉산드르 N. 셸레핀 ;1958;1964;1999;ST;Political Specialist;Very High;M4092;X
30093;Head of Military Intelligence;블라디미르 Y. 세미차스니 ;1961;1964;1999;ST;Dismal Enigma;Very High;M4093;X
30094;Head of Government;게오르기 M. 말렌코프 ;1941;1964;1999;ST;Political Protege;High;M4085;X
30095;Head of State;야코프 스베르들로프 ;1914;1919;1999;LE;die-hard reformer;Medium;3219;X
30096;Head of State;미하일 칼리닌 ;1914;1932;1999;LE;weary stiffneck;Medium;5804;X
30097;Head of Government;블라디미르 레닌 ;1914;1924;1999;LE;flamboyant tough guy;Medium;5801;X
30098;Head of Government;알렉세이 리코프 ;1914;1932;1999;LE;corporate suit;Medium;5788;X
30099;Foreign Minister;레온 트로츠키 ;1914;1932;1999;LE;ideological crusader;Medium;3036;X
30100;Foreign Minister;게오르기 치체린 ;1914;1932;1999;LE;great compromiser;Medium;5791;X
30101;Minister of Armament;이반 스크보르초프 스테파노프 ;1914;1932;1999;ST;corrupt kleptocrat;Medium;5797;X
30102;Minister of Armament;펠릭스 제르진스키 ;1914;1932;1999;LE;resource industrialist;Medium;5790;X
30103;Minister of Armament;이시도르 구코프스키 ;1914;1921;1999;LE;theoretical scientist;Medium;5795;X
30104;Minister of Armament;니콜라이 크레스틴스키 ;1914;1932;1999;LE;Planned economy proponent;Medium;3032;X
30105;Minister of Armament;그리고리 소콜니코프 ;1920;1932;1999;LE;Reformer;Medium;5794;X
30106;Minister of Armament;파벨 디벤코 ;1914;1932;1999;LWR;battle fleet proponent;Medium;3033;X
30107;Minister of Armament;블라디미르 안토노프 오프세옌코 ;1914;1932;1999;LE;infantry proponent;Medium;3038;X
30108;Minister of Armament;레온 트로츠키 ;1914;1932;1999;LE;administrative genius;Medium;3036;X
30109;Minister of Security;알렉세이 리코프 ;1914;1932;1999;LE;silent lawyer;Medium;5788;X
30110;Minister of Security;그리고리 페트로프스키 ;1914;1932;1999;LE;back stabber;Medium;5793;X
30111;Minister of Security;펠릭스 제르진스키 ;1914;1932;1999;LE;prince of terror;Medium;5790;X
30112;Minister of Security;알렉산드르 벨로보로도프 ;1914;1932;1999;LE;efficient sociopath;Medium;5772;X
30113;Head of Military Intelligence;펠릭스 제르진스키 ;1914;1932;1999;LE;industrial specialist;Medium;5790;X
30114;Head of Military Intelligence;그리고리 오르조니키제 ;1914;1932;1999;ST;political specialist;Medium;5792;X
30115;Head of Military Intelligence;야코프 페테르스 ;1914;1932;1999;LE;dismal enigma;Medium;5919;X
30116;Head of Military Intelligence;브야체시에프 멘진스키 ;1914;1932;1999;LE;naval intelligence specialist;Medium;3966;X
30117;Head of Military Intelligence;마틴 라치스 ;1914;1932;1999;LE;technical specialist;Medium;5802;X
30118;Head of Military Intelligence;이오시프 운쉴리흐트 t;1914;1932;1999;LE;logistics specialist;Medium;5798;X
30119;Head of Military Intelligence;모이세이 우리트스키 ;1914;1918;1999;LWR;political specialist;Medium;7932;X
30120;Chief of Staff;미하일 본치 브루예비치 ;1914;1932;1999;LE;school of fire support;Medium;4168;X
30121;Chief of Staff;니콜라이 래틀 ;1914;1932;1999;LE;school of manoeuvre;Medium;1189;X
30122;Chief of Staff;표도르 코스트예프 ;1914;1932;1999;LE;school of defence;Medium;4684;X
30123;Chief of Staff;파벨 레베데프 ;1914;1932;1999;LE;school of psychology;Medium;3034;X
30124;Chief of Staff;미하일 프룬제 ;1914;1932;1999;LE;school of mass combat;Medium;5803;X
30125;Chief of Army;니콜라이 크릴렌코 ;1914;1932;1999;LE;elastic defence doctrine;Medium;3217;X
30126;Chief of Army;유쿰스 바치에티스 ;1914;1932;1999;LE;commando doctrine army;Medium;5799;X
30127;Chief of Army;세르게이 카메네프 ;1914;1932;1999;LE;guns and butter doctrine;Medium;3965;X
30128;Chief of Navy;파벨 디벤코 ;1914;1932;1999;LWR;base control doctrine;Medium;3033;X
30129;Chief of Navy;모데스트 이바노프 ;1914;1932;1999;LE;open seas doctrine;Medium;5805;X
30130;Chief of Navy;바실리 알트파테르 ;1914;1919;1999;LE;decisive naval battle doctrine;Medium;3037;X
30131;Chief of Navy;예브게니 베렌스 ;1914;1932;1999;LE;power projection doctrine;Medium;8655;X
30132;Chief of Navy;알렉산드르 네미츠 ;1914;1932;1999;LE;indirect approach doctrine;Medium;5786;X
30133;Chief of Navy;에두아르트 판체르산스키 ;1920;1932;1999;LE;base control doctrine;Medium;5789;X
30134;Chief of Navy;뱌체슬라프 조프 ;1920;1932;1999;LE;open seas doctrine;Medium;3218;X
30135;Chief of Air Force;콘스탄틴 아카시예프 ;1914;1932;1999;LE;carpet bombing doctrine;Medium;8670;X
30136;Chief of Air Force;미하일 솔로보프 ;1914;1932;1999;LE;naval aviation doctrine;Medium;8672;X
30137;Chief of Air Force;알렉산드르 보로트니코프 ;1914;1932;1999;LE;air superiority doctrine;Medium;8673;X
30138;Chief of Air Force;안드레이 세르게예프 ;1914;1932;1999;LE;army aviation doctrine;Medium;8674;X
30139;Chief of Air Force;안드레이 즈나멘스키 ;1920;1932;1999;LE;vertical envelopment doctrine;Medium;8675;X
30140;Chief of Air Force;알카디 로센골츠 ;1920;1932;1999;LE;carpet bombing doctrine;Medium;8671;X
30141;Chief of Air Force;표트르 바라노프 ;1920;1932;1999;LE;naval aviation doctrine;Medium;3035;X
30142;Head of Government;니콜라이 부하린 ;1914;1932;1999;LWR;Political Protege;Medium;8656;X
30143;Chief of Air Force;파벨 F. 지가레프 ;1938;1959;1999;ST;Army Aviation Doctrine;Medium;L10512;X
30144;Head of Government;이오시프 V. 스탈린 ;1933;1954;1999;ST;flamboyant tough guy;High;3177;X
30145;Head of State;레온 트로츠키 ;1924;1932;1999;ST;Ruthless Powermonger;Very High;9909;X
30146;Head of Government;레온 트로츠키 ;1924;1932;1999;ST;Backroom Backstabber;Very High;9909;X
30147;Minister of Security;마리아 스피리도노바 ;1916;1932;1970;LE;Health and safety;Medium;3543;X
30148;Foreign Minister;보리스 캄코프 ;1916;1932;1971;LE;Ideological Crusader;Medium;3758;X
30149;Minister of Armament;보리스 사빈코프 ;1916;1932;1965;LE;Military Entrepreneur;Medium;4041;X
30150;Chief of Army;미하일 아르테몌비치 무라비요프 ;1916;1932;1956;LE;commando doctrine army;Medium;4324;X
30151;Chief of Air Force;Konstantin Andreevich Vershinin;1946;1969;1975;LE;army aviation doctrine;High;L10503;X
30152;Chief of Air Force;Pavel Stepanovich Kutakhov;1969;1984;1985;LE;Air Superiority Doctrine;High;L10478;X
30153;Chief of Staff;Alexander Yegorov;1931;1938;1999;ST;School of Mass Combat;Low;6936;X
30154;Chief of Army;Alexander Yegorov;1931;1938;1999;ST;Decisive Battle Doctrine;Very High;6936;X
