ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
165081;Minister of Armament;호세 마리아 칸틸로 ;1944;1964;1999;PA;Submarine Proponent;High;M35072;X
165082;Minister of Armament;후안 오스테로 메디나 ;1946;1964;1999;PA;Resource Industrialist;Medium;M35097;X
165083;Minister of Armament;오르텐시오 키하노 ;1945;1964;1999;LWR;Strategic Air Proponent;Very Low;M35015;X
165084;Minister of Armament;프란시스코 로페스 ;1947;1964;1999;LWR;Air to Sea Proponent;Medium;M35109;X
165085;Minister of Armament;알베르토 바예 ;1947;1964;1999;LWR;Theoretical Scientist;Medium;M35110;X
165086;Minister of Security;마누엘 데 이리온도 ;1933;1964;1999;SC;Prince of Terror;Medium;M35034;X
165087;Minister of Security;레오폴도 멜로 ;1938;1964;1999;SC;Compassionate Gentleman;Medium;M35112;X
165088;Minister of Security;호르헤 에스코바르 ;1940;1964;1999;SC;Prince of Terror;Medium;M35113;X
165089;Minister of Security;알베르토 힐베르트 ;1943;1964;1999;SC;Crooked Kleptocrat;High;M35061;X
165090;Minister of Security;엔리케 마르티네스 ;1933;1964;1999;SL;Man of the People;High;M35091;X
165091;Minister of Security;오라시오 오야 ;1937;1964;1999;SL;Silent Lawyer;Medium;M35064;X
165092;Minister of Security;아구스틴 로드리게스 ;1938;1964;1999;SL;Compassionate Gentleman;High;M35087;X
165093;Minister of Security;호세 탐보르니 ;1941;1964;1999;SL;Crime Fighter;High;M35089;X
165094;Minister of Security;기예르모 로테 ;1940;1964;1999;SL;Crooked Kleptocrat;Medium;M35074;X
165095;Minister of Security;오르텐시오 키하노 ;1944;1964;1999;SL;Efficient Sociopath;High;M35015;X
165096;Minister of Security;알베르토 힐베르트 ;1946;1964;1999;SL;Crooked Kleptocrat;High;M35061;X
165097;Minister of Security;로베르토 스치아베사 ;1933;1964;1999;SD;Compassionate Gentleman;Medium;M35123;X
165098;Minister of Security;구스타보 멘도사 쿠르틴 ;1940;1964;1999;SD;Man of the People;Medium;M35038;X
165099;Minister of Security;토마스 레 브레톤 ;1938;1964;1999;PA;Man of the People;Medium;M35125;X
165100;Minister of Security;페드로 파블로 라미레스 ;1939;1964;1999;PA;Efficient Sociopath;Low;M35126;X
165101;Minister of Security;기예르모 로테 ;1944;1964;1999;PA;Crooked Kleptocrat;Medium;M35074;X
165102;Minister of Security;에두아르도 미야 ;1947;1964;1999;PA;Efficient Sociopath;Medium;M35070;X
165103;Minister of Security;로베르토 M. 오르티스 ;1933;1964;1999;FA;Back Stabber;Medium;M35039;X
165104;Minister of Security;오르텐시오 키하노 ;1938;1964;1999;FA;Efficient Sociopath;Very Low;M35015;X
165105;Minister of Security;아우구스토 디아스 ;1940;1964;1999;FA;Silent Lawyer;High;M35101;X
165106;Minister of Security;안토니오 루이스 디아스 ;1945;1964;1999;LWR;Crooked Kleptocrat;Very Low;M35025;X
165107;Minister of Security;에바 '에비타' 페론 ;1947;1964;1999;LWR;Man of the People;Very High;M35134;X
165108;Head of Military Intelligence;디오헤네스 타보아다 ;1933;1964;1999;SC;Industrial Specialist;Medium;M35135;X
165109;Head of Military Intelligence;마누엘 데 이리온도 ;1940;1964;1999;SC;Political Specialist;Medium;M35034;X
165110;Head of Military Intelligence;라몬 카스티요 ;1942;1964;1999;SC;Dismal Enigma;Medium;M35005;X
165111;Head of Military Intelligence;아구스틴 로드리게스 ;1933;1964;1999;SL;Political Specialist;High;M35087;X
165112;Head of Military Intelligence;호르헤 데 라 토레 ;1938;1964;1999;SL;Dismal Enigma;Medium;M35006;X
165113;Head of Military Intelligence;엘피디오 곤살레스 ;1940;1964;1999;SL;Technical Specialist;High;M35088;X
165114;Head of Military Intelligence;알베르토 힐베르트 ;1944;1964;1999;SL;Logistics Specialist;High;M35061;X
165115;Head of Military Intelligence;바르톨로메오 데 콜리나 ;1946;1964;1999;SL;Industrial Specialist;Medium;M35095;X
165116;Head of Military Intelligence;발다사레 발디 히메네스 ;1933;1964;1999;SD;Logistics Specialist;High;M35037;X
165117;Head of Military Intelligence;오스카르 베나비데스 ;1938;1964;1999;SD;Dismal Enigma;Medium;M35145;X
165118;Head of Military Intelligence;움베르토 하신토 바스케스 ;1940;1964;1999;SD;Industrial Specialist;Medium;M35138;X
165119;Head of Military Intelligence;우리발디 디아스 ;1940;1964;1999;SD;Technical Specialist;Medium;M35147;X
165120;Head of Military Intelligence;펠리페 우르다피예타 ;1938;1964;1999;PA;Logistics Specialist;Medium;M35148;X
165121;Head of Military Intelligence;로베르토 M. 오르티스 ;1939;1964;1999;PA;Industrial Specialist;Medium;M35039;X
165122;Head of Military Intelligence;아돌포 부스타만테 ;1940;1964;1999;PA;Naval Intelligence Specialist;High;M35150;X
165123;Head of Military Intelligence;움베르토 하신토 바스케스 ;1943;1964;1999;PA;Industrial Specialist;Medium;M35138;X
165124;Head of Military Intelligence;페드로 그로소 소토 ;1933;1964;1999;FA;Dismal Enigma;Medium;M35016;X
165125;Head of Military Intelligence;페드로 S. 카살 ;1945;1964;1999;LWR;Naval Intelligence Specialist;Medium;M35009;X
165126;Head of Military Intelligence;호르헤 디 파스쿠알레 ;1947;1964;1999;LWR;Dismal Enigma;High;M35154;X
165127;Head of Military Intelligence;구스타보 멘도사 쿠르틴 ;1947;1964;1999;LWR;Industrial Specialist;Medium;M35038;X
165128;Chief of Staff;호세 마리아 사로베 ;1933;1964;1999;SC;School of Fire Support;Medium;M35156;X
165129;Chief of Staff;펠리페 우르다피예타 ;1940;1964;1999;SC;School of Psychology;Medium;M35148;X
165130;Chief of Staff;페드로 파블로 라미레스 ;1943;1964;1999;SC;School of Manoeuvre;Low;M35055;X
165131;Chief of Staff;프란시스코 M. 벨레스 ;1933;1964;1999;SL;School of Fire Support;Low;M35160;X
165132;Chief of Staff;토마스 마르티네스 ;1938;1964;1999;SL;School of Manoeuvre;Very High;M35161;X
165133;Chief of Staff;후안 블랑코 카레라 ;1946;1964;1999;SL;School of Defence;High;M35164;X
165134;Chief of Staff;후안 도밍고 페론 ;1933;1964;1999;SD;School of Psychology;High;M35162;X
165135;Chief of Staff;호르헤 마니 ;1940;1964;1999;SD;School of Mass Combat;High;M35159;X
165136;Chief of Staff;카를로스 O. 마르케스 ;1938;1964;1999;PA;School of Mass Combat;Low;M35017;X
165137;Chief of Staff;에델미로 파레요 ;1943;1964;1999;SC;School of Psychology;High;M35041;X
165138;Chief of Staff;카를로스 본 베크 ;1946;1964;1999;PA;School of Defence;Low;M35169;X
165139;Chief of Staff;파블로 산 마르틴 ;1945;1964;1999;LWR;School of Defence;Medium;M35027;X
165140;Chief of Staff;파울 라인포르드 ;1947;1964;1999;LWR;School of Psychology;Medium;M35172;X
165141;Chief of Army;아구스틴 P. 후스토 ;1933;1944;1944;SC;Elastic Defence Doctrine;High;M35001;X
165142;Chief of Army;라우레아노 아나야 ;1938;1964;1999;SC;Armoured Spearhead Doctrine;Very High;M35174;X
165143;Chief of Army;토마스 마르티네스 ;1938;1964;1999;SL;Guns and Butter Doctrine;Very High;M35161;X
165144;Chief of Army;후안 도밍고 페론 ;1940;1964;1999;SL;Decisive Battle Doctrine;Medium;M35028;X
165145;Chief of Army;후안 블랑코 카레라 ;1944;1964;1999;SL;Static Defence Doctrine;High;M35164;X
165146;Chief of Army;에르베르토 라 갈리네 ;1933;1964;1999;SD;Static Defence Doctrine;High;M35029;X
165147;Chief of Army;프란시스코 M. 벨레스 ;1940;1964;1999;SD;Elastic Defence Doctrine;Low;M35160;X
165148;Chief of Army;마누엘 사비오 ;1938;1964;1999;PA;Static Defence Doctrine;High;M35176;X
165149;Chief of Army;카를로스 O. 마르케스 ;1939;1964;1999;PA;Decisive Battle Doctrine;Very High;M35017;X
165150;Chief of Army;페드로 파블로 라미레스 ;1942;1964;1999;PA;Guns and Butter Doctrine;Low;M35055;X
165151;Chief of Army;엔리케 모스코니 ;1944;1964;1999;PA;Armoured Spearhead Doctrine;Low;M35187;X
165152;Chief of Army;후안 도밍고 페론 ;1945;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;M35028;X
165153;Chief of Navy;엘레아사르 비델라 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;High;M35190;X
165154;Chief of Navy;루이스 실바 카라스코 ;1944;1964;1999;SC;Power Projection Doctrine;Low;M35192;X
165155;Chief of Navy;엘피디오 곤살레스 ;1933;1964;1999;SL;Base Control Doctrine;High;M35088;X
165156;Chief of Navy;에르베르토 라 갈리네 ;1940;1964;1999;SL;Indirect Approach Doctrine;High;M35029;X
165157;Chief of Navy;후안 P. 페데몬테 ;1944;1964;1999;SL;Power Projection Doctrine;High;M35196;X
165158;Chief of Navy;카를로스 푸타야 비그놀로 ;1946;1964;1999;SL;Open Seas Doctrine;High;M35197;X
165159;Chief of Navy;루오고 카발리에리 ;1933;1964;1999;SD;Base Control Doctrine;High;M35198;X
165160;Chief of Navy;레온 산체스 스카소 ;1938;1964;1999;PA;Open Seas Doctrine;Very High;M35200;X
165161;Chief of Navy;페드로 파블로 라미레스 ;1939;1964;1999;PA;Base Control Doctrine;Low;M35126;X
165162;Chief of Navy;페드로 그로소 소토 ;1944;1964;1999;PA;Indirect Approach Doctrine;Low;M35016;X
165163;Chief of Air Force;레오폴도 멜로 ;1938;1964;1999;SC;Naval Aviation Doctrine;Medium;M35112;X
165164;Chief of Air Force;오스카르 무라토리오 ;1940;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M35208;X
165165;Chief of Air Force;호세 탐보르니 ;1933;1964;1999;SL;Army Aviation Doctrine;High;M35089;X
165166;Chief of Air Force;호르헤 마니 ;1938;1964;1999;SL;Air Superiority Doctrine;High;M35159;X
165167;Chief of Air Force;엑토르 델 리바 ;1940;1964;1999;SL;Naval Aviation Doctrine;Medium;M35030;X
165168;Chief of Air Force;바르톨로메오 데 콜리나 ;1946;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M35095;X
165169;Chief of Air Force;오스카르 베나비데스 ;1933;1964;1999;SD;Naval Aviation Doctrine;Medium;M35145;X
165170;Chief of Air Force;우리발디 디아스 ;1940;1964;1999;SD;Army Aviation Doctrine;Medium;M35147;X
165171;Chief of Air Force;알베르토 베르다케 ;1938;1964;1999;PA;Carpet Bombing Doctrine;Medium;M35213;X
165172;Chief of Air Force;카를로스 O. 마르케스 ;1939;1964;1999;PA;Vertical Envelopment Doctrine;Very High;M35017;X
165173;Chief of Air Force;카를로스 마우리노 ;1944;1964;1999;PA;Army Aviation Doctrine;Medium;M35020;X
165174;Chief of Air Force;가브리엘 A. 에르만손 ;1946;1964;1999;PA;Air Superiority Doctrine;Medium;M35220;X
165175;Head of State;아돌포 부스타만테 ;1943;1964;1999;SC;Barking Buffoon;High;M35150;X
165176;Head of Government;아돌포 부스타만테 ;1943;1964;1999;SC;Old Admiral;High;M35150;X
165177;Foreign Minister;세군도 R. 스토르니 ;1943;1964;1999;SC;Iron Fisted Brute;High;M35225;X
165178;Minister of Armament;베니토 수에이로 ;1943;1964;1999;SC;laissez-faire capitalist;High;M35226;X
165179;Minister of Security;디에고 이시드로 마손 ;1943;1964;1999;SC;Silent Lawyer;Medium;M35227;X
165180;Head of Military Intelligence;비센테 우이드라브라 ;1943;1964;1999;SC;Technical Specialist;Medium;M35228;X
165181;Chief of Army;아돌포 부스타만테 ;1941;1964;1999;SC;Decisive Battle Doctrine;Very High;M35150;X
165182;Chief of Navy;세군도 R. 스토르니 ;1943;1964;1999;SC;Open Seas Doctrine;High;M35225;X
165183;Head of State;페드로 파블로 라미레스 ;1943;1964;1999;PA;Stern Imperialist;High;M35055;X
165184;Foreign Minister;이폴리토 헤수스 파스 ;1949;1964;1999;LWR;Apologetic Clerk;High;M35232;X
165185;Foreign Minister;헤로니모 레모리노 ;1951;1964;1999;LWR;The Cloak N Dagger Schemer;High;M35233;X
165186;Head of Military Intelligence;헤로니모 레모리노 ;1949;1964;1999;LWR;Political Specialist;High;M35233;X
165187;Head of Government;알베르토 포데스타 ;1949;1964;1999;SC;Corporate Suit;High;M35235;X
165188;Foreign Minister;알베르토 포데스타 ;1949;1964;1999;SC;Biased Intellectual;High;M35235;X
165189;Chief of Army;호세 몰리나 고메스 ;1950;1964;1999;LWR;Decisive Battle Doctrine;Medium;L120020;X
165190;Chief of Air Force;아레날레스 우리부루 ;1914;1933;1999;ML;Army Aviation Doctrine;Very High;2158;X
165191;Chief of Air Force;벤하민 마티엔소 ;1918;1933;1999;ML;Carpet Bombing Doctrine;High;5931;X
165192;Chief of Air Force;알레한드로 오블리가도 ;1915;1933;1999;ML;Army Aviation Doctrine;Very High;2159;X
165193;Chief of Army;프란시스코 벨레스 ;1914;1933;1999;ML;Decisive Battle Doctrine;Very High;2160;X
165194;Chief of Army;앙헬 P. 아야리아 ;1914;1933;1999;ML;elastic defence doctrine;High;5932;X
165195;Chief of Navy;세르반도 카르도소 ;1914;1933;1999;ML;Decisive Naval Battle Doctrine;High;unknownminister;X
165196;Chief of Navy;가브리엘 알바라시온 ;1915;1933;1999;ML;Open Seas Doctrine;High;unknownminister;X
165197;Chief of Navy;리카르도 우가리사 ;1916;1933;1999;ML;Base Control Doctrine;High;5933;X
165198;Chief of Navy;훌리오 토랄레스 ;1917;1933;1999;ML;Indirect Approach Doctrine;High;5934;X
165199;Chief of Navy;훌리오 카스타녜다 ;1917;1933;1999;ML;Decisive Naval Battle Doctrine;High;unknownminister;X
165200;Chief of Navy;페드로 굴리 ;1919;1933;1999;ML;Decisive Naval Battle Doctrine;High;unknownminister;X
165201;Chief of Navy;훌리오 멘데빌 ;1921;1933;1999;ML;Open Seas Doctrine;High;unknownminister;X
165202;Chief of Navy;엔리케 G. 플리에스 ;1923;1933;1999;ML;Base Control Doctrine;High;unknownminister;X
165203;Chief of Navy;카를로스 G. 다레오 ;1924;1933;1999;ML;Decisive Naval Battle Doctrine;High;unknownminister;X
165204;Chief of Staff;프란시스코 벨레스 ;1914;1933;1999;ML;School of Psychology;Very High;2160;X
165205;Chief of Staff;앙헬 P. 아야리아 ;1914;1933;1999;ML;school of defence;High;5932;X
165206;Foreign Minister;에르네스토 보슈 ;1914;1933;1999;ML;Great Compromiser;High;5935;X
165207;Foreign Minister;호세 루이스 무라토레 ;1914;1933;1999;ML;Great Compromiser;High;2161;X
165208;Foreign Minister;이폴리토 이리고엔 ;1916;1933;1999;LWR;Ideological Crusader;High;2162;X
165209;Foreign Minister;카를로스 A. 베쿠 ;1916;1933;1999;LWR;Biased Intellectual;High;5936;X
165210;Foreign Minister;오노리오 푸에레돈 ;1917;1933;1999;ML;Great Compromiser;High;2163;X
165211;Foreign Minister;앙헬 가야르도 ;1922;1933;1999;SL;Great Compromiser;High;2164;X
165212;Head of Government;로케 사엔스 페냐 ;1914;1915;1999;ML;Silent Workhorse;High;2165;X
165213;Head of Government;빅토리노 데 라 플라사 ;1914;1933;1999;ML;Happy Amateur;High;2166;X
165214;Head of Government;이폴리토 이리고엔 ;1914;1933;1999;LWR;Flamboyant Tough Guy;High;2162;X
165215;Head of Government;마르셀로 데 알베아르 ;1922;1933;1999;SL;Silent Workhorse;High;2167;X
165216;Head of State;로케 사엔스 페냐 ;1910;1915;1999;ML;Autocratic Charmer;High;2165;X
165217;Head of State;빅토리노 데 라 플라사 ;1914;1933;1999;ML;Insignificant Layman;High;2166;X
165218;Head of State;이폴리토 이리고엔 ;1914;1933;1999;LWR;Die-hard Reformer;High;2162;X
165219;Head of State;마르셀로 데 알베아르 ;1922;1933;1999;SL;Benevolent Gentleman;High;2167;X
165220;Head of State;마누엘 킨타나 ;1914;1933;1999;PA;Benevolent Gentleman;High;2168;X
165221;Head of State;호세 피게로아 알코르타 ;1914;1933;1999;PA;Autocratic Charmer;High;2169;X
165222;Minister of Armament;엔리케 카르보 ;1914;1933;1999;ML;Laissez-Faire Capitalist;High;2170;X
165223;Minister of Armament;프란시스코 J. 올리베르 ;1914;1933;1999;ML;Administrative Genius;High;unknownminister;X
165224;Minister of Armament;라몬 고메스 ;1916;1933;1999;LWR;Resource Industrialist;High;5939;X
165225;Minister of Armament;프란시스코 베이로 ;1916;1933;1999;LWR;Resource Industrialist;High;5937;X
165226;Minister of Armament;호세 니콜라스 마티엔소 ;1922;1933;1999;SL;laissez-faire capitalist;High;5938;X
165227;Minister of Armament;비센테 C. 가요 ;1922;1933;1999;SL;Resource Industrialist;High;2171;X
165228;Minister of Armament;호세 P. 탐보리니 ;1922;1933;1999;SL;Administrative Genius;High;2172;X
165229;Minister of Security;인델레시오 고메스 ;1914;1933;1999;ML;Silent Lawyer;High;5940;X
165230;Minister of Security;미겔 S. 오르티스 ;1914;1933;1999;ML;Man of the People;High;2173;X
165231;Minister of Security;라몬 고메스 ;1916;1933;1999;LWR;Silent Lawyer;High;5939;X
165232;Minister of Security;프란시스코 베이로 ;1916;1933;1999;LWR;Crime Fighter;High;5937;X
165233;Minister of Security;호세 니콜라스 마티엔소 ;1922;1933;1999;SL;Man of the People;High;5938;X
165234;Minister of Security;비센테 C. 가요 ;1922;1933;1999;SL;Compassionate Gentleman;High;2171;X
165235;Minister of Security;호세 P. 탐보리니 ;1922;1933;1999;SL;Crime Fighter;High;2172;X
165236;Minister of Security;로돌프 알미론 세나 ;1959;1964;1999;FA;Crooked Kleptocrat;Very Low;5990;x
165237;Head of Government;니미오 데 안킨 ;1940;1964;1999;FA;Naive Optimist;High;5991;x
165238;Foreign Minister;니미오 데 안킨 ;1934;1964;1999;FA;Biased Intellectual;High;5991;x
165239;Minister of Security;훌리오 메인비예 ;1934;1964;1999;NS;Prince of Terror;High;5992;x
165240;Minister of Armament;알프레도 데 호스 ;1956;1964;1999;PA;Laissez-Faire Capitalist;medium;5993;x 
