AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
155050;Chief of Staff;샤 마무드 가지 ;1933;1964;1999;FA;School of Psychology;Medium;M54006;X
155051;Chief of Staff;와지르 악바르 칸 ;1939;1964;1999;SC;School of Defence;Medium;M54018;X
155052;Chief of Staff;나시룰라 후세인 ;1943;1964;1999;SC;School of Fire Support;Medium;M54019;X
155053;Chief of Staff;골람 왈리 ;1944;1964;1999;SC;School of Manoeuvre;Medium;M54063;X
155054;Chief of Army;레나토 바르톨루치 ;1937;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M54065;X
155055;Chief of Army;아사둘라 세라즈 칸 ;1939;1964;1999;SC;Elastic Defence Doctrine;Medium;M54031;X
155056;Chief of Army;와지르 악바르 칸 ;1942;1964;1999;SC;Static Defence Doctrine;Medium;M54018;X
155057;Chief of Army;골람 왈리 ;1943;1964;1999;SC;Guns and Butter Doctrine;Medium;M54063;X
155058;Chief of Army;나시룰라 후세인 ;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M54019;X
155059;Chief of Navy;무함마드 하심 ;1939;1964;1999;SC;Base Control Doctrine;Medium;M54002;X
155060;Chief of Navy;모하메드 에테마디 칸 ;1943;1964;1999;SC;Indirect Approach Doctrine;Medium;M54016;X
155061;Chief of Navy;알리 무함마드 칸 ;1944;1964;1999;SC;Power Projection Doctrine;Medium;M54020;X
155062;Chief of Navy;나시룰라 후세인 ;1945;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M54019;X
155063;Chief of Navy;샤 왈리 칸 ;1946;1964;1999;PA;Open Seas Doctrine;Medium;M54042;X
155064;Chief of Air Force;골람 왈리 ;1937;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M54063;X
155065;Chief of Air Force;샤 왈리 칸 ;1938;1964;1999;FA;Carpet Bombing Doctrine;Medium;M54042;X
155066;Chief of Air Force;페루치오 세라피니 ;1939;1964;1999;FA;Air Superiority Doctrine;Medium;M54038;X
155067;Chief of Air Force;무함마드 자히르 ;1939;1964;1999;SC;Army Aviation Doctrine;Medium;M54009;X
155068;Chief of Air Force;알리 무함마드 칸 ;1945;1964;1999;PA;Naval Aviation Doctrine;Medium;M54020;X
155069;Head of State;아마눌라 ;1919;1964;1999;PA;Resigned Generalissimo;High;M54011;X
155070;Head of Government;무함마드 코바르 ;1933;1964;1999;PA;Backroom Backstabber;High;M54012;X
155071;Minister of Armament;압둘 하디 다와이 ;1933;1964;1999;PA;Laissez-Faire Capitalist;Medium;M54014;X
155072;Foreign Minister;모하메드 마이완드왈 ;1951;1964;1999;PA;Ideological Crusader;Medium;M54080;X
155073;Chief of Army;무함마드 슐레이만 칸 ;1914;1933;1999;PA;Decisive Battle Doctrine;Very High;unknownminister;X
155074;Chief of Army;무함마드 나디르 ;1919;1934;1999;PA;Decisive Battle Doctrine;Very High;2139;X
155075;Chief of Staff;무함마드 슐레이만 칸 ;1914;1933;1999;PA;School of Mass Combat;Very High;unknownminister;X
155076;Chief of Staff;무함마드 나디르 ;1919;1934;1999;PA;School of Mass Combat;Very High;2139;X
155077;Foreign Minister;하비불라흐 ;1914;1933;1999;PA;Iron Fisted Brute;Very High;2140;X
155078;Foreign Minister;사르다르 마무드 타지 ;1919;1933;1999;PA;Great Compromiser;High;2141;X
155079;Head of Government;무함마드 아세프 칸 ;1914;1933;1999;PA;Silent Workhorse;High;unknownminister;X
155080;Head of Government;사라다르 무함마드 유수프 ;1914;1933;1999;PA;Naive Optimist;High;unknownminister;X
155081;Head of Government;아마눌라 ;1919;1933;1999;PA;Flamboyant Tough Guy;High;M54011;X
155082;Head of State;하비불라흐 ;1914;1933;1999;PA;Stern Imperialist;High;2140;X
155083;Head of State;나스룰러 ;1919;1933;1999;PA;Autocratic Charmer;High;3721;X
155084;Minister of Armament;하비불라흐 ;1914;1933;1999;PA;Military Entrepreneur;Medium;2140;X
155085;Minister of Armament;굴람 무함마드 와르다크 ;1919;1933;1999;PA;Administrative Genius;High;5921;X
155086;Minister of Security;하비불라흐 ;1914;1933;1999;PA;Man of the People;Medium;2140;X
155087;Minister of Security;사르다르 알리 아마드 로나브 ;1919;1933;1999;PA;Silent Lawyer;High;5922;X
155088;Minister of Security;아마눌라 ;1919;1933;1999;PA;Crime Fighter;High;M54011;X
155089;Head of State;무함마드 나디르 ;1929;1934;1999;PA;Resigned Generalissimo;Very High;2139;X
