SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
415075;Foreign Minister;시마 로사니치 ;1914;1933;1999;SC;IDEOLOGICAL CRUSADER;Medium;3150;X
415076;Foreign Minister;요반 주요비치 ;1914;1933;1999;SC;IRON FISTED BRUTE;Medium;3151;X
415077;Foreign Minister;밀로반 밀로바노비치 ;1914;1933;1999;SC;GENERAL STAFFER;Medium;3152;X
415078;Foreign Minister;마르코 트리프코비치 ;1914;1933;1999;SC;GREAT COMPROMISER;Medium;unknownminister;X
415079;Foreign Minister;밀렌코 베스니치 ;1920;1933;1999;SC;THE CLOAK N DAGGER SCHEMER;Medium;3153;X
415080;Head of Government;니콜라 파시치 ;1914;1933;1999;SC;Backroom Backstabber;High;3147;X
415081;Head of Government;스토얀 프로티치 ;1918;1933;1999;SC;Flamboyant Tough Guy;Very High;3144;X
415082;Head of Government;블라디미르 코피치 ;1918;1933;1999;ST;Ambitious Union Boss;Medium;3154;X
415083;Head of Government;류보미르 스토야노비치 ;1914;1933;1999;SC;Backroom Backstabber;Medium;3960;X
415084;Head of Government;스토얀 노바코비치 ;1914;1933;1999;SC;Corporate Suit;Medium;3155;X
415085;Head of Government;밀로반 밀로바노비치 ;1914;1933;1999;SC;Naive Optimist;Medium;3152;X
415086;Head of Government;마르코 트리프코비치 ;1914;1933;1999;SC;Political Protege;Medium;unknownminister;X
415087;Head of Government;밀렌코 베스니치 ;1920;1933;1999;SC;Political Protege;Medium;3153;X
415088;Head of Government;류보미르 다비도비치 ;1919;1933;1999;ML;Silent Workhorse;Very High;3156;X
415089;Head of Military Intelligence;드라구틴 디미트리예비치 ;1914;1933;1999;PA;Political Specialist;High;3157;X
415090;Head of Military Intelligence;요시프 브로즈 티토 ;1918;1933;1999;ST;DISMAL ENIGMA;Medium;3138;X
415091;Head of State;필립 필리포비치 ;1914;1933;1999;ST;Die-Hard Reformer;Very High;3961;X
415092;Head of State;알렉산더르 1세 ;1921;1933;1999;PA;Die-Hard Reformer;Very High;3136;X
415093;Head of State;페테르 1세 ;1914;1933;1999;PA;Weary Stiffneck;High;3158;X
415094;Head of State;페테르 1세 ;1914;1933;1999;SC;Weary Stiffneck;High;3158;X
415095;Minister of Armament;몸클리우 닌시치 ;1915;1933;1999;PA;Administrative Genius;Medium;3145;X
415096;Minister of Armament;벨리자르 얀코비치 ;1920;1933;1999;PA;Administrative Genius;Medium;unknownminister;X
415097;Minister of Armament;코스타 쿠마누디 ;1921;1933;1999;PA;Administrative Genius;Medium;unknownminister;X
415098;Minister of Armament;메흐메드 스파호 ;1924;1933;1999;PA;Administrative Genius;Medium;3159;X
415099;Minister of Armament;보지슬라프 벨코비치 ;1914;1933;1999;SC;Laissez-Faire Capitalist;Medium;unknownminister;X
415100;Minister of Armament;밀란 스토야디노비치 ;1922;1933;1999;PA;Laissez-Faire Capitalist;Medium;3160;X
415101;Minister of Armament;스토얀 프로티치 ;1914;1933;1999;SC;Military Entrepreneur;Medium;3144;X
415102;Minister of Armament;요반 요바노비치 피존 ;1914;1933;1999;SC;INFANTRY PROPONENT;Medium;3142;X
415103;Minister of Armament;라자르 파쿠 ;1914;1933;1999;SC;Resource Industrialist;Medium;3161;X
415104;Minister of Armament;코스타 스토야노비치 ;1920;1933;1999;SC;Resource Industrialist;Medium;unknownminister;X
415105;Minister of Armament;밀로라드 드라스코비치 ;1921;1933;1999;PA;Resource Industrialist;Medium;unknownminister;X
415106;Minister of Armament;요시프 브로즈 티토 ;1918;1933;1999;ST;ADMINISTRATIVE GENIUS;Medium;3138;X
415107;Minister of Armament;밀리치 라도바노비치 ;1914;1933;1999;SC;laissez-faire capitalist;Medium;3162;X
415108;Minister of Armament;미하일로 일리치 ;1914;1933;1999;SC;THEORETICAL SCIENTIST;Medium;3962;X
415109;Minister of Security;류보미르 요바노비치 ;1914;1933;1999;SC;Compassionate Gentleman;Medium;3163;X
415110;Minister of Security;류보미르 다비도비치 ;1920;1933;1999;ML;Compassionate Gentleman;Medium;3156;X
415111;Minister of Security;밀로라드 드라스코비치 ;1920;1933;1999;PA;Compassionate Gentleman;Medium;unknownminister;X
415112;Minister of Security;코스타 쿠마누디 ;1922;1933;1999;PA;Compassionate Gentleman;Medium;unknownminister;X
415113;Minister of Security;밀란 스르스키치 ;1924;1933;1999;PA;Compassionate Gentleman;Medium;3963;X
415114;Minister of Security;스토얀 프로티치 ;1914;1933;1999;SC;Crime Fighter;Medium;3144;X
415115;Minister of Security;스베토자르 프리비세비치 ;1918;1933;1999;SC;Crime Fighter;Medium;3164;X
415116;Minister of Security;코스타 티모티예비치 ;1922;1933;1999;PA;Crime Fighter;Medium;unknownminister;X
415117;Minister of Security;밀로라드 부지시치 ;1922;1933;1999;PA;Crime Fighter;Medium;unknownminister;X
415118;Minister of Security;마르코 트리프코비치 ;1914;1933;1999;SC;Man of the People;Medium;unknownminister;X
415119;Minister of Security;보지슬라프 마린코비치 ;1921;1933;1999;PA;Man of the People;Medium;3146;X
415120;Minister of Security;보지다르 막시모비치 ;1924;1933;1999;PA;Man of the People;Medium;unknownminister;X
415121;Minister of Security;모세 피야드 ;1918;1933;1999;ST;BACK STABBER;Medium;3165;X
415122;Minister of Security;도르데 겐시치 ;1914;1933;1999;PA;COMPASSIONATE GENTLEMAN;Medium;3964;X
415123;Minister of Security;류보미르 스토야노비치 ;1914;1933;1999;SC;CRIME FIGHTER;Medium;3960;X
415124;Minister of Security;스베토자르 미로슬라프예비치 ;1914;1933;1999;SC;MAN OF THE PEOPLE;Medium;unknownminister;X
415125;Head of State;헬무트흐 포르스테르 ;1941;1964;1999;NS;Insignificant Layman;High;L914;X
415126;Head of State;루드비그 본 스츠흐로데르 ;1941;1964;1999;NS;Insignificant Layman;High;L887;X
415127;Head of State;헤인리츠흐 단츠켈만 ;1941;1964;1999;NS;Insignificant Layman;High;9655;X
415128;Head of State;프란즈 보흐메 ;1941;1964;1999;NS;Insignificant Layman;High;L36;X
415129;Head of State;파울 바데르 ;1941;1964;1999;NS;Insignificant Layman;High;L8;X
415130;Head of State;한스 펠베르 ;1943;1964;1999;NS;Insignificant Layman;High;L56;X
415131;Head of Government;밀란 아치모비츠 ;1941;1964;1999;FA;Corporate Suit;High;9656;X
415132;Head of Government;밀란 네디치 ;1941;1964;1999;FA;Corporate Suit;High;8435;X
