SIA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
290102;Head of State;¶ó¸¶ 7¼¼ ;1925;1935;1935;PA;Die-hard Reformer;High;5771;X
290103;Foreign Minister;Charoonsakdi Kritakara;1914;1933;1999;PA;Biased Intellectual;Medium;9868;X
290104;Minister of Armament;Bodindhorn Dejanuchit;1914;1933;1999;PA;Military Entrepreneur;Medium;9869;X
290105;Minister of Armament;Paribatra Sukhumbhand;1914;1933;1999;PA;Battle Fleet Proponent;Medium;9870;X
290106;Minister of Armament;Kitiyakara Voralaksana;1914;1933;1999;PA;laissez-faire capitalist;Medium;9871;X
290107;Minister of Armament;Narisara Nuvadtivongs;1914;1933;1999;PA;Reformer;Medium;9872;X
290108;Minister of Security;Charoonsakdi Kritakara;1914;1933;1999;PA;Silent Lawyer;Medium;9868;X
290109;Minister of Security;Paribatra Sukhumbhand;1914;1933;1999;PA;Prince of Terror;Medium;9870;X
290110;Minister of Security;Narisara Nuvadtivongs;1914;1933;1999;PA;Man of the People;Medium;9872;X
290111;Head of Military Intelligence;Amoradhat Krimakara;1914;1933;1999;PA;Political Specialist;Medium;9873;X
290112;Head of Military Intelligence;Mahidol Adulyadej;1914;1933;1999;PA;Technical Specialist;Medium;9874;X
290113;Chief of Staff;Paribatra Sukhumbhand;1914;1933;1999;PA;School of Mass Combat;Medium;9870;X
290114;Chief of Army;Chakrabongse Bhuvanath;1914;1921;1921;PA;Static Defence Doctrine;Medium;3168;X
290115;Chief of Army;Paribatra Sukhumbhand;1914;1933;1999;PA;Decisive Battle Doctrine;Medium;9870;X
290116;Chief of Navy;Paribatra Sukhumbhand;1903;1933;1999;PA;Decisive Naval Battle Doctrine;Medium;9870;X
290117;Chief of Navy;Abhakara Kiartivongse;1914;1933;1999;PA;Base Control Doctrine;Medium;9876;X
290118;Chief of Air Force;»Ñ¶óÂ÷Æ®¶ó Â¥¾ß±î¶ó ;1914;1933;1999;PA;Air Superiority Doctrine;Medium;3171;X
