ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
285052;Minister of Armament;피치리 디네 ;1943;1964;1999;PA;Corrupt Kleptocrat;Medium;M32043;X
285053;Minister of Armament;하지 레시 ;1933;1964;1999;SC;laissez-faire capitalist;Medium;M32014;X
285054;Minister of Armament;셰프체트 슈쿠피 ;1940;1964;1999;SL;Battle Fleet Proponent;Medium;M32071;X
285055;Minister of Armament;레제프 미트로비차 ;1941;1964;1999;SC;Air to Sea Proponent;Medium;M32046;X
285056;Minister of Armament;코스타치 코타 ;1942;1964;1999;SC;Strategic Air Proponent;Medium;M32052;X
285057;Minister of Armament;자페르 위피 ;1943;1964;1999;SC;Tank Proponent;Medium;M32056;X
285058;Minister of Armament;하이러 디즈다리 ;1944;1964;1999;SC;Military Entrepreneur;Medium;M32090;X
285059;Minister of Armament;젤랄 미트로비차 ;1945;1964;1999;SC;Infantry Proponent;Medium;M32091;X
285060;Minister of Armament;말리치 부샤티 ;1939;1964;1999;FA;Corrupt Kleptocrat;High;M32024;X
285061;Minister of Armament;셰프체트 버를라치 ;1941;1964;1999;FA;laissez-faire capitalist;High;M32047;X
285062;Minister of Armament;오메르 비카추 ;1942;1964;1999;FA;Resource Industrialist;Medium;M32084;X
285063;Minister of Armament;에치렘 리보호바 ;1943;1964;1999;FA;Tank Proponent;High;M32048;X
285064;Minister of Armament;에스사드 파츠하 ;1964;1964;1999;ST;Corrupt Kleptocrat;Medium;M32036;X
285065;Minister of Armament;엔베르 호자 ;1936;1964;1999;ST;Infantry Proponent;Very High;M32097;X
285066;Minister of Armament;나노 자나 ;1943;1964;1999;ST;Air to Sea Proponent;Low;M32098;X
285067;Minister of Armament;세이풀라 말러쇼바 ;1944;1964;1999;LE;Submarine Proponent;Low;M32050;X
285068;Minister of Security;미트하트 프라셔리 ;1940;1964;1999;PA;Compassionate Gentleman;Very High;M32002;X
285069;Minister of Security;오메르 니샤니 ;1941;1964;1999;PA;Back Stabber;Very High;M32032;X
285070;Minister of Security;이브라힘 비차쿠 ;1943;1964;1999;PA;Prince of Terror;Medium;M32042;X
285071;Minister of Security;나짐 데돌리 ;1944;1964;1999;PA;Efficient Sociopath;Medium;M32066;X
285072;Minister of Security;코스타치 코타 ;1945;1964;1999;PA;Crime Fighter;High;M32052;X
285073;Minister of Security;네지프 데바 ;1946;1964;1999;PA;Silent Lawyer;Medium;M32107;X
285074;Minister of Security;유프 카자지 ;1933;1964;1999;SC;Crooked Kleptocrat;Low;M32015;X
285075;Minister of Security;할릴 네르구트티 ;1941;1964;1999;SL;Crime Fighter;Low;M32109;X
285076;Minister of Security;미트하트 프라셔리 ;1942;1964;1999;SC;Compassionate Gentleman;Very High;M32002;X
285077;Minister of Security;셰프체트 슈쿠피 ;1943;1964;1999;SL;Man of the People;Medium;M32071;X
285078;Minister of Security;무스타파 머를리카 ;1944;1964;1999;SL;Back Stabber;Medium;M32057;X
285079;Minister of Security;젤랄 미트로비차 ;1946;1964;1999;SC;Crooked Kleptocrat;Medium;M32091;X
285080;Minister of Security;말리치 부샤티 ;1939;1964;1999;FA;Crooked Kleptocrat;High;M32024;X
285081;Minister of Security;에치렘 리보호바 ;1941;1964;1999;FA;Man of the People;High;M32048;X
285082;Minister of Security;콜 미라카이 ;1942;1964;1999;FA;Crooked Kleptocrat;High;M32074;X
285083;Minister of Security;누히 베리샤 ;1943;1964;1999;FA;Compassionate Gentleman;High;M32075;X
285084;Minister of Security;판디 크리스토 ;1939;1964;1999;ST;Prince of Terror;Medium;M32035;X
285085;Minister of Security;하스산 슈차비 ;1941;1964;1999;ST;Compassionate Gentleman;High;M32077;X
285086;Minister of Security;하지 레시 ;1942;1964;1999;ST;Efficient Sociopath;Medium;M32014;X
285087;Minister of Security;주흐디 샤바니 ;1943;1964;1999;ST;Crime Fighter;Low;M32121;X
285088;Minister of Security;아지즈 술레이마니 ;1944;1964;1999;ST;Crooked Kleptocrat;Low;M32040;X
285089;Minister of Security;하이러 페타후 ;1945;1964;1999;ST;Man of the People;Very High;M32039;X
285090;Head of Military Intelligence;추아마르 파카지 ;1939;1964;1999;PA;Naval Intelligence Specialist;Medium;M32009;X
285091;Head of Military Intelligence;푸아트 아슬람 ;1942;1964;1999;PA;Logistics Specialist;Medium;M32003;X
285092;Head of Military Intelligence;아흐마드 자히르 ;1944;1964;1999;PA;Technical Specialist;Medium;M32127;X
285093;Head of Military Intelligence;자페르 위피 ;1941;1964;1999;SC;Logistics Specialist;Medium;M32056;X
285094;Head of Military Intelligence;레제프 미트로비차 ;1942;1964;1999;SC;Political Specialist;Medium;M32046;X
285095;Head of Military Intelligence;하이러 디즈다리 ;1944;1964;1999;SC;Technical Specialist;Medium;M32090;X
285096;Head of Military Intelligence;젤랄 미트로비차 ;1945;1964;1999;SC;Dismal Enigma;Medium;M32091;X
285097;Head of Military Intelligence;체말 코마니 ;1939;1964;1999;FA;Dismal Enigma;Medium;M32007;X
285098;Head of Military Intelligence;말리치 부샤티 ;1942;1964;1999;FA;Logistics Specialist;High;M32024;X
285099;Head of Military Intelligence;하산 베골리 ;1943;1964;1999;FA;Political Specialist;High;M32073;X
285100;Head of Military Intelligence;누히 베리샤 ;1944;1964;1999;FA;Industrial Specialist;High;M32075;X
285101;Head of Military Intelligence;에스사드 파츠하 ;1964;1964;1999;ST;Dismal Enigma;Medium;M32036;X
285102;Head of Military Intelligence;주흐디 샤바니 ;1941;1964;1999;ST;Political Specialist;Low;M32121;X
285103;Head of Military Intelligence;아바즈 쿠피 ;1939;1964;1999;PA;Industrial Specialist;Medium;M32129;X
285104;Head of Military Intelligence;유프 카자지 ;1944;1964;1999;ST;Naval Intelligence Specialist;Low;M32015;X
285105;Head of Military Intelligence;나노 자나 ;1945;1964;1999;ST;Logistics Specialist;Low;M32098;X
285106;Chief of Staff;레제프 미트로비차 ;1939;1964;1999;PA;School of Mass Combat;Medium;M32046;X
285107;Chief of Staff;나짐 데돌리 ;1942;1964;1999;PA;School of Fire Support;Medium;M32066;X
285108;Chief of Staff;하이러 디즈다리 ;1942;1964;1999;SC;School of Defence;Medium;M32090;X
285109;Chief of Staff;젤랄 미트로비차 ;1943;1964;1999;SC;School of Manoeuvre;Medium;M32091;X
285110;Chief of Staff;소크라트 아골리 ;1944;1964;1999;SC;School of Psychology;Medium;M32149;X
285111;Chief of Staff;셰프체트 버를라치 ;1940;1964;1999;FA;School of Psychology;High;M32047;X
285112;Chief of Staff;콜 미라카이 ;1941;1964;1999;FA;School of Manoeuvre;High;M32074;X
285113;Chief of Staff;크리스토 차유피 ;1942;1964;1999;FA;School of Mass Combat;Medium;M32145;X
285114;Chief of Staff;메흐메트 셰후 ;1939;1964;1999;ST;School of Mass Combat;Very High;M32017;X
285115;Chief of Staff;주흐디 샤바니 ;1942;1964;1999;ST;School of Manoeuvre;Low;M32121;X
285116;Chief of Staff;프렌크 페르비지 ;1944;1964;1999;ST;School of Fire Support;Very High;M32156;X
285117;Chief of Army;셀림 모이시오우 ;1938;1964;1999;PA;Elastic Defence Doctrine;Medium;M32018;X
285118;Chief of Army;크리스토 차유피 ;1939;1964;1999;PA;Static Defence Doctrine;Medium;M32145;X
285119;Chief of Army;소크라트 아골리 ;1942;1964;1999;PA;Guns and Butter Doctrine;Medium;M32149;X
285120;Chief of Army;알레잔데르 모리 ;1944;1964;1999;PA;Decisive Battle Doctrine;Medium;M32161;X
285121;Chief of Army;하이러 디즈다리 ;1942;1964;1999;SC;Decisive Battle Doctrine;Medium;M32090;X
285122;Chief of Army;젤랄 미트로비차 ;1944;1964;1999;SC;Guns and Butter Doctrine;Medium;M32091;X
285123;Chief of Army;무스타파 머를리카 ;1945;1964;1999;SL;Static Defence Doctrine;Medium;M32057;X
285124;Chief of Army;체말 코마니 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M32007;X
285125;Chief of Army;콜 미라카이 ;1942;1964;1999;FA;Elastic Defence Doctrine;High;M32074;X
285126;Chief of Army;메흐메트 셰후 ;1939;1964;1999;ST;Guns and Butter Doctrine;Very High;M32017;X
285127;Chief of Army;하스산 슈차비 ;1942;1964;1999;ST;Decisive Battle Doctrine;High;M32077;X
285128;Chief of Army;프렌크 페르비지 ;1944;1964;1999;ST;Elastic Defence Doctrine;Very High;M32156;X
285129;Chief of Army;아지즈 술레이마니 ;1945;1964;1999;ST;Armoured Spearhead Doctrine;Low;M32040;X
285130;Chief of Navy;레제프 미트로비차 ;1940;1964;1999;PA;Indirect Approach Doctrine;Medium;M32046;X
285131;Chief of Navy;스트프헨 델비너 ;1941;1964;1999;PA;Base Control Doctrine;Medium;M32020;X
285132;Chief of Navy;나짐 데돌리 ;1942;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M32066;X
285133;Chief of Navy;네지프 데바 ;1944;1964;1999;PA;Power Projection Doctrine;Medium;M32107;X
285134;Chief of Navy;젤랄 미트로비차 ;1942;1964;1999;SC;Base Control Doctrine;Medium;M32091;X
285135;Chief of Navy;하이러 디즈다리 ;1944;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M32090;X
285136;Chief of Navy;이스마엘 그하자 ;1939;1964;1999;FA;Open Seas Doctrine;Medium;M32029;X
285137;Chief of Navy;하산 베골리 ;1942;1964;1999;FA;Power Projection Doctrine;High;M32073;X
285138;Chief of Navy;하이러 페타후 ;1939;1964;1999;ST;Decisive Naval Battle Doctrine;Very High;M32039;X
285139;Chief of Navy;엔베르 호자 ;1936;1964;1999;ST;Open Seas Doctrine;Medium;M32034;X
285140;Chief of Navy;할릴 네르구트티 ;1944;1964;1999;ST;Power Projection Doctrine;Medium;M32109;X
285141;Chief of Air Force;피치리 디네 ;1942;1964;1999;PA;Army Aviation Doctrine;Medium;M32043;X
285142;Chief of Air Force;네지프 데바 ;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M32107;X
285143;Chief of Air Force;아흐마드 자히르 ;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M32127;X
285144;Chief of Air Force;젤랄 미트로비차 ;1942;1964;1999;SC;Air Superiority Doctrine;Medium;M32091;X
285145;Chief of Air Force;소크라트 아골리 ;1944;1964;1999;SC;Army Aviation Doctrine;Medium;M32149;X
285146;Chief of Air Force;스트프헨 델비너 ;1939;1964;1999;FA;Naval Aviation Doctrine;Medium;M32020;X
285147;Chief of Air Force;에치렘 리보호바 ;1940;1964;1999;FA;Carpet Bombing Doctrine;High;M32048;X
285148;Chief of Air Force;누히 베리샤 ;1941;1964;1999;FA;Army Aviation Doctrine;High;M32075;X
285149;Chief of Air Force;하산 베골리 ;1942;1964;1999;FA;Vertical Envelopment Doctrine;High;M32073;X
285150;Chief of Air Force;아지즈 술레이마니 ;1939;1964;1999;ST;Vertical Envelopment Doctrine;Low;M32040;X
285151;Chief of Air Force;엔베르 호자 ;1936;1964;1999;ST;Carpet Bombing Doctrine;Medium;M32034;X
285152;Chief of Air Force;하이러 페타후 ;1943;1964;1999;ST;Air Superiority Doctrine;Very High;M32039;X
285153;Chief of Air Force;프렌크 페르비지 ;1944;1964;1999;ST;Naval Aviation Doctrine;Very High;M32156;X
285154;Chief of Air Force;주흐디 샤바니 ;1945;1964;1999;ST;Army Aviation Doctrine;Low;M32121;X
285155;Head of State;이스마일 체말리 ;1908;1919;1999;SC;Autocratic Charmer;Medium;8535;X
285156;Head of State;페이지 알리조티 ;1908;1932;1999;SC;Weary Stiffneck;Medium;5929;X
285157;Head of State;투르한 퍼르메티 ;1908;1927;1999;SC;Ruthless Powermonger;Medium;2143;X
285158;Head of State;에사드 톱타니 ;1908;1932;1999;PA;Pig-headed Isolationist;Medium;2151;X
285159;Head of State;비디트 1세 ;1908;1932;1999;SC;Benevolent Gentleman;Medium;2152;X
285160;Head of State;프렝크 비버 도다 ;1908;1920;1999;SC;Insignificant Layman;Medium;2144;X
285161;Head of State;에사드 톱타니 ;1908;1920;1999;SC;Powerhungry Demagogue;Medium;2151;X
285162;Head of State;키릴 1세 ;1914;1932;1999;PA;Weary Stiffneck;Medium;8537;X
285163;Head of State;국제임시통치위원회 ;1908;1932;1999;SC;Weary Stiffneck;Medium;unknownminister;X
285164;Head of State;카를 빌헬름 1세 ;1908;1928;1999;SC;Ruthless Powermonger;Medium;8536;X
285165;Head of State;모리트즈 1세 ;1908;1920;1999;SC;Pig-headed Isolationist;Medium;8540;X
285166;Head of State;아르수르 1세 ;1908;1932;1999;SC;Popular Figurehead;Medium;8532;X
285167;Head of State;부르한 에드딘 1세 ;1908;1932;1999;PA;Die-hard Reformer;Medium;8533;X
285168;Head of State;아브둘메치드 1세 ;1908;1932;1999;PA;Stern Imperialist;Medium;2155;X
285169;Head of State;푸아드 1세 ;1908;1932;1999;PA;Barking Buffoon;Medium;2154;X
285170;Head of State;아흐메드 이즈제트 1세 ;1908;1932;1999;PA;Autocratic Charmer;Medium;2153;X
285171;Head of State;술레이만 델비나 ;1908;1932;1999;SC;Stern Imperialist;Medium;2147;X
285172;Head of State;일리아즈 브리오니 ;1908;1932;1999;SC;Barking Buffoon;Medium;5924;X
285173;Head of State;판델리 에반젤리 ;1908;1932;1999;SC;Benevolent Gentleman;Medium;2145;X
285174;Head of State;자페르 위피 ;1908;1932;1999;SC;Autocratic Charmer;Medium;5926;X
285175;Head of State;아흐메트 조골리 ;1920;1932;1999;SC;Weary Stiffneck;Medium;2142;X
285176;Head of State;셰프체트 버를라치 ;1908;1932;1999;SC;Ruthless Powermonger;Medium;2150;X
285177;Head of State;판 놀리 ;1908;1932;1999;SC;Popular Figurehead;Medium;2146;X
285178;Head of Government;니콜러 카초리 ;1908;1917;1999;SC;Political Protege;Medium;8541;X
285179;Head of Government;이스마일 체말리 ;1908;1919;1999;SC;Flamboyant Tough Guy;Medium;8535;X
285180;Head of Government;페이지 알리조티 ;1908;1932;1999;SC;Happy Amateur;Medium;5929;X
285181;Head of Government;투르한 퍼르메티 ;1908;1927;1999;SC;Old General;Medium;2143;X
285182;Head of Government;에사드 톱타니 ;1908;1932;1999;PA;Smiling Oilman;Medium;2151;X
285183;Head of Government;술레이만 델비나 ;1908;1932;1999;SC;Naive Optimist;Medium;2147;X
285184;Head of Government;일리아즈 브리오니 ;1908;1932;1999;SC;Corporate Suit;Medium;5924;X
285185;Head of Government;판델리 에반젤리 ;1908;1932;1999;SC;Silent Workhorse;Medium;2145;X
285186;Head of Government;자페르 위피 ;1908;1932;1999;SC;Political Protege;Medium;5926;X
285187;Head of Government;아흐메트 조골리 ;1920;1932;1999;PA;Backroom Backstabber;Medium;2142;X
285188;Head of Government;셰프체트 버를라치 ;1908;1932;1999;SC;Happy Amateur;Medium;2150;X
285189;Head of Government;판 놀리 ;1908;1932;1999;SC;Ambitious Union Boss;Medium;2146;X
285190;Head of Government;하이 카밀 ;1908;1932;1999;PA;Backroom Backstabber;Medium;unknownminister;X
285191;Foreign Minister;이스마일 체말리 ;1908;1919;1999;SC;Iron Fisted Brute;Medium;8535;X
285192;Foreign Minister;뮈피트 리보호바 ;1911;1922;1999;SC;General Staffer;Medium;5928;X
285193;Foreign Minister;투르한 퍼르메티 ;1912;1916;1999;SC;Ideological Crusader;Medium;2143;X
285194;Foreign Minister;프렝크 비버 도다 ;1912;1916;1999;SC;Iron Fisted Brute;Medium;2144;X
285195;Foreign Minister;메흐메트 코니차 ;1918;1922;1999;SC;General Staffer;Medium;5923;X
285196;Foreign Minister;일리아즈 브리오니 ;1918;1927;1999;SC;Ideological Crusader;Medium;5924;X
285197;Foreign Minister;판델리 에반젤리 ;1919;1926;1999;SC;Great Compromiser;Medium;2145;X
285198;Foreign Minister;판 놀리 ;1919;1923;1999;SC;Apologetic Clerk;Medium;2146;X
285199;Foreign Minister;자페르 빌라 ;1919;1923;1999;SC;Biased Intellectual;Medium;unknownminister;X
285200;Foreign Minister;자페르 위피 ;1919;1924;1999;SC;The Cloak N Dagger Schemer;Medium;5926;X
285201;Foreign Minister;술레이만 델비나 ;1922;1926;1999;SC;Iron Fisted Brute;Medium;2147;X
285202;Minister of Armament;아브디 톱타니 ;1908;1916;1999;SC;Military Entrepreneur;Medium;unknownminister;X
285203;Minister of Armament;요르기 차코 ;1912;1916;1999;SC;Laissez-Faire Capitalist;Medium;unknownminister;X
285204;Minister of Armament;메흐디 프라셔리 ;1912;1916;1999;SC;Air Superiority Proponent;Medium;unknownminister;X
285205;Minister of Armament;가치 아다미디 ;1912;1916;1999;SC;Strategic Air Proponent;Medium;unknownminister;X
285206;Minister of Armament;필리프 노가 ;1912;1916;1999;SC;Administrative Genius;Medium;unknownminister;X
285207;Minister of Armament;네자트 초모 리보호바 ;1912;1916;1999;SC;Submarine Proponent;Medium;unknownminister;X
285208;Minister of Armament;하지 이수프 반가 ;1913;1918;1999;SC;Corrupt Kleptocrat;Medium;unknownminister;X
285209;Minister of Armament;은도츠 초바 ;1918;1922;1999;SC;Resource Industrialist;Medium;2156;X
285210;Minister of Armament;테프 추라니 ;1919;1923;1999;SC;Battle Fleet Proponent;Medium;unknownminister;X
285211;Minister of Armament;아흐메트 다클리 ;1919;1923;1999;SC;Air to Sea Proponent;Medium;unknownminister;X
285212;Minister of Armament;콜레 사치 ;1919;1923;1999;SC;Theoretical Scientist;Medium;unknownminister;X
285213;Minister of Armament;루이기 구라쿠치 ;1922;1926;1999;SC;Air to Ground Proponent;Medium;2157;X
285214;Minister of Armament;페이지 알리조티 ;1914;1924;1999;PA;Infantry Proponent;Medium;5929;X
285215;Minister of Security;뮈피트 리보호바 ;1908;1915;1999;SC;Compassionate Gentleman;Medium;5928;X
285216;Minister of Security;에사드 톱타니 ;1911;1916;1999;SC;Man of the People;Medium;2151;X
285217;Minister of Security;하산 프리슈티나 ;1911;1915;1999;SC;Prince of Terror;Medium;5927;X
285218;Minister of Security;페이지 알리조티 ;1911;1916;1999;SC;Crime Fighter;Medium;5929;X
285219;Minister of Security;아치프 엘바사니 ;1912;1916;1999;SC;Silent Lawyer;Medium;5930;X
285220;Minister of Security;샤힌 디노 ;1912;1918;1999;SC;Back Stabber;Medium;unknownminister;X
285221;Minister of Security;메흐디 프라셔리 ;1916;1922;1999;SC;Efficient Sociopath;Medium;unknownminister;X
285222;Minister of Security;아흐메트 조골리 ;1918;1926;1999;PA;Prince of Terror;Medium;2142;X
285223;Minister of Security;푸아트 디브라 ;1918;1923;1999;SC;Compassionate Gentleman;Medium;unknownminister;X
285224;Minister of Security;바이람 페이지 ;1919;1923;1999;SC;Man of the People;Medium;unknownminister;X
285225;Minister of Security;술레이만 델비나 ;1919;1923;1999;SC;Prince of Terror;Medium;2147;X
285226;Minister of Security;라울 피초 ;1919;1923;1999;SC;Crime Fighter;Medium;unknownminister;X
285227;Minister of Security;셰프체트 버를라치 ;1922;1926;1999;SC;Silent Lawyer;Medium;2150;X
285228;Minister of Security;아브두라만 디브라 ;1922;1927;1999;SC;Back Stabber;Medium;unknownminister;X
285229;Minister of Security;레제프 샬라 ;1922;1926;1999;SC;Efficient Sociopath;Medium;unknownminister;X
285230;Head of Military Intelligence;레프 노시 ;1908;1918;1999;SC;Dismal Enigma;Medium;8538;X
285231;Head of Military Intelligence;하산 프리슈티나 ;1910;1918;1999;SC;Logistics Specialist;Medium;5927;X
285232;Head of Military Intelligence;이도메네 코스투리 ;1916;1924;1999;SC;Technical Specialist;Medium;unknownminister;X
285233;Chief of Staff;메흐메트 데랄라 ;1908;1916;1999;SC;School of Fire Support;Medium;8539;X
285234;Chief of Staff;에사드 톱타니 ;1912;1920;1999;PA;School of Manoeuvre;Medium;2151;X
285235;Chief of Staff;아치프 엘바사니 ;1912;1916;1999;SC;School of Defence;Medium;5930;X
285236;Chief of Staff;유수프 디브라 ;1912;1918;1999;SC;School of Psychology;Medium;unknownminister;X
285237;Chief of Staff;알리 리자 콜로냐 ;1918;1922;1999;SC;School of Mass Combat;Medium;5925;X
285238;Chief of Staff;살라휘딘 슈코자 ;1919;1923;1999;SC;School of Fire Support;Medium;unknownminister;X
285239;Chief of Staff;유수프 지날리 ;1919;1923;1999;SC;School of Manoeuvre;Medium;unknownminister;X
285240;Chief of Staff;무스타파 막수티 ;1919;1923;1999;SC;School of Defence;Medium;unknownminister;X
285241;Chief of Staff;이스마일 하키 타트자티 ;1919;1923;1999;SC;School of Psychology;Medium;8534;X
285242;Chief of Staff;무스타파 아라니타시 ;1922;1926;1999;SC;School of Mass Combat;Medium;9660;X
285243;Chief of Staff;카셈 차페제지 ;1922;1926;1999;SC;School of Psychology;Medium;unknownminister;X
285244;Chief of Army;알리 셰프체티 ;1908;1922;1999;SC;Guns and Butter Doctrine;Medium;8542;X
285245;Chief of Army;알리 리자 콜로냐 ;1918;1923;1999;SC;Armoured Spearhead Doctrine;Medium;5925;X
285246;Chief of Army;자비트 레스코비쿠 ;1919;1925;1999;SC;Decisive Battle Doctrine;Medium;unknownminister;X
285247;Chief of Army;바이람 페브지우 ;1921;1925;1999;SC;Static Defence Doctrine;Medium;unknownminister;X
285248;Chief of Navy;차짐 코출리 ;1908;1924;1999;SC;Base Control Doctrine;Medium;2148;X
285249;Head of Government;Hasan Basri Bej Dukagjini;1914;1932;1999;PA;Happy Amateur;Medium;unknownminister;X
285250;Chief of Staff;Gustav Mirdashi;1923;1945;1950;SC;school of defence;Medium;9715;X
