AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
225031;Foreign Minister;휴 목슨 ;1933;1964;1999;ST;Ideological Crusader;High;M56023;X
225032;Foreign Minister;조지 베이트맨 ;1942;1964;1999;LE;Biased Intellectual;High;M56054;X
225033;Foreign Minister;존 맥아울리 ;1944;1964;1999;ST;Great Compromiser;High;M56055;X
225034;Minister of Armament;에드워드 데이비스 밀렌 ;1933;1964;1999;ML;Resource Industrialist;High;M56056;X
225035;Minister of Armament;G.A. 스트리트 ;1937;1964;1999;SC;Administrative Genius;High;M56046;X
225036;Minister of Armament;헨리 폴 ;1940;1964;1999;SC;Administrative Genius;Medium;M56058;X
225037;Minister of Armament;W.D. 보스톡 ;1943;1964;1999;SC;Air to Sea Proponent;High;M56059;X
225038;Minister of Armament;팔머 A. 맥브라이드 ;1950;1964;1999;SC;Infantry Proponent;High;M56042;X
225039;Minister of Armament;노먼 J. 매킨 ;1937;1964;1999;SD;Military Entrepreneur;Medium;M56061;X
225040;Minister of Armament;스탠리 멜버른 브루스 ;1938;1964;1999;SD;laissez-faire capitalist;High;M56062;X
225041;Minister of Armament;A.M.G. 존스 ;1939;1964;1999;SD;Strategic Air Proponent;High;M56063;X
225042;Minister of Armament;헨리 샤워즈 ;1941;1964;1999;SD;Battle Fleet Proponent;Medium;M56064;X
225043;Minister of Armament;호레이스 월리엄 스트럿 ;1943;1964;1999;SD;Infantry Proponent;Medium;M56065;X
225044;Minister of Armament;시드니 로웰 ;1943;1964;1999;SD;Tank Proponent;Medium;M56066;X
225045;Minister of Armament;스탠리 J. 고블 ;1944;1964;1999;SD;Air to Ground Proponent;Medium;M56067;X
225046;Minister of Armament;가이 C.C. 로일 ;1944;1964;1999;SD;Submarine Proponent;Medium;M56068;X
225047;Minister of Armament;존 래버랙 ;1944;1964;1999;SD;Military Entrepreneur;Medium;M56008;X
225048;Minister of Armament;리처드 월리엄스 ;1944;1964;1999;SD;Air Superiority Proponent;Medium;M56010;X
225049;Minister of Armament;프란시스코 판틴 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M56014;X
225050;Minister of Armament;프랭크 카르마놀라 ;1939;1964;1999;PA;Strategic Air Proponent;Medium;M56072;X
225051;Minister of Armament;폴 로즈빌 ;1942;1964;1999;PA;Air Superiority Proponent;Very High;M56011;X
225052;Minister of Armament;리처드 오버렐 ;1944;1964;1999;PA;Administrative Genius;Very High;M56074;X
225053;Minister of Armament;잭 헨리 ;1933;1964;1999;LE;Military Entrepreneur;Medium;M56024;X
225054;Minister of Armament;짐 헨더슨 ;1939;1964;1999;ST;Infantry Proponent;Medium;M56076;X
225055;Minister of Armament;토니 맥길릭 ;1944;1964;1999;ST;Theoretical Scientist;High;M56077;X
225056;Minister of Security;케네스 이서 ;1933;1964;1999;ML;Efficient Sociopath;High;M56078;X
225057;Minister of Security;알렉산더 맥라클란 ;1937;1964;1999;SC;Crime Fighter;High;M56006;X
225058;Minister of Security;얼 페이지 ;1937;1964;1999;SC;Man of the People;Medium;M56048;X
225059;Minister of Security;헨리 S. 굴렛 ;1939;1964;1999;SC;Prince of Terror;Medium;M56043;X
225060;Minister of Security;헨리 폴 ;1941;1964;1999;SC;Compassionate Gentleman;Medium;M56058;X
225061;Minister of Security;조지 F. 피어스 ;1933;1964;1999;SC;Silent Lawyer;High;M56003;X
225062;Minister of Security;로버트 A. 파크힐 ;1944;1964;1999;SC;Compassionate Gentleman;Medium;M56004;X
225063;Minister of Security;휴버트 P. 라차리니 ;1937;1964;1999;SD;Silent Lawyer;Medium;M56085;X
225064;Minister of Security;허버트 V. 에벗 ;1941;1964;1999;SD;Back Stabber;High;M56050;X
225065;Minister of Security;제임스 매카시 ;1933;1964;1999;PA;Crime Fighter;Medium;M56015;X
225066;Minister of Security;J.H.A. 듀란트 ;1939;1964;1999;PA;Compassionate Gentleman;High;M56012;X
225067;Minister of Security;제임스 컬리튼 ;1943;1964;1999;PA;Back Stabber;High;M56089;X
225068;Minister of Security;존 B. 마일즈 ;1933;1964;1999;ST;Prince of Terror;High;M56025;X
225069;Minister of Security;귀도 바랄라치 ;1939;1964;1999;ST;Silent Lawyer;Very High;M56091;X
225070;Minister of Security;필립 아담스 ;1942;1964;1999;ST;Man of the People;High;M56092;X
225071;Head of Military Intelligence;시릴 빙햄 화이트 ;1937;1964;1999;SC;Logistics Specialist;High;M56093;X
225072;Head of Military Intelligence;랑나르 M. 콜빈 ;1933;1964;1999;SD;Naval Intelligence Specialist;Medium;M56009;X
225073;Head of Military Intelligence;벤 치플리 ;1941;1964;1999;SD;Political Specialist;Very High;M56039;X
225074;Head of Military Intelligence;노먼 J. 매킨 ;1940;1964;1999;SC;Industrial Specialist;Medium;M56061;X
225075;Head of Military Intelligence;휴버트 P. 라차리니 ;1942;1964;1999;SD;Dismal Enigma;Medium;M56085;X
225076;Head of Military Intelligence;존 J. 데드먼 ;1944;1964;1999;SD;Technical Specialist;High;M56098;X
225077;Head of Military Intelligence;론 로우 ;1933;1964;1999;FA;Political Specialist;Medium;M56016;X
225078;Head of Military Intelligence;톰 데일 ;1933;1964;1999;ST;Dismal Enigma;Medium;M56026;X
225079;Head of Military Intelligence;알프 브래들리 ;1941;1964;1999;LE;Logistics Specialist;High;M56101;X
225080;Head of Military Intelligence;토니 맥길릭 ;1945;1964;1999;ST;Technical Specialist;High;M56077;X
225081;Chief of Staff;제임스 V. 페어베언 ;1939;1964;1999;SC;School of Fire Support;Medium;M56103;X
225082;Chief of Staff;시릴 빙햄 화이트 ;1939;1964;1999;SC;School of Mass Combat;High;M56093;X
225083;Chief of Staff;E.K. 스콰이어스 ;1938;1964;1999;SC;School of Defence;Medium;M56105;X
225084;Chief of Staff;존 J. 컬틴 ;1940;1964;1999;SD;School of Psychology;Very High;M56038;X
225085;Chief of Staff;레슬리 비비스 ;1944;1964;1999;SD;School of Manoeuvre;Medium;M56107;X
225086;Chief of Staff;조지 F. 랭글리 ;1933;1964;1999;PA;School of Mass Combat;Medium;M56017;X
225087;Chief of Staff;제임스 캐넌 ;1933;1964;1999;ST;School of Mass Combat;Medium;M56027;X
225088;Chief of Army;시릴 빙햄 화이트 ;1937;1964;1999;SC;Decisive Battle Doctrine;High;M56093;X
225089;Chief of Army;레슬리 모스헤드 ;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;L54036;X
225090;Chief of Army;호레이스 월리엄 스트럿 ;1944;1964;1999;SC;Static Defence Doctrine;Medium;M56065;X
225091;Chief of Army;버논 스터디 ;1937;1964;1999;SD;Elastic Defence Doctrine;Medium;M56049;X
225092;Chief of Army;시드니 로웰 ;1941;1964;1999;SD;Guns and Butter Doctrine;Medium;M56066;X
225093;Chief of Army;앨런 램지 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M56018;X
225094;Chief of Army;존 노스콧 ;1933;1964;1999;ST;Guns and Butter Doctrine;Medium;M56028;X
225095;Chief of Navy;헥터 월러 ;1937;1964;1999;SC;Base Control Doctrine;Medium;M56117;X
225096;Chief of Navy;빅터 크러츨리 ;1941;1964;1999;SC;Open Seas Doctrine;Medium;M56019;X
225097;Chief of Navy;가이 C.C. 로일 ;1937;1964;1999;SD;Indirect Approach Doctrine;Medium;M56068;X
225098;Chief of Navy;존 콜린스 ;1941;1964;1999;SD;Power Projection Doctrine;Medium;9908;X
225099;Chief of Navy;헨리 샤워즈 ;1944;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M56064;X
225100;Chief of Navy;F.E. 게팅 ;1933;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M56029;X
225101;Chief of Air Force;A.M. 찰스워스 ;1937;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M56124;X
225102;Chief of Air Force;W.D. 보스톡 ;1944;1964;1999;SC;Naval Aviation Doctrine;High;M56059;X
225103;Chief of Air Force;스탠리 J. 고블 ;1937;1964;1999;SD;Army Aviation Doctrine;Medium;M56067;X
225104;Chief of Air Force;찰스 버넷 ;1941;1964;1999;SD;Air Superiority Doctrine;Medium;M56127;X
225105;Chief of Air Force;A.M.G. 존스 ;1944;1964;1999;SD;Carpet Bombing Doctrine;High;M56063;X
225106;Chief of Air Force;존 르루 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M56020;X
225107;Chief of Air Force;G.J.W. 맥키놀티 ;1933;1964;1999;ST;Air Superiority Doctrine;Medium;M56030;X
225108;Chief of Air Force;랜스 샤키 ;1941;1964;1999;ST;Army Aviation Doctrine;Very High;M56021;X
225109;Head of State;알렉산더 G. 아크라이트 ;1933;1964;1999;SD;Stern Imperialist;High;M56031;X
225110;Head of State;헨리 글로스터 공작 ;1945;1964;1999;SD;Autocratic Charmer;High;M56032;X
225111;Head of State;월리엄 존 맥켈 ;1947;1964;1999;SD;Insignificant Layman;High;M56134;X
225112;Head of State;월리엄 존 맥켈 ;1947;1964;1999;SC;Insignificant Layman;High;M56134;X
225113;Head of State;알렉산더 G. 아크라이트 ;1933;1964;1999;ML;Stern Imperialist;High;M56031;X
225114;Head of State;헨리 글로스터 공작 ;1945;1964;1999;ML;Autocratic Charmer;High;M56032;X
225115;Head of State;월리엄 존 맥켈 ;1947;1964;1999;ML;Insignificant Layman;High;M56134;X
225116;Head of Government;얼 페이지 ;1933;1964;1999;ML;Naive Optimist;High;M56139;X
225117;Head of Government;아서 W. 패든 ;1940;1964;1999;ML;Happy Amateur;High;M56140;X
225118;Head of Government;프란시스코 M. 포드 ;1945;1964;1999;SD;Silent Workhorse;High;M56141;X
225119;Chief of Staff;랑나르 M. 콜빈 ;1940;1964;1999;SC;School of Manoeuvre;Medium;M56009;X
225120;Foreign Minister;존 멕켄 ;1940;1964;1999;ML;Biased Intellectual;High;M56148;X
225121;Minister of Armament;얼 페이지 ;1942;1964;1999;ML;laissez-faire capitalist;Very High;M56139;X
225122;Foreign Minister;퍼시 C. 스펜더 ;1949;1964;1999;SC;Apologetic Clerk;Very High;M56150;X
225123;Minister of Armament;존 J. 데드먼 ;1946;1964;1999;SD;Theoretical Scientist;Medium;M56098;X
225124;Minister of Armament;에릭 존 해리슨 ;1949;1964;1999;SC;Military Entrepreneur;Medium;M56152;X
225125;Minister of Security;허버트 V. 존슨 ;1945;1964;1999;SD;Man of the People;High;M56153;X
225126;Minister of Security;팔머 A. 맥브라이드 ;1949;1964;1999;SC;Silent Lawyer;High;M56042;X
225127;Minister of Security;에릭 존 해리슨 ;1950;1964;1999;SC;Compassionate Gentleman;High;M56152;X
225128;Minister of Security;W.S.K. 휴즈 ;1951;1964;1999;SC;Prince of Terror;High;M56156;X
225129;Head of Military Intelligence;허버트 V. 에벗 ;1941;1964;1999;SD;Political Specialist;High;M56050;X
225130;Head of Military Intelligence;존 A. 스파이서 ;1949;1964;1999;SC;Dismal Enigma;High;M56158;X
225131;Head of State;월리엄 슬림 ;1953;1964;1999;SD;Resigned Generalissimo;High;M56159;X
225132;Head of State;월리엄 슬림 ;1953;1964;1999;SC;Resigned Generalissimo;High;M56159;X
225133;Head of State;윌리엄 모리슨 ;1960;1964;1999;SD;Weary Stiffneck;High;M56161;X
225134;Head of State;윌리엄 모리슨 ;1960;1964;1999;SC;Weary Stiffneck;High;M56161;X
225135;Head of State;윌리엄 시드니 ;1961;1964;1999;SD;Autocratic Charmer;High;M56163;X
225136;Head of State;윌리엄 시드니 ;1961;1964;1999;SC;Autocratic Charmer;High;M56163;X
225137;Head of Government;허버트 V. 에벗 ;1951;1964;1999;SD;Silent Workhorse;High;M56050;X
225138;Head of Government;아서 콜웰 ;1960;1964;1999;SD;Naive Optimist;High;M56166;X
225139;Foreign Minister;리처드 G. 케이시 ;1951;1964;1999;SC;Ideological Crusader;Very High;M56167;X
225140;Foreign Minister;가필드 E. 바윅 ;1961;1964;1999;SC;Iron Fisted Brute;Very High;M56168;X
225141;Foreign Minister;아서 콜웰 ;1954;1964;1999;SD;Great Compromiser;Very High;M56166;X
225142;Foreign Minister;고프 휘틀람 ;1960;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M56170;X
225143;Minister of Armament;필립 A.M. 맥브라이드 ;1950;1964;1999;SC;laissez-faire capitalist;Medium;M56171;X
225144;Minister of Armament;아돌 G. 타운리 ;1958;1964;1999;SC;Resource Industrialist;Medium;M56172;X
225145;Minister of Armament;말콤 프레이저 ;1958;1964;1999;SD;Air Superiority Proponent;Medium;M56173;X
225146;Minister of Security;알렌 페어홀 ;1956;1964;1999;SC;Silent Lawyer;High;M56174;X
225147;Minister of Security;고든 프리스 ;1958;1964;1999;SC;Compassionate Gentleman;High;M56175;X
225148;Minister of Security;피터 J. 닉슨 ;1961;1964;1999;SD;Back Stabber;High;M56176;X
225149;Head of Military Intelligence;닐 오설리번 ;1956;1964;1999;SC;Industrial Specialist;High;M56177;X
225150;Head of Military Intelligence;가필드 E. 바윅 ;1958;1964;1999;SC;Political Specialist;High;M56168;X
225151;Head of Military Intelligence;라이오넬 K. 머피 ;1961;1964;1999;SD;Technical Specialist;High;M56179;X
225152;Chief of Army;조셉 고든 ;1914;1933;1999;ML;Decisive Battle Doctrine;Low;2179;X
225153;Chief of Army;고든 레그 ;1914;1933;1999;ML;elastic defence doctrine;Low;2180;X
225154;Chief of Army;고드프리 어빙 ;1915;1933;1999;ML;Guns and Butter Doctrine;Low;9743;X
225155;Chief of Army;브루데넬 화이트 ;1920;1933;1999;ML;elastic defence doctrine;Low;2181;X
225156;Chief of Army;헤리 쇼벨 ;1923;1933;1999;ML;Decisive Battle Doctrine;Low;2182;X
225157;Chief of Navy;W.R. 크레스웰 ;1914;1933;1999;ML;Decisive Naval Battle Doctrine;Very High;2183;X
225158;Chief of Staff;조셉 고든 ;1914;1933;1999;ML;School of Mass Combat;Undying;2179;X
225159;Chief of Staff;고든 레그 ;1914;1933;1999;ML;school of manoeuvre;Undying;2180;X
225160;Chief of Staff;고드프리 어빙 ;1915;1933;1999;ML;School of Fire Support;Undying;9743;X
225161;Chief of Staff;브루데넬 화이트 ;1920;1933;1999;ML;School of Psychology;Undying;2181;X
225162;Chief of Staff;헤리 쇼벨 ;1923;1933;1999;ML;school of manoeuvre;Undying;2182;X
225163;Foreign Minister;패트릭 글린 ;1914;1933;1999;ML;Great Compromiser;Very High;2184;X
225164;Foreign Minister;존 아서 ;1914;1933;1999;SL;Great Compromiser;Very High;2185;X
225165;Foreign Minister;휴 마흔 ;1914;1933;1999;SL;Biased Intellectual;Very High;2186;X
225166;Foreign Minister;빌리 휴즈 ;1914;1933;1999;ML;biased intellectual;Very High;2187;X
225167;Head of Government;조셉 쿡 ;1914;1933;1999;ML;Silent Workhorse;High;2188;X
225168;Head of Military Intelligence;해롤드 존스 ;1914;1933;1999;ML;Political Specialist;Very High;2189;X
225169;Head of State;토마스 덴만 ;1914;1933;1999;ML;Stern Imperialist;High;2190;X
225170;Minister of Armament;존 포레스트 ;1914;1933;1999;ML;Resource Industrialist;High;2191;X
225171;Minister of Armament;앤드류 피셔 ;1914;1933;1999;SL;Military Entrepreneur;High;2192;X
225172;Minister of Armament;월리엄 힉스 ;1914;1933;1999;SL;Administrative Genius;High;2193;X
225173;Minister of Armament;알렉산더 포인튼 ;1914;1933;1999;ML;laissez-faire capitalist;High;2194;X
225174;Minister of Security;조셉 쿡 ;1914;1933;1999;ML;Man of the People;Very High;2188;X
225175;Head of State;로날드 먼로 퍼거슨 ;1914;1933;1999;ML;Stern Imperialist;High;8016;X
225176;Chief of Army;월리엄 트로스비 브리지스 ;1914;1933;1999;ML;Decisive Battle Doctrine;Medium;9744;X
225177;Chief of Air Force;헨리 페트로 ;1914;1919;1999;ML;Air Superiority Doctrine;High;8014;X
225178;Chief of Air Force;에릭 해리슨 ;1914;1933;1999;ML;Air Superiority Doctrine;High;8015;X
225179;Chief of Staff;줄리어스 브루스 ;1933;1936;1936;SC;school of fire support;Very High;9295;X
225180;Head of Military Intelligence;Eric Fairweather Harrison;1920;1931;1949;SC;logistics specialist;High;9728;X
225181;Head of Military Intelligence;John Lavarack;1929;1932;1947;SC;political specialist;High;M56008;X
225182;Head of Military Intelligence;Vernon Sturdee;1933;1939;1951;SL;logistics specialist;Medium;M56049;X
225183;Head of Military Intelligence;Sydney Rowell;1938;1939;1955;SD;logistics specialist;Medium;M56066;X
225184;Head of Military Intelligence;John Northcott;1938;1939;1958;SD;logistics specialist;Medium;M56028;X
225185;Head of Military Intelligence;Bertrand Combes;1939;1946;1947;SC;industrial specialist;High;9729;X
225186;Head of Military Intelligence;Kenneth Alan McKenzie;1940;1942;1948;SC;political specialist;High;9730;X
225187;Head of Military Intelligence;John David Rogers;1942;1945;1946;SC;logistics specialist;High;9731;X
225188;Head of Military Intelligence;Rupert Basil Michel Long;1939;1945;1946;SC;naval intelligence specialist;High;9732;X
225189;Chief of Navy;George Hyde;1931;1937;1938;SC;decisive naval battle doctrine;High;9736;X
225190;Chief of Navy;Louis Keppel Hamilton;1945;1949;1958;SC;indirect approach doctrine;High;9733;X
225191;Chief of Navy;Roy Russell Dowling;1955;1960;1962;SC;open seas doctrine;High;9734;X
225192;Chief of Navy;Henry Mackay Burrell;1959;1962;1963;SC;power projection doctrine;High;9735;X
225193;Chief of Navy;Wilfred Hastings Harrington;1962;1965;1966;SC;decisive naval battle doctrine;High;9737;X
225194;Chief of Air Force;William Anderson;1940;1941;1947;SC;naval aviation doctrine;High;9738;X
225195;Chief of Air Force;Donald Hardman;1952;1955;1958;SC;air superiority doctrine;High;9739;X
225196;Chief of Air Force;John McCauley;1954;1958;1958;SC;air superiority doctrine;High;9740;X
225197;Chief of Air Force;Frederick Scherger;1957;1962;1974;SC;army aviation doctrine;High;9741;X
225198;Chief of Air Force;Valston Hancock;1961;1965;1966;SC;naval aviation doctrine;High;9742;X
