ETH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
245049;Chief of Staff;아바네프소 팔차 ;1941;1964;1999;SC;School of Mass Combat;Medium;M65075;X
245050;Chief of Army;하일레 아바 메르사 ;1941;1964;1999;PA;Decisive Battle Doctrine;Very High;M65077;X
245051;Chief of Army;아비에 아베베 ;1945;1964;1999;PA;Armoured Spearhead Doctrine;High;M65078;X
245052;Chief of Army;카사 하일레 다르게 ;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;M65018;X
245053;Chief of Army;세윰 망가샤 ;1939;1964;1999;FA;Static Defence Doctrine;Medium;M65009;X
245054;Chief of Army;월데메스칼 타리쿠 ;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M65027;X
245055;Chief of Army;카사 하일레 다르게 ;1941;1964;1999;SC;Static Defence Doctrine;Medium;M65018;X
245056;Chief of Army;아비에 아베베 ;1945;1964;1999;SC;Armoured Spearhead Doctrine;High;M65078;X
245057;Chief of Navy;원도센 카사 ;1937;1964;1999;PA;Open Seas Doctrine;Medium;M65084;X
245058;Chief of Navy;리지 요하네스 ;1933;1964;1999;FA;Open Seas Doctrine;Medium;M65011;X
245059;Chief of Navy;세윰 망가샤 ;1939;1964;1999;FA;Indirect Approach Doctrine;Very High;M65009;X
245060;Chief of Navy;데자 지나치 나데온 ;1933;1964;1999;SC;Power Projection Doctrine;Medium;M65029;X
245061;Chief of Air Force;메스핀 실레시 ;1939;1964;1999;PA;Carpet Bombing Doctrine;Medium;M65089;X
245062;Chief of Air Force;피타우리 자우데 고베나 ;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M65020;X
245063;Chief of Air Force;피타우리 자우데 고베나 ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M65020;X
245064;Chief of Air Force;가브리엘 자우데 길라네 ;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M65030;X
245065;Chief of Army;기오르기스 디네그데 ;1914;1933;1999;PA;Guns and Butter Doctrine;Very High;3753;X
245066;Chief of Army;테페리 메코넨 ;1916;1933;1999;PA;Static Defence Doctrine;Very High;2498;X
245067;Chief of Staff;테페리 메코넨 ;1916;1933;1999;PA;School of Defence;Very High;2498;X
245068;Chief of Staff;기오르기스 디네그데 ;1914;1933;1999;PA;School of Fire Support;Very High;3753;X
245069;Foreign Minister;테페리 메코넨 ;1917;1933;1999;PA;Great Compromiser;High;2498;X
245070;Foreign Minister;티자즈 월데 메스켈 ;1917;1933;1999;PA;Ideological Crusader;High;unknownminister;X
245071;Foreign Minister;물루게타 이게주 ;1916;1933;1999;PA;General Staffer;Very High;9910;X
245072;Foreign Minister;데자즈마크 베예네 ;1914;1933;1999;PA;biased intellectual;High;unknownminister;X
245073;Head of Government;기오르기스 디네그데 ;1914;1933;1999;PA;Political Protege;High;3753;X
245074;Head of State;자우디투 ;1916;1933;1999;PA;Popular Figurehead;High;2499;X
245075;Head of State;이야수 5세 ;1914;1933;1999;PA;Stern Imperialist;High;2500;X
245076;Minister of Armament;기오르기스 디네그데 ;1914;1933;1999;PA;Military Entrepreneur;Very High;3753;X
245077;Head of Government;미카엘 월로 ;1913;1933;1999;PA;Happy Amateur;Medium;8027;X
245078;Head of Military Intelligence;기오르기스 디네그데 ;1907;1926;1999;PA;Logistics Specialist;Very High;3753;X
245079;Minister of Security;기오르기스 디네그데 ;1907;1926;1999;PA;Crime Fighter;Very High;3753;X
245080;Chief of Air Force;기오르기스 디네그데 ;1907;1926;1999;PA;Army Aviation Doctrine;Very High;3753;X
245081;Chief of Navy;기오르기스 디네그데 ;1907;1926;1999;PA;Power Projection Doctrine;Very High;3753;X
