TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
45054;Chief of Navy;베흐비 코치 ;1943;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M12080;X
45055;Chief of Navy;아흐메트 아이담 뵐라크 ;1946;1964;1999;ML;Base Control Doctrine;Medium;M12081;X
45056;Chief of Air Force;에르칸 가탈리 ;1943;1964;1999;ML;Army Aviation Doctrine;Medium;M12083;X
45057;Chief of Air Force;멤두흐 타마치 ;1946;1964;1999;ML;Air Superiority Doctrine;Medium;M12059;X
45058;Head of State;니할 아트스즈 ;1933;1964;1999;FA;Ruthless Powermonger;High;M12011;X
45059;Head of Government;제키 벨리디 토간 ;1933;1964;1999;FA;Old General;High;M12012;X
45060;Foreign Minister;알리 페트히 오키아르 ;1933;1964;1999;PA;Ideological Crusader;Medium;M12013;X
45061;Minister of Armament;샤디 외즈베크 ;1933;1964;1999;FA;Air to Sea Proponent;Medium;M12014;X
45062;Head of Military Intelligence;알리 페흐티 오키야르 ;1933;1964;1999;SC;Dismal Enigma;Medium;M12013;X
45063;Chief of Staff;무스타파 이스메트 이뇌뉘 ;1933;1964;1999;PA;School of Defence;Medium;M12002;X
45064;Chief of Army;알파르슬란 튀르케슈 ;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;M12018;X
45065;Chief of Navy;라우프 오르바이 ;1933;1964;1999;FA;Base Control Doctrine;Medium;M12019;X
45066;Chief of Air Force;샤디 외즈베크 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M12014;X
45067;Head of State;쉬피크 휘스뉘 ;1933;1964;1999;ST;Stern Imperialist;High;M12021;X
45068;Head of Government;페르테브 나일리 보라타브 ;1933;1964;1999;ST;Naive Optimist;High;M12022;X
45069;Foreign Minister;나즘 히크메트 란 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M12023;X
45070;Minister of Armament;레피크 사이담 ;1933;1964;1999;LWR;Infantry Proponent;Medium;3383;X
45071;Chief of Staff;압바스 제바트 ;1933;1964;1999;LWR;School of Manoeuvre;Medium;M12025;X
45072;Chief of Army;페르테브 나일리 보라타브 ;1933;1964;1999;LWR;Elastic Defence Doctrine;Very Low;M12022;X
45073;Chief of Navy;이스마일 에림 ;1933;1964;1999;LE;Decisive Naval Battle Doctrine;Medium;M12029;X
45074;Chief of Air Force;레피크 사이담 ;1933;1964;1999;LE;Air Superiority Doctrine;Medium;3383;X
45075;Head of State;마흐무트 젤랄 바야르 ;1950;1964;1999;ML;Barking Buffoon;High;3382;X
45076;Head of Government;메흐메트 레제프 페케르 ;1946;1964;1999;SC;Political Protege;High;M12067;X
45077;Head of Government;하산 사카 ;1947;1964;1999;SC;Happy Amateur;High;M12038;X
45078;Head of Government;솀세틴 귀날타이 ;1949;1964;1999;SC;Silent Workhorse;High;M12051;X
45079;Head of Government;아드난 멘데레스 ;1950;1964;1999;ML;Ambitious Union Boss;High;M12046;X
45080;Foreign Minister;메흐메트 푸아트 쾨프륄뤼 ;1950;1964;1999;ML;Iron Fisted Brute;Medium;M12090;X
45081;Minister of Armament;파이크 아흐메트 바루추 ;1947;1964;1999;SC;Battle Fleet Proponent;Medium;M12091;X
45082;Minister of Armament;이스마일 에림 ;1949;1964;1999;SC;Resource Industrialist;Medium;M12029;X
45083;Minister of Armament;사메트 아아올루 ;1950;1964;1999;ML;Theoretical Scientist;Medium;M12093;X
45084;Minister of Armament;파팀 뤼슈튀 조를루 ;1952;1964;1999;ML;Administrative Genius;Medium;M12094;X
45085;Minister of Security;레피크 코랄탄 ;1950;1964;1999;ML;Silent Lawyer;Medium;M12095;X
45086;Head of Government;알파르슬란 튀르케슈 ;1941;1964;1999;NS;Ambitious Union Boss;medium;M12018;x
45087;Minister of Security;알파르슬란 튀르케슈 ;1939;1964;1999;NS;Prince of Terror;medium;M12018;x
45088;Minister of Security;메흐메트 제밀 우이바딘 ;1921;1964;1999;SC;Silent Lawyer;Medium;unknownminister;X
45089;Chief of Army;무스타파 케말 아타튀르크 ;1921;1964;1999;PA;Decisive Battle Doctrine;High;3379;X
