HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
105096;Chief of Staff;³ÊÁö ºô¸ð½Ã ;1942;1964;1999;FA;School of Defence;Medium;M21132;X
105097;Chief of Staff;¼ö¸£¸ÓÀÌ ¼¢µµ¸£ ;1944;1964;1999;FA;School of Fire Support;Medium;M21133;X
105098;Chief of Staff;·Úµ¥¸£ ºô¸ð½Ã ;1945;1964;1999;PA;commando doctrine staff;Medium;M21135;X
105099;Chief of Staff;ºÆ·Ú½Ã ¾ß³ë½Ã ;1933;1964;1999;SC;School of Manoeuvre;Medium;M21017;X
105100;Chief of Staff;ÀýÄ¿ ¸ÓÅÍ ;1933;1964;1999;ST;School of Psychology;Medium;M21037;X
105101;Chief of Army;Ã³ÅÍÀÌ ·¯¿ä½Ã ;1944;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M21128;X
105102;Chief of Army;º£·¹±×ÇÇ Ä«·ÎÀÌ ;1944;1964;1999;NS;Guns and Butter Doctrine;Medium;M21129;X
105103;Chief of Army;º£¸£Æ® Çî¸®Å© ;1938;1964;1999;FA;Static Defence Doctrine;Medium;M21142;X
105104;Chief of Army;ÄÊ½º ¿¡µå°Å¸£ ;1942;1964;1999;FA;Guns and Butter Doctrine;Medium;M21073;X
105105;Chief of Army;·¯Ä¿Åä½Ã °ÔÀú ;1944;1964;1999;FA;Elastic Defence Doctrine;Low;M21058;X
105106;Chief of Army;¹ÌÅ¬·Î½º º§·¯ ;1944;1964;1999;PA;Static Defence Doctrine;Medium;M21059;X
105107;Chief of Army;¼î´Ï ÈÄ°í ;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M21146;X
105108;Chief of Army;½Ã½ºÅÐ·¯Ä¿ÀÌ °¡º¸¸£ ;1945;1964;1999;SD;commando doctrine army;Medium;M21136;X
105109;Chief of Army;¼Ø¹öÅ×ÀÌ Æä·»Ã÷ ;1933;1964;1999;SC;Static Defence Doctrine;High;M21148;X
105110;Chief of Army;ºÆ·Ú½Ã ¾ß³ë½Ã ;1944;1964;1999;SC;Elastic Defence Doctrine;Medium;M21017;X
105111;Chief of Army;º£¸£Áø ´ÏÄÝ·¯ÀÌ ;1933;1964;1999;ST;Decisive Battle Doctrine;Medium;M21038;X
105112;Chief of Navy;Ä¡¾î ¼Çµµ¸£ ;1939;1964;1999;NS;Base Control Doctrine;Medium;M21151;X
105113;Chief of Navy;ÄÊ½º ¿¡µå°Å¸£ ;1944;1964;1999;PA;Base Control Doctrine;Medium;M21073;X
105114;Chief of Navy;¿ÀÅä Æù ÇÕ½ººÎ¸£Å© ;1945;1964;1999;PA;Indirect Approach Doctrine;High;M21044;X
105115;Chief of Navy;Ä¿½´Æ®³×¸£ ·¹¼è ;1945;1964;1999;SD;Base Control Doctrine;High;M21089;X
105116;Chief of Navy;µ¥¾îÅ© ÇÁ·±ÃÊÀÌ½Ã ;1933;1964;1999;SC;Power Projection Doctrine;High;M21076;X
105117;Chief of Navy;Çã¸£Áö Ä®¸¸ ;1933;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M21039;X
105118;Chief of Air Force;¸Ó±¸¾î·Î½Ã ¼Çµµ¸£ ;1939;1964;1999;NS;Army Aviation Doctrine;Medium;M21030;X
105119;Chief of Air Force;»ì·¯½Ã Æä·»Ã÷ ;1944;1964;1999;NS;Naval Aviation Doctrine;Medium;M21021;X
105120;Chief of Air Force;ÆäÄÉÅ×Çï¹Ì Æä·»Ã÷ ;1938;1964;1999;FA;Army Aviation Doctrine;Medium;M21161;X
105121;Chief of Air Force;ÁË¸£±×È÷ µ¥ ºê·ÎÁö ;1941;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M21040;X
105122;Chief of Air Force;·¯Ã÷ Å×¸£³×±× Ä®¸¸ ;1944;1964;1999;PA;Army Aviation Doctrine;Medium;M21163;X
105123;Chief of Air Force;ÄÉ·¹½ºÅ×½´ Æä·»Ã÷ ;1946;1964;1999;PA;Air Superiority Doctrine;High;M21100;X
105124;Chief of Air Force;ÄÊ½º ¿¡µå°Å¸£ ;1945;1964;1999;SD;Air Superiority Doctrine;Medium;M21073;X
105125;Chief of Air Force;¶óÄÚ½Ã º§·¯ ;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M21020;X
105126;Chief of Air Force;ÁË¸£±×È÷ µ¥ ºê·ÎÁö ;1933;1964;1999;ST;Air Superiority Doctrine;Medium;M21040;X
105127;Head of State;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1933;1964;1999;SC;Resigned Generalissimo;High;M21001;X
105128;Foreign Minister;»ì·¯½Ã Æä·»Ã÷ ;1939;1964;1999;NS;Iron Fisted Brute;Medium;M21021;X
105129;Head of Military Intelligence;Ä¡¾î ¼Çµµ¸£ ;1939;1964;1999;NS;Industrial Specialist;Medium;M21151;X
105130;Chief of Army;ÆäÄÉÅ×Çï¹Ì Æä·»Ã÷ ;1939;1964;1999;NS;Elastic Defence Doctrine;Medium;M21161;X
105131;Head of State;·¯Ä¿Åä½Ã °ÔÀú ;1944;1964;1999;PA;Resigned Generalissimo;High;M21058;X
105132;Chief of Staff;½Ã½ºÅÐ·¯Ä¿ÀÌ °¡º¸¸£ ;1947;1964;1999;ST;commando doctrine staff;Medium;M21136;X
105133;Head of Government;ÄÉ·¹½ºÅ×½´ Æä·»Ã÷ ;1942;1964;1999;FA;Happy Amateur;High;M21100;X
105134;Foreign Minister;ÅÚ·¹Å° ÆÈ ;1941;1964;1999;FA;Great Compromiser;High;M21055;X
105135;Foreign Minister;ÄÉ·¹½ºÅ×½´ Æä·»Ã÷ ;1942;1964;1999;FA;Apologetic Clerk;High;M21100;X
105136;Foreign Minister;Ä®·¯ÀÌ ¹ÌÅ¬·Î½Ã ;1942;1964;1999;FA;General Staffer;High;M21057;X
105137;Foreign Minister;±×È÷Ä¡ ¿¹³ú ;1943;1964;1999;FA;Apologetic Clerk;High;M21179;X
105138;Head of State;¼­Ã³Å°Ä¡ ¾Æ¸£ÆÄµå ;1948;1964;1999;ST;Insignificant Layman;High;M21061;X
105139;Head of State;·Î³Ê ¼Çµµ¸£ ;1950;1964;1999;ST;Popular Figurehead;High;M21181;X
105140;Head of State;µµºñ ÀÌ½´Æ®¹Ý ;1952;1964;1999;ST;Autocratic Charmer;High;M21182;X
105141;Head of Government;µò³×½Ã ·¯¿ä½Ã ;1947;1964;1999;ST;Happy Amateur;High;M21183;X
105142;Head of Government;µµºñ ÀÌ½´Æ®¹Ý ;1948;1964;1999;ST;Ambitious Union Boss;High;M21182;X
105143;Head of Government;³ªÁö ÀÓ·¹ ;1953;1964;1999;ST;Naive Optimist;High;M21113;X
105144;Foreign Minister;Ä®·¯ÀÌ ÁÙ·¯ ;1948;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M21186;X
105145;Foreign Minister;Å°½Ã Ä«·ÎÀÌ ;1952;1964;1999;ST;Apologetic Clerk;Medium;M21187;X
105146;Minister of Armament;È£¸£¹ÙÆ® ÀÓ·¹ ;1952;1964;1999;ST;Theoretical Scientist;Medium;M21188;X
105147;Minister of Security;Ä«´Ù¸£ ¾ß³ë½Ã ;1952;1964;1999;ST;Back Stabber;Very High;M21189;X
105148;Chief of Navy;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1914;1933;1999;PA;Decisive Naval Battle Doctrine;Medium;M21001;X
105149;Foreign Minister;Ä«·ÎÀÌ ¹ÌÇÏÀÌ ;1914;1933;1999;SL;apologetic clerk;Medium;3864;X
105150;Foreign Minister;µµºêÂ÷Å© ¾ðÅÐ ;1914;1933;1999;LE;Ideological Crusader;Medium;9568;X
105151;Head of Government;Ä«·ÎÀÌ ¹ÌÇÏÀÌ ;1914;1933;1999;SL;Backroom Backstabber;Medium;3864;X
105152;Head of Government;°Å¸£¹ÙÀÌ ¼¢µµ¸£ ;1914;1933;1999;ST;Flamboyant Tough Guy;Medium;3865;X
105153;Head of Government;ÇÁ¸®µå¸®Ä¡ ÀÌ½´Æ®¹Ý ;1919;1933;1999;SD;Naive Optimist;Medium;3866;X
105154;Head of Government;½Ã¸ð½Ã ¼¢µµ¸£ ;1920;1933;1999;SD;Political Protege;Medium;3867;X
105155;Head of State;Ä«·ÎÀÌ ¹ÌÇÏÀÌ ;1914;1933;1999;SL;Insignificant Layman;Medium;3864;X
105156;Head of State;È£¸£Æ¼ ¹ÌÅ¬·Î½Ã ;1914;1933;1999;PA;Autocratic Charmer;Medium;M21001;X
105157;Head of State;Äï º§·¯ ;1914;1933;1999;ST;Die-hard Reformer;Medium;3868;X
105158;Head of State;¿äÁ¦ÇÁ Æù ÇÕ½ººÎ¸£Å© ;1919;1933;1999;ML;Popular Figurehead;Medium;3869;X
105159;Head of State;Ä«¸¦ Æù ÇÕ½ººÎ¸£Å© ;1920;1933;1999;SL;Popular Figurehead;Medium;3870;X
105160;Head of State;ÆäÀÌµé ÁÙ·¯ ;1919;1931;1999;SD;Pig-headed Isolationist;Medium;9576;X
105161;Head of State;ÇÁ¸®µå¸®Ä¡ ÀÌ½´Æ®¹Ý ;1919;1933;1999;SC;powerhungry demagogue;High;3866;X
105162;Head of State;ÈÄ»ç¸£ Ä«·ÎÀÌ ;1919;1933;1999;SC;stern imperialist;Medium;9583;X
105163;Head of Government;º£¸°ÄÉÀÌ µ¥³×½Ã ;1919;1933;1999;ML;Political Protege;Medium;9569;X
105164;Head of Government;ÈÄ»ç¸£ Ä«·ÎÀÌ ;1919;1933;1999;SC;Happy Amateur;Medium;9583;X
105165;Head of Government;ÆäÀÌµé ÁÙ·¯ ;1919;1931;1999;SD;Ambitious Union Boss;Medium;9576;X
105166;Head of Government;º£Æ²·» ÀÌ½´Æ®¹Ý ;1918;1933;1999;ML;Backroom Backstabber;High;9578;X
105167;Head of Government;Ä«·ÎÀÌ ÁÙ·¯ ;1920;1933;1999;FA;Naive Optimist;High;9575;X
105168;Foreign Minister;Äï º§·¯ ;1914;1933;1999;LE;Ideological Crusader;Medium;3868;X
105169;Foreign Minister;º£¸°ÄÉÀÌ µ¥³×½Ã ;1919;1933;1999;SL;Apologetic Clerk;Medium;9569;X
105170;Foreign Minister;ÇÏ·¹¸£ Æä·»Ã÷ ;1919;1933;1999;SL;biased intellectual;Medium;9572;X
105171;Foreign Minister;Äï º§·¯ ;1914;1933;1999;LE;Ideological Crusader;Medium;3868;X
105172;Foreign Minister;Æ÷°¡´Ï ¿äÁ¦ÇÁ ;1919;1933;1999;LE;Ideological Crusader;Medium;9580;X
105173;Foreign Minister;¾Æ°í½´Åæ ÆäÅ×¸£ ;1919;1933;1999;SD;Great Compromiser;Medium;unknownminister;X
105174;Foreign Minister;ÅºÃÊ½Ã °¡º¸¸£ ;1919;1933;1999;ML;General Staffer;Very High;unknownminister;X
105175;Foreign Minister;·Î¹Ù½º ¸¶¸£Åæ ;1919;1933;1999;ML;Biased Intellectual;Medium;9587;X
105176;Foreign Minister;¼ò½ÃÄ¡ ¿äÁ¦ÇÁ ;1919;1933;1999;ML;Great Compromiser;Medium;9581;X
105177;Foreign Minister;½Ã¸ð½Ã ¼¢µµ¸£ ;1920;1933;1999;SD;Great Compromiser;Medium;3867;X
105178;Foreign Minister;ÅÚ·¹Å° ÆÈ ;1920;1941;1999;PA;Apologetic Clerk;High;M21055;X
105179;Foreign Minister;Â÷Å° ÀÓ·¹ ;1920;1933;1999;ML;Great Compromiser;High;9577;X
105180;Foreign Minister;±×·¯Ã÷ ±¸½ºÅ¸ºê ;1921;1933;1999;ML;Ideological Crusader;High;9574;X
105181;Foreign Minister;¹ÝÇÇ ºñÅ¬·Î½Ã ;1921;1933;1999;SL;Biased Intellectual;High;9588;X
105182;Foreign Minister;´õ·ç¹Ù¸® °ÔÀú ;1922;1933;1999;ML;Biased Intellectual;Medium;unknownminister;X
105183;Foreign Minister;º£Æ²·» ÀÌ½´Æ®¹Ý ;1924;1933;1999;PA;Great Compromiser;High;9578;X
105184;Foreign Minister;½´Ä¡Åäºê½ºÅ° Æ¼º¸¸£ ;1924;1933;1999;FA;Iron Fisted Brute;Medium;unknownminister;X
105185;Foreign Minister;¹úÄÚ ·¯¿ä½Ã ;1931;1964;1999;FA;Ideological Crusader;Medium;9585;X
105186;Foreign Minister;ÇªÅ° ¿£µå·¹ ;1932;1964;1999;FA;the cloak n dagger schemer;Medium;9570;X
105187;Foreign Minister;±¯ºÆ½Ã ÁÙ·¯ ;1933;1964;1999;FA;Ideological Crusader;High;M21002;X
105188;Foreign Minister;Ä«´Ï¾î Ä®¸¸ ;1933;1964;1999;PA;Great Compromiser;High;9582;X
105189;Minister of Armament;Ä«·ÎÀÌ ¹ÌÇÏÀÌ ;1914;1933;1999;SL;theoretical scientist;Medium;3864;X
105190;Minister of Armament;¼¾µ¥ ÆÈ ;1919;1933;1999;SL;laissez-faire capitalist;Medium;9589;X
105191;Minister of Armament;¹ö¸£°Å ¿¡¿ì°Õ ;1914;1933;1999;LE;resource industrialist;Medium;9571;X
105192;Minister of Armament;·»Á© ÁÙ·¯ ;1919;1933;1999;LE;Administrative Genius;Medium;unknownminister;X
105193;Minister of Armament;¼¼ÄÉÀÌ º§·¯ ;1919;1933;1999;LE;Oil baron;Medium;unknownminister;X
105194;Minister of Armament;¹Ì¾ÆÅ°Ä¡ Æä·»Ã÷ ;1919;1933;1999;LE;Steel magnate;Medium;unknownminister;X
105195;Minister of Armament;ÆäÀÌµé ÁÙ·¯ ;1919;1933;1999;SD;Laissez-Faire Capitalist;Medium;9576;X
105196;Minister of Armament;±×·ô ¾ß³ë½Ã ;1919;1933;1999;ML;Industrial chemist;Medium;unknownminister;X
105197;Minister of Armament;ÄÚ¶ó´Ï ÇÁ¸®Á¦½Ã ;1919;1933;1999;ML;Laissez-Faire Capitalist;Medium;9573;X
105198;Minister of Armament;Çì°ÔµÚ½Ã ·Î¶õÆ® ;1920;1933;1999;PA;Laissez-Faire Capitalist;Medium;9586;X
105199;Minister of Armament;ÇìÁ¦½´Çæ¹Ì ·¯¿ä½Ã ;1921;1933;1999;PA;Resource Industrialist;Medium;9584;X
105200;Minister of Armament;º£Æ²·» ÀÌ½´Æ®¹Ý ;1921;1933;1999;PA;Administrative Genius;High;9578;X
105201;Minister of Armament;Ä®·¯ÀÌ Æ¼º¸¸£ ;1921;1933;1999;PA;Laissez-Faire Capitalist;Medium;9591;X
105202;Minister of Armament;¹úÄÚ ·¯¿ä½Ã ;1924;1933;1999;PA;Planned economy proponent;Medium;9585;X
105203;Minister of Armament;ºÎµå ¾ß³ë½Ã ;1924;1933;1999;PA;Resource Industrialist;Medium;9579;X
105204;Minister of Armament;º£ÄÉ¸¦·¹ ¼¢µµ¸£ ;1928;1933;1999;PA;Military Entrepreneur;Medium;9590;X
105205;Minister of Armament;Ä«·ÎÀÌ ÁÙ·¯ ;1931;1964;1999;PA;Keynesian economy;Medium;9575;X
105206;Head of Government;»ì·¯½Ã Æä·»Ã÷ ;1944;1964;1999;NS;Happy Amateur;High;M21021;X
