FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
145031;Head of Government;유호 K. 파시키비 ;1944;1964;1999;SC;Flamboyant Tough Guy;High;2509;X
145032;Head of Government;퀴외스티 N. 얘르비넨 ;1946;1964;1999;SC;Silent Workhorse;High;2518;X
145033;Head of Government;에드빈 J. H. 린코미에스 ;1943;1964;1999;SC;Naive Optimist;High;M29063;X
145034;Head of Government;우르호 J. 카스트렌 ;1944;1964;1999;SC;Corporate Suit;High;M29064;X
145035;Head of Government;브루노 A. 살미알라 ;1933;1964;1999;FA;Flamboyant Tough Guy;High;M29011;X
145036;Head of Government;오토 빌레 쿠시넨 ;1939;1964;1999;ST;Flamboyant Tough Guy;High;2513;X
145037;Foreign Minister;안셀미 핏캐실타 ;1933;1964;1999;SD;Apologetic Clerk;Medium;M29067;X
145038;Foreign Minister;배이뇌 A. 탄네르 ;1939;1964;1999;SC;Ideological Crusader;Medium;2519;X
145039;Foreign Minister;배이뇌 키비살로 ;1943;1964;1999;SD;Iron Fisted Brute;Very High;2514;X
145040;Foreign Minister;에이노 R. 홀스티 ;1933;1964;1999;ML;Great Compromiser;Medium;M29071;X
145041;Foreign Minister;K. 배이뇌 보이온마 ;1938;1964;1999;ML;Apologetic Clerk;Medium;M29072;X
145042;Foreign Minister;유호 E. 에르코 ;1938;1964;1999;ML;Biased Intellectual;Medium;M29073;X
145043;Foreign Minister;롤프 J. 비팅 ;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;2520;X
145044;Foreign Minister;카를 J. 엥켈 ;1944;1964;1999;SD;Great Compromiser;Medium;2521;X
145045;Foreign Minister;아르비 A. 오크살라 ;1933;1964;1999;SC;General Staffer;Medium;2504;X
145046;Foreign Minister;카를 람사위 ;1943;1964;1999;SC;Iron Fisted Brute;Medium;M29077;X
145047;Foreign Minister;요한 W. 랑겔 ;1946;1964;1999;SC;Biased Intellectual;High;M29059;X
145048;Foreign Minister;힐야 E. 리피넨 ;1933;1964;1999;FA;Ideological Crusader;High;2522;X
145049;Foreign Minister;오토 빌레 쿠시넨 ;1939;1964;1999;ST;Apologetic Clerk;Low;2513;X
145050;Foreign Minister;헬라 M. 부올리요키 ;1942;1964;1999;ST;Great Compromiser;Low;2523;X
145051;Minister of Armament;V. 빌리얌 시니살로 ;1933;1964;1999;SD;Strategic Air Proponent;Medium;M29082;X
145052;Minister of Armament;카를 아우구스트 파게르홀름 ;1943;1964;1999;SD;Keynesian economy;Medium;2524;X
145053;Minister of Armament;마우노 페칼라 ;1944;1964;1999;SD;Theoretical Scientist;Medium;2516;X
145054;Minister of Armament;오토 토이보넨 ;1946;1964;1999;SD;Military Entrepreneur;Medium;M29085;X
145055;Minister of Armament;유호 니우카넨 ;1933;1964;1999;ML;Administrative Genius;Medium;2525;X
145056;Minister of Armament;아이모 K. 카얀데르 ;1939;1964;1999;ML;Resource Industrialist;Medium;2517;X
145057;Minister of Armament;퀴외스티 칼리오 ;1941;1964;1999;ML;Balanced budget economy;High;2511;X
145058;Minister of Armament;배이뇌 L. R. 발베 ;1944;1964;1999;ML;Military Entrepreneur;Medium;428;X
145059;Minister of Armament;야를 F. 룬드크비스트 ;1946;1964;1999;ML;Air to Sea Proponent;Very High;2507;X
145060;Minister of Armament;안티 V. 하크젤 ;1933;1964;1999;SC;Battle Fleet Proponent;Medium;2503;X
145061;Minister of Armament;페르 E. 스빈후부드 ;1933;1964;1999;SC;Tank Proponent;High;2501;X
145062;Minister of Armament;레오나르드 A. M. 그란델 ;1939;1964;1999;SC;Laissez-Faire Capitalist;Medium;392;X
145063;Minister of Armament;유호 K. 파시키비 ;1941;1964;1999;SC;Resource Industrialist;High;2509;X
145064;Minister of Armament;우르호 J. 카스트렌 ;1943;1964;1999;SC;Infantry Proponent;High;M29064;X
145065;Minister of Armament;에드빈 J. H. 린코미에스 ;1944;1964;1999;SC;Administrative Genius;Medium;M29063;X
145066;Minister of Armament;게오르그 A. 데 그리펜베리 ;1946;1964;1999;SC;Strategic Air Proponent;High;M29097;X
145067;Minister of Armament;K. 루돌프 발덴 ;1944;1964;1999;PA;Resource Industrialist;Medium;431;X
145068;Minister of Armament;유호 니우카넨 ;1933;1964;1999;FA;Tank Proponent;Medium;2525;X
145069;Minister of Armament;I. 비흐토리 I. 코솔라 ;1941;1964;1999;FA;Infantry Proponent;Low;2512;X
145070;Minister of Armament;마우리츠 F. 로센베리 ;1939;1964;1999;ST;Planned economy proponent;Low;2526;X
145071;Minister of Security;우르호 K. 케코넨 ;1933;1964;1999;ML;Compassionate Gentleman;Medium;2515;X
145072;Minister of Security;후고 E. 아텔라 ;1943;1964;1999;SD;Prince of Terror;Medium;2527;X
145073;Minister of Security;발프리드 에스콜라 ;1944;1964;1999;SD;Back Stabber;Medium;2528;X
145074;Minister of Security;올라비 I. 카얄라 ;1946;1964;1999;SD;Crime Fighter;Medium;2529;X
145075;Chief of Air Force;리차르드 로렌츠 ;1933;1964;1999;ML;Air Superiority Doctrine;Medium;437;X
145076;Minister of Security;에른스트 V. L. 본 보른 ;1941;1964;1999;ML;Silent Lawyer;Medium;2530;X
145077;Minister of Security;배이뇌 L. R. 발베 ;1943;1964;1999;ML;Compassionate Gentleman;Medium;428;X
145078;Minister of Security;레오 R. 에른로트 ;1944;1964;1999;ML;Man of the People;Medium;2531;X
145079;Minister of Security;위리외 K. 레이노 ;1945;1964;1999;ML;Efficient Sociopath;Medium;M29025;X
145080;Minister of Security;카를로 H. 힐릴래 ;1946;1964;1999;ML;Prince of Terror;Medium;M29111;X
145081;Minister of Security;토이보 J. 호렐리 ;1933;1964;1999;SC;Compassionate Gentleman;Medium;2532;X
145082;Minister of Security;에스코 리에키 ;1937;1964;1999;SC;Crime Fighter;High;2506;X
145083;Minister of Security;요한 W. 랑겔 ;1939;1964;1999;SC;Man of the People;High;M29059;X
145084;Minister of Security;퀴외스티 N. 얘르비넨 ;1943;1964;1999;SC;Silent Lawyer;Medium;2518;X
145085;Minister of Security;리스토 H. 리티 ;1946;1964;1999;SC;Back Stabber;High;2510;X
145086;Minister of Security;요우코 이탤래 ;1933;1964;1999;FA;Prince of Terror;Low;M29015;X
145087;Minister of Security;브루노 A. 살미알라 ;1943;1964;1999;FA;Secret police chief;Medium;M29011;X
145088;Minister of Security;위리외 K. 레이노 ;1939;1964;1999;ST;Secret police chief;Low;M29025;X
145089;Head of Military Intelligence;에드바르드 카얄라 ;1933;1964;1999;SD;Naval Intelligence Specialist;High;M29120;X
145090;Head of Military Intelligence;브루노 수비란타 ;1944;1964;1999;SD;Dismal Enigma;High;2533;X
145091;Head of Military Intelligence;얄마르 J. F. 프로코페 ;1941;1964;1999;ML;Political Specialist;High;2534;X
145092;Minister of Armament;B. 라이네르 본 피에안트 ;1943;1964;1999;ML;Laissez-Faire Capitalist;High;M29124;X
145093;Head of Military Intelligence;위리왜 W. 푸하카 ;1933;1964;1999;SC;Dismal Enigma;Medium;2505;X
145094;Head of Military Intelligence;배이뇌 L. R. 발베 ;1939;1964;1999;SC;Naval Intelligence Specialist;High;428;X
145095;Head of Military Intelligence;토이보 M. 키비매키 ;1943;1964;1999;SC;Logistics Specialist;High;2502;X
145096;Head of Military Intelligence;게오르그 A. 데 그리펜베리 ;1944;1964;1999;SC;Industrial Specialist;High;M29097;X
145097;Head of Military Intelligence;빌호 아날라 ;1933;1964;1999;FA;Dismal Enigma;Medium;2535;X
145098;Head of Military Intelligence;I. 비흐토리 I. 코솔라 ;1944;1964;1999;FA;Industrial Specialist;Medium;2512;X
145099;Head of Military Intelligence;투레 V. 레헨 ;1939;1964;1999;ST;Political Specialist;High;2536;X
145100;Chief of Staff;레오나르드 A. M. 그란델 ;1933;1964;1999;SD;School of Fire Support;Very High;392;X
145101;Chief of Staff;후고 V. 외스테르만 ;1933;1964;1999;SC;School of Mass Combat;Medium;436;X
145102;Chief of Staff;칼 구스타프 만네르헤임 ;1940;1964;1999;SC;School of Defence;Very High;2508;X
145103;Chief of Staff;쿠르트 M. 발레니우스 ;1933;1964;1999;FA;School of Psychology;High;432;X
145104;Chief of Staff;악셀리 안틸라 ;1939;1964;1999;ST;School of Mass Combat;Very High;2537;X
145105;Chief of Army;K. 배이뇌 보이온마 ;1933;1964;1999;SD;Guns and Butter Doctrine;Very High;M29140;X
145106;Chief of Army;K. 레나르트 오에슈 ;1933;1964;1999;SC;Elastic Defence Doctrine;High;412;X
145107;Chief of Army;칼 구스타프 만네르헤임 ;1933;1964;1999;SC;Decisive Battle Doctrine;Very High;2508;X
145108;Chief of Army;빌호 V. P. 헬라넨 ;1933;1964;1999;FA;Static Defence Doctrine;High;M29018;X
145109;Chief of Army;악셀리 안틸라 ;1939;1964;1999;ST;Guns and Butter Doctrine;Very High;2537;X
145110;Chief of Navy;클라에스 회뢸래 ;1933;1964;1999;SD;Open Seas Doctrine;High;M29148;X
145111;Chief of Navy;에로 라홀라 ;1933;1964;1999;SC;Power Projection Doctrine;High;M29150;X
145112;Chief of Navy;라우리 T. 티아이넨 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;2538;X
145113;Chief of Navy;에로 라홀라 ;1939;1964;1999;ST;Indirect Approach Doctrine;Very High;M29029;X
145114;Chief of Air Force;V. V. 발츠 포르바리 ;1933;1964;1999;SD;Army Aviation Doctrine;Very High;2539;X
145115;Chief of Air Force;토이보 소메르토 ;1933;1964;1999;SC;Air Superiority Doctrine;Very High;M29155;X
145116;Chief of Air Force;타우노 빌야넨 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;430;X
145117;Chief of Air Force;악셀리 안틸라 ;1939;1964;1999;ST;Army Aviation Doctrine;Very High;2537;X
145118;Foreign Minister;카를 J. A. 엔켈 ;1944;1964;1999;PA;Biased Intellectual;Medium;2521;X
145119;Head of Government;K. 루돌프 발덴 ;1940;1964;1999;SC;Happy Amateur;Medium;431;X
145120;Head of Government;에드빈 J. H. 린코미에스 ;1943;1964;1999;PA;Naive Optimist;High;M29063;X
145121;Head of State;퀴외스티 칼리오 ;1937;1964;1999;ML;Stern Imperialist;High;2511;X
145122;Head of State;칼 구스타프 만네르헤임 ;1944;1964;1999;ML;Resigned Generalissimo;High;2508;X
145123;Head of Government;카를 아우구스트 파게르홀름 ;1948;1964;1999;SD;Ambitious Union Boss;High;2524;X
145124;Minister of Armament;랄프 J. G. 퇴른렌 ;1948;1964;1999;SD;Military Entrepreneur;Medium;2540;X
145125;Minister of Security;카를 아우구스트 파게르홀름 ;1948;1964;1999;SD;Man of the People;Medium;2524;X
145126;Foreign Minister;오케 H. 가르츠 ;1950;1964;1999;ML;Apologetic Clerk;Medium;2541;X
145127;Foreign Minister;사카리 S. 투오미오야 ;1951;1964;1999;ML;Biased Intellectual;Medium;2542;X
145128;Foreign Minister;우르호 K. 케코넨 ;1952;1964;1999;ML;Iron Fisted Brute;Medium;2515;X
145129;Minister of Armament;오니 A. 힐투넨 ;1950;1964;1999;ML;Infantry Proponent;Very High;2543;X
145130;Minister of Armament;배이노 J. 수크셀라이넨 ;1951;1964;1999;ML;Administrative Genius;Very High;2544;X
145131;Minister of Armament;빌요 J. 란탈라 ;1952;1964;1999;ML;Laissez-Faire Capitalist;Very High;M29172;X
145132;Chief of Staff;요한네스 시흐보 ;1948;1964;1999;SL;School of Psychology;Very High;419;X
145133;Chief of Army;K. 라우리 T. 말름베리 ;1947;1964;1999;SL;Armoured Spearhead Doctrine;Very High;407;X
145134;Chief of Navy;요우코 O. 아르호 ;1948;1964;1999;SL;Indirect Approach Doctrine;Medium;L9757;X
145135;Chief of Air Force;올라비 사르코 ;1948;1964;1999;SL;Vertical Envelopment Doctrine;Very High;L9777;X
145136;Head of Military Intelligence;요한 V. 아라유리 ;1933;1964;1999;SC;Dismal Enigma;Medium;387;X
145137;Head of State;페르 에빈드 스빈후프부드 ;1908;1933;1999;SC;barking buffoon;Medium;9003;X
145138;Head of State;칼 구스타프 만네르헤임 ;1914;1933;1999;SC;popular figurehead;Medium;8959;X
145139;Head of State;오스카르 1세 ;1914;1933;1999;SC;weary stiffneck;Medium;8997;X
145140;Head of State;프레데리크 카를 1세 ;1914;1933;1999;SC;autocratic charmer;Medium;8967;X
145141;Head of State;카를로 유호 스톨베리 ;1914;1933;1999;ML;die-hard reformer;Medium;8985;X
145142;Head of Government;페르 에빈드 스빈후프부드 ;1908;1933;1999;SC;political protege;Medium;9003;X
145143;Head of Government;유호 쿠스티 파시키비 ;1914;1933;1999;ML;flamboyant tough guy;Medium;8979;X
145144;Head of Government;라우리 잉만 ;1914;1933;1999;SC;backroom backstabber;Medium;8994;X
145145;Head of Government;카를로 카스트렌 ;1914;1933;1999;ML;silent workhorse;Medium;8982;X
145146;Head of Government;유호 베놀라 ;1914;1933;1999;ML;smiling oilman;Medium;8980;X
145147;Head of Government;라파엘 발데마르 에리크 ;1914;1933;1999;SC;naive optimist;Medium;9004;X
145148;Head of Government;퀴외스티 칼리오 ;1914;1933;1999;SL;corporate suit;Medium;8993;X
145149;Foreign Minister;오토 스텐로트 ;1908;1933;1999;ML;iron fisted brute;Medium;9001;X
145150;Foreign Minister;카를 엔켈 ;1914;1933;1999;ML;general staffer;Medium;8957;X
145151;Foreign Minister;루돌프 홀스티 ;1914;1933;1999;ML;ideological crusader;Medium;9005;X
145152;Foreign Minister;유호 베놀라 ;1914;1933;1999;ML;great compromiser;Medium;8980;X
145153;Foreign Minister;얄마르 프로코페 ;1914;1933;1999;ML;apologetic clerk;Medium;unknownminister;X
145154;Foreign Minister;레오 에른루트 ;1914;1933;1999;ML;biased intellectual;Medium;8995;X
145164;Minister of Armament;헤이키 가브리엘 렌발 ;1908;1933;1999;ML;administrative genius;Medium;8973;X
145165;Minister of Armament;율리우스 셰른발 ;1916;1933;1999;ML;laissez-faire capitalist;Medium;8981;X
145166;Minister of Armament;유호 베놀라 ;1918;1933;1999;ML;corrupt kleptocrat;Medium;8980;X
145167;Minister of Armament;에로 에르코 ;1918;1933;1999;ML;resource industrialist;Medium;8962;X
145168;Minister of Armament;레오 에른루트 ;1918;1933;1999;ML;theoretical scientist;Medium;8995;X
145169;Minister of Armament;얄마르 프로코페 ;1918;1933;1999;ML;Oil baron;Medium;unknownminister;X
145170;Minister of Armament;에르키 마코넨 ;1919;1933;1999;ML;Steel magnate;Medium;unknownminister;X
145171;Minister of Armament;아우쿠스티 아호 ;1920;1933;1999;ML;Industrial chemist;Medium;unknownminister;X
145172;Minister of Armament;에르키 풀리넨 ;1921;1933;1999;ML;Planned economy proponent;Medium;unknownminister;X
145173;Minister of Armament;악셀 팔름그렌 ;1922;1933;1999;ML;Keynesian economy;Medium;8953;X
145174;Minister of Armament;빌헬름 알렉산데르 테슬레프 ;1908;1933;1999;ML;infantry proponent;Medium;9010;X
145175;Minister of Armament;루돌프 발덴 ;1916;1933;1999;ML;tank proponent;Medium;8990;X
145176;Minister of Armament;카를 에밀 베리 ;1918;1921;1999;ML;military entrepreneur;Medium;8988;X
145177;Minister of Armament;브루노 얄란데르 ;1918;1933;1999;ML;air to ground proponent;Medium;8955;X
145178;Minister of Armament;오니 해맬래이넨 ;1918;1933;1999;ML;air to sea proponent;Medium;unknownminister;X
145179;Minister of Armament;퀴외스티 칼리오 ;1918;1933;1999;SL;air superiority proponent;Medium;8993;X
145180;Minister of Armament;빌호 네노넨 ;1919;1933;1999;ML;strategic air proponent;Medium;9011;X
145181;Minister of Armament;빅토르 슈빈트 ;1920;1933;1999;ML;battle fleet proponent;Medium;unknownminister;X
145182;Minister of Armament;이바르 아미노프 ;1921;1933;1999;ML;submarine proponent;Medium;unknownminister;X
145183;Minister of Armament;카를로 말름베리 ;1922;1933;1999;ML;military entrepreneur;Medium;8986;X
145184;Minister of Security;아르투르 카스트렌 ;1908;1933;1999;ML;compassionate gentleman;Medium;unknownminister;X
145185;Minister of Security;안티 툴렌헤이모 ;1916;1933;1999;SC;man of the people;Medium;8952;X
145186;Minister of Security;카를 보스 슈라데르 ;1918;1933;1999;ML;prince of terror;Medium;unknownminister;X
145187;Minister of Security;헤이키 리타부오리 ;1918;1922;1999;ML;crime fighter;Medium;8974;X
145188;Minister of Security;알베르트 본 헬렌스 ;1918;1933;1999;ML;silent lawyer;Medium;8950;X
145189;Minister of Security;헤이모 헬미넨 ;1918;1933;1999;ML;back stabber;Medium;unknownminister;X
145190;Minister of Security;위르외 요한네스 에스켈래 ;1920;1933;1999;ML;efficient sociopath;Medium;unknownminister;X
145191;Minister of Security;빌쿠 요우카하이넨 ;1920;1933;1999;SL;crooked kleptocrat;Medium;9012;X
145192;Minister of Security;군나르 살스테인 ;1920;1933;1999;SC;Media magnate;Medium;8970;X
145193;Minister of Security;알렉산데르 프레위 ;1918;1933;1999;ML;Health and safety;Medium;unknownminister;X
145194;Head of Military Intelligence;에이노 수올라흐티 ;1908;1933;1999;ML;industrial specialist;Medium;8963;X
145195;Head of Military Intelligence;카이 도네르 ;1916;1933;1999;ML;political specialist;Medium;8987;X
145196;Head of Military Intelligence;토이보 후키넨 ;1918;1933;1999;ML;dismal enigma;Medium;unknownminister;X
145197;Head of Military Intelligence;오시안 홀름스트룀 ;1918;1933;1999;ML;naval intelligence specialist;Medium;9000;X
145198;Head of Military Intelligence;프란스 클레메티 ;1920;1923;1999;ML;technical specialist;Medium;unknownminister;X
145199;Head of Military Intelligence;에스코 리에키 ;1921;1933;1999;ML;logistics specialist;Medium;8966;X
145200;Chief of Staff;파울 마르틴 베체르 ;1908;1933;1999;ML;school of fire support;Medium;9002;X
145201;Chief of Staff;카를 에밀 베리 ;1916;1921;1999;ML;school of manoeuvre;Medium;8988;X
145202;Chief of Staff;카를 구스타프 테슬뢰프 ;1918;1933;1999;ML;school of defence;Medium;8960;X
145203;Chief of Staff;요한네스 페르디난드 이그나티우스 ;1918;1933;1999;ML;school of psychology;Medium;8977;X
145204;Chief of Staff;닐스 가브리엘 프로코페 ;1918;1933;1999;ML;school of fire support;Medium;unknownminister;X
145205;Chief of Staff;콘라드 본 레데른 ;1918;1933;1999;SC;school of manoeuvre;Medium;8992;X
145206;Chief of Staff;알렉산데르 본 아들레르플루그 ;1918;1933;1999;ML;school of defence;Medium;8951;X
145207;Chief of Staff;오스카르 폴 엔켈 ;1919;1933;1999;ML;school of psychology;Medium;8998;X
145208;Chief of Staff;얄마르 알렉산데르 쇠데르만 ;1922;1933;1999;ML;school of mass combat;Medium;unknownminister;X
145209;Chief of Staff;에릭 헤인릭스 ;1922;1933;1999;ML;commando doctrine staff;Medium;unknownminister;X
145210;Chief of Army;칼 구스타프 만네르헤임 ;1908;1933;1999;SC;guns and butter doctrine;Medium;8959;X
145211;Chief of Army;카를 프레드리크 빌카마 ;1918;1933;1999;ML;armoured spearhead doctrine;Medium;8989;X
145212;Chief of Army;빌헬름 알렉산데르 테슬레프 ;1918;1933;1999;ML;decisive battle doctrine;Medium;9010;X
145213;Chief of Army;루돌프 발덴 ;1918;1933;1999;ML;static defence doctrine;Medium;8990;X
145214;Chief of Army;카를로 에드바르드 키베캐스 ;1918;1933;1999;ML;elastic defence doctrine;Medium;8984;X
145215;Chief of Army;빌호 네노넨 ;1921;1933;1999;ML;commando doctrine army;Medium;9011;X
145216;Chief of Navy;요한네스 인드레니우스 ;1908;1919;1999;ML;decisive naval battle doctrine;Medium;8978;X
145217;Chief of Navy;얄마르 본 본스도르프 ;1916;1933;1999;ML;power projection doctrine;Medium;8975;X
145218;Chief of Navy;구스타프 본 쇼울츠 ;1920;1933;1999;ML;indirect approach doctrine;Medium;unknownminister;X
145219;Chief of Air Force;스투레 란데르그렌 ;1908;1933;1999;ML;carpet bombing doctrine;Medium;unknownminister;X
145220;Chief of Air Force;요한 알란 히게르트 ;1914;1933;1999;ML;naval aviation doctrine;Medium;unknownminister;X
145221;Chief of Air Force;카를 세베르 ;1914;1933;1999;SC;air superiority doctrine;Medium;8961;X
145222;Chief of Air Force;토르스텐 이반 아미노프 ;1916;1933;1999;ML;army aviation doctrine;Medium;9006;X
145223;Chief of Air Force;식스투스 옐만 ;1918;1933;1999;ML;vertical envelopment doctrine;Medium;unknownminister;X
145224;Chief of Air Force;아르네 사카리 소메르살로 ;1920;1933;1999;ML;air superiority doctrine;Medium;unknownminister;X
