COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
175053;Minister of Armament;프란시스코 바르베리 ;1944;1964;1999;SD;laissez-faire capitalist;Medium;M37076;X
175054;Minister of Armament;움베르토 치카 핀손 ;1938;1964;1999;SL;Theoretical Scientist;Medium;M37077;X
175055;Minister of Armament;카밀로 다사 알바레스 ;1940;1964;1999;SL;Air Superiority Proponent;Medium;M37078;X
175056;Minister of Armament;알레한드로 갈비스 ;1942;1964;1999;SL;Corrupt Kleptocrat;Medium;M37079;X
175057;Minister of Armament;플리니오 멘도사 ;1945;1964;1999;SL;Corrupt Kleptocrat;Medium;M37080;X
175058;Minister of Armament;마우리시오 소토 고메스 ;1946;1964;1999;SL;Submarine Proponent;Medium;M37081;X
175059;Minister of Armament;알베르토 라리뇨 체이네 ;1938;1964;1999;SC;Air to Sea Proponent;Medium;M37082;X
175060;Minister of Armament;윌리암 마르티네스 페레스 ;1939;1964;1999;SC;Tank Proponent;Medium;M37083;X
175061;Minister of Armament;호아킨 페르난데스 ;1942;1964;1999;SC;Resource Industrialist;Medium;M37035;X
175062;Minister of Armament;마리아노 오스피나 페레스 ;1944;1964;1999;SC;Military Entrepreneur;Medium;M37038;X
175063;Minister of Armament;카를로스 아란고 벨레스 ;1933;1964;1999;SC;Battle Fleet Proponent;High;M37036;X
175064;Minister of Armament;카밀로 오스피나 베르날 ;1946;1964;1999;SC;Resource Industrialist;High;M37087;X
175065;Minister of Armament;안토니오 아세베도 ;1938;1964;1999;FA;Corrupt Kleptocrat;Medium;M37014;X
175066;Minister of Armament;훌리오 발데스 ;1947;1964;1999;PA;Theoretical Scientist;Medium;M37011;X
175067;Minister of Armament;호르헤 로아 마르티네스 ;1938;1964;1999;LWR;Infantry Proponent;Medium;M37005;X
175068;Minister of Armament;가브리엘 모랄레스 ;1946;1964;1999;LWR;Battle Fleet Proponent;Medium;M37029;X
175069;Minister of Armament;카를로스 로사노 ;1947;1964;1999;LWR;laissez-faire capitalist;High;M37044;X
175070;Minister of Security;라파엘 히랄도 바르가스 ;1942;1964;1999;SD;Crooked Kleptocrat;Medium;M37093;X
175071;Minister of Security;라파엘 호이만 ;1943;1964;1999;SD;Compassionate Gentleman;Medium;M37094;X
175072;Minister of Security;알베르토 예라스 카마르고 ;1939;1964;1999;SD;Silent Lawyer;High;M37033;X
175073;Minister of Security;프란세스코 우루티아 ;1938;1964;1999;SL;Man of the People;Medium;M37096;X
175074;Minister of Security;베니토 에르난데스 ;1942;1964;1999;SL;Back Stabber;Medium;M37004;X
175075;Minister of Security;엔리케 고메스 우르타도 ;1945;1964;1999;SL;Crime Fighter;Medium;M37099;X
175076;Minister of Security;에두아르도 술레타 카스티요 ;1946;1964;1999;SL;Crooked Kleptocrat;High;M37064;X
175077;Minister of Security;카이사레 구스타베스 ;1938;1964;1999;SC;Crooked Kleptocrat;Medium;M37101;X
175078;Minister of Security;호세 에이스 킨사도 ;1942;1964;1999;SC;Back Stabber;Medium;M37016;X
175079;Minister of Security;울피아노 렌기포 카르데나스 ;1945;1964;1999;SC;Efficient Sociopath;Medium;M37103;X
175080;Minister of Security;프란세스코 우루티아 ;1947;1964;1999;SC;Man of the People;Medium;M37096;X
175081;Minister of Security;멜리톤 로드리게스 롤단 ;1938;1964;1999;FA;Efficient Sociopath;Low;M37013;X
175082;Minister of Security;구스타보 로하스 피니야 ;1945;1964;1999;PA;Prince of Terror;Medium;M37040;X
175083;Minister of Security;M.E. 로하스 데 모레노 ;1947;1964;1999;PA;Man of the People;Medium;M37107;X
175084;Minister of Security;레온 데 그레이프 ;1938;1964;1999;LWR;Man of the People;Very Low;M37025;X
175085;Minister of Security;호르헤 로페스 수요 ;1941;1964;1999;LWR;Prince of Terror;Low;M37109;X
175086;Minister of Security;다리오 에찬디아 ;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M37045;X
175087;Head of Military Intelligence;호르헤 로페스 수요 ;1942;1964;1999;SD;Political Specialist;Low;M37109;X
175088;Head of Military Intelligence;마누엘 아리산 로페스 ;1944;1964;1999;SD;Technical Specialist;Low;M37112;X
175089;Head of Military Intelligence;에두아르도 몬테호 ;1938;1964;1999;SL;Technical Specialist;Medium;M37032;X
175090;Head of Military Intelligence;마우리시오 소토 고메스 ;1942;1964;1999;SL;Naval Intelligence Specialist;Medium;M37081;X
175091;Head of Military Intelligence;엔리코 디아스 카리아스 ;1946;1964;1999;SL;Political Specialist;Low;M37116;X
175092;Head of Military Intelligence;에두아르도 포리에르 ;1938;1964;1999;SC;Logistics Specialist;Medium;M37008;X
175093;Head of Military Intelligence;안토니오 아세베도 ;1942;1964;1999;SC;Dismal Enigma;Medium;M37014;X
175094;Head of Military Intelligence;기예르모 파디야 만리케 ;1945;1964;1999;SC;Dismal Enigma;Medium;M37119;X
175095;Head of Military Intelligence;호세 에이스 킨사도 ;1938;1964;1999;FA;Logistics Specialist;Medium;M37016;X
175096;Head of Military Intelligence;멜리톤 로드리게스 롤단 ;1946;1964;1999;PA;Political Specialist;Low;M37013;X
175097;Head of Military Intelligence;엔리코 디아스 카리아스 ;1947;1964;1999;PA;Dismal Enigma;Low;M37116;X
175098;Head of Military Intelligence;케리스타 세요르 ;1938;1964;1999;ST;Dismal Enigma;Medium;M37021;X
175099;Head of Military Intelligence;레온 데 그레이프 ;1946;1964;1999;LWR;Technical Specialist;Very Low;M37025;X
175100;Chief of Staff;루이스 아세베도 ;1942;1964;1999;SD;School of Mass Combat;Medium;M37009;X
175101;Chief of Staff;호세 기사 이 에스칼라르 ;1943;1964;1999;SD;School of Defence;Medium;M37127;X
175102;Chief of Staff;카밀로 다사 알바레스 ;1938;1964;1999;SL;School of Psychology;Medium;M37078;X
175103;Chief of Staff;에두아르도 포리에르 ;1938;1964;1999;SC;School of Fire Support;High;M37008;X
175104;Chief of Staff;살바도르 티아가 곤살레스 ;1942;1964;1999;SC;School of Psychology;High;M37131;X
175105;Chief of Staff;루벤 피에드라이타 아랑고 ;1938;1964;1999;PA;School of Manoeuvre;Medium;M37017;X
175106;Chief of Staff;구스타보 로하스 피니야 ;1946;1964;1999;PA;School of Psychology;Medium;M37133;X
175107;Chief of Staff;루이스 베르나르도 ;1938;1964;1999;ST;School of Psychology;Medium;M37027;X
175108;Chief of Staff;호르헤 로페스 수요 ;1946;1964;1999;LWR;School of Manoeuvre;Low;M37109;X
175109;Chief of Army;루이스 아세베도 ;1938;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M37009;X
175110;Chief of Army;구스타보 로하스 피니야 ;1944;1964;1999;SD;Static Defence Doctrine;Medium;M37133;X
175111;Chief of Army;마누엘 키노네스 ;1938;1964;1999;SL;Static Defence Doctrine;Medium;M37138;X
175112;Chief of Army;호세 기사 이 에스칼라르 ;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M37127;X
175113;Chief of Army;루벤 피에드라이타 아랑고 ;1938;1964;1999;SC;Decisive Battle Doctrine;Medium;M37017;X
175114;Chief of Army;기예르모 파디야 만리케 ;1946;1964;1999;SC;Guns and Butter Doctrine;Medium;M37119;X
175115;Chief of Army;케리스타 세요르 ;1938;1964;1999;ST;Guns and Butter Doctrine;Medium;M37021;X
175116;Chief of Navy;마리오 에스피노사 ;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M37019;X
175117;Chief of Navy;마우리시오 소토 고메스 ;1945;1964;1999;SL;Open Seas Doctrine;Medium;M37081;X
175118;Chief of Navy;살바도르 티아가 곤살레스 ;1938;1964;1999;SC;Base Control Doctrine;High;M37131;X
175119;Chief of Navy;가브리엘 모랄레스 ;1938;1964;1999;LWR;Power Projection Doctrine;Medium;M37029;X
175120;Chief of Air Force;루이스 아세베도 ;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M37009;X
175121;Chief of Air Force;살바도르 티아가 곤살레스 ;1943;1964;1999;SD;Vertical Envelopment Doctrine;High;M37131;X
175122;Chief of Air Force;마누엘 키노네스 ;1938;1964;1999;SL;Carpet Bombing Doctrine;Medium;M37138;X
175123;Chief of Air Force;카밀로 다사 알바레스 ;1942;1964;1999;SL;Air Superiority Doctrine;Medium;M37078;X
175124;Chief of Air Force;아르투로 레마 파사다 ;1945;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M37154;X
175125;Chief of Air Force;펠릭스 메르카도 ;1938;1964;1999;SC;Army Aviation Doctrine;Medium;M37156;X
175126;Chief of Air Force;엔리코 디아스 카리아스 ;1942;1964;1999;SC;Naval Aviation Doctrine;Low;M37116;X
175127;Chief of Air Force;루이스 로드리게스 ;1938;1964;1999;PA;Carpet Bombing Doctrine;Medium;M37020;X
175128;Chief of Air Force;헤르만 올라노 ;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M37010;X
175129;Chief of Air Force;루이스 베르나르도 ;1938;1964;1999;ST;Naval Aviation Doctrine;Medium;M37027;X
175130;Chief of Air Force;라파엘 호이만 ;1946;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M37094;X
175131;Head of State;알폰소 로페스 푸마레호 ;1942;1964;1999;SD;Weary Stiffneck;High;M37001;X
175132;Head of State;구스타보 로하스 피니야 ;1945;1964;1999;SD;Resigned Generalissimo;High;M37040;X
175133;Head of State;라우레아노 고메스 ;1950;1964;1999;SC;Barking Buffoon;High;M37067;X
175134;Chief of Army;가브리엘 파리스 고르디요 ;1952;1964;1999;SD;Elastic Defence Doctrine;Medium;M37169;X
175135;Chief of Army;페드로 넬 오스피나 ;1914;1933;1999;SC;Static Defence Doctrine;Very High;2363;X
175136;Chief of Army;라파엘 델 코랄 ;1914;1933;1999;SC;Decisive Battle Doctrine;Very High;unknownminister;X
175137;Chief of Staff;페드로 넬 오스피나 ;1914;1933;1999;SC;School of Defence;Very High;2363;X
175138;Chief of Staff;라파엘 델 코랄 ;1914;1933;1999;SC;School of Defence;Very High;unknownminister;X
175139;Chief of Staff;기예르모 칼데론 ;1914;1933;1999;SC;School of Mass Combat;Very High;2364;X
175140;Chief of Staff;페드로 M. 카레뇨 ;1914;1933;1999;SC;School of Mass Combat;Very High;5968;X
175141;Chief of Staff;이사이아스 루한 ;1914;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175142;Chief of Staff;기예르모 카스티요 ;1915;1933;1999;SC;School of Fire Support;High;2365;X
175143;Chief of Staff;페드로 후스토 베리오 ;1915;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175144;Chief of Staff;안토니오 호세 카다비드 ;1915;1933;1999;SL;School of Mass Combat;High;unknownminister;X
175145;Chief of Staff;살바도르 프랑코 ;1916;1933;1999;PA;school of manoeuvre;High;unknownminister;X
175146;Chief of Staff;호르헤 로아 ;1918;1933;1999;SC;school of manoeuvre;High;unknownminister;X
175147;Chief of Staff;보니파시오 벨레스 ;1921;1933;1999;SC;School of Fire Support;High;unknownminister;X
175148;Chief of Staff;아리스토불로 아르칠라 ;1921;1933;1999;SC;School of Mass Combat;High;5969;X
175149;Chief of Staff;카를로스 벨레스 다니에스 ;1922;1933;1999;SC;school of defence;High;5970;X
175150;Chief of Staff;호세 울리세스 오소리오 ;1922;1933;1999;SC;School of Mass Combat;High;5971;X
175151;Chief of Staff;알폰소 하라미요 이사사 ;1923;1933;1999;PA;School of Fire Support;High;unknownminister;X
175152;Chief of Staff;카를로스 하라미요 이사사 ;1924;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175153;Foreign Minister;마르코 피델 수아레스 ;1914;1933;1999;SC;Great Compromiser;Very High;2366;X
175154;Foreign Minister;호르헤 올긴 ;1914;1933;1999;SC;Ideological Crusader;Very High;2367;X
175155;Foreign Minister;엔리케 올라야 에레라 ;1914;1933;1999;SC;General Staffer;Very High;2368;X
175156;Foreign Minister;페드로 안토니오 몰리나 ;1917;1933;1999;SC;Biased Intellectual;High;unknownminister;X
175157;Foreign Minister;에르난도 올긴 ;1919;1933;1999;SC;Apologetic Clerk;High;unknownminister;X
175158;Foreign Minister;프란시스코 몬타냐 ;1920;1933;1999;SC;Ideological Crusader;High;unknownminister;X
175159;Foreign Minister;라우레아노 가르시아 ;1920;1933;1999;SC;Apologetic Clerk;High;5972;X
175160;Foreign Minister;호세 비센테 콘차 ;1921;1933;1999;SC;Iron Fisted Brute;High;5973;X
175161;Foreign Minister;카를로스 아돌포 우루에타 ;1921;1933;1999;SC;Ideological Crusader;High;5974;X
175162;Foreign Minister;루카스 카바예로 바레라 ;1922;1933;1999;SL;Biased Intellectual;High;5975;X
175163;Foreign Minister;호르헤 벨레스 ;1922;1933;1999;SC;Apologetic Clerk;High;unknownminister;X
175164;Head of Government;호세 비센테 콘차 ;1914;1933;1999;SC;Flamboyant Tough Guy;Very High;5973;X
175165;Head of Government;마르코 피델 수아레스 ;1918;1933;1999;SC;silent workhorse;Very High;5976;X
175166;Head of Government;호르헤 올긴 ;1914;1933;1999;SC;naive optimist;Very High;2369;X
175167;Head of Government;기예르모 칼데론 ;1914;1933;1999;SC;Political Protege;High;5977;X
175168;Head of Government;클로도미로 라미레스 ;1914;1933;1999;SC;Ambitious Union Boss;High;5978;X
175169;Head of Government;페드로 안토니오 몰리나 ;1918;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175170;Head of Government;마르셀리노 아랑고 ;1918;1933;1999;PA;Ambitious Union Boss;High;unknownminister;X
175171;Head of Government;루이스 쿠에르보 마르케스 ;1919;1933;1999;SC;Ambitious Union Boss;High;5979;X
175172;Head of Government;아리스토불로 아르칠라 ;1921;1933;1999;SC;Ambitious Union Boss;High;5969;X
175173;Head of Government;미겔 히메네스 로페스 ;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175174;Head of Government;루이스 메히아 알바레스 ;1921;1933;1999;SC;Ambitious Union Boss;High;5980;X
175175;Head of Government;가비노 에르난데스 ;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175176;Head of Government;빅토르 마누엘 살라사르 ;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175177;Head of Government;미겔 히메네스 로페스 ;1922;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175178;Head of Government;호세 울리세스 오소리오 ;1923;1933;1999;SC;Ambitious Union Boss;High;5971;X
175179;Head of Military Intelligence;기예르모 발렌시아 ;1914;1933;1999;SC;political specialist;Very High;2365;X
175180;Head of State;호세 비센테 콘차 ;1914;1933;1999;SC;Stern Imperialist;Very High;5973;X
175181;Head of State;마르코 피델 수아레스 ;1918;1933;1999;SC;Autocratic Charmer;Very High;5976;X
175182;Head of State;호르헤 올긴 ;1921;1933;1999;PA;Benevolent Gentleman;Very High;2369;X
175183;Head of State;페드로 넬 오스피나 ;1920;1933;1999;SC;Autocratic Charmer;High;2363;X
175184;Minister of Security;에밀리오 페레로 ;1914;1933;1999;SC;Crime Fighter;High;5981;X
175185;Head of State;엔리케 올라야 에레라 ;1930;1937;1999;SC;Die-hard Reformer;High;3985;X
175186;Head of Government;엔리케 올라야 에레라 ;1930;1937;1999;SC;Silent Workhorse;High;3985;X
