ISR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
675035;Head of Military Intelligence;이치하크 그루엔바움 ;1944;1964;1999;SL;Dismal Enigma;Medium;M559035;X
675036;Head of Military Intelligence;레를 카츠넬손 ;1933;1964;1999;LE;Industrial Specialist;Medium;M559036;X
675037;Head of Military Intelligence;메나헴 슈니에르손 ;1937;1964;1999;LE;Naval Intelligence Specialist;Medium;M559037;X
675038;Chief of Staff;로만 자카리 ;1933;1964;1999;PA;School of Defence;Medium;M559038;X
675039;Chief of Staff;질로샤하프트 하르카비 ;1942;1964;1999;PA;School of Psychology;Medium;M559039;X
675040;Chief of Staff;리하르트 실베르스타인 ;1933;1964;1999;LE;School of Mass Combat;Medium;M559040;X
675041;Chief of Army;핀하스 로센가르텐 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M559041;X
675042;Chief of Army;모셰 다얀 ;1944;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M559042;X
675043;Chief of Army;아모스 조레프 ;1933;1964;1999;LE;Decisive Battle Doctrine;Medium;M559043;X
675044;Chief of Navy;하임 그룬발트 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M559044;X
675045;Chief of Navy;모셰 크렐리츠 ;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M559045;X
675046;Chief of Air Force;크리스 마게에 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M559046;X
675047;Chief of Air Force;레우벤 볼프 ;1933;1964;1999;LE;Air Superiority Doctrine;Medium;M559047;X
675048;Head of State;이치하크 벤 즈비 ;1952;1964;1999;SL;Ruthless Powermonger;High;M559017;X
675049;Minister of Security;이치하크 그루엔바움 ;1948;1964;1999;SL;Prince of Terror;Medium;M559035;X
675050;Head of Military Intelligence;요세프 스피린자크 ;1948;1964;1999;SL;Industrial Specialist;Medium;M559023;X
675051;Chief of Army;다비드 벤 구리온 ;1948;1964;1999;SL;Decisive Battle Doctrine;Medium;M559002;X
675052;Chief of Staff;아리엘 샤론 ;1956;1964;1999;SC;School of Psychology;Very High;6067;x
675053;Chief of Staff;아브라함 요페 ;1955;1964;1999;PA;School of Mass Combat;High;6068;x
675054;Chief of Staff;아브라함 요페 ;1955;1964;1999;SC;School of Mass Combat;High;6068;x
