GRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
90048;Foreign Minister;콘스탄디노스 렌디스 ;1946;1964;1999;SL;Apologetic Clerk;Medium;M18069;X
90049;Foreign Minister;이오아니스 메탁사스 ;1933;1964;1999;SC;General Staffer;Very High;M18049;X
90050;Foreign Minister;알렉산드로스 코리지스 ;1941;1964;1999;SC;Great Compromiser;Medium;M18050;X
90051;Foreign Minister;엠마누일 추데로스 ;1941;1964;1999;SC;Apologetic Clerk;Medium;M18051;X
90052;Foreign Minister;소포클리스 베니젤로스 ;1944;1964;1999;SC;Great Compromiser;Very High;M18012;X
90053;Foreign Minister;콘스탄디노스 찰다리스 ;1946;1964;1999;ML;The Cloak N Dagger Schemer;Very High;M18053;X
90054;Foreign Minister;디모스테네스 니콜라디스 ;1933;1964;1999;FA;Ideological Crusader;Very High;M18075;X
90055;Foreign Minister;예오르이아스 촐라코울루 ;1941;1964;1999;NS;General Staffer;Very High;M18056;X
90056;Foreign Minister;콘스탄디노스 로고테토풀로스 ;1942;1964;1999;NS;Biased Intellectual;High;M18057;X
90057;Foreign Minister;이오아니스 랄리스 ;1943;1964;1999;NS;The Cloak N Dagger Schemer;Very High;M18058;X
90058;Foreign Minister;예오르요스 파판드레우 ;1945;1964;1999;PA;Biased Intellectual;Very High;M18015;X
90059;Foreign Minister;이오아니스 소크라티스 폴리티스 ;1945;1964;1999;PA;Apologetic Clerk;Very High;M18080;X
90060;Foreign Minister;파나요티스 카넬로풀로스 ;1945;1964;1999;PA;Great Compromiser;Medium;M18062;X
90061;Foreign Minister;파나요티오스 데메스티하스 ;1946;1964;1999;PA;General Staffer;Very High;M18082;X
90062;Foreign Minister;니코스 자하리아디스 ;1933;1964;1999;ST;Ideological Crusader;Very High;M18022;X
90063;Foreign Minister;밀티아디스 포르피네로예니스 ;1946;1964;1999;ST;General Staffer;Very High;M18029;X
90064;Foreign Minister;페트로스 루소스 ;1947;1964;1999;ST;Biased Intellectual;Very High;M18085;X
90065;Minister of Armament;마르코스 아가노소스 ;1933;1964;1999;SL;Corrupt Kleptocrat;Medium;M18086;X
90066;Minister of Armament;테오도로스 마르살 ;1937;1964;1999;SL;Resource Industrialist;Medium;M18087;X
90067;Minister of Armament;테미스토클레스 소풀리스 ;1941;1964;1999;SL;Administrative Genius;High;M18014;X
90068;Minister of Armament;알렉산드로스 스볼로스 ;1944;1964;1999;SL;Resource Industrialist;High;M18089;X
90069;Minister of Armament;디미트리오스 구시스 ;1945;1964;1999;SL;Battle Fleet Proponent;High;M18090;X
90070;Minister of Armament;알렉시우 차모토스 ;1933;1964;1999;SC;Submarine Proponent;High;M18091;X
90071;Minister of Armament;안디네 프란일리스 ;1938;1964;1999;SC;Air Superiority Proponent;Medium;M18092;X
90072;Minister of Armament;타나소스 엑사이아리스 ;1939;1964;1999;SC;laissez-faire capitalist;Medium;M18093;X
90073;Minister of Armament;타키스 피페넬리스 ;1940;1964;1999;SC;Theoretical Scientist;Medium;M18094;X
90074;Minister of Armament;엘레프테리오스 베니젤로스 ;1941;1964;1999;SC;Air to Ground Proponent;Medium;M18010;X
90075;Minister of Armament;가에키아 예아나도스 ;1942;1964;1999;SC;Strategic Air Proponent;Medium;M18096;X
90076;Minister of Armament;아나스타시오스 바르디빌리아스 ;1943;1964;1999;SC;Air to Sea Proponent;Medium;M18097;X
90077;Minister of Armament;아나타시오스 카넬로풀로스 ;1944;1964;1999;SC;Administrative Genius;Very High;M18098;X
90078;Minister of Armament;요르요스 라브다스 ;1945;1964;1999;SC;Tank Proponent;Very High;M18099;X
90079;Minister of Armament;알히비아데스 스테파노풀로스 ;1946;1964;1999;SC;laissez-faire capitalist;Medium;M18100;X
90080;Minister of Armament;파나이스 찰다리스 ;1938;1964;1999;FA;Air to Sea Proponent;High;M18055;X
90081;Minister of Armament;파블로스 밀지아디스 ;1941;1964;1999;NS;Resource Industrialist;Medium;M18103;X
90082;Minister of Armament;흐리스토스 치간데스 ;1942;1964;1999;NS;Resource Industrialist;Medium;M18104;X
90083;Minister of Armament;니콜라오스 부치나리스 ;1943;1964;1999;NS;Theoretical Scientist;High;M18105;X
90084;Minister of Armament;이오아니스 베니젤로스 ;1944;1964;1999;PA;Military Entrepreneur;Medium;M18106;X
90085;Minister of Armament;니콜라오스 플라스티라스 ;1945;1964;1999;PA;Infantry Proponent;Very High;M18060;X
90086;Minister of Armament;요르이스 시안도스 ;1933;1964;1999;ST;Resource Industrialist;High;M18021;X
90087;Minister of Security;예오르요스 파판드레우 ;1933;1964;1999;SL;Efficient Sociopath;High;M18015;X
90088;Minister of Security;마르코스 아가노소스 ;1941;1964;1999;SL;Silent Lawyer;Medium;M18086;X
90089;Minister of Security;엘리아스 파나킬리스 ;1944;1964;1999;SL;Crime Fighter;Medium;M18111;X
90090;Minister of Security;에방겔로스 파파누초스 ;1945;1964;1999;SL;Compassionate Gentleman;Medium;M18112;X
90091;Minister of Security;파나욜리스 풀리차스 ;1946;1964;1999;SL;Prince of Terror;High;M18048;X
90092;Minister of Security;요르요스 니콜라이디스 ;1933;1964;1999;SC;Back Stabber;Medium;M18114;X
90093;Minister of Security;라울 비비카 로세티 ;1941;1964;1999;SC;Compassionate Gentleman;Medium;M18115;X
90094;Minister of Security;드미트리오스 막시모스 ;1944;1964;1999;SC;Crime Fighter;High;M18054;X
90095;Minister of Security;콘스탄디노스 찰다리스 ;1944;1964;1999;SC;Man of the People;Medium;M18117;X
90096;Minister of Security;타나시스 아그니디스 ;1945;1964;1999;SC;Efficient Sociopath;Medium;M18118;X
90097;Minister of Security;파나요티스 카판다리스 ;1946;1964;1999;SC;Silent Lawyer;Medium;M18119;X
90098;Minister of Security;스테파노스 라키안도스 ;1947;1964;1999;SC;Crooked Kleptocrat;Medium;M18120;X
90099;Minister of Security;흐리스토스 치간데스 ;1938;1964;1999;FA;Prince of Terror;Medium;M18104;X
90100;Minister of Security;그리고리에프 무르노프 ;1941;1964;1999;NS;Crime Fighter;Low;M18040;X
90101;Minister of Security;마리오 베르첼리노 ;1942;1964;1999;NS;Back Stabber;Low;M18041;X
90102;Minister of Security;라인하르트 알텐부르크 ;1943;1964;1999;NS;Crooked Kleptocrat;High;M18042;X
90103;Minister of Security;다마스키노스 파판드레우 ;1944;1964;1999;PA;Efficient Sociopath;Very High;M18032;X
90104;Minister of Security;알히비아데스 스테파노풀로스 ;1944;1964;1999;PA;Compassionate Gentleman;Medium;M18100;X
90105;Minister of Security;흐리스토스 트리안다필리디스 ;1946;1964;1999;PA;Man of the People;Medium;M18128;X
90106;Minister of Security;야니스 이오아니디스 ;1933;1964;1999;ST;Prince of Terror;High;M18025;X
90107;Minister of Security;마르코스 바피아디스 ;1941;1964;1999;ST;Silent Lawyer;High;M18066;X
90108;Minister of Security;스트라토스 파윰지스 ;1945;1964;1999;ST;Efficient Sociopath;Medium;M18131;X
90109;Head of Military Intelligence;예오르요스 파판드레우 ;1933;1964;1999;SL;Political Specialist;High;M18015;X
90110;Head of Military Intelligence;코스타스 물라스 ;1944;1964;1999;SL;Naval Intelligence Specialist;Medium;M18133;X
90111;Head of Military Intelligence;아나스타시오스 바르디빌리아스 ;1933;1964;1999;SC;Naval Intelligence Specialist;Medium;M18097;X
90112;Head of Military Intelligence;예오르요스 드로소풀로스 ;1941;1964;1999;SC;Technical Specialist;High;M18135;X
90113;Head of Military Intelligence;예오르요스 스트레이트 ;1944;1964;1999;SC;Industrial Specialist;High;M18136;X
90114;Head of Military Intelligence;아나타시오스 카넬로풀로스 ;1946;1964;1999;SC;Dismal Enigma;Very High;M18098;X
90115;Head of Military Intelligence;알렉산드로스 프로파니스 ;1947;1964;1999;SC;Logistics Specialist;Medium;M18138;X
90116;Head of Military Intelligence;흐리스토스 트리안다필리디스 ;1933;1964;1999;FA;Dismal Enigma;Medium;M18128;X
90117;Head of Military Intelligence;알히비아데스 스테파노풀로스 ;1937;1964;1999;FA;Industrial Specialist;Medium;M18100;X
90118;Head of Military Intelligence;흐리스토스 치간데스 ;1941;1964;1999;NS;Industrial Specialist;Medium;M18104;X
90119;Head of Military Intelligence;세바스티아노스 풀리디스 ;1942;1964;1999;NS;Logistics Specialist;High;M18142;X
90120;Head of Military Intelligence;나폴레온 제르바스 ;1944;1964;1999;PA;Logistics Specialist;Low;M18143;X
90121;Head of Military Intelligence;야니스 이오아니디스 ;1933;1964;1999;ST;Political Specialist;High;M18025;X
90122;Head of Military Intelligence;에브리피디스 바키트리스 ;1941;1964;1999;ST;Industrial Specialist;High;M18065;X
90123;Chief of Staff;알렉산드로스 파파고스 ;1933;1964;1999;SC;School of Defence;Medium;9902;X
90124;Chief of Staff;요르요스 라브다스 ;1939;1964;1999;SC;School of Manoeuvre;Medium;M18099;X
90125;Chief of Staff;파라스코스 멜리시노스 ;1940;1964;1999;SC;School of Mass Combat;Medium;M18152;X
90126;Chief of Staff;바실리오스 추누카스 ;1944;1964;1999;SC;School of Fire Support;Medium;M18153;X
90127;Chief of Staff;아나스타시오스 사켈라리우 ;1946;1964;1999;SC;School of Psychology;Medium;M18009;X
90128;Chief of Staff;요르요스 콘딜리스 ;1933;1964;1999;FA;School of Manoeuvre;Medium;M18155;X
90129;Chief of Staff;예오르이아스 촐라코울루 ;1941;1964;1999;NS;School of Manoeuvre;Very High;M18056;X
90130;Chief of Staff;니콜라오스 플라스티라스 ;1944;1964;1999;PA;School of Psychology;Very High;M18060;X
90131;Chief of Staff;레오니다스 파라스케보풀로스 ;1946;1964;1999;PA;School of Mass Combat;Medium;M18159;X
90132;Chief of Staff;스테파노스 사라피스 ;1933;1964;1999;ST;School of Mass Combat;High;M18027;X
90133;Chief of Army;요르요스 루수풀로스 ;1941;1964;1999;SL;Elastic Defence Doctrine;Low;M18162;X
90134;Chief of Army;바실리오스 추누카스 ;1941;1964;1999;SC;Decisive Battle Doctrine;Low;M18153;X
90135;Chief of Army;예오르요스 스트레이트 ;1944;1964;1999;SC;Guns and Butter Doctrine;Low;M18136;X
90136;Chief of Army;요르요스 라브다스 ;1945;1964;1999;SC;Armoured Spearhead Doctrine;Low;M18099;X
90137;Chief of Army;테오도르 팡갈로스 ;1938;1964;1999;FA;Static Defence Doctrine;Low;M18007;X
90138;Chief of Army;예오르이아스 촐라코울루 ;1941;1964;1999;NS;Decisive Battle Doctrine;Very High;M18056;X
90139;Chief of Army;니콜라오스 플라스티라스 ;1944;1964;1999;PA;Guns and Butter Doctrine;Very High;M18060;X
90140;Chief of Army;아리스 벨루히오티스 ;1933;1964;1999;ST;Decisive Battle Doctrine;High;M18028;X
90141;Chief of Navy;니콜라오스 보치스 ;1933;1964;1999;SL;Base Control Doctrine;High;M18019;X
90142;Chief of Navy;디미트리오스 구시스 ;1941;1964;1999;SL;Decisive Naval Battle Doctrine;High;M18090;X
90143;Chief of Navy;알렉시우 차모토스 ;1941;1964;1999;SC;Decisive Naval Battle Doctrine;High;M18091;X
90144;Chief of Navy;페트로스 불가리스 ;1944;1964;1999;SC;Indirect Approach Doctrine;Low;M18061;X
90145;Chief of Navy;알렉산드로스 이코노무 ;1941;1964;1999;NS;Open Seas Doctrine;Very Low;M18179;X
90146;Chief of Navy;밀티아디스 포르피네로예니스 ;1933;1964;1999;ST;Decisive Naval Battle Doctrine;High;M18029;X
90147;Chief of Air Force;가에키아 예아나도스 ;1941;1964;1999;SL;Carpet Bombing Doctrine;Medium;M18096;X
90148;Chief of Air Force;에프타나소스 페리코스 ;1944;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M18184;X
90149;Chief of Air Force;파나고티스 파파니콜라우 ;1933;1964;1999;SC;Carpet Bombing Doctrine;Medium;M18182;X
90150;Chief of Air Force;안디네 프란일리스 ;1941;1964;1999;SC;Air Superiority Doctrine;Medium;M18092;X
90151;Chief of Air Force;아나스타시오스 바르디빌리아스 ;1944;1964;1999;SC;Naval Aviation Doctrine;Medium;M18097;X
90152;Chief of Air Force;니코스 벨로야니스 ;1933;1964;1999;ST;Naval Aviation Doctrine;High;M18030;X
90153;Foreign Minister;테미스토클레스 소풀리스 ;1933;1964;1999;SL;The Cloak N Dagger Schemer;high;M18014;X
90154;Head of State;다마스키노스 파판드레우 ;1946;1964;1999;SL;Barking Buffoon;High;M18032;X
90155;Head of State;다마스키노스 파판드레우 ;1946;1964;1999;SC;Barking Buffoon;High;M18032;X
90156;Head of State;요르요스 2세 ;1946;1964;1999;SL;Insignificant Layman;High;2646;X
90157;Head of State;요르요스 2세 ;1946;1964;1999;SC;Insignificant Layman;High;2646;X
90158;Head of Government;테미스토클레스 소풀리스 ;1946;1964;1999;SL;Flamboyant Tough Guy;High;M18014;X
90159;Head of Government;콘스탄디노스 찰다리스 ;1947;1964;1999;SC;Corporate Suit;High;M18053;X
90160;Foreign Minister;이오아니스 사피아노풀로스 ;1945;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M18068;X
90161;Foreign Minister;페트로스 불가리스 ;1945;1964;1999;PA;Biased Intellectual;High;M18061;X
90162;Head of Government;알렉산드로스 디오미디스 ;1949;1964;1999;SL;Political Protege;High;8232;X
90163;Head of Government;이오아니스 테오토키스 ;1950;1964;1999;SL;Happy Amateur;High;M18203;X
90164;Head of Government;드미트리오스 키우소풀로스 ;1952;1964;1999;SC;Smiling Oilman;High;M18204;X
90165;Head of Government;알렉산드로스 파파고스 ;1952;1964;1999;SC;Old General;High;9902;X
90166;Foreign Minister;파네오티스 피페넬리스 ;1950;1964;1999;SC;Apologetic Clerk;Very High;M18206;X
90167;Foreign Minister;스테파노스 스테파노풀로스 ;1952;1964;1999;SC;Biased Intellectual;Very High;M18207;X
90168;Chief of Army;파나요티스 당글리스 ;1917;1933;1999;PA;Elastic Defence Doctrine;High;2647;X
90169;Chief of Navy;파블로스 쿤두리오티스 ;1914;1933;1999;PA;Decisive Naval Battle Doctrine;Medium;3784;X
90170;Chief of Navy;파블로스 쿤두리오티스 ;1914;1933;1999;ML;Decisive Naval Battle Doctrine;Medium;3784;X
90171;Chief of Staff;레오니다스 파라스케보풀로스 ;1914;1933;1999;PA;School of Defence;High;M18159;X
90172;Chief of Staff;콘스탄딘 모스호풀로스 ;1914;1933;1999;PA;School of Psychology;Medium;unknownminister;X
90173;Foreign Minister;예오르요스 조그라포스 ;1915;1933;1999;SL;Apologetic Clerk;Very High;3785;X
90174;Foreign Minister;드미트리오스 랄리스 ;1918;1933;1999;SL;Apologetic Clerk;Very High;3786;X
90175;Foreign Minister;알렉산드로스 카라파노스 ;1916;1933;1999;PA;Biased Intellectual;Very High;unknownminister;X
90176;Foreign Minister;아포스톨로스 알렉산드리스 ;1922;1933;1999;PA;General Staffer;Very High;unknownminister;X
90177;Foreign Minister;알렉산드로스 제미스 ;1915;1933;1999;PA;Great Compromiser;Very High;3787;X
90178;Foreign Minister;드미트리오스 구나리스 ;1915;1933;1999;SL;Great Compromiser;Very High;3788;X
90179;Foreign Minister;스테파노스 스쿨루디스 ;1915;1933;1999;PA;Great Compromiser;Very High;3789;X
90180;Foreign Minister;니콜라오스 폴리티스 ;1916;1933;1999;SL;Great Compromiser;Very High;3790;X
90181;Foreign Minister;니콜라오스 폴리티스 ;1917;1933;1999;SL;Great Compromiser;Very High;3790;X
90182;Foreign Minister;콘스탄디노스 렌디스 ;1922;1933;1999;ML;Great Compromiser;Very High;M18069;X
90183;Foreign Minister;스틸리아노스 고나타스 ;1923;1933;1999;PA;Great Compromiser;Very High;3791;X
90184;Foreign Minister;알렉산드로스 파파나스타시우 ;1924;1933;1999;SL;Great Compromiser;Very High;3792;X
90185;Foreign Minister;안드레아스 미할라코풀로스 ;1924;1933;1999;ML;Great Compromiser;Very High;3793;X
90186;Foreign Minister;예오르요스 루소스 ;1924;1933;1999;SL;Great Compromiser;Very High;unknownminister;X
90187;Foreign Minister;엘레프테리오스 베니젤로스 ;1914;1933;1999;SL;Ideological Crusader;Very High;2648;X
90188;Foreign Minister;예오르요스 스트레이트 ;1914;1933;1999;SL;Ideological Crusader;Very High;M18136;X
90189;Foreign Minister;에브예니오스 잘로코스타스 ;1916;1920;1920;PA;Ideological Crusader;Very High;9903;X
90190;Foreign Minister;알렉산드로스 디오미디스 ;1918;1933;1999;SL;Ideological Crusader;Very High;8232;X
90191;Foreign Minister;밀티아디스 네그로폰디스 ;1918;1933;1999;SL;Ideological Crusader;Very High;unknownminister;X
90192;Foreign Minister;니콜라오스 칼로예로풀로스 ;1921;1933;1999;ML;Ideological Crusader;Very High;3794;X
90193;Foreign Minister;에프티미오스 카넬로풀로스 ;1922;1933;1999;ML;Ideological Crusader;Very High;unknownminister;X
90194;Foreign Minister;예오르요스 카판다리스 ;1924;1933;1999;SL;Ideological Crusader;Very High;3795;X
90195;Head of Government;엘레프테리오스 베니젤로스 ;1910;1933;1999;ML;Flamboyant Tough Guy;Medium;2648;X
90196;Head of Government;알렉산드로스 제미스 ;1915;1933;1999;PA;Corporate Suit;Medium;3787;X
90197;Head of Government;드미트리오스 구나리스 ;1915;1933;1999;ML;Backroom Backstabber;Medium;3788;X
90198;Head of Government;니콜라오스 칼로예로풀로스 ;1916;1933;1999;PA;Silent Workhorse;Medium;3794;X
90199;Head of Government;스피리돈 람브로스 ;1916;1933;1999;PA;Political Protege;Medium;3796;X
90200;Head of Government;드미트리오스 랄리스 ;1920;1933;1999;PA;Happy Amateur;Medium;3786;X
90201;Head of Government;아나스타시오스 하랄람비스 ;1922;1933;1999;PA;Silent Workhorse;Medium;3797;X
90202;Head of Government;니콜라오스 스트라토스 ;1922;1933;1999;ML;Political Protege;Medium;3799;X
90203;Head of Government;니콜라오스 트리안다필라코스 ;1922;1933;1999;ML;Naive Optimist;Medium;3800;X
90204;Head of Government;페트로스 프로토파파다키스 ;1922;1933;1999;ML;Happy Amateur;Medium;3798;X
90205;Head of Government;소티리오스 크로키다스 ;1922;1933;1999;PA;Flamboyant Tough Guy;Medium;3801;X
90206;Head of Government;스틸리아노스 고나타스 ;1922;1933;1999;PA;Corporate Suit;Medium;3791;X
90207;Head of Government;알렉산드로스 파파나스타시우 ;1924;1933;1999;ML;Backroom Backstabber;Medium;3792;X
90208;Head of Government;안드레아스 미할라코풀로스 ;1924;1933;1999;ML;Ambitious Union Boss;Medium;3793;X
90209;Head of Government;예오르요스 카판다리스 ;1924;1933;1999;SL;Smiling Oilman;Medium;3802;X
90210;Head of Government;테미스토클레스 소풀리스 ;1924;1933;1999;SL;Happy Amateur;Medium;M18014;X
90211;Head of State;알렉산드로스 1세 ;1917;1933;1999;ML;Barking Buffoon;Medium;3803;X
90212;Head of State;요르요스 2세 ;1922;1933;1999;ML;Autocratic Charmer;Medium;2646;X
90213;Head of State;콘스탄디노스 1세 ;1914;1933;1999;ML;Weary Stiffneck;High;2649;X
90214;Minister of Armament;알렉산드로스 디오미디스 ;1914;1933;1999;SL;Administrative Genius;Medium;8232;X
90215;Minister of Armament;스테파노스 N. 드라구미스 ;1915;1933;1999;PA;Administrative Genius;Medium;3804;X
90216;Minister of Armament;M. 몸페라토스;1916;1933;1999;PA;Administrative Genius;Medium;unknownminister;X
90217;Minister of Armament;니콜라오스 칼로예로풀로스 ;1916;1933;1999;PA;Administrative Genius;Medium;3794;X
90218;Minister of Armament;M. 드로소풀로스 ;1917;1933;1999;ML;Administrative Genius;High;unknownminister;X
90219;Minister of Armament;밀티아디스 네그로폰디스 ;1918;1933;1999;SL;Administrative Genius;Medium;unknownminister;X
90220;Minister of Armament;페트로스 프로토파파다키스 ;1922;1933;1999;ML;Administrative Genius;Medium;3798;X
90221;Minister of Armament;M. 드로소풀로스 ;1917;1933;1999;SL;Infantry Proponent;Medium;unknownminister;X
90222;Minister of Armament;드미트리오스 랄리스 ;1916;1933;1999;SL;Laissez-Faire Capitalist;Medium;3786;X
90223;Minister of Armament;에마누일 레풀리스 ;1915;1933;1999;SL;Military Entrepreneur;Medium;3805;X
90224;Minister of Armament;M. 찬둘라스 ;1916;1933;1999;PA;Military Entrepreneur;Medium;unknownminister;X
90225;Minister of Armament;페트로스 프로토파파다키스 ;1915;1933;1999;SL;Resource Industrialist;Medium;3798;X
90226;Minister of Security;M. 하람람보스 ;1915;1933;1999;SL;Compassionate Gentleman;Medium;unknownminister;X
90227;Minister of Security;드미트리오스 구나리스 ;1916;1933;1999;PA;Compassionate Gentleman;Medium;3788;X
90228;Minister of Security;에마누일 레풀리스 ;1914;1933;1999;SL;Crime Fighter;Medium;3805;X
90229;Minister of Security;M. 루포스 ;1916;1933;1999;PA;Crime Fighter;Medium;unknownminister;X
90230;Minister of Security;M. 락티반 ;1918;1933;1999;SL;Crime Fighter;Medium;3806;X
90231;Minister of Security;M. 첼로스 ;1916;1933;1999;PA;Man of the People;Medium;unknownminister;X
90232;Minister of Security;에마누일 레풀리스 ;1915;1933;1999;ML;Silent Lawyer;High;3805;X
90233;Minister of Security;M. 칼란다리스 ;1915;1933;1999;SL;Silent Lawyer;Medium;unknownminister;X
90234;Minister of Security;M. 트리안다필라코스 ;1915;1933;1999;SL;Silent Lawyer;High;unknownminister;X
90235;Head of Military Intelligence;알렉산드로스 파파고스 ;1933;1964;1999;PA;Dismal Enigma;Medium;M18008;X
90236;Chief of Air Force;스피리돈 파파리고풀로스 ;1933;1964;1999;PA;Army Aviation Doctrine;High;unknownminister;X
90237;Head of Military Intelligence;엑사다틸로스 아타나시오스 ;1914;1933;1999;ML;Logistics Specialist;High;unknownminister;X
90238;Chief of Staff;이오아니스 메탁사스 ;1914;1933;1999;ML;School of Fire Support;High;M18049;X
90239;Chief of Army;콘스탄디노스 1세 ;1914;1933;1999;ML;Static Defence Doctrine;High;2649;X
90240;Chief of Navy;마르크 케어르 ;1914;1917;1999;ML;Decisive Naval Battle Doctrine;High;8230;X
90241;Head of Military Intelligence;이오아니스 메탁사스 ;1933;1964;1999;SC;Logistics Specialist;High;M18049;X
90242;Chief of Air Force;파나요티스 가지스 ;1935;1941;1964;SC;Air Superiority Doctrine;High;8231;X
90243;Head of State;알렉산드로스 제미스 ;1933;1935;1999;SC;Pig-headed Isolationist;Medium;3787;X
90244;Foreign Minister;드미트리오스 막시모스 ;1933;1935;1999;SC;Apologetic Clerk;High;M18054;X
90245;Chief of Staff;Aristeidis Chasapidis;1934;1937;1942;PA;School of Fire Support;High;9722;X
90246;Chief of Air Force;Vasilios Tsarpalis;1940;1942;1942;PA;Army Aviation Doctrine;High;9723;X
90247;Chief of Air Force;Konstantinos Oikonomou;1934;1935;1958;PA;air superiority doctrine;Medium;9778;X
90248;Chief of Air Force;Georgios Alexandris;1945;1946;1988;SC;naval aviation doctrine;Medium;9779;X
