GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
475065;Chief of Army;기오르기 마즈니아슈빌리 ;1918;1933;1999;LE;STATIC DEFENCE DOCTRINE;Medium;unknownminister;X
475066;Chief of Staff;기오르기 크빈타체 ;1918;1933;1999;LE;SCHOOL OF MANOEUVRE;Medium;unknownminister;X
475067;Foreign Minister;에브게이 게게츠코리 ;1918;1933;1999;LE;IRON FISTED BRUTE;Medium;unknownminister;X
475068;Head of Government;베사리오니스 라미슈빌리 ;1918;1933;1999;LE;Backroom Backstabber;Medium;2632;X
475069;Head of Government;니콜로지스 조르다니아 ;1918;1933;1999;LE;Political Protege;Medium;unknownminister;X
475070;Head of State;니콜로지스 조르다니아 ;1918;1933;1999;ST;Die-hard Reformer;Medium;2633;X
475071;Head of State;니콜로즈 체헤이체 ;1919;1933;1999;ST;Insignificant Layman;Medium;5982;X
475072;Head of State;필리페 마하라체 ;1921;1933;1999;ST;Resigned Generalissimo;Medium;unknownminister;X
475073;Head of State;폴리카프 음디바니 ;1922;1933;1999;ST;Stern Imperialist;Medium;unknownminister;X
475074;Minister of Armament;네스토 가다프하체 ;1918;1933;1999;LE;ADMINISTRATIVE GENIUS;Medium;unknownminister;X
475075;Minister of Security;미헤일 체레텔리 ;1918;1933;1999;LE;CROOKED KLEPTOCRAT;Medium;M519018;X
