URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
195078;Minister of Security;로베르토 아코스타 디에스 ;1933;1964;1999;FA;Crime Fighter;Medium;M41015;X
195079;Head of Military Intelligence;루이 소로 콘티오니 ;1933;1964;1999;FA;Industrial Specialist;Medium;M41016;X
195080;Chief of Staff;테오 부카르디 라모스 ;1933;1964;1999;FA;School of Manoeuvre;Medium;M41017;X
195081;Chief of Army;테오 부카르디 라모스 ;1933;1964;1999;FA;Elastic Defence Doctrine;Medium;M41017;X
195082;Chief of Navy;엑토르 보니야 고메스 ;1933;1964;1999;FA;Base Control Doctrine;Medium;M41019;X
195083;Chief of Air Force;프란시스코 카스티야 파레데스 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M41020;X
195084;Head of State;에밀리오 프루고니 ;1933;1964;1999;LWR;Autocratic Charmer;High;M41021;X
195085;Head of Government;에밀리오 프루고니 ;1933;1964;1999;LWR;Ambitious Union Boss;High;M41021;X
195086;Foreign Minister;칼릭스토 아로요 타바오르다 ;1933;1964;1999;LE;Great Compromiser;Medium;M41023;X
195087;Minister of Armament;라몬 메난데스 수리스 ;1933;1964;1999;LE;Infantry Proponent;Medium;M41024;X
195088;Minister of Security;에수스 메난데스 수리스 ;1933;1964;1999;LWR;Back Stabber;Medium;M41025;X
195089;Head of State;안드레스 마르티네스 ;1952;1964;1999;SL;Pig-headed Isolationist;Medium;M41074;X
195090;Chief of Air Force;후안 마누엘 보이소 란사 ;1911;1933;1999;ML;AIR SUPERIORITY DOCTRINE;Medium;3588;X
195091;Chief of Air Force;알페레스 L. 베리소 ;1911;1933;1999;ML;CARPET BOMBING DOCTRINE;Medium;3589;X
195092;Foreign Minister;에밀리오 바르바룩스 ;1911;1933;1999;ML;APOLOGETIC CLERK;Medium;3590;X
195093;Foreign Minister;다니엘 무뇨스 ;1915;1933;1999;ML;IRON FISTED BRUTE;Medium;3591;X
195094;Foreign Minister;발타사르 브룸 ;1919;1933;1999;ML;GENERAL STAFFER;Medium;3592;X
195095;Foreign Minister;마누엘 B. 오테로 ;1919;1933;1999;ML;GREAT COMPROMISER;Medium;unknownminister;X
195096;Foreign Minister;후안 안토니오 부에로 ;1919;1933;1999;ML;THE CLOAK N DAGGER SCHEMER;Medium;7992;X
195097;Foreign Minister;페드로 마니니 리오스 ;1923;1933;1999;ML;APOLOGETIC CLERK;Medium;unknownminister;X
195098;Head of Government;호세 토르쿠아토 바톄 ;1911;1933;1999;ML;Ambitious Union Boss;Medium;3593;X
195099;Head of Government;펠리시아노 비에라 ;1915;1933;1999;ML;Naive Optimist;Medium;3594;X
195100;Head of Government;발타사르 로드리게스 ;1919;1933;1999;ML;Silent Workhorse;Medium;7993;X
195101;Head of Government;호세 세라토 ;1923;1933;1999;ML;Ambitious Union Boss;Medium;3595;X
195102;Head of State;호세 토르쿠아토 바톄 ;1911;1933;1999;ML;Autocratic Charmer;Medium;3593;X
195103;Head of State;펠리시아노 비에라 ;1915;1933;1999;ML;Benevolent Gentleman;Medium;3594;X
195104;Head of State;발타사르 로드리게스 ;1919;1933;1999;ML;Die-hard Reformer;Medium;7993;X
195105;Head of State;호세 세라토 ;1923;1933;1999;ML;Insignificant Layman;Medium;3595;X
195106;Minister of Security;페드로 마니니 리오스 ;1911;1933;1999;ML;PRINCE OF TERROR;Medium;7994;X
195107;Minister of Security;파블로 바르시 ;1919;1933;1999;ML;CRIME FIGHTER;Medium;7995;X
195108;Chief of Air Force;라레 보르헤스 티데 ;1939;1964;1999;ML;Carpet Bombing Doctrine;High;6072;x
