NEP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
395048;Chief of Army;로버트 메인워링 ;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M75029;X
395049;Chief of Army;L.M. 포터 ;1941;1964;1999;SC;Decisive Battle Doctrine;Medium;M75047;X
395050;Chief of Army;바베르 라나 ;1941;1964;1999;PA;Elastic Defence Doctrine;Medium;M75044;X
395051;Chief of Army;모한 라나 ;1945;1964;1999;PA;Static Defence Doctrine;Medium;M75004;X
395052;Chief of Navy;H.T.S. 콜린스 ;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M75023;X
395053;Chief of Air Force;H.T.S. 콜린스 ;1937;1964;1999;SC;Carpet Bombing Doctrine;Medium;M75023;X
395054;Chief of Air Force;게헨드라 라나 ;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M75022;X
395055;Chief of Staff;파르 정 타파 ;1946;1964;1999;PA;School of Mass Combat;Medium;M75057;X
395056;Head of Government;마트리카 코이라라 ;1951;1964;1999;SL;Ambitious Union Boss;High;M75058;X
395057;Head of Government;챤드라 숨셰어 라나 ;1914;1933;1999;PA;Corporate Suit;Medium;5777;X
395058;Head of State;트리부반 비르 비크람 사 ;1914;1933;1999;PA;Ruthless Powermonger;High;5778;X
