NIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
315057;Head of State;레오나르도 아르게요 ;1947;1964;1999;SC;Die-hard Reformer;High;M48003;X
315058;Head of Government;아나스타시오 소모사 ;1947;1964;1999;PA;Old General;High;M48004;X
315059;Head of State;레온 카브랄레스 ;1933;1964;1999;SL;Insignificant Layman;High;M48011;X
315060;Head of Government;기예르모 쿠아드라 ;1933;1964;1999;SD;Ambitious Union Boss;High;M48012;X
315061;Foreign Minister;레온 카브랄레스 ;1933;1964;1999;SL;Biased Intellectual;High;M48011;X
315062;Minister of Security;기예르모 쿠아드라 ;1933;1964;1999;SD;Crime Fighter;High;M48012;X
315063;Head of State;루이스 카르데날 ;1933;1964;1999;LE;Weary Stiffneck;High;M48021;X
315064;Head of Government;루이스 카르데날 ;1933;1964;1999;LE;Flamboyant Tough Guy;High;M48021;X
315065;Foreign Minister;루이스 카르데날 ;1933;1964;1999;LE;Ideological Crusader;Very High;M48021;X
315066;Minister of Armament;테오필로 S. 그라예스 ;1933;1964;1999;ST;Strategic Air Proponent;Medium;M48024;X
315067;Minister of Security;후안 Y. 마스케스 ;1933;1964;1999;LE;Efficient Sociopath;Medium;M48025;X
315068;Head of Military Intelligence;후안 파블로 에스케라 ;1933;1964;1999;LWR;Dismal Enigma;Medium;M48026;X
315069;Chief of Staff;후안 파블로 에스케라 ;1933;1964;1999;LWR;School of Psychology;Medium;M48026;X
315070;Chief of Army;마누엘 코로벨 키르스크 ;1933;1964;1999;LWR;Static Defence Doctrine;Medium;M48018;X
315071;Chief of Navy;노엘 니뇨 미란다 ;1933;1964;1999;LWR;Open Seas Doctrine;Very High;M48019;X
315072;Chief of Air Force;호엘 가르시아 살다나 ;1933;1964;1999;LWR;Army Aviation Doctrine;Medium;M48020;X
315073;Head of Government;에밀리아노 바르가스 ;1917;1933;1999;PA;Backroom Backstabber;Medium;2875;X
315074;Head of Government;디에고 마누엘 볼라뇨스 ;1921;1933;1999;PA;Flamboyant Tough Guy;Medium;6120;X
315075;Head of Government;로센도 바르가스 ;1923;1933;1999;PA;Happy Amateur;Medium;6121;X
315076;Head of Government;아돌포 디아스 ;1911;1933;1999;PA;Political Protege;Medium;2876;X
315077;Head of Military Intelligence;에밀리아노 바르가스 ;1914;1933;1999;PA;LOGISTICS SPECIALIST;Medium;2875;X
315078;Head of State;에밀리아노 바르가스 ;1917;1933;1999;PA;Autocratic Charmer;Medium;2875;X
315079;Head of State;디에고 마누엘 볼라뇨스 ;1921;1933;1999;PA;Benevolent Gentleman;Medium;6120;X
315080;Head of State;로센도 바르가스 ;1923;1933;1999;PA;Benevolent Gentleman;Medium;6121;X
315081;Head of State;아돌포 디아스 ;1911;1933;1999;PA;Stern Imperialist;Medium;2876;X
315082;Foreign Minister;바트롤로메 마르티네스 ;1914;1933;1999;PA;Iron Fisted Brute;High;2442;X
315083;Minister of Armament;디에고 마누엘 볼라뇨스 ;1914;1933;1999;PA;Air to Ground Proponent;Very High;6120;X
315084;Chief of Staff;에밀리아노 바르가스 ;1914;1933;1999;PA;School of Fire Support;Low;2443;X
315085;Chief of Army;에밀리아노 바르가스 ;1914;1933;1999;PA;Static Defence Doctrine;Medium;2443;X
315086;Chief of Navy;에밀리아노 바르가스 ;1914;1933;1999;PA;Open Seas Doctrine;Very High;2443;X
315087;Minister of Security;길버트 D. 헤트필드 ;1914;1933;1999;PA;Prince of Terror;Medium;2444;X
