BLR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
470049;Chief of Navy;알렉산드르 이쥬모프 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M517049;X
470050;Chief of Navy;프리드리히 빌헬름 쿠르츠르 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M517050;X
470051;Chief of Navy;에르하르트 마르텐스 ;1933;1964;1999;NS;Base Control Doctrine;Medium;M517051;X
470052;Chief of Air Force;니콜라이 F. 기칼로 ;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M517030;X
470053;Chief of Air Force;알렉산드르 이쥬모프 ;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M517049;X
470054;Chief of Air Force;한스 바우어 ;1933;1964;1999;NS;Air Superiority Doctrine;Medium;M517054;X
470055;Chief of Army;안톤 소쿨 쿠틸로프스키 ;1920;1933;1999;LE;Armoured Spearhead Doctrine;Medium;unknownminister;X
470056;Chief of Army;스타니슬라프 발라호비치 ;1914;1941;1959;PA;Armoured Spearhead Doctrine;Medium;5960;X
470057;Chief of Staff;칸스탄틴 예자비타우 ;1914;1933;1999;ML;School of Psychology;Medium;unknownminister;X
470058;Chief of Staff;안톤 소쿨 쿠틸로프스키 ;1920;1933;1999;LE;School of Psychology;Medium;unknownminister;X
470059;Chief of Staff;바실 자차르카 ;1918;1933;1999;ML;School of Psychology;Medium;6948;X
470060;Chief of Staff;라본 자야츠 ;1918;1933;1999;ML;School of Psychology;Medium;unknownminister;X
470061;Chief of Staff;스타니슬라프 발라호비치 ;1914;1941;1959;PA;School of Psychology;Medium;5960;X
470062;Foreign Minister;안톤 루츠키에비치 ;1914;1943;1970;ML;Great Compromiser;High;9267;X
470063;Foreign Minister;얀 마크레예 ;1918;1933;1999;ML;Great Compromiser;High;unknownminister;X
470064;Foreign Minister;A. 라드노우 ;1919;1933;1999;ML;Great Compromiser;High;unknownminister;X
470065;Head of Government;안톤 루츠키에비치 ;1914;1943;1970;ML;Naive Optimist;High;9267;X
470066;Head of Government;즈미치에르 질루노비치 ;1917;1933;1999;ST;Naive Optimist;High;unknownminister;X
470067;Head of Government;바츨라프 라스토우스키 ;1917;1933;1999;ML;Naive Optimist;High;5961;X
470068;Head of Government;비아차슬라우 아다모비치 ;1919;1933;1999;PA;Naive Optimist;High;unknownminister;X
470069;Head of State;야제프 료시크 ;1914;1933;1999;ML;Autocratic Charmer;High;5962;X
470070;Head of State;표트르 크레체프스키 ;1919;1929;1929;ML;Autocratic Charmer;High;5963;X
470071;Head of State;얀 시에라다 ;1914;1944;1965;ML;Autocratic Charmer;High;5964;X
470072;Head of State;스타니슬라프 발라호비치 ;1919;1941;1959;ML;Autocratic Charmer;High;5960;X
470073;Minister of Armament;바실 자차르카 ;1914;1933;1999;ML;Infantry Proponent;Medium;6948;X
470074;Minister of Armament;E. 비알레비치 ;1919;1933;1999;ML;Infantry Proponent;Medium;unknownminister;X
470075;Minister of Security;알락산다르 츠비키에비치 ;1914;1933;1999;ML;Prince of Terror;Medium;unknownminister;X
470076;Minister of Security;파벨 알렉슈크 ;1919;1933;1999;ML;Prince of Terror;Medium;unknownminister;X
470077;Minister of Security;알락산다르 츠비키에비치 ;1918;1933;1999;ML;Prince of Terror;Medium;unknownminister;X
470078;Minister of Security;타마스 흐리프 ;1919;1933;1999;ML;Prince of Terror;Medium;unknownminister;X
470079;Head of State;야제프 와론카 ;1918;1964;1999;ML;Autocratic Charmer;High;9268;X
470080;Chief of Army;치프리안 콘드라토비치 ;1920;1964;1999;PA;Armoured Spearhead Doctrine;High;unknownminister;X
470081;Foreign Minister;Jazep Waronka;1914;1953;1953;PA;ideological crusader;High;9268;X
470082;Minister of Armament;Jan Sierada;1914;1944;1944;PA;Planned economy proponent;High;5964;X
470083;Minister of Armament;Kanstantzin Barisavich Yezavitaw;1914;1947;1947;PA;infantry proponent;High;9270;X
470084;Minister of Security;Yafim Yafimavich Byalyevich;1914;1943;1974;PA;silent lawyer;High;unknownminister;X
470085;Minister of Security;Pyotra Krecheuski;1918;1929;1929;PA;crime fighter;High;5963;X
470086;Head of Military Intelligence;Kanstantzin Barisavich Yezavitaw;1914;1947;1947;PA;logistics specialist;High;9270;X
470087;Chief of Staff;Kanstantzin Barisavich Yezavitaw;1914;1947;1947;PA;school of defence;High;9270;X
470088;Chief of Army;Guasan Kanapatzki;1914;1954;1954;PA;decisive battle doctrine;High;9271;X
470089;Head of State;Henry I of Prussia;1914;1930;1930;PA;autocratic charmer;High;9272;X
470090;Head of State;Waldemar I of Prussia;1929;1932;1946;PA;insignificant layman;High;9273;X
470091;Head of State;Sigismund I of Prussia;1944;1979;1979;PA;ruthless powermonger;High;9274;X
