ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25023;Head of State;팔미로 톨리아티 ;1939;1964;1999;LE;Powerhungry Demagogue;High;M3021;X
25024;Head of Government;베니토 무솔리니 ;1933;1964;1999;NS;Flamboyant Tough Guy;High;2688;X
25025;Head of Government;주니요 보르헤세 ;1943;1964;1999;NS;Political Protege;High;M3044;X
25026;Head of Government;피에트로 바돌리오 ;1933;1964;1999;PA;Old General;High;M3012;X
25027;Head of Government;스테파노 자치니 ;1933;1964;1999;SC;Happy Amateur;High;M3046;X
25028;Head of Government;알치데 데 가스페리 ;1933;1964;1999;SC;Backroom Backstabber;High;M3038;X
25029;Head of Government;이바노에 보노미 ;1933;1964;1999;SL;Silent Workhorse;High;M3048;X
25030;Head of Government;페루치오 파리 ;1933;1964;1999;SL;Naive Optimist;High;M3049;X
25031;Head of Government;루이지 롱고 ;1933;1964;1999;LWR;Political Protege;High;M3022;X
25032;Foreign Minister;베니토 무솔리니 ;1933;1964;1999;NS;Aggressive Nationalist;Very High;M3052;X
25033;Foreign Minister;주세페 바스티아니니 ;1933;1964;1999;NS;Iron Fisted Brute;High;M3053;X
25034;Foreign Minister;피에트로 콩테 아카로네 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M3054;X
25035;Foreign Minister;피에트로 바돌리오 ;1933;1964;1999;PA;General Staffer;High;M3055;X
25036;Foreign Minister;디노 그란디 ;1933;1964;1999;PA;Great Compromiser;High;M3056;X
25037;Foreign Minister;피에르 페데리코 마르티네티 ;1933;1964;1999;SC;Apologetic Clerk;High;M3057;X
25038;Foreign Minister;베르나르도 아톨리코 ;1941;1964;1999;SC;Biased Intellectual;High;M3058;X
25039;Foreign Minister;알치데 데 가스페리 ;1933;1964;1999;SC;Ideological Crusader;High;M3038;X
25040;Foreign Minister;카를로 스포르차 ;1943;1964;1999;SC;The Cloak N Dagger Schemer;High;M3013;X
25041;Foreign Minister;이바노에 보노미 ;1933;1964;1999;SL;Apologetic Clerk;High;M3048;X
25042;Foreign Minister;피에트로 네니 ;1933;1964;1999;SL;The Cloak N Dagger Schemer;High;M3062;X
25043;Foreign Minister;팔미로 톨리아티 ;1939;1964;1999;LE;Ideological Crusader;High;M3021;X
25044;Chief of Army;페데리코 바이스트로끼 ;1933;1964;1999;FA;Decisive Battle Doctrine;High;7371;X
25045;Minister of Armament;알베르토 파리아니 ;1933;1964;1999;FA;Reformer;High;M3008;X
25046;Minister of Armament;우발도 소두 ;1939;1964;1999;FA;Military Entrepreneur;Medium;M3066;X
25047;Minister of Armament;알프레도 구초니 ;1933;1964;1999;FA;Submarine Proponent;Low;M3067;X
25048;Minister of Armament;안토니오 소리체 ;1933;1964;1999;FA;Corrupt Kleptocrat;High;M3068;X
25049;Minister of Armament;파올로 타온 디 레벨 ;1933;1964;1999;NS;Battle Fleet Proponent;High;M3035;X
25050;Minister of Armament;G. 임페리알리 데 프란카릴로 ;1943;1964;1999;NS;Administrative Genius;High;M3071;X
25051;Minister of Armament;로물로 팔라디니 ;1947;1964;1999;NS;Tank Proponent;High;M3072;X
25052;Minister of Armament;자코모 아체르보 ;1946;1964;1999;NS;Resource Industrialist;High;M3073;X
25053;Minister of Armament;도메니코 바르톨리니 ;1933;1964;1999;PA;Theoretical Scientist;High;M3075;X
25054;Minister of Armament;귀도 융 ;1933;1964;1999;PA;Administrative Genius;High;M3076;X
25055;Minister of Armament;알베르토 테오돌리 ;1933;1964;1999;SC;Infantry Proponent;High;M3077;X
25056;Minister of Armament;프란체스코 오레스타노 ;1939;1964;1999;SC;Military Entrepreneur;High;M3078;X
25057;Minister of Armament;풀베르토 비발디 ;1941;1964;1999;SC;Air to Ground Proponent;High;M3079;X
25058;Minister of Armament;타데오 오를란도 ;1944;1964;1999;SC;Theoretical Scientist;High;M3080;X
25059;Minister of Armament;알레산드로 마르체세 카사티 ;1941;1964;1999;SL;Tank Proponent;Medium;M3081;X
25060;Minister of Armament;만리오 브로시오 ;1946;1964;1999;SC;Infantry Proponent;High;M3082;X
25061;Minister of Armament;치프리아노 파키네티 ;1943;1964;1999;SC;Resource Industrialist;High;M3083;X
25062;Minister of Armament;조반니 치라올로 ;1944;1964;1999;SL;Administrative Genius;High;M3084;X
25063;Minister of Armament;루이지 에이나우디 ;1933;1964;1999;SL;Strategic Air Proponent;High;M3085;X
25064;Minister of Armament;G. 팔루치 디 칼볼리 ;1947;1964;1999;SL;laissez-faire capitalist;High;M3086;X
25065;Minister of Armament;비토리오 비달리 ;1933;1964;1999;LE;Infantry Proponent;High;M3087;X
25066;Minister of Armament;마우로 스코시마로 ;1941;1964;1999;LE;Air to Sea Proponent;High;M3088;X
25067;Minister of Armament;안토니오 페센티 ;1933;1964;1999;LWR;Resource Industrialist;High;M3024;X
25068;Minister of Security;움베르토 알비니 ;1933;1964;1999;FA;Prince of Terror;High;M3091;X
25069;Minister of Security;안토니오 스쿠에로 ;1933;1964;1999;NS;Back Stabber;High;M3092;X
25070;Minister of Security;베니토 무솔리니 ;1933;1964;1999;NS;Media Magnate;Very High;2688;X
25071;Minister of Security;피에로 브란디마르테 ;1945;1964;1999;NS;Efficient Sociopath;High;M3094;X
25072;Minister of Security;움베르토 리치 ;1933;1964;1999;PA;Silent Lawyer;High;M3015;X
25073;Minister of Security;로베르토 파리나치 ;1933;1964;1999;PA;Back Stabber;High;M3096;X
25074;Minister of Security;엔리코 데 니콜라 ;1933;1964;1999;SC;Man of the People;High;M3039;X
25075;Minister of Security;스테파노 자치니 ;1939;1964;1999;SC;Silent Lawyer;High;M3046;X
25076;Minister of Security;알치데 데 가스페리 ;1933;1964;1999;SC;Health and safety;High;M3038;X
25077;Minister of Security;비토 레알레 ;1941;1964;1999;SC;Crime Fighter;High;M3100;X
25078;Minister of Security;마리오 스켈바 ;1941;1964;1999;SC;Back Stabber;High;M3101;X
25079;Minister of Security;살바토레 알디시오 ;1941;1964;1999;SL;Prince of Terror;High;M3102;X
25080;Minister of Security;이바노에 보노미 ;1933;1964;1999;SL;Efficient Sociopath;High;M3048;X
25081;Minister of Security;페루치오 파리 ;1933;1964;1999;SL;Man of the People;High;M3049;X
25082;Minister of Security;주세페 로미타 ;1933;1964;1999;LWR;Compassionate Gentleman;High;M3105;X
25083;Minister of Security;팔미로 톨리아티 ;1939;1964;1999;LWR;Crime Fighter;High;M3021;X
25084;Minister of Security;줄리안 주가자고이티아 멘디에타 ;1941;1964;1999;ST;Efficient Sociopath;High;M3107;X
25085;Head of Military Intelligence;엔초 갈비아티 ;1933;1964;1999;FA;Political Specialist;Very High;M3108;X
25086;Head of Military Intelligence;디노 그란디 ;1939;1964;1999;FA;Logistics Specialist;High;M3056;X
25087;Head of Military Intelligence;알프레도 데 마르시오 ;1933;1964;1999;FA;Dismal Enigma;Low;M3110;X
25088;Head of Military Intelligence;자코모 카르보니 ;1933;1964;1999;NS;Industrial Specialist;Low;M3112;X
25089;Head of Military Intelligence;마죠르노 페라리스 ;1933;1964;1999;SC;Political Specialist;Very High;M3115;X
25090;Head of Military Intelligence;주세페 펠라 ;1945;1964;1999;SC;Logistics Specialist;High;M3116;X
25091;Head of Military Intelligence;에치오 바노니 ;1946;1964;1999;SC;Naval Intelligence Specialist;High;M3117;X
25092;Head of Military Intelligence;에밀리오 팔리아노 ;1944;1964;1999;SL;Industrial Specialist;High;M3118;X
25093;Head of Military Intelligence;A. 데 마리니스 데 리치아 ;1933;1964;1999;SL;Technical Specialist;High;M3014;X
25094;Head of Military Intelligence;주세페 디 비토리오 ;1933;1964;1999;LE;Political Specialist;High;M3120;X
25095;Head of Military Intelligence;팔미로 톨리아티 ;1939;1964;1999;LE;Technical Specialist;High;M3021;X
25096;Head of Military Intelligence;안토니오 페센티 ;1933;1964;1999;LWR;Technical Specialist;High;M3024;X
25097;Chief of Staff;우고 카발레로 ;1933;1964;1999;FA;School of Manoeuvre;High;M3124;X
25098;Chief of Staff;피에트로 바돌리오 ;1933;1964;1999;PA;School of Mass Combat;Medium;M3125;X
25099;Chief of Staff;아킬레 스타라체 ;1933;1964;1999;NS;School of Psychology;High;7372;X
25100;Chief of Staff;비토 카타스티니 ;1945;1964;1999;NS;School of Manoeuvre;High;M3017;X
25101;Chief of Staff;비토리오 암브로시오 ;1933;1964;1999;PA;School of Psychology;Low;M3128;X
25102;Chief of Staff;마리오 싱골라니 ;1933;1964;1999;SC;School of Fire Support;High;M3130;X
25103;Chief of Staff;에토레 콘티 ;1945;1964;1999;SC;School of Manoeuvre;High;M3132;X
25104;Chief of Staff;란돌포 파치아르디 ;1946;1964;1999;SC;School of Defence;High;M3133;X
25105;Chief of Staff;알레산드로 카사티 ;1941;1964;1999;SL;School of Defence;High;M3134;X
25106;Chief of Staff;치프리아노 파키네티 ;1943;1964;1999;SL;School of Mass Combat;High;M3083;X
25107;Chief of Staff;루이지 가스파로토 ;1943;1964;1999;SL;School of Manoeuvre;High;7373;X
25108;Chief of Staff;루이지 롱고 ;1933;1964;1999;LWR;School of Mass Combat;High;M3022;X
25109;Chief of Army;로돌포 그라치아니 ;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;M3139;X
25110;Chief of Army;마리오 로아타 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;High;M3140;X
25111;Chief of Army;주니요 보르헤세 ;1943;1964;1999;NS;commando doctrine army;High;M3044;X
25112;Chief of Army;비토리오 암브로시오 ;1933;1964;1999;SC;Static Defence Doctrine;Low;M3128;X
25113;Chief of Army;디오니시오 안첼로티 ;1941;1964;1999;SC;Guns and Butter Doctrine;High;M3144;X
25114;Chief of Army;엔리코 마테이 ;1943;1964;1999;SC;Decisive Battle Doctrine;High;M3018;X
25115;Chief of Army;A. 데 마리니스 데 리치아 ;1933;1964;1999;SL;Elastic Defence Doctrine;High;M3014;X
25116;Chief of Army;잔카를로 파제타 ;1933;1964;1999;LWR;Guns and Butter Doctrine;High;M3028;X
25117;Chief of Navy;아르투로 리카르디 ;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M3149;X
25118;Chief of Navy;파올로 타온 디 레벨 ;1933;1964;1999;NS;Open Seas Doctrine;Medium;M3035;X
25119;Chief of Navy;알프레도 로코 ;1933;1964;1999;NS;Decisive Naval Battle Doctrine;Medium;M3151;X
25120;Chief of Navy;디노 그란디 ;1933;1964;1999;PA;Power Projection Doctrine;High;M3153;X
25121;Chief of Navy;라파엘레 데 쿠르텐 ;1933;1964;1999;SC;Open Seas Doctrine;Medium;M3019;X
25122;Chief of Navy;알레산드리노 체레사 ;1933;1964;1999;SC;Open Seas Doctrine;High;M3155;X
25123;Chief of Navy;비토리오 샬로야 ;1946;1964;1999;SL;Power Projection Doctrine;High;M3157;X
25124;Chief of Navy;잔카를로 파제타 ;1933;1964;1999;LWR;Open Seas Doctrine;High;M3028;X
25125;Chief of Air Force;프란체스코 프리콜로 ;1933;1964;1999;FA;Naval Aviation Doctrine;High;M3160;X
25126;Chief of Air Force;리노 코르소 푸지에 ;1933;1964;1999;FA;Air Superiority Doctrine;Low;M3161;X
25127;Chief of Air Force;레나토 산달리 ;1943;1964;1999;PA;Army Aviation Doctrine;High;M3020;X
25128;Chief of Air Force;토마소 티토니 ;1933;1964;1999;SC;Army Aviation Doctrine;High;M3164;X
25129;Chief of Air Force;피에트로 피아첸티니 ;1943;1964;1999;SC;Naval Aviation Doctrine;High;M3165;X
25130;Chief of Air Force;안토니오 샬로야 ;1943;1964;1999;SC;Vertical Envelopment Doctrine;High;M3166;X
25131;Chief of Air Force;루이지 가스파로토 ;1943;1964;1999;SL;Army Aviation Doctrine;High;7373;X
25132;Head of State;루이지 에이나우디 ;1933;1964;1999;SC;Insignificant Layman;High;M3085;X
25133;Head of State;루이지 에이나우디 ;1933;1964;1999;SL;Insignificant Layman;High;M3085;X
25134;Head of Government;주세페 펠라 ;1945;1964;1999;SC;Silent Workhorse;High;M3116;X
25135;Foreign Minister;주세페 펠라 ;1945;1964;1999;SC;Ideological Crusader;High;M3116;X
25136;Minister of Armament;란돌포 파치아르디 ;1933;1964;1999;SC;Military Entrepreneur;High;M3133;X
25137;Minister of Armament;에밀리오 파올로 타비아니 ;1953;1964;1999;SC;Theoretical Scientist;High;M3173;X
25138;Minister of Security;아민토레 판파니 ;1953;1964;1999;SC;Compassionate Gentleman;High;M3174;X
25139;Chief of Air Force;마리오 칼데라라 ;1914;1932;1999;ML;Naval Aviation Doctrine;Very High;2689;X
25140;Chief of Air Force;가브리엘레 다눈치오 ;1920;1932;1999;FA;Army Aviation Doctrine;Very High;2690;X
25141;Chief of Air Force;줄리오 두에 ;1914;1932;1999;ML;Carpet Bombing Doctrine;Very High;2691;X
25142;Chief of Army;피에트로 바돌리오 ;1919;1932;1999;ML;elastic defence doctrine;Very High;2692;X
25143;Chief of Army;루이지 카도르나 ;1914;1932;1999;ML;Decisive Battle Doctrine;Very High;2693;X
25144;Chief of Army;가브리엘레 다눈치오 ;1920;1932;1999;FA;Guns and Butter Doctrine;Very High;2690;X
25145;Chief of Army;아만도 디아스 ;1916;1932;1999;ML;Static Defence Doctrine;Very High;2694;X
25146;Chief of Army;알베르토 폴리오 ;1914;1932;1999;ML;Guns and Butter Doctrine;Very High;2695;X
25147;Chief of Army;주세페 바카리 ;1921;1932;1999;ML;Decisive Battle Doctrine;Very High;2696;X
25148;Chief of Navy;두카 데그리 아부르치 ;1919;1932;1999;ML;Decisive Naval Battle Doctrine;Very High;2697;X
25149;Chief of Navy;파올로 타온 디 레벨 ;1914;1932;1999;ML;Open Seas Doctrine;High;2698;X
25150;Chief of Navy;파올로 타온 디 레벨 ;1920;1932;1999;NS;Open Seas Doctrine;High;2698;X
25151;Chief of Navy;카밀로 코르시 ;1916;1932;1999;ML;Decisive Naval Battle Doctrine;Very High;7972;X
25152;Chief of Staff;비토리오 알피에리 ;1917;1932;1999;SL;School of Fire Support;Very High;2699;X
25153;Chief of Staff;피에트로 바돌리오 ;1919;1932;1999;ML;school of defence;Very High;2692;X
25154;Chief of Staff;루이지 카도르나 ;1914;1932;1999;ML;Stubborn Disciplinarian;Very High;2693;X
25155;Chief of Staff;엔리코 카빌랴 ;1919;1932;1999;SL;school of manoeuvre;Very High;2700;X
25156;Chief of Staff;가브리엘레 다눈치오 ;1920;1932;1999;FA;School of Mass Combat;Very High;2690;X
25157;Chief of Staff;아만도 디아스 ;1916;1932;1999;ML;school of defence;Very High;2694;X
25158;Chief of Staff;가에타노 에토레 지아르디노 ;1917;1932;1999;ML;School of Defence;Very High;2701;X
25159;Chief of Staff;도메니토 그란디 ;1914;1932;1999;ML;School of Defence;Very High;7973;X
25160;Chief of Staff;파올로 모로네 ;1916;1932;1999;ML;School of Mass Combat;Very High;2702;X
25161;Chief of Staff;루이지 펠로카스 ;1914;1932;1999;ML;School of Defence;Very High;2703;X
25162;Chief of Staff;알베르토 폴리오 ;1914;1932;1999;ML;School of Fire Support;Very High;2695;X
25163;Chief of Staff;파올로 스핀가르디 ;1914;1932;1999;ML;School of Fire Support;Very High;2704;X
25164;Chief of Staff;주세페 바카리 ;1921;1932;1999;ML;School of Fire Support;Very High;2696;X
25165;Chief of Navy;레오네 비알레 ;1914;1932;1999;ML;Base Control Doctrine;Very High;2705;X
25166;Chief of Staff;주세페 에토레 비가노 ;1914;1932;1999;SL;School of Defence;Very High;2706;X
25167;Chief of Staff;비토리오 이탈리코 주펠리 ;1914;1932;1999;ML;school of manoeuvre;Very High;2707;X
25168;Chief of Staff;비토리오 이탈리코 주펠리 ;1918;1932;1999;SL;school of manoeuvre;Very High;2707;X
25169;Foreign Minister;이바노에 보노미 ;1921;1932;1999;SD;Ideological Crusader;High;2708;X
25170;Foreign Minister;펠리체 나폴레오네 카네바로 ;1914;1932;1999;ML;General Staffer;Very High;2709;X
25171;Foreign Minister;가브리엘레 다눈치오 ;1920;1932;1999;FA;iron fisted brute;Very High;2690;X
25172;Foreign Minister;지아친토 메노티 세라티 ;1914;1932;1999;ST;Ideological Crusader;Very High;2710;X
25173;Foreign Minister;베니토 무솔리니 ;1920;1932;1999;FA;Aggressive Nationalist;Very High;2711;X
25174;Foreign Minister;안토니노 파테르노 카스텔로 ;1914;1932;1999;ML;Great Compromiser;High;2712;X
25175;Foreign Minister;비토리오 샬로야 ;1919;1932;1999;LWR;Great Compromiser;High;2713;X
25176;Foreign Minister;카를로 스포르차 ;1920;1932;1999;ML;Great Compromiser;High;2714;X
25177;Foreign Minister;시드니 소니노 ;1914;1932;1999;ML;Great Compromiser;High;2715;X
25178;Foreign Minister;토마소 티토니 ;1914;1932;1999;ML;Biased Intellectual;High;2716;X
25179;Foreign Minister;마르케세 델라 토레타 ;1921;1932;1999;ML;Great Compromiser;High;2717;X
25180;Foreign Minister;카를 산세르 ;1922;1932;1999;ML;Great Compromiser;High;unknownminister;X
25181;Head of Government;이바노에 보노미 ;1921;1932;1999;SD;Political Protege;Medium;2708;X
25182;Head of Government;파올로 보젤리 ;1916;1932;1999;ML;Happy Amateur;Very High;2718;X
25183;Head of Government;가브리엘레 다눈치오 ;1920;1932;1999;FA;Flamboyant Tough Guy;Very High;2690;X
25184;Head of Government;루이지 파크타 ;1922;1932;1999;ML;Smiling Oilman;Medium;2719;X
25185;Head of Government;조반니 지올리티 ;1914;1932;1999;SL;Flamboyant Tough Guy;High;2720;X
25186;Head of Government;루이지 루차티 ;1914;1932;1999;ML;Silent Workhorse;Very High;2721;X
25187;Head of Government;지아친토 메노티 세라티 ;1914;1932;1999;ST;Naive Optimist;Medium;2710;X
25188;Head of Government;베니토 무솔리니 ;1920;1932;1999;FA;Flamboyant Tough Guy;Medium;2711;X
25189;Head of Government;프란체스코 니티 ;1919;1932;1999;LWR;Ambitious Union Boss;Medium;2722;X
25190;Head of Government;비토리오 에마누엘레 올란도 ;1916;1932;1999;SL;Naive Optimist;Very High;2723;X
25191;Head of Government;루이지 펠로카스 ;1914;1932;1999;ML;Old General;Very High;2703;X
25192;Head of Government;안토니오 살란드라 ;1914;1932;1999;ML;Flamboyant Tough Guy;Very High;2724;X
25193;Head of Government;시드니 소니노 ;1914;1932;1999;ML;Naive Optimist;Very High;2715;X
25194;Head of Government;토마소 티토니 ;1914;1932;1999;ML;Political Protege;Very High;2716;X
25195;Head of Military Intelligence;에우제니오 데 로시 ;1914;1932;1999;ML;Technical Specialist;Very High;2725;X
25196;Head of Military Intelligence;빈첸소 가리오니 ;1914;1932;1999;ML;Technical Specialist;Very High;2726;X
25197;Head of Military Intelligence;조반니 가루초 멜리스 ;1915;1932;1999;ML;Dismal Enigma;Very High;2727;X
25198;Head of Military Intelligence;펠리체 데 샤우란드 ;1914;1932;1999;ML;Logistics Specialist;Very High;unknownminister;X
25199;Head of Military Intelligence;오도아르도 마르케티 ;1917;1932;1999;ML;Dismal Enigma;Very High;unknownminister;X
25200;Head of Military Intelligence;로솔리노 포지 ;1914;1932;1999;ML;Dismal Enigma;Very High;unknownminister;X
25201;Head of State;지아친토 메노티 세라티 ;1914;1932;1999;ST;Weary Stiffneck;Medium;2710;X
25202;Head of State;비토리오 에마누엘레 3세 ;1914;1932;1999;ML;Insignificant Layman;Medium;2728;X
25203;Head of State;비토리오 에마누엘레 3세 ;1914;1932;1999;PA;Weary Stiffneck;Medium;2728;X
25204;Head of State;비토리오 에마누엘레 3세 ;1920;1932;1999;FA;Weary Stiffneck;Very High;2728;X
25205;Minister of Armament;펠리체 나폴레오네 카네바로 ;1914;1932;1999;ML;Battle Fleet Proponent;Very High;2709;X
25206;Minister of Armament;파올로 카르카노 ;1914;1932;1999;ML;Laissez-Faire Capitalist;Very High;2729;X
25207;Minister of Armament;주세페 데 나바 ;1920;1932;1999;ML;Administrative Genius;High;2730;X
25208;Minister of Armament;루이지 파크타 ;1914;1932;1999;ML;Administrative Genius;Low;2719;X
25209;Minister of Armament;안토니오 그람시 ;1914;1932;1999;LWR;Resource Industrialist;Medium;2731;X
25210;Minister of Armament;루이지 루차티 ;1914;1932;1999;ML;Resource Industrialist;Very High;2721;X
25211;Minister of Armament;필리포 메다 ;1916;1932;1999;ML;Laissez-Faire Capitalist;High;2732;X
25212;Minister of Armament;루이지 펠로카스 ;1914;1932;1999;ML;Infantry Proponent;Very High;2703;X
25213;Minister of Armament;루이지 라바 ;1914;1932;1999;ML;Administrative Genius;High;2733;X
25214;Minister of Armament;안토니오 살란드라 ;1914;1932;1999;ML;Laissez-Faire Capitalist;Very High;2724;X
25215;Minister of Armament;알베르토 데 스테파니 ;1920;1932;1999;FA;Infantry Proponent;Very High;2435;X
25216;Minister of Armament;알프레도 달롤리오 ;1917;1932;1999;SL;Resource Industrialist;Very High;5909;X
25217;Minister of Armament;에두아르도 다네오 ;1914;1932;1999;ML;Resource Industrialist;High;unknownminister;X
25218;Minister of Armament;엔리코 아를로타 ;1914;1932;1999;ML;Resource Industrialist;Very High;7974;X
25219;Minister of Armament;프란체스코 테데스코 ;1919;1932;1999;LWR;Resource Industrialist;High;unknownminister;X
25220;Minister of Armament;잔바티스타 베토네 ;1922;1932;1999;ML;Laissez-Faire Capitalist;High;unknownminister;X
25221;Minister of Armament;카를 산세르 ;1920;1932;1999;ML;Resource Industrialist;High;unknownminister;X
25222;Minister of Armament;마르첼로 살레리 ;1921;1932;1999;SD;Resource Industrialist;High;unknownminister;X
25223;Minister of Armament;레오네 볼렘보르그 ;1914;1932;1999;SL;Laissez-Faire Capitalist;Very High;2734;X
25224;Minister of Armament;비토리오 이탈리코 주펠리 ;1918;1932;1999;SL;Military Entrepreneur;Very High;2707;X
25225;Minister of Security;이바노에 보노미 ;1921;1932;1999;SD;Man of the People;High;2708;X
25226;Minister of Security;파올로 보셀리 ;1916;1932;1999;ML;Man of the People;Very High;2718;X
25227;Minister of Security;루이지 파크타 ;1922;1932;1999;ML;Man of the People;High;2719;X
25228;Minister of Security;조반니 지올리티 ;1914;1932;1999;ML;Silent Lawyer;High;2720;X
25229;Minister of Security;루이지 루차티 ;1914;1932;1999;ML;Silent Lawyer;Very High;2721;X
25230;Minister of Security;베니토 무솔리니 ;1920;1932;1999;FA;Efficient Sociopath;Very High;2711;X
25231;Minister of Security;프란체스코 니티 ;1919;1932;1999;LWR;Silent Lawyer;High;2722;X
25232;Minister of Security;비토리오 에마누엘레 올란도 ;1916;1932;1999;ML;Crime Fighter;High;2723;X
25233;Minister of Security;루이지 펠로카스 ;1914;1932;1999;ML;Crime Fighter;Very High;2703;X
25234;Minister of Security;안토니오 살란드라 ;1914;1932;1999;ML;Efficient Sociopath;High;2724;X
25235;Minister of Security;시드니 소니노 ;1914;1932;1999;ML;Silent Lawyer;Very High;2715;X
25236;Minister of Security;토마소 티토니 ;1914;1932;1999;ML;Silent Lawyer;Very High;2716;X
25237;Minister of Armament;아르투로 미켈리니 ;1954;1964;1999;FA;Laissez-Faire Capitalist;High;6080;x
25238;Foreign Minister;아우구스토 데 마르사니크 ;1944;1964;1999;FA;Great Compromiser;High;6081;X
25239;Head of Government;아우구스토 데 마르사니크 ;1955;1964;1999;FA;Silent Workhorse;High;6081;x
25240;Minister of Security;조르지오 알미란테 ;1946;1964;1999;NS;Back Stabber;High;6082;x
25241;Foreign Minister;조르지오 알미란테 ;1945;1964;1999;NS;The Cloak N Dagger Schemer;High;6082;x
25242;Chief of Army;카를로 포로 ;1911;1918;1999;ML;Guns and Butter Doctrine;High;8020;X
25243;Chief of Air Force;마우리치오 모리스 ;1914;1933;1999;FA;Army Aviation Doctrine;High;8021;X
25244;Minister of Security;Cesare Maria De Vecchi;1935;1960;1960;FA;Silent Lawyer;High;L6060;X
25245;Head of State;주니요 보르헤세 ;1951;1975;1975;NS;Powerhungry Demagogue;High;M3044;X
