FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5042;Foreign Minister;피에르 앙리 바티에 ;1947;1964;1999;SC;Biased Intellectual;Medium;M2060;X
5043;Foreign Minister;르네 루시앙 마시글리 ;1943;1964;1999;SC;The Cloak N Dagger Schemer;High;M2061;X
5044;Foreign Minister;마르셀 카생 ;1933;1964;1999;ST;Biased Intellectual;Very High;M2017;X
5045;Foreign Minister;마르셀 기통 ;1940;1964;1999;ST;Apologetic Clerk;Medium;M2020;X
5046;Foreign Minister;로랑 카스노브 ;1932;1964;1999;ST;Great Compromiser;Medium;M2064;X
5047;Foreign Minister;자크 뒤클로스 ;1947;1964;1999;ST;Ideological Crusader;Very High;M2012;X
5048;Foreign Minister;모리스 부르주 마우노리 ;1938;1964;1999;PA;General Staffer;High;M2066;X
5049;Minister of Armament;에두아르 달라디에 ;1932;1964;1999;SD;laissez-faire capitalist;Low;2563;X
5050;Minister of Armament;루이 바르투 ;1934;1935;1999;SD;Military Entrepreneur;Medium;M2069;X
5051;Minister of Armament;레옹 주오 ;1941;1964;1999;SD;Strategic Air Proponent;Medium;M2070;X
5052;Minister of Armament;기 몰레 ;1946;1964;1999;SD;Keynesian economy;Medium;M2071;X
5053;Minister of Armament;앙드레 르 트로케 ;1947;1964;1999;SD;Resource Industrialist;Medium;M2072;X
5054;Minister of Armament;라올 도트리 ;1932;1964;1999;SL;Theoretical Scientist;High;M2073;X
5055;Minister of Armament;루이 루쉐 ;1924;1964;1999;SL;Construction magnate;Medium;M2074;X
5056;Minister of Armament;알베르 사로 ;1928;1964;1999;SL;Balanced budget economy;Low;5900;X
5057;Minister of Armament;마르셀 오든 ;1939;1964;1999;SL;Air Superiority Proponent;Medium;M2076;X
5058;Minister of Armament;샤를 드 골 ;1940;1964;1999;SC;Tank Proponent;High;2562;X
5059;Minister of Armament;조르주 보네 ;1933;1964;1999;SL;Opposer to military spending;Medium;M2053;X
5060;Minister of Armament;장 파브리 ;1933;1964;1999;SC;Resource Industrialist;Medium;M2079;X
5061;Minister of Armament;조제프 루이 아베놀 ;1937;1964;1999;SC;Battle Fleet Proponent;Medium;M2080;X
5062;Minister of Armament;마리 에밀 파욜 ;1914;1928;1999;SC;Reformer;Medium;M2081;X
5063;Minister of Armament;에두아르 에리오 ;1939;1964;1999;ML;laissez-faire capitalist;Medium;M2042;X
5064;Minister of Armament;폴 마샨도 ;1941;1964;1999;SC;Administrative Genius;Medium;M2083;X
5065;Minister of Armament;앙드레 마리 ;1941;1964;1999;ML;Air Superiority Proponent;Medium;M2041;X
5066;Minister of Armament;앙투안 앙리 쾨유 ;1942;1964;1999;SC;Air to Ground Proponent;High;M2043;X
5067;Minister of Armament;루이 아르망 ;1944;1964;1999;SC;Tank Proponent;Medium;M2086;X
5068;Minister of Armament;쥘 로맹 ;1947;1964;1999;SC;Submarine Proponent;Medium;M2087;X
5069;Minister of Armament;로베르 쉬망 ;1940;1964;1999;ML;Administrative Genius;Medium;M2088;X
5070;Minister of Armament;에드몽 미셰레 ;1944;1964;1999;SC;laissez-faire capitalist;Medium;M2089;X
5071;Minister of Armament;르네 플레븐 ;1945;1964;1999;ML;Resource Industrialist;High;M2090;X
5072;Minister of Armament;조르주 레비 ;1933;1964;1999;ST;Administrative Genius;Medium;M2014;X
5073;Minister of Armament;로랑 카스노브 ;1938;1964;1999;ST;Theoretical Scientist;Medium;M2064;X
5074;Minister of Armament;장 제롬 ;1940;1964;1999;ST;laissez-faire capitalist;Medium;M2093;X
5075;Minister of Armament;베누아 프라숑 ;1942;1964;1999;ST;Battle Fleet Proponent;Medium;M2094;X
5076;Minister of Armament;오귀스트 르쾨 ;1944;1964;1999;ST;Military Entrepreneur;Medium;M2095;X
5077;Minister of Armament;다니엘 르노 ;1947;1964;1999;ST;Theoretical Scientist;Medium;M2096;X
5078;Minister of Armament;자크 드 기에봉 ;1938;1964;1999;PA;Resource Industrialist;Medium;M2097;X
5079;Minister of Security;피에르 오귀스트 샤디니 ;1933;1964;1999;SD;Prince of Terror;Low;M2098;X
5080;Minister of Security;줄리앙 루셰르 ;1937;1964;1999;SD;Efficient Sociopath;Medium;M2099;X
5081;Minister of Security;아드리앙 티시에 ;1932;1964;1999;SD;Health and safety;Very High;M2100;X
5082;Minister of Security;앙리 보네 ;1938;1964;1999;SD;Back Stabber;Medium;M2101;X
5083;Minister of Security;폴 라마디에 ;1941;1964;1999;SD;Crime Fighter;High;M2035;X
5084;Minister of Security;알베르 르브룅 ;1946;1964;1999;SD;Silent Lawyer;Medium;3871;X
5085;Minister of Security;쥘 모크 ;1947;1964;1999;SL;Man of the People;High;M2104;X
5086;Minister of Security;피에르 프네 ;1933;1964;1999;SL;Silent Lawyer;Medium;M2105;X
5087;Minister of Security;아르튀르 폰탱 ;1937;1964;1999;SL;Efficient Sociopath;Medium;M2106;X
5088;Minister of Security;앙리 르와 ;1938;1964;1999;SL;Man of the People;Medium;M2107;X
5089;Minister of Security;루이 조르주 망델 ;1940;1964;1999;SL;Crime Fighter;Low;M2108;X
5090;Minister of Security;장 마이에 ;1947;1964;1999;SL;Back Stabber;High;M2109;X
5091;Minister of Security;조제프 파가농 ;1933;1964;1999;SC;Silent Lawyer;Medium;M2006;X
5092;Minister of Security;가스통 알렉상드르 클로젤 ;1938;1964;1999;SC;Man of the People;High;M2111;X
5093;Minister of Security;르네 니콜라우 ;1941;1964;1999;SC;Compassionate Gentleman;High;M2112;X
5094;Minister of Security;앙드레 마리 ;1947;1964;1999;ML;Prince of Terror;Medium;M2041;X
5095;Minister of Security;카미유 쇼탕 ;1932;1964;1999;SC;Man of the People;Medium;M2036;X
5096;Minister of Security;로베르 쉬망 ;1944;1964;1999;ML;Crime Fighter;Medium;M2088;X
5097;Minister of Security;앙드레 르 트로케 ;1945;1964;1999;SC;Compassionate Gentleman;Medium;M2072;X
5098;Minister of Security;루시앙 미콜 ;1933;1964;1999;ST;Crime Fighter;High;M2015;X
5099;Minister of Security;클로딘느 쇼마 ;1937;1964;1999;ST;Efficient Sociopath;Medium;M2118;X
5100;Minister of Security;앙리 구도 ;1938;1964;1999;ST;Silent Lawyer;High;M2119;X
5101;Minister of Security;장 마리 클라마뮈스 ;1940;1964;1999;ST;Man of the People;Medium;M2120;X
5102;Minister of Security;모리스 토레즈 ;1944;1964;1999;ST;Prince of Terror;Very High;M2011;X
5103;Minister of Security;외젠 뒤노이에 드 스공자크 ;1938;1964;1999;PA;Compassionate Gentleman;Very High;M2122;X
5104;Minister of Security;로제 살렌그로 ;1933;1937;1999;SD;Compassionate Gentleman;Medium;M2123;X
5105;Head of Military Intelligence;펠릭스 구앵 ;1937;1964;1999;SD;Technical Specialist;Medium;M2034;X
5106;Head of Military Intelligence;다니엘 마이에 ;1941;1964;1999;SD;Logistics Specialist;Medium;M2023;X
5107;Head of Military Intelligence;앙드레 르 트로케 ;1947;1964;1999;SD;Dismal Enigma;Medium;M2072;X
5108;Head of Military Intelligence;피에르 에티엔 플랑댕 ;1932;1964;1999;SL;Dismal Enigma;Low;M2003;X
5109;Head of Military Intelligence;모리스 드라즈 ;1941;1964;1999;SL;Technical Specialist;High;M2129;X
5110;Head of Military Intelligence;에므 르페크 ;1947;1964;1999;SL;Industrial Specialist;High;M2130;X
5111;Head of Military Intelligence;르네 니콜라우 ;1933;1964;1999;SC;Dismal Enigma;High;M2112;X
5112;Head of Military Intelligence;자크 브륀슈비그 ;1938;1964;1999;SC;Naval Intelligence Specialist;High;M2132;X
5113;Head of Military Intelligence;앙드레 마리 ;1940;1964;1999;ML;Technical Specialist;Medium;M2041;X
5114;Head of Military Intelligence;샤를 루이제 ;1940;1964;1999;ML;Technical Specialist;High;5905;X
5115;Head of Military Intelligence;앙드레 드 바브랭 파시 ;1942;1964;1999;SC;Logistics Specialist;High;M2135;X
5116;Head of Military Intelligence;로제 랑테누아 ;1944;1964;1999;SC;Industrial Specialist;High;M2136;X
5117;Head of Military Intelligence;앙드레 불로셰 ;1946;1964;1999;SC;Dismal Enigma;High;M2137;X
5118;Head of Military Intelligence;발데크 로셰 ;1933;1964;1999;ST;Dismal Enigma;High;M2016;X
5119;Head of Military Intelligence;장 마리 클라마뮈스 ;1938;1964;1999;ST;Industrial Specialist;Medium;M2120;X
5120;Head of Military Intelligence;앙리 구도 ;1941;1964;1999;ST;Logistics Specialist;High;M2119;X
5121;Head of Military Intelligence;귀스타브 궤엔노 ;1947;1964;1999;ST;Technical Specialist;Medium;M2141;X
5122;Head of Military Intelligence;폴 레피통 프르뇌프 ;1938;1964;1999;PA;Logistics Specialist;Medium;M2142;X
5123;Chief of Staff;장 마리 드 타시니 ;1933;1964;1999;SC;School of Mass Combat;Medium;5903;X
5124;Chief of Staff;막심 베이강 ;1929;1964;1999;SL;School of Defence;Very High;5910;X
5125;Chief of Staff;폴 르 정띠옴므 ;1933;1964;1999;SC;School of Psychology;Medium;6373;X
5126;Chief of Staff;샤를 드 골 ;1940;1964;1999;SC;School of Manoeuvre;High;2562;X
5127;Chief of Staff;피에르 알망 비요트 ;1942;1964;1999;SC;School of Fire Support;Medium;M2151;X
5128;Chief of Staff;피에르 부르주 마우노리 ;1944;1964;1999;SC;School of Psychology;High;M2152;X
5129;Chief of Staff;마르셀 카생 ;1924;1964;1999;ST;School of Fire Support;Medium;M2017;X
5130;Chief of Army;레옹 비토르 부르주아 ;1895;1925;1999;SD;Guns and Butter Doctrine;Medium;M2157;X
5131;Chief of Army;장 마리 드 타시니 ;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;5903;X
5132;Chief of Army;피에르 오귀스트 샤디니 ;1941;1964;1999;SL;Elastic Defence Doctrine;Medium;M2098;X
5133;Chief of Army;장 베르탱 보수 ;1940;1964;1999;SC;Elastic Defence Doctrine;Medium;M2164;X
5134;Chief of Army;앙드레 마르티 ;1924;1964;1999;ST;Guns and Butter Doctrine;Medium;M2018;X
5135;Chief of Army;피에르 파비앙 ;1924;1964;1999;ST;Decisive Battle Doctrine;Medium;M2167;X
5136;Chief of Army;막심 베이강 ;1929;1964;1999;PA;Elastic Defence Doctrine;Medium;5910;X
5137;Chief of Navy;조제프 폴 봉쿠르 ;1938;1964;1999;SD;Base Control Doctrine;High;M2170;X
5138;Chief of Navy;장 구 ;1944;1964;1999;SD;Power Projection Doctrine;High;M2171;X
5139;Chief of Navy;세자르 캉핀치 ;1938;1964;1999;ML;Indirect Approach Doctrine;Very High;M2173;X
5140;Chief of Navy;프랑수아 피에트리 ;1940;1964;1999;SC;Indirect Approach Doctrine;Medium;M2176;X
5141;Chief of Navy;에티엔 쉴렝베르제 ;1940;1964;1999;SC;Decisive Naval Battle Doctrine;High;M2174;X
5142;Chief of Navy;앙드레 마르티 ;1924;1964;1999;ST;Indirect Approach Doctrine;Medium;M2018;X
5143;Chief of Navy;샤를 티용 ;1924;1964;1999;ST;Base Control Doctrine;High;M2180;X
5144;Chief of Navy;피에르 리샤드 ;1938;1964;1999;PA;Decisive Naval Battle Doctrine;High;M2181;X
5145;Chief of Air Force;마르셀 디 ;1938;1964;1999;SD;Air Superiority Doctrine;Low;M2183;X
5146;Chief of Air Force;피에르 코 ;1940;1964;1999;SD;Army Aviation Doctrine;Very High;M2184;X
5147;Chief of Air Force;조제프 뷔예맹 ;1938;1964;1999;SL;Air Superiority Doctrine;Very High;M2187;X
5148;Chief of Air Force;기 라 샹브르 ;1938;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M2188;X
5149;Chief of Air Force;로베르 로시 ;1940;1964;1999;SC;Army Aviation Doctrine;Very High;M2191;X
5150;Chief of Air Force;마르샬 발랭 ;1940;1964;1999;SC;Air Superiority Doctrine;Very High;M2185;X
5151;Chief of Air Force;레몽 로크 ;1944;1964;1999;SC;Carpet Bombing Doctrine;Very High;M2194;X
5152;Chief of Air Force;마르셀 기통 ;1924;1964;1999;ST;Air Superiority Doctrine;Medium;M2020;X
5153;Chief of Air Force;샤를 티용 ;1924;1964;1999;ST;Army Aviation Doctrine;High;M2180;X
5154;Head of Government;로베르 쉬망 ;1947;1964;1999;SL;Corporate Suit;High;M2088;X
5155;Foreign Minister;모리스 드장 ;1940;1964;1999;ML;Great Compromiser;High;M2202;X
5156;Foreign Minister;르네 플레븐 ;1942;1964;1999;ML;Biased Intellectual;High;M2090;X
5157;Chief of Army;알퐁스 조르주 ;1939;1964;1999;SC;Static Defence Doctrine;High;L24082;X
5158;Head of State;알베르 르브룅 ;1932;1964;1999;SC;Barking Buffoon;Very High;3871;X
5159;Head of State;카미유 쇼탕 ;1940;1964;1999;SL;Popular Figurehead;Very High;M2036;X
5160;Head of Government;루이 조르주 망델 ;1940;1964;1999;SL;Backroom Backstabber;Medium;M2108;X
5161;Minister of Security;이봉 델보스 ;1940;1964;1999;SL;Silent Lawyer;High;M2048;X
5162;Head of State;앙리 오노레 지로 ;1940;1964;1999;PA;Weary Stiffneck;Very High;L24084;X
5163;Head of Government;앙리 오노레 지로 ;1940;1964;1999;PA;Old General;Very High;L24084;X
5164;Foreign Minister;샤를 엠마뉘엘 마스트 ;1940;1964;1999;PA;General Staffer;High;L24224;X
5165;Minister of Armament;마리 피에르 쾨니그 ;1940;1964;1999;SC;Military Entrepreneur;Very High;L24107;X
5166;Chief of Staff;앙리 오노레 지로 ;1940;1964;1999;PA;School of Fire Support;Very High;L24084;X
5167;Head of Government;로베르 쉬망;1947;1964;1999;ML;Corporate Suit;High;M2088;X
5168;Head of Government;르네 플레븐 ;1950;1964;1999;ML;Political Protege;High;M2090;X
5169;Head of Government;에드가 포레 ;1952;1964;1999;SD;Backroom Backstabber;High;M2219;X
5170;Head of Government;앙투안 피네 ;1952;1964;1999;ML;Silent Workhorse;High;M2220;X
5171;Head of Government;르네 마이에 ;1953;1964;1999;SL;Naive Optimist;High;M2221;X
5172;Head of Government;조제프 라니엘 ;1953;1964;1999;SC;Flamboyant Tough Guy;High;M2222;X
5173;Foreign Minister;로베르 쉬망 ;1948;1964;1999;ML;Biased Intellectual;High;M2088;X
5174;Minister of Armament;피에르 앙리 테트젠 ;1947;1964;1999;ML;laissez-faire capitalist;Medium;M2224;X
5175;Minister of Armament;르네 마이에 ;1948;1964;1999;SL;Tank Proponent;Medium;M2221;X
5176;Minister of Armament;폴 라마디에 ;1948;1964;1999;SL;Resource Industrialist;Medium;M2035;X
5177;Minister of Armament;쥘 모끄 ;1950;1964;1999;SD;Battle Fleet Proponent;Medium;M2104;X
5178;Minister of Armament;조르주 비도 ;1951;1964;1999;ML;Infantry Proponent;Medium;M2039;X
5179;Minister of Security;앙투앙 앙리 쾨유 ;1950;1964;1999;SC;Back Stabber;Medium;M2043;X
5180;Minister of Security;샤를 브륀느 ;1951;1964;1999;SD;Silent Lawyer;Medium;M2229;X
5181;Minister of Security;레옹 마르티노 드플라 ;1953;1964;1999;SC;Compassionate Gentleman;Medium;M2230;X
5182;Head of Military Intelligence;로베르 르쿠흐;1948;1964;1999;SC;Industrial Specialist;Medium;M2231;X
5183;Head of Military Intelligence;르네 마이에 ;1949;1964;1999;SL;Logistics Specialist;Medium;M2221;X
5184;Head of Military Intelligence;에드가 포레 ;1951;1964;1999;SD;Dismal Enigma;Medium;M2219;X
5185;Head of Military Intelligence;레옹 마르티노 드플라 ;1952;1964;1999;SC;Political Specialist;Medium;M2230;X
5186;Head of Military Intelligence;폴 리베이르 ;1953;1964;1999;SC;Naval Intelligence Specialist;Medium;M2235;X
5187;Head of State;뱅상 오리올 ;1947;1964;1999;SC;Autocratic Charmer;Medium;5901;X
5189;Head of Government;장 프랑수아 다를랑 ;1933;1943;1967;PA;Old Admiral;High;M57002;X
5190;Foreign Minister;폴 보두앵 ;1924;1964;1999;PA;Iron Fisted Brute;Medium;M57003;X
5191;Minister of Armament;모리스 베를리에 ;1933;1964;1999;PA;laissez-faire capitalist;Medium;M57004;X
5192;Minister of Security;조제프 바르텔르미 ;1924;1964;1999;PA;Silent Lawyer;Medium;M57005;X
5193;Head of Military Intelligence;르네 부스케 ;1924;1964;1999;PA;Technical Specialist;Medium;M57006;X
5194;Chief of Staff;샤를 훈칭어;1924;1964;1999;PA;School of Defence;Medium;M57007;X
5196;Chief of Air Force;장 마리 베르제레 ;1924;1964;1999;PA;Army Aviation Doctrine;Medium;M57010;X
5197;Head of Government;피에르 라발 ;1931;1964;1999;PA;Flamboyant Tough Guy;High;M57011;X
5198;Foreign Minister;장 프랑수아 다를랑 ;1941;1943;1967;PA;General Staffer;Low;M57002;X
5199;Foreign Minister;샤를 앙드레 바이스 ;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
5200;Foreign Minister;알베르 토마 ;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
5201;Foreign Minister;피에르 라발 ;1942;1964;1999;PA;Apologetic Clerk;Medium;M57011;X
5202;Foreign Minister;가브리엘 하노토 ;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
5203;Foreign Minister;앙리 드 주브넬 ;1943;1964;1999;PA;Biased Intellectual;Medium;M57017;X
5204;Foreign Minister;아르느 르르와 ;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
5205;Minister of Armament;튈리오 프랑코 프랑코 ;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
5206;Minister of Armament;루시앙 라카즈 ;1941;1964;1999;PA;Military Entrepreneur;Medium;M57020;X
5207;Minister of Armament;로베르 하스 ;1942;1964;1999;PA;laissez-faire capitalist;Medium;M57021;X
5208;Minister of Armament;스테판 오판 ;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
5209;Minister of Armament;폴 팽르브 ;1943;1964;1999;PA;Administrative Genius;Medium;M57023;X
5210;Minister of Armament;폴 망토 ;1943;1964;1999;PA;Theoretical Scientist;Medium;M57024;X
5211;Minister of Security;장 프랑수아 다를랑 ;1940;1943;1967;PA;Back Stabber;Low;M57002;X
5212;Minister of Security;에두아르 에리오 ;1941;1964;1999;PA;Silent Lawyer;Low;M57026;X
5213;Minister of Security;피에르 라발 ;1942;1964;1999;PA;Prince of Terror;Medium;M57011;X
5214;Minister of Security;마리우스 비플르 ;1942;1964;1999;PA;Man of the People;Medium;M57028;X
5215;Minister of Security;르네 부스케 ;1942;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
5216;Minister of Security;라파엘 알리베르 ;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
5217;Minister of Security;구프르 드 라프라델 ;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
5218;Head of Military Intelligence;피에르 라발 ;1942;1964;1999;PA;Political Specialist;Medium;M57011;X
5219;Chief of Staff;장 프랑수아 다를랑 ;1941;1943;1967;PA;School of Psychology;Low;M57002;X
5220;Chief of Staff;외젠 브리도 ;1942;1964;1999;PA;School of Mass Combat;Medium;M57034;X
5221;Chief of Army;외젠 브리도 ;1941;1964;1999;PA;Decisive Battle Doctrine;Medium;M57034;X
5222;Chief of Navy;장 에스테바 ;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;M57036;X
5223;Chief of Navy;장 마리 아브리알 ;1943;1964;1999;PA;Open Seas Doctrine;Medium;M57037;X
5224;Chief of Air Force;모리스 잔느킨 ;1924;1964;1999;PA;Carpet Bombing Doctrine;Medium;M57038;X
5225;Head of State;앙리 드 주브넬 ;1945;1964;1999;PA;Insignificant Layman;High;M57017;X
5226;Head of Military Intelligence;구프르 드 라프라델 ;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
5227;Chief of Air Force;에두아르 바레스 ;1914;1936;1999;ML;Army Aviation Doctrine;Very High;2565;X
5228;Chief of Air Force;빅토르 뒤발 ;1914;1936;1999;FA;Air Superiority Doctrine;Very High;2566;X
5229;Chief of Air Force;장 뒤 프티 ;1917;1936;1999;ML;Army Aviation Doctrine;Very High;unknownminister;X
5230;Chief of Air Force;루이 기야베르 ;1917;1936;1999;ML;Carpet Bombing Doctrine;Very High;unknownminister;X
5231;Chief of Air Force;빅토르 뒤발 ;1917;1936;1999;ML;Air Superiority Doctrine;Very High;2566;X
5232;Chief of Army;오귀스트 뒤바일 ;1914;1936;1999;ML;Decisive Battle Doctrine;Very High;2567;X
5233;Chief of Army;에티엥 라퐁 드 레드바 ;1914;1936;1999;ML;Decisive Battle Doctrine;Very High;2568;X
5234;Chief of Army;페르디낭 포슈 ;1914;1929;1999;FA;Guns and Butter Doctrine;Very High;2569;X
5235;Chief of Army;조제프 조프르 ;1914;1920;1999;ML;Decisive Battle Doctrine;Very High;2570;X
5236;Chief of Army;모리스 사라이유 ;1914;1929;1999;LWR;Decisive Battle Doctrine;Low;2571;X
5237;Chief of Army;필리프 페탱 ;1916;1936;1999;PA;static defence doctrine;Very High;2572;X
5238;Chief of Army;로베르 니벨 ;1916;1936;1999;ML;Decisive Battle Doctrine;Very High;2573;X
5239;Chief of Army;필리프 페탱 ;1917;1936;1999;ML;static defence doctrine;Medium;2572;X
5240;Chief of Army;페르디낭 포슈 ;1918;1929;1999;ML;Guns and Butter Doctrine;Very High;2569;X
5241;Chief of Navy;조제프 바르누앙 ;1914;1936;1999;FA;Decisive Naval Battle Doctrine;High;unknownminister;X
5242;Chief of Navy;쥘 아베르 ;1914;1936;1999;ML;Open Seas Doctrine;High;unknownminister;X
5243;Chief of Navy;조제프 바르누앙 ;1915;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;unknownminister;X
5244;Chief of Navy;프랑수아 모랭 ;1917;1936;1999;ML;Open Seas Doctrine;Very High;3780;X
5245;Chief of Navy;마리 메르뵈유 뒤 비뉴 ;1918;1936;1999;ML;Power Projection Doctrine;Very High;7944;X
5246;Chief of Staff;오귀스트 뒤바일 ;1914;1936;1999;ML;School of Psychology;Very High;2567;X
5247;Chief of Staff;에밀 블랑 ;1914;1936;1999;ML;School of Fire Support;Very High;2574;X
5248;Chief of Staff;에티엥 라퐁 드 레드바 ;1914;1936;1999;ML;School of Psychology;Very High;2568;X
5249;Chief of Staff;페르디낭 포슈 ;1914;1929;1999;FA;Counterattack Genius;Very High;2569;X
5250;Chief of Staff;모리스 펠 ;1914;1936;1999;ML;School of Mass Combat;Very High;2575;X
5251;Chief of Staff;모리스 사라이유 ;1914;1929;1999;LWR;School of Fire Support;Low;2571;X
5252;Chief of Staff;노엘 드 카스텔노 ;1914;1936;1999;ML;School of Psychology;Very High;2576;X
5253;Chief of Staff;장 그라치아니 ;1915;1936;1999;ML;School of Fire Support;Very High;3781;X
5254;Chief of Staff;필리프 페탱 ;1916;1936;1999;PA;school of defence;Very High;2572;X
5255;Chief of Staff;피에르 뒤포 ;1916;1936;1999;ML;school of manoeuvre;Very High;2577;X
5256;Chief of Staff;페르디낭 포슈 ;1917;1929;1999;ML;Counterattack Genius;Very High;2569;X
5257;Chief of Staff;프랑수아 앙투안느 ;1917;1936;1999;ML;School of Mass Combat;Very High;2578;X
5258;Chief of Staff;필리프 페탱 ;1917;1936;1999;ML;school of defence;Medium;2572;X
5259;Chief of Staff;앙리 알비 ;1918;1936;1999;ML;School of Fire Support;Very High;unknownminister;X
5260;Chief of Staff;에드몽 부아 ;1920;1923;1999;ML;school of manoeuvre;Very High;2579;X
5261;Chief of Staff;마리 외젠 드브니 ;1924;1936;1999;ML;School of Mass Combat;Very High;2580;X
5262;Foreign Minister;샤를 조나 ;1914;1936;1999;SL;Ideological Crusader;Very High;2581;X
5263;Foreign Minister;가브리엘 아노토 ;1914;1936;1999;ML;iron fisted brute;High;2582;X
