CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
220096;Head of State;리만 푸어 더프 ;1940;1964;1999;ML;Popular Figurehead;High;M45129;X
220097;Head of State;아우구스투스 애슬론 ;1940;1964;1999;ML;Stern Imperialist;High;M45131;X
220098;Head of State;아우구스투스 애슬론 ;1940;1964;1999;SC;Stern Imperialist;High;M45131;X
220099;Head of State;해럴드 튀니지 ;1946;1964;1999;SC;Resigned Generalissimo;High;M45133;X
220100;Head of State;해럴드 튀니지 ;1946;1964;1999;ML;Resigned Generalissimo;High;M45133;X
220101;Head of Government;루이 생 로랑 ;1948;1964;1999;ML;Old General;High;M45042;X
220102;Head of Government;고든 그레이든 ;1948;1964;1999;SC;Silent Workhorse;High;M45071;X
220103;Head of Government;J.L. 아이즐리 ;1952;1964;1999;SC;Silent Workhorse;High;M45137;X
220104;Foreign Minister;레스터 B. 피어슨 ;1948;1964;1999;ML;Ideological Crusader;High;M45138;X
220105;Foreign Minister;로버트 스탠필드 ;1948;1964;1999;SC;Biased Intellectual;High;M45139;X
220106;Minister of Armament;브룩 클랙스턴 ;1948;1964;1999;ML;Air Superiority Proponent;High;M45140;X
220107;Minister of Armament;랄프 오스본 캠프니 ;1948;1964;1999;SC;laissez-faire capitalist;High;M45141;X
220108;Minister of Security;스튜어트 싱크레어 가슨 ;1948;1964;1999;ML;Man of the People;Very High;M45142;X
220109;Minister of Security;에드몽 다비드 풀턴 ;1948;1964;1999;SC;Compassionate Gentleman;Very High;M45143;X
220110;Head of Military Intelligence;월터 에드워드 해리스 ;1948;1964;1999;ML;Dismal Enigma;Very High;M45144;X
220111;Head of Military Intelligence;빌 뉴슨 ;1951;1964;1999;SC;Logistics Specialist;Very High;M45145;X
220112;Head of State;빈센트 매시 ;1952;1964;1999;SC;Autocratic Charmer;High;M45146;X
220113;Head of State;빈센트 매시 ;1952;1964;1999;ML;Autocratic Charmer;High;M45146;X
220114;Head of State;조지 P. 베니에 ;1959;1964;1999;SC;Popular Figurehead;High;M45170;X
220115;Head of State;조지 P. 베니에 ;1959;1964;1999;ML;Popular Figurehead;High;M45170;X
220116;Head of Government;존 디펜베이커 ;1957;1964;1999;SC;Flamboyant Tough Guy;High;M45073;X
220117;Head of Government;레스터 B. 피어슨 ;1963;1964;1999;ML;Backroom Backstabber;High;M45138;X
220118;Foreign Minister;하워드 찰스 그린 ;1957;1964;1999;SC;Ideological Crusader;High;M45150;X
220119;Foreign Minister;폴 조셉 재임스 마틴 ;1963;1964;1999;ML;Great Compromiser;High;M45151;X
220120;Minister of Armament;조지 퍼키스 ;1957;1964;1999;SC;Infantry Proponent;High;M45152;X
220121;Minister of Armament;더글러스 하크니스 ;1960;1964;1999;SC;laissez-faire capitalist;High;M45153;X
220122;Minister of Armament;고든 M. 처칠 ;1963;1964;1999;SC;Strategic Air Proponent;High;M45154;X
220123;Minister of Armament;폴 헬리어 ;1963;1964;1999;ML;Military Entrepreneur;High;M45155;X
220124;Minister of Security;도날드 M. 플레밍 ;1962;1964;1999;SC;Prince of Terror;Very High;M45156;X
220125;Minister of Security;리오넬 슈브리에 ;1963;1964;1999;ML;Crime Fighter;Very High;M45157;X
220126;Head of Military Intelligence;더글라스 C. 애벗 ;1949;1964;1999;ML;Political Specialist;High;M45158;X
220127;Head of Military Intelligence;도날드 M. 플레밍 ;1957;1964;1999;SC;Dismal Enigma;High;M45156;X
220128;Head of Military Intelligence;조지 놀랜 ;1963;1964;1999;ML;Technical Specialist;High;M45160;X
220129;Chief of Staff;가이 시몬즈 ;1951;1964;1999;ML;School of Manoeuvre;High;L52065;X
220130;Chief of Staff;하워드 그레이엄 ;1955;1964;1999;ML;School of Fire Support;High;M45162;X
220131;Chief of Staff;제프리 월시 ;1958;1964;1999;SC;School of Mass Combat;High;M45163;X
220132;Chief of Army;랄프 키플레 ;1952;1964;1999;ML;Guns and Butter Doctrine;High;L52030;X
220133;Chief of Army;에드워드 플라우 ;1956;1964;1999;ML;Static Defence Doctrine;High;L52054;X
220134;Chief of Army;클라렌스 하르펠 ;1961;1964;1999;SC;Elastic Defence Doctrine;High;M45166;X
220135;Chief of Navy;다니엘 라이오넬 해닝튼 ;1957;1964;1999;SC;Open Seas Doctrine;Medium;M45167;X
220136;Chief of Air Force;로이드 S. 브래드너 ;1928;1964;1999;ML;Army Aviation Doctrine;Medium;M45168;X
220137;Chief of Air Force;로버트 레키 ;1944;1964;1999;ML;Naval Aviation Doctrine;Medium;M45169;X
220138;Chief of Air Force;윌리엄 비숍 ;1918;1933;1999;SC;Air Superiority Doctrine;Very High;2301;X
220139;Chief of Army;제임스 맥브라이언 ;1918;1933;1999;SC;elastic defence doctrine;Very High;2302;X
220140;Chief of Army;월리엄 오터 ;1914;1933;1999;SC;Decisive Battle Doctrine;Very High;2303;X
220141;Chief of Army;윌러비 구왓킨 ;1914;1933;1999;SC;Static Defence Doctrine;Very High;unknownminister;X
220142;Chief of Army;허버트 태커 ;1917;1933;1999;SC;Guns and Butter Doctrine;Very High;unknownminister;X
220143;Chief of Navy;루이 필립 브로되르 ;1914;1933;1999;SL;Open Seas Doctrine;Very High;2304;X
220144;Chief of Navy;존 하젠 ;1914;1933;1999;SC;Decisive Naval Battle Doctrine;Very High;2305;X
220145;Chief of Navy;찰스 킹스밀 ;1914;1933;1999;SC;decisive naval battle doctrine;Very High;2306;X
220146;Chief of Staff;프레드릭 윌리엄 보든 ;1914;1933;1999;SL;School of Mass Combat;Very High;2307;X
220147;Chief of Staff;제임스 칼더 ;1917;1933;1999;ML;School of Defence;Very High;2308;X
220148;Chief of Staff;조지 그라함 ;1914;1933;1999;SL;School of Defence;Very High;2309;X
220149;Chief of Staff;휴 거스리 ;1914;1933;1999;SC;School of Fire Support;Very High;2310;X
220150;Chief of Staff;샘 휴즈 ;1914;1933;1999;SC;School of Defence;Very High;2311;X
220151;Chief of Staff;알베르 에드워드 켐프 ;1914;1933;1999;SC;School of Mass Combat;Very High;2312;X
220152;Chief of Staff;시드니 뮤번 ;1914;1933;1999;SC;School of Defence;Very High;2313;X
220153;Foreign Minister;리처드 베넷 ;1921;1933;1999;SC;Apologetic Clerk;Very High;2314;X
220154;Foreign Minister;로버트 레어드 보든 ;1911;1933;1999;SC;Ideological Crusader;Very High;2315;X
220155;Foreign Minister;윌리엄 라이언 매켄지 킹 ;1918;1933;1999;SL;Ideological Crusader;Very High;2316;X
220156;Foreign Minister;아서 미언 ;1914;1933;1999;SC;Apologetic Clerk;Very High;2317;X
220157;Foreign Minister;찰스 머피 ;1914;1933;1999;SL;Biased Intellectual;Very High;2318;X
220158;Foreign Minister;윌리엄 로슈 ;1914;1933;1999;SC;Iron Fisted Brute;Very High;2319;X
220159;Head of Government;리처드 베넷 ;1921;1933;1999;SC;flamboyant tough guy;Very High;2314;X
220160;Head of Government;로버트 레어드 보든 ;1911;1933;1999;SC;backroom backstabber;Very High;2315;X
220161;Head of Government;토마스 크레라 ;1917;1933;1999;ML;Political Protege;Very High;2320;X
220162;Head of Government;윌리엄 라이언 매켄지 킹 ;1918;1933;1999;SL;Silent Workhorse;Very High;2316;X
220163;Head of Government;아서 미언 ;1914;1933;1999;SC;Silent Workhorse;Very High;2317;X
220164;Head of Military Intelligence;에이리스워스 보웬 페리 ;1914;1933;1999;SC;Political Specialist;Very High;2321;X
220165;Head of State;아서 알버트 윈저 ;1911;1933;1999;ML;Stern Imperialist;Very High;2322;X
220166;Minister of Armament;토마스 크레라 ;1917;1933;1999;ML;laissez-faire capitalist;Very High;2320;X
220167;Minister of Armament;토마스 윌슨 크로더스 ;1914;1933;1999;SC;laissez-faire capitalist;Very High;2323;X
220168;Minister of Armament;헨리 럼리 드레이튼 ;1919;1933;1999;SC;Military Entrepreneur;Very High;2324;X
220169;Minister of Armament;월리엄 스티븐스 파인딩 ;1914;1933;1999;SC;Administrative Genius;Very High;2325;X
220170;Minister of Armament;조지 포스터 ;1914;1933;1999;SC;Administrative Genius;Very High;2326;X
220171;Minister of Armament;제임스 롭 ;1914;1933;1999;SL;Military Entrepreneur;Very High;2327;X
220172;Minister of Armament;월리엄 화이트 ;1914;1933;1999;SC;Resource Industrialist;Very High;2328;X
220173;Minister of Security;앨런 브리스톨 에이리스워스 ;1914;1933;1999;SL;Silent Lawyer;Very High;2329;X
220174;Minister of Security;리처드 베넷 ;1921;1933;1999;SC;Compassionate Gentleman;Very High;2314;X
220175;Minister of Security;찰스 도허티 ;1914;1933;1999;SC;Compassionate Gentleman;Very High;2330;X
220176;Minister of Security;샤를 피츠패트릭 ;1914;1933;1999;SL;Man of the People;Very High;2331;X
220177;Minister of Security;휴 거스리 ;1917;1936;1940;SC;Man of the People;Very High;2310;X
220178;Minister of Security;에르네스트 라푸앵트 ;1919;1933;1999;SL;Compassionate Gentleman;Very High;2332;X
220179;Minister of Security;윌리엄 로슈 ;1914;1933;1999;SC;Compassionate Gentleman;Very High;2319;X
220180;Chief of Staff;윌러비 구왓킨 ;1914;1933;1999;SC;School of Defence;Very High;unknownminister;X
220181;Foreign Minister;루이 코데르 ;1914;1933;1999;SC;Biased Intellectual;Very High;8017;X
220182;Head of State;비어 폰손비 ;1931;1935;1999;SC;Popular Figurehead;High;3288;X
220183;Head of State;비어 폰손비 ;1931;1935;1999;ML;Popular Figurehead;High;3288;X
220184;Minister of Armament;도날드 매더슨 서덜랜드 ;1931;1935;1999;SC;laissez-faire capitalist;High;3983;X
220185;Minister of Armament;그로트 스털링 ;1924;1952;1999;SC;laissez-faire capitalist;Very High;3984;X
220186;Chief of Staff;Andrew McNaughton;1922;1936;1967;SC;school of fire support;Very High;L52044;X
220187;Chief of Army;Andrew McNaughton;1922;1946;1967;SC;decisive battle doctrine;Very High;L52044;X
220188;Chief of Navy;Walter Hose;1921;1934;1934;ML;Open Seas Doctrine;Very High;9658;X
220189;Chief of Air Force;James Lindsay Gordon;1922;1940;1941;ML;air superiority doctrine;Very High;9659;X
220190;Chief of Navy;George Jones;1929;1946;1947;ML;Open Seas Doctrine;Very High;L52085;X
220191;Head of Military Intelligence;Harold Halford Matthews;1928;1932;1941;ML;logistics specialist;High;9759;X
220192;Head of Military Intelligence;John Edward Lyon;1941;1942;1999;ML;naval intelligence specialist;High;unknownminister;X
220193;Chief of Air Force;Albert Cuffe;1932;1933;1933;ML;naval aviation doctrine;High;9760;X
220194;Chief of Air Force;Wilfred Curtis;1947;1953;1953;ML;air superiority doctrine;High;9754;X
220195;Chief of Air Force;Roy Slemon;1953;1957;1965;ML;army aviation doctrine;High;9755;X
220196;Chief of Air Force;Hugh Lester Campbell;1957;1962;1963;ML;air superiority doctrine;High;9756;X
220197;Chief of Air Force;Clarence Dunlap;1962;1964;1969;ML;army aviation doctrine;High;9757;X
220198;Chief of Navy;Howard Reid;1946;1947;1948;ML;open seas doctrine;Very High;9761;X
220199;Chief of Navy;Harold Grant;1947;1951;1952;ML;decisive naval battle doctrine;Very High;9762;X
220200;Chief of Navy;Rollo Mainguy;1951;1956;1957;ML;open seas doctrine;Very High;9763;X
220201;Chief of Navy;Harry Dewolf;1956;1960;1961;ML;decisive naval battle doctrine;Very High;L52084;X
220202;Chief of Navy;Herbert Rayner;1960;1964;1965;ML;power projection doctrine;Very High;9764;X
