CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
210083;Minister of Security;크리스토발 사엔스 ;1945;1964;1999;LWR;Prince of Terror;Medium;M44052;X
210084;Head of Military Intelligence;페데리코 에스카만테 ;1938;1964;1999;SD;Logistics Specialist;Medium;M44106;X
210085;Head of Military Intelligence;후안 리오스 모랄레스 ;1941;1964;1999;SD;Dismal Enigma;High;M44069;X
210086;Head of Military Intelligence;에두아르도 힐만 ;1942;1964;1999;SD;Naval Intelligence Specialist;High;M44004;X
210087;Head of Military Intelligence;살바도르 아옌데 ;1943;1964;1999;SD;Industrial Specialist;Low;M44039;X
210088;Head of Military Intelligence;다리오 무히카 감보아 ;1946;1964;1999;SD;Technical Specialist;Medium;M44010;X
210089;Head of Military Intelligence;카를로스 푸엔테스 라베 ;1938;1964;1999;SL;Industrial Specialist;High;M44072;X
210090;Head of Military Intelligence;카를로스 몬살베 ;1940;1964;1999;SL;Technical Specialist;High;M44087;X
210091;Head of Military Intelligence;빅토르 라렌스 키하다 ;1942;1964;1999;SC;Naval Intelligence Specialist;High;M44079;X
210092;Head of Military Intelligence;페데리코 클라우데 ;1943;1964;1999;SL;Industrial Specialist;High;M44115;X
210093;Head of Military Intelligence;다리오 카예하스 로하스 ;1946;1964;1999;SC;Logistics Specialist;Medium;M44116;X
210094;Head of Military Intelligence;아리오스토 에레라 ;1938;1964;1999;FA;Logistics Specialist;High;M44016;X
210095;Head of Military Intelligence;피에트로 발렌사나 ;1944;1964;1999;PA;Industrial Specialist;High;M44118;X
210096;Head of Military Intelligence;훌리오 아야르드 핀토 ;1938;1964;1999;LE;Political Specialist;Medium;M44006;X
210097;Chief of Staff;에르네스토 M. 오를란도 ;1938;1964;1999;SD;School of Mass Combat;High;M44121;X
210098;Chief of Staff;아르투로 에스피노사 ;1945;1964;1999;SC;School of Fire Support;High;M44122;X
210099;Chief of Staff;카를로스 몬살베 ;1938;1964;1999;SL;School of Mass Combat;High;M44087;X
210100;Chief of Staff;다리오 카예하스 로하스 ;1942;1964;1999;SC;School of Psychology;Medium;M44116;X
210101;Chief of Staff;라울 아라이 스티글릭 ;1944;1964;1999;SC;School of Manoeuvre;Medium;M44125;X
210102;Chief of Staff;루이스 비달 바르가스 ;1946;1964;1999;SC;School of Fire Support;Medium;M44126;X
210103;Chief of Staff;E. 노보아 푸엔테스 ;1942;1964;1999;PA;School of Defence;Medium;M44008;X
210104;Chief of Staff;디아스 발데라마 ;1938;1964;1999;FA;School of Defence;Very Low;M44017;X
210105;Chief of Staff;구스타보 실바 ;1938;1964;1999;LE;School of Manoeuvre;Medium;M44027;X
210106;Chief of Army;루이스 오테로 무히카 ;1938;1964;1999;SD;Armoured Spearhead Doctrine;High;M44130;X
210107;Chief of Army;살바도르 아론 갈베스 ;1944;1964;1999;SD;Guns and Butter Doctrine;High;M44131;X
210108;Chief of Army;카를로스 푸엔테스 라베 ;1938;1964;1999;SL;Decisive Battle Doctrine;High;M44072;X
210109;Chief of Army;아르투로 에스피노사 ;1943;1964;1999;SC;Static Defence Doctrine;High;M44122;X
210110;Chief of Army;오스카르 이수리에타 ;1946;1964;1999;SC;Guns and Butter Doctrine;Medium;M44134;X
210111;Chief of Army;라파엘 페르난데스 ;1942;1964;1999;PA;Elastic Defence Doctrine;Medium;M44135;X
210112;Chief of Army;디아스 발데라마 ;1938;1964;1999;FA;Static Defence Doctrine;Medium;M44017;X
210113;Chief of Army;훌리오 아야르드 핀토 ;1938;1964;1999;LE;Elastic Defence Doctrine;Medium;M44006;X
210114;Chief of Navy;후안 로드리게스 ;1938;1964;1999;SD;Open Seas Doctrine;Medium;M44138;X
210115;Chief of Navy;훌리오 게르켄 만 ;1944;1964;1999;SD;Power Projection Doctrine;Medium;M44139;X
210116;Chief of Navy;프란시스코 오레고 ;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M44062;X
210117;Chief of Navy;가스톤 쿨세프스키 ;1946;1964;1999;SC;Base Control Doctrine;Medium;M44142;X
210118;Chief of Navy;에르난 사라테아 ;1938;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M44019;X
210119;Chief of Navy;구스타보 실바 ;1938;1964;1999;LE;Indirect Approach Doctrine;Medium;M44027;X
210120;Chief of Air Force;디에고 아라세나 ;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M44146;X
210121;Chief of Air Force;라울 곤살레스 놀레 ;1946;1964;1999;SL;Army Aviation Doctrine;Medium;M44147;X
210122;Chief of Air Force;호세 루이스 베사 ;1937;1964;1999;SL;Carpet Bombing Doctrine;High;M44076;X
210123;Chief of Air Force;이스마엘 사라수아 테란 ;1942;1964;1999;SC;Vertical Envelopment Doctrine;High;M44149;X
210124;Chief of Air Force;마누엘 토바리아스 ;1946;1964;1999;SC;Army Aviation Doctrine;Low;M44150;X
210125;Chief of Air Force;아리오스토 에레라 ;1938;1964;1999;FA;Air Superiority Doctrine;Very High;M44016;X
210126;Chief of Air Force;마르마두케 그로베 ;1938;1964;1999;LE;Naval Aviation Doctrine;Very Low;M44021;X
210127;Chief of Air Force;구스타보 실바 ;1945;1964;1999;LWR;Army Aviation Doctrine;Medium;M44027;X
210128;Head of State;구스타보 로스 ;1938;1964;1999;SC;Popular Figurehead;High;M44002;X
210129;Head of State;마누엘 모라 미란다 ;1942;1964;1999;SC;Insignificant Layman;High;M44045;X
210130;Head of Government;카를로스 이바네스 ;1946;1964;1999;SC;Old General;High;M44035;X
210131;Head of State;헤로리모 멘데스 아란시비아 ;1941;1964;1999;SD;Stern Imperialist;High;M44157;X
210132;Head of Government;헤로리모 멘데스 아란시비아 ;1941;1964;1999;SD;Silent Workhorse;High;M44157;X
210133;Head of State;알프레도 두할데 바스케스 ;1946;1964;1999;SD;Pig-headed Isolationist;High;M44159;X
210134;Head of Government;알프레도 두할데 바스케스 ;1946;1964;1999;SD;Naive Optimist;High;M44159;X
210135;Head of State;미사엘 가예기요스 ;1944;1964;1999;FA;Insignificant Layman;High;M44012;X
210136;Head of State;미겔 크루차가 타코말 ;1938;1964;1999;SL;Autocratic Charmer;Medium;M44003;X
210137;Head of Government;미겔 크루차가 타코말 ;1938;1964;1999;SL;Naive Optimist;Medium;M44003;X
210138;Head of Government;호르헤 알레산드리 ;1952;1964;1999;SC;Corporate Suit;High;M44164;X
210139;Head of State;페드로 몬트 ;1906;1910;1999;ML;Popular Figurehead;Medium;8460;X
210140;Head of State;라몬 바로스 루코 ;1910;1915;1999;ML;Benevolent Gentleman;Medium;8465;X
210141;Head of State;후안 루이스 산푸엔테스 ;1915;1920;1999;ML;Insignificant Layman;Medium;8441;X
210142;Head of State;아르투로 알레산드리 팔마 ;1920;1924;1999;ML;Autocratic Charmer;Medium;2353;X
210143;Head of State;루이스 알타미라노 ;1924;1925;1999;PA;Powerhungry Demagogue;Medium;8447;X
210144;Head of Government;페드로 몬트 ;1906;1910;1999;ML;Political Protege;Medium;8460;X
210145;Head of Government;라몬 바로스 루코 ;1910;1915;1999;ML;Smiling Oilman;Medium;8465;X
210146;Head of Government;후안 루이스 산푸엔테스 ;1915;1920;1999;ML;Happy Amateur;Medium;8441;X
210147;Head of Government;아르투로 알레산드리 팔마 ;1920;1924;1999;ML;Naive Optimist;Medium;2353;X
210148;Head of Government;루이스 알타미라노 ;1924;1925;1999;PA;Old General;Medium;8447;X
210149;Foreign Minister;호세 발마세다 페르난데스 ;1906;1910;1999;ML;Iron Fisted Brute;Medium;8439;X
210150;Foreign Minister;아구스틴 맥 쿨루레 ;1907;1911;1999;ML;General Staffer;Medium;193;X
210151;Foreign Minister;루이스 이스키에르도 ;1908;1925;1999;ML;Ideological Crusader;Medium;8450;X
210152;Foreign Minister;라파엘 오레고 곤살레스 ;1908;1917;1999;ML;Great Compromiser;Medium;8463;X
210153;Foreign Minister;엔리케 A. 로드리게스 ;1909;1913;1999;ML;Apologetic Clerk;Medium;3434;X
210154;Foreign Minister;호아킨 피게로아 라르라인 ;1910;1914;1999;ML;Biased Intellectual;Medium;3486;X
210155;Foreign Minister;안토니오 우네우스 가나 ;1910;1922;1999;ML;The Cloak N Dagger Schemer;Medium;2350;X
210156;Foreign Minister;레나도 데 라 우에르타 ;1910;1914;1999;ML;Iron Fisted Brute;Medium;8472;X
210157;Foreign Minister;엔리케 비예가스 에치부루 ;1911;1915;1999;ML;General Staffer;Medium;3441;X
210158;Foreign Minister;알레한드로 리라 ;1912;1916;1999;SC;Ideological Crusader;Medium;1268;X
210159;Foreign Minister;마누엘 살리나스 곤살레스 ;1912;1916;1999;ML;Great Compromiser;Medium;8454;X
210160;Foreign Minister;라몬 비쿠냐 ;1913;1918;1999;SC;Apologetic Clerk;Medium;8469;X
210161;Foreign Minister;실베스트레 에차우렌 ;1914;1918;1999;SC;Biased Intellectual;Medium;8478;X
210162;Foreign Minister;후안 토코르날 도우르스테르 ;1914;1918;1999;SC;The Cloak N Dagger Schemer;Medium;8440;X
210163;Foreign Minister;알라미로 발데스 ;1914;1922;1999;SC;Iron Fisted Brute;Medium;unknownminister;X
210164;Foreign Minister;아르투로 베사 나바로 ;1915;1919;1999;ML;General Staffer;Medium;2354;X
210165;Foreign Minister;에두아르도 수아레스 ;1915;1920;1999;SL;Ideological Crusader;Medium;3410;X
210166;Foreign Minister;기예르모 페레이라 ;1916;1920;1999;SC;Great Compromiser;Medium;3471;X
210167;Foreign Minister;다니엘 필리우 만테롤라 ;1916;1920;1999;SL;Apologetic Clerk;Medium;unknownminister;X
210168;Foreign Minister;루페르토 A. 리베라 ;1916;1920;1999;SL;Biased Intellectual;Medium;8475;X
210169;Foreign Minister;루이스 바로스 보르고뇨 ;1916;1921;1999;ML;The Cloak N Dagger Schemer;Medium;8448;X
210170;Foreign Minister;루이스 알두나테 에체베리아 ;1918;1922;1999;ML;Iron Fisted Brute;Medium;8446;X
210171;Foreign Minister;호르헤 마테 고르마스 ;1918;1923;1999;ML;General Staffer;Medium;3994;X
210172;Foreign Minister;에르네스토 바로스 하르파 ;1919;1924;1999;ML;Ideological Crusader;Medium;3452;X
210173;Foreign Minister;사무엘 클라로 라스타리아 ;1920;1924;1999;ML;Great Compromiser;Medium;8477;X
210174;Foreign Minister;카를로스 알두난테 솔라르 ;1920;1927;1999;SC;Apologetic Clerk;Medium;2356;X
210175;Foreign Minister;페드로 리바스 비쿠냐 ;1921;1925;1999;SL;Biased Intellectual;Medium;unknownminister;X
210176;Foreign Minister;에밀리오 벨요 코데시도 ;1921;1926;1999;ML;The Cloak N Dagger Schemer;Medium;3425;X
210177;Foreign Minister;아르만도 자라미요 ;1922;1926;1999;ML;Iron Fisted Brute;Medium;2352;X
210178;Foreign Minister;로베르토 데 라 우에르타 ;1922;1926;1999;ML;General Staffer;Medium;8474;X
210179;Foreign Minister;갈바리노 가야르도 니에토 ;1922;1926;1999;SL;Ideological Crusader;Medium;unknownminister;X
210180;Foreign Minister;라몬 브리오네스 루코 ;1922;1926;1999;SL;Great Compromiser;Medium;8466;X
210181;Minister of Armament;벨리사리오 프라츠 베요 ;1905;1910;1999;ML;Laissez-Faire Capitalist;Medium;unknownminister;X
210182;Minister of Armament;아니발 로드리게스 ;1906;1921;1999;ML;Administrative Genius;Medium;2348;X
210183;Minister of Armament;다리오 자냐르투 ;1907;1911;1999;ML;Resource Industrialist;Medium;2360;X
210184;Minister of Armament;로베르토 운네우스 가나 ;1907;1911;1999;ML;Corrupt Kleptocrat;Medium;unknownminister;X
210185;Minister of Armament;카를로스 라라인 클라로 ;1908;1912;1999;ML;Theoretical Scientist;Medium;2357;X
210186;Minister of Armament;아리스티데스 핀토 콘차 ;1908;1913;1999;PA;Laissez-Faire Capitalist;Medium;2351;X
210187;Minister of Armament;라몬 레온 루코 ;1909;1913;1999;ML;Strategic Air Proponent;Medium;8468;X
210188;Minister of Armament;알레한드로 운네우스 ;1909;1914;1999;SC;Administrative Genius;Medium;1173;X
210189;Minister of Armament;알레한드로 로세요트 ;1910;1914;1999;SL;Theoretical Scientist;Medium;unknownminister;X
210190;Minister of Armament;루이스 데보토 ;1910;1914;1999;ML;Corrupt Kleptocrat;Medium;unknownminister;X
210191;Minister of Armament;클라우디오 비쿠냐 ;1910;1915;1999;ML;Laissez-Faire Capitalist;Medium;2358;X
210192;Minister of Armament;호르헤 마테 고르마스 ;1911;1915;1999;ML;Resource Industrialist;Medium;3994;X
210193;Minister of Armament;라몬 코르발란 멜가레호 ;1911;1916;1999;SL;Infantry Proponent;Medium;8467;X
210194;Minister of Armament;알프레도 바로스 에라수리스 ;1912;1916;1999;SC;Administrative Genius;Medium;2215;X
210195;Minister of Armament;리카르도 콕스 멘데스 ;1912;1917;1999;SC;Military Entrepreneur;Medium;8473;X
210196;Minister of Armament;기예르모 수블레트 가린 ;1913;1917;1999;PA;Battle Fleet Proponent;Medium;3473;X
210197;Minister of Armament;살바도르 베르가라 ;1913;1918;1999;PA;Corrupt Kleptocrat;Medium;8476;X
210198;Minister of Armament;코르넬리오 사베드라 ;1914;1918;1999;ML;Theoretical Scientist;Medium;2359;X
210199;Minister of Armament;호르헤 보넨 리베라 ;1914;1918;1999;PA;Administrative Genius;Medium;3489;X
210200;Minister of Armament;오스카르 우르수아 ;1914;1919;1999;ML;Resource Industrialist;Medium;8457;X
210201;Minister of Armament;페드로 몬테네그로 오넬 ;1915;1919;1999;ML;Air to Ground Proponent;Medium;8461;X
210202;Minister of Armament;오스카르 비엘 카베로 ;1915;1920;1999;ML;Air Superiority Proponent;Medium;unknownminister;X
210203;Minister of Armament;루이스 비쿠냐 키푸엔테스 ;1916;1920;1999;ML;Administrative Genius;Medium;8452;X
210204;Minister of Armament;호르헤 발디비에소 블랑코 ;1916;1920;1999;ML;Strategic Air Proponent;Medium;7277;X
210205;Minister of Armament;빅토르 로블레스 발렌수엘라 ;1916;1920;1999;SL;Laissez-Faire Capitalist;Medium;8479;X
210206;Minister of Armament;엔리케 데 라 파스 ;1916;1921;1999;ML;Theoretical Scientist;Medium;3440;X
210207;Minister of Armament;헤르만 리에스코 에라수리스 ;1917;1922;1999;ML;Corrupt Kleptocrat;Medium;3462;X
210208;Minister of Armament;레굴로 발렌수엘라 ;1918;1922;1999;ML;Resource Industrialist;Medium;8470;X
210209;Minister of Armament;페드로 오파소 레텔리에르 ;1918;1922;1999;ML;Infantry Proponent;Medium;unknownminister;X
210210;Minister of Armament;라디슬라오 에라수리스 ;1918;1922;1999;ML;Administrative Genius;Medium;8443;X
210211;Minister of Armament;카를로스 실바 크루스 ;1918;1923;1999;ML;Air to Ground Proponent;Medium;unknownminister;X
210212;Minister of Armament;엔리케 발마세다 토로 ;1919;1923;1999;ML;Corrupt Kleptocrat;Medium;unknownminister;X
210213;Minister of Armament;레미히오 메디나 네이라 ;1919;1923;1999;SL;Resource Industrialist;Medium;8471;X
210214;Minister of Armament;사무엘 클라로 라스타리아 ;1919;1924;1999;ML;Theoretical Scientist;Medium;8477;X
210215;Minister of Armament;이그나시오 마르찬트 스코트 ;1920;1924;1999;ML;Administrative Genius;Medium;3476;X
210216;Minister of Armament;로베르토 데 라 우에르타 ;1920;1924;1999;ML;Air Superiority Proponent;Medium;8474;X
210217;Minister of Armament;에르난 코레아 ;1920;1924;1999;ML;Military Entrepreneur;Medium;unknownminister;X
210218;Minister of Armament;오노프레 분스테르 ;1920;1924;1999;ML;Laissez-Faire Capitalist;Medium;8456;X
210219;Minister of Armament;구스타보 실바 캄포스 ;1921;1925;1999;SL;Resource Industrialist;Medium;unknownminister;X
210220;Minister of Armament;호르헤 게라 톨레도 ;1921;1925;1999;ML;Infantry Proponent;Medium;unknownminister;X
210221;Minister of Armament;루이스 알타미라노 ;1921;1926;1999;PA;Corrupt Kleptocrat;Medium;8447;X
210222;Minister of Armament;알프레도 에윙 ;1922;1926;1999;PA;Resource Industrialist;Medium;unknownminister;X
210223;Minister of Armament;루이스 브리에바 ;1922;1926;1999;PA;Administrative Genius;Medium;unknownminister;X
210224;Minister of Armament;가스파르 소토마요르 ;1922;1926;1999;ML;Theoretical Scientist;Medium;unknownminister;X
210225;Minister of Armament;후안 파블로 베네트 ;1922;1926;1999;PA;Corrupt Kleptocrat;Medium;8442;X
210226;Minister of Armament;루이스 고메스 카레뇨 ;1922;1926;1999;PA;Battle Fleet Proponent;Medium;8449;X
210227;Minister of Armament;후안 오르티스 베가 ;1922;1927;1999;PA;Tank Proponent;Medium;unknownminister;X
210228;Minister of Security;라파엘 소토마요르 ;1905;1910;1999;SL;Compassionate Gentleman;Medium;8464;X
210229;Minister of Security;하비에르 앙헬 라라인 ;1906;1911;1999;ML;Man of the People;Medium;3480;X
210230;Minister of Security;에두아르도 차르메 ;1907;1916;1999;SC;Prince of Terror;Medium;2362;X
210231;Minister of Security;엔리케 로드리게스 ;1907;1917;1999;ML;Crime Fighter;Medium;unknownminister;X
210232;Minister of Security;이스마엘 토코르날 ;1907;1923;1999;SL;Silent Lawyer;Medium;3477;X
210233;Minister of Security;아구스틴 맥 쿨루레 ;1908;1912;1999;ML;Back Stabber;Medium;193;X
210234;Minister of Security;엘리아스 페르난데스 ;1908;1912;1999;ML;Efficient Sociopath;Medium;3416;X
210235;Minister of Security;루이스 이스키에르도 ;1908;1924;1999;ML;Compassionate Gentleman;Medium;8450;X
210236;Minister of Security;막시밀리아노 이바녜스 ;1908;1916;1999;ML;Man of the People;Medium;8455;X
210237;Minister of Security;라파엘 오레고 곤살레스 ;1909;1916;1999;ML;Prince of Terror;Medium;8463;X
210238;Minister of Security;호세 라몬 구티에레스 ;1909;1914;1999;ML;Crime Fighter;Medium;unknownminister;X
210239;Minister of Security;아브라암 오바예 ;1910;1914;1999;SC;Silent Lawyer;Medium;190;X
210240;Minister of Security;기예로 리베라 ;1910;1914;1999;ML;Back Stabber;Medium;unknownminister;X
210241;Minister of Security;기예르모 바로스 하라 ;1910;1917;1999;ML;Efficient Sociopath;Medium;3463;X
210242;Minister of Security;마누엘 리바스 ;1911;1915;1999;ML;Compassionate Gentleman;Medium;unknownminister;X
210243;Minister of Security;페드로 몬테네그로 오넬 ;1912;1922;1999;ML;Man of the People;Medium;8461;X
210244;Minister of Security;엔리케 비예가스 에치부루 ;1913;1917;1999;ML;Prince of Terror;Medium;3441;X
210245;Minister of Security;호세 발마세다 페르난데스 ;1913;1917;1999;ML;Crime Fighter;Medium;8433;X
210246;Minister of Security;엔리케 자냐르투 프리에토 ;1914;1918;1999;ML;Silent Lawyer;Medium;3449;X
210247;Minister of Security;엘리오도로 야녜스 데 레온 ;1915;1919;1999;ML;Back Stabber;Medium;3419;X
210248;Minister of Security;도밍고 솔라르 ;1916;1925;1999;ML;Efficient Sociopath;Medium;2361;X
