DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
625028;Chief of Staff;자버 자틀러 ;1932;1964;1999;ST;School of Fire Support;High;L507227;X
625029;Chief of Army;오토 코르페스 ;1932;1964;1999;LE;Elastic Defence Doctrine;Very High;L169;X
625030;Chief of Army;발터 프라이타크 ;1932;1964;1999;LE;Armoured Spearhead Doctrine;Very High;L77;X
625031;Chief of Navy;오토 그루스 ;1932;1964;1999;ST;Open Seas Doctrine;Very High;L507158;X
625032;Chief of Air Force;프란츠 노박 ;1932;1964;1999;LE;Air Superiority Doctrine;Very High;L507220;X
625033;Chief of Air Force;빌헬름 슈파이델 ;1932;1964;1999;ST;Vertical Envelopment Doctrine;Very High;L507237;X
625034;Head of State;빌헬름 피크 ;1949;1964;1999;ST;Insignificant Layman;High;M507016;X
625035;Head of State;루드비히 렌 ;1932;1964;1999;ST;Insignificant Layman;High;3577;X
625036;Head of Government;에른스트 텔만 ;1932;1964;1999;ST;Backroom Backstabber;High;3578;X
625037;Head of Government;에른스트 톨러 ;1939;1964;1999;ST;Ambitious Union Boss;High;M25;X
625038;Foreign Minister;헬무트 헤르츠펠데 ;1940;1964;1999;ST;Ideological Crusader;High;M23;X
625039;Minister of Armament;빌리 뮌첸베르크 ;1942;1964;1999;ST;Administrative Genius;High;M24;X
625040;Head of Military Intelligence;에리히 바이네르트 ;1938;1964;1999;ST;Logistics Specialist;High;M152;X
625041;Head of State;에른스트 톨러 ;1933;1964;1999;LE;Popular Figurehead;High;M25;X
625042;Head of Government;에리히 뮈잠 ;1933;1964;1999;LE;Political Protege;High;9210;X
625043;Foreign Minister;쿠르트 란다우 ;1933;1964;1999;LE;Ideological Crusader;High;9211;X
625044;Minister of Armament;빌리 뮌첸베르크 ;1933;1964;1999;LE;Administrative Genius;High;9212;X
625045;Minister of Security;아르카디 마슬로프 ;1933;1964;1999;LE;Crime Fighter;High;9213;X
625046;Head of Military Intelligence;루트 피셔 ;1933;1964;1999;LE;Political Specialist;Low;9214;X
625056;Head of Government;티모파이 사프로노프 ;1964;1964;1999;LWR;Silent Workhorse;High;9215;X
625057;Minister of Security;티모파이 사프로노프 ;1964;1964;1999;LWR;Crime Fighter;High;9215;X
625058;Foreign Minister;리하르트 뮐러 ;1933;1964;1999;LWR;Ideological Crusader;High;9216;X
625059;Head of Government;리하르트 뮐러 ;1933;1964;1999;LWR;corporate suit;High;9216;X
625060;Minister of Security;리하르트 뮐러 ;1933;1964;1999;LWR;Man of the People;High;9216;X
625061;Head of Military Intelligence;에밀 바르트 ;1933;1964;1999;LWR;Industrial Specialist;Very High;9217;X
625062;Head of State;에밀 바르트 ;1933;1964;1999;LWR;die-hard reformer;Very High;9217;X
625063;Chief of Staff;에밀 바르트 ;1933;1964;1999;LWR;School of Mass Combat;Very High;9217;X
625064;Minister of Armament;에밀 바르트 ;1933;1964;1999;LWR;resource industrialist;High;9217;X
625065;Head of Military Intelligence;카를 아르텔트 ;1933;1964;1999;LWR;Naval Intelligence Specialist;Very High;9218;X
625066;Minister of Security;카를 아르텔트 ;1933;1964;1999;LWR;Compassionate Gentleman;High;9218;X
625067;Minister of Armament;카를 아르텔트 ;1933;1964;1999;LWR;submarine proponent;High;9218;X
625068;Chief of Navy;카를 아르텔트 ;1933;1964;1999;LWR;indirect approach doctrine;High;9218;X
