GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
31;Head of Government;콘라드 아데나워 ;1946;1964;1999;SC;Silent Workhorse;High;M50;X
32;Head of Government;에른스트 텔만 ;1933;1964;1999;ST;Backroom Backstabber;High;3578;X
33;Head of Government;에른스트 톨러 ;1939;1964;1999;ST;Ambitious Union Boss;High;M25;X
34;Head of Government;발터 울브리히트 ;1946;1964;1999;ST;Backroom Backstabber;High;M53;X
35;Foreign Minister;요아힘 폰 리벤트로프 ;1937;1964;1999;NS;Salesman of Deception;High;3586;X
36;Foreign Minister;요제프 괴벨스 ;1942;1946;1999;NS;The Cloak N Dagger Schemer;Very High;3587;X
37;Foreign Minister;알프레드 로젠베르크 ;1943;1964;1999;NS;Ideological Crusader;Very High;M57;X
38;Foreign Minister;아르투르 자이스 인크바르트 ;1945;1964;1999;NS;Iron Fisted Brute;Very High;M58;X
39;Foreign Minister;요한 슈베린 폰 크로지크 ;1945;1964;1999;NS;Apologetic Clerk;Very High;M49;X
40;Foreign Minister;루드비히 카츨 ;1933;1964;1999;PA;Biased Intellectual;High;M60;X
41;Foreign Minister;콘스탄틴 폰 노이라트 ;1939;1964;1999;PA;respectable compromiser;High;2636;X
42;Foreign Minister;오토 마이스너 ;1942;1964;1999;PA;The Cloak N Dagger Schemer;Low;3584;X
43;Foreign Minister;요한 슈베린 폰 크로지크 ;1945;1964;1999;PA;Apologetic Clerk;High;M49;X
44;Foreign Minister;토마스 만 ;1933;1964;1999;PA;General Staffer;Medium;M64;X
45;Foreign Minister;알베르트 뒤푸르 페론스 ;1938;1964;1999;PA;Great Compromiser;Medium;M46;X
46;Foreign Minister;빌헬름 베촐트 ;1938;1964;1999;PA;Apologetic Clerk;Medium;M66;X
47;Foreign Minister;프란츠 폰 파펜 ;1933;1964;1999;PA;Great Compromiser;Very High;3585;X
48;Foreign Minister;프리드리히 폰 데어 슐렌베르크 ;1942;1964;1999;PA;Ideological Crusader;Medium;M68;X
49;Foreign Minister;울리히 폰 하셀 ;1943;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M13;X
50;Foreign Minister;카를 멜키오르 ;1945;1964;1999;PA;Ideological Crusader;Medium;M70;X
51;Foreign Minister;테오도르 호이스 ;1946;1964;1999;SC;Apologetic Clerk;Very High;M38;X
52;Foreign Minister;콘라드 아데나워 ;1947;1964;1999;SC;Great Compromiser;Very High;M50;X
53;Foreign Minister;발터 울브리히트 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;High;M53;X
55;Minister of Armament;루돌프 헤스 ;1933;1964;1999;NS;Strategic Air Proponent;High;2635;X
56;Minister of Armament;함마르 샤흐트 ;1933;1964;1999;NS;Administrative Genius;Medium;2644;X
57;Minister of Armament;프리드리히 플릭 ;1938;1964;1999;NS;Laissez-faire Capitalist;Medium;M78;X
58;Minister of Armament;헤르만 괴링 ;1936;1964;1999;NS;Air To Ground Proponent;Very High;L440;X
59;Minister of Armament;발터 풍크 ;1939;1964;1999;NS;Oil baron;Very High;M80;X
60;Minister of Armament;발터 다레 ;1939;1964;1999;NS;Military Entrepreneur;Very High;7382;X
61;Minister of Armament;쿠르트 달뤼게 ;1940;1964;1999;NS;Infantry Proponent;Very High;M82;X
62;Minister of Armament;막스 아만 ;1941;1964;1999;NS;Battle Fleet Proponent;Very High;M83;X
63;Minister of Armament;프란츠 사비에르 슈바르츠 ;1933;1943;1954;NS;Resource Industrialist;Very High;M84;X
64;Minister of Armament;요한 슈베린 폰 크로지크 ;1933;1964;1999;NS;Resource Industrialist;Very High;M49;X
65;Minister of Armament;알베르트 슈페어 ;1942;1964;1999;FA;Genius organizer;Medium;2645;X
66;Minister of Armament;오스발트 폴 ;1943;1964;1999;NS;Military Entrepreneur;High;M87;X
67;Minister of Armament;로베르트 레이 ;1933;1964;1999;NS;Corrupt Kleptocrat;High;M88;X
68;Minister of Armament;카를 오토 사우르 ;1945;1964;1999;NS;Planned economy proponent;High;M89;X
69;Minister of Armament;프리츠 티센 ;1933;1940;1952;FA;Steel magnate;Medium;M90;X
70;Minister of Armament;프리츠 토트 ;1938;1964;1999;FA;Organization 'Todt';High;M91;X
71;Minister of Armament;함마르 샤흐트 ;1939;1964;1999;PA;Administrative Genius;High;2644;X
72;Minister of Armament;한스 게오르그 폰 프리데부르크 ;1942;1964;1999;NS;Submarine Proponent;Very High;M93;X
74;Minister of Armament;율리우스 크르티우스 ;1933;1964;1999;PA;Resource Industrialist;Medium;M95;X
75;Minister of Armament;파울 르죈느 융 ;1938;1945;1999;PA;Mixed economy;Medium;M96;X
76;Minister of Armament;알프레드 크루프 ;1939;1964;1999;FA;Steel magnate;Medium;M97;X
77;Minister of Armament;게오그 토마스 ;1940;1964;1999;PA;Reformer;Low;M98;X
78;Minister of Armament;카를 프리드리히 괴르델러 ;1940;1946;1999;PA;Military Entrepreneur;High;M12;X
80;Minister of Armament;요하네스 포피츠 ;1941;1946;1999;PA;Resource Industrialist;Very High;M101;X
81;Minister of Armament;클라우스 폰 슈타우펜베르크 ;1944;1945;1999;PA;Infantry Proponent;High;M102;X
82;Minister of Armament;프리츠 쉐퍼 ;1946;1964;1999;SC;Resource Industrialist;Very High;M103;X
83;Minister of Armament;루드비히 에르하르트 ;1947;1964;1999;SC;Mixed economy;Very High;M104;X
84;Minister of Armament;알베르트 쿤츠 ;1933;1964;1999;ST;Resource Industrialist;High;M105;X
85;Minister of Armament;빌리 뮌첸베르크 ;1942;1964;1999;ST;Administrative Genius;High;M24;X
86;Minister of Security;하인리히 히믈러 ;1938;1946;1999;NS;SS Reichsfuhrer;Very High;M108;X
87;Minister of Security;빅토르 룻체 ;1939;1964;1999;NS;Compassionate Gentleman;Very High;M109;X
88;Minister of Security;요제프 괴벨스 ;1942;1946;1999;NS;Master of Propaganda;Very High;3587;X
89;Minister of Security;하인리히 뮐러 ;1943;1964;1999;NS;Secret police chief;Very Low;M26;X
90;Minister of Security;아르투르 자이스 인크바르트 ;1943;1964;1999;NS;Silent Lawyer;Very High;M58;X
91;Minister of Security;카를 한케 ;1944;1964;1999;NS;Back Stabber;Very Low;M113;X
92;Minister of Security;오토 게오르그 티에라크 ;1942;1964;1999;NS;Crime Fighter;Very High;M114;X
93;Minister of Security;프란츠 폰 파펜 ;1946;1964;1999;NS;Compassionate Gentleman;Very High;3585;X
94;Minister of Security;에른스트 트렌델렌부르크 ;1933;1964;1999;PA;Compassionate Gentleman;Medium;M116;X
95;Minister of Security;알프레드 후겐베르크 ;1933;1964;1999;PA;Compassionate Gentleman;Medium;M117;X
96;Minister of Security;하인리히 뮐러 ;1939;1964;1999;PA;Efficient Sociopath;Very Low;M26;X
97;Minister of Security;아르투르 네베 ;1941;1946;1999;FA;Crime Fighter;Low;M119;X
98;Minister of Security;아르투르 악스만 ;1945;1964;1999;FA;Man of the People;Low;M120;X
99;Minister of Security;알브레히트 폰 베른스토르프 ;1933;1964;1999;PA;Back Stabber;Medium;M121;X
100;Minister of Security;카를 자크 ;1933;1946;1999;PA;Silent Lawyer;Medium;M122;X
101;Minister of Security;빌헬름 폰 가일 ;1938;1964;1999;PA;Prince of Terror;High;M15;X
102;Minister of Security;발터 쉘렌베르크 ;1939;1964;1999;PA;Efficient Sociopath;Low;M124;X
103;Minister of Security;요제프 비어머 ;1942;1945;1999;PA;Man of the People;Medium;M125;X
104;Minister of Security;프리츠 폰 데어 슐렌부르크 ;1941;1945;1999;PA;Compassionate Gentleman;Very High;M126;X
105;Minister of Security;헨닝 폰 트레스크코브 ;1944;1945;1999;PA;Crime Fighter;Low;M127;X
106;Minister of Security;프란츠 폰 파펜 ;1945;1964;1999;PA;Compassionate Gentleman;Very High;3585;X
107;Minister of Security;카를 아놀드 ;1946;1964;1999;SC;Crime Fighter;High;M129;X
108;Minister of Security;구스타프 하이네만 ;1947;1964;1999;SC;Man of the People;High;M130;X
109;Minister of Security;에른스트 톨러 ;1933;1964;1999;ST;Man of the People;Low;M25;X
110;Minister of Security;루드비히 렌 ;1939;1964;1999;ST;Efficient Sociopath;Very High;3577;X
111;Minister of Security;율리우스 레버 ;1941;1946;1999;ST;Compassionate Gentleman;High;M133;X
112;Minister of Security;발터 울브리히트 ;1944;1964;1999;ST;Prince of Terror;High;M53;X
113;Head of Military Intelligence;한스 게오르그 폰 프리데부르크 ;1942;1964;1999;NS;Naval Intelligence Specialist;Medium;M93;X
114;Head of Military Intelligence;빌헬름 프리크 ;1944;1964;1999;NS;Technical Specialist;High;M5;X
115;Head of Military Intelligence;에른스트 칼텐브루너 ;1944;1964;1999;NS;Logistics Specialist;High;M138;X
116;Head of Military Intelligence;마르틴 보어만 ;1944;1964;1999;NS;Political Specialist;High;3583;X
117;Head of Military Intelligence;함마르 샤흐트 ;1945;1964;1999;NS;Industrial Specialist;Medium;2644;X
118;Head of Military Intelligence;오스카 폰 힌덴부르크 ;1933;1964;1999;PA;Political Specialist;Medium;3580;X
119;Head of Military Intelligence;발터 쉘렌베르크 ;1940;1964;1999;FA;Dismal Enigma;Low;M124;X
120;Head of Military Intelligence;발두어 폰 쉬라흐 ;1944;1964;1999;FA;Logistics Specialist;Low;M143;X
121;Head of Military Intelligence;카를 폰 슈베르트 ;1933;1964;1999;PA;Logistics Specialist;High;M144;X
122;Head of Military Intelligence;오토 슈트라서 ;1938;1964;1999;PA;Political Specialist;High;M145;X
123;Head of Military Intelligence;한스 오스터 ;1939;1946;1999;PA;Industrial Specialist;High;M146;X
124;Head of Military Intelligence;게오로그 한센 ;1940;1945;1999;PA;Technical Specialist;Medium;M147;X
125;Head of Military Intelligence;빌헬름 카나리스 ;1944;1946;1999;PA;Brilliant Spymaster;High;2639;X
126;Head of Military Intelligence;한스 에흐라트 ;1946;1964;1999;SC;Political Specialist;High;M149;X
127;Head of Military Intelligence;라인하르트 겔렌 ;1947;1964;1999;SC;Dismal Enigma;High;M150;X
128;Head of Military Intelligence;에른스트 텔만 ;1933;1964;1999;ST;Industrial Specialist;High;3578;X
129;Head of Military Intelligence;에리히 바이네르트 ;1938;1964;1999;ST;Logistics Specialist;High;M152;X
130;Head of Military Intelligence;하인리히 뮐러 ;1943;1964;1999;ST;Political Specialist;Very High;M26;X
131;Chief of Staff;프란츠 할더 ;1938;1943;1999;FA;School of Fire Support;Medium;L114;X
132;Chief of Staff;알프레드 요들 ;1939;1964;1999;NS;School of Psychology;High;M156;X
133;Chief of Staff;하인츠 구데리안 ;1944;1964;1999;PA;School of Mass Combat;Medium;L94;X
134;Chief of Staff;한스 크렙스 ;1945;1964;1999;NS;School of Defence;Medium;L170;X
135;Chief of Staff;프리츠 바이들링 ;1933;1964;1999;PA;School of Psychology;High;3747;X
136;Chief of Staff;에리히 회프너 ;1937;1945;1999;FA;School of Fire Support;Medium;M18;X
137;Chief of Staff;에르빈 폰 비츠레벤 ;1941;1945;1999;PA;School of Fire Support;High;M17;X
138;Chief of Staff;쿠르트 자이츨러 ;1942;1964;1999;FA;School of Defence;Medium;L369;X
139;Chief of Staff;에르빈 롬멜 ;1943;1945;1999;PA;School of Manoeuvre;High;M165;X
140;Chief of Staff;빌헬름 그라이너 ;1914;1964;1999;PA;School of Defence;Medium;M166;X
141;Chief of Staff;아돌프 호이징거 ;1942;1964;1999;PA;School of Mass Combat;Low;9712;X
142;Chief of Staff;율리우스 링겔 ;1944;1964;1999;PA;School of Manoeuvre;Medium;L227;X
143;Chief of Staff;한스 슈파이델 ;1946;1964;1999;SC;School of Mass Combat;High;M170;X
144;Chief of Staff;에른스트 볼베버 ;1933;1964;1999;ST;School of Mass Combat;Very High;M27;X
145;Chief of Staff;에리히 바이네르트 ;1944;1964;1999;ST;School of Psychology;High;M152;X
146;Chief of Army;발터 폰 브라우히치 ;1938;1964;1999;FA;Armoured Spearhead Doctrine;High;L282;X
147;Chief of Army;쿠르트 폰 함머슈타인 에쿠오르트 ;1939;1964;1999;FA;Guns and Butter Doctrine;High;L817;X
148;Chief of Army;빌헬름 카이텔 ;1940;1964;1999;NS;Armoured Spearhead Doctrine;Very High;M176;X
149;Chief of Army;아돌프 히틀러 ;1942;1964;1999;NS;Decisive Battle Doctrine;Very High;2634;X
150;Chief of Army;페르디난트 쇠르너 ;1945;1964;1999;NS;Elastic Defence Doctrine;Very High;L249;X
151;Chief of Army;에리히 루덴도르프 ;1933;1964;1999;PA;Elastic Defence Doctrine;High;M179;X
152;Chief of Army;베르너 폰 블롬베르크 ;1937;1964;1999;NS;Guns and Butter Doctrine;High;L607;X
153;Chief of Army;페도르 폰 보크 ;1939;1964;1999;FA;Decisive Battle Doctrine;High;M182;X
154;Chief of Army;에리히 회프너 ;1942;1945;1999;FA;Armoured Spearhead Doctrine;High;M18;X
155;Chief of Army;에르빈 폰 비츠레벤 ;1943;1945;1999;PA;Static Defence Doctrine;High;M17;X
156;Chief of Army;발터 폰 뤼트비츠 ;1933;1964;1999;PA;Decisive Battle Doctrine;Low;M185;X
157;Chief of Army;율리우스 링겔 ;1942;1964;1999;PA;Guns and Butter Doctrine;Medium;L227;X
158;Chief of Army;테오도르 블랭크 ;1946;1964;1999;SC;Armoured Spearhead Doctrine;High;M188;X
159;Chief of Army;한스 슈파이델 ;1947;1964;1999;SC;Decisive Battle Doctrine;High;M170;X
160;Chief of Army;한스 칼레 ;1933;1964;1999;ST;Decisive Battle Doctrine;Very High;3579;X
161;Chief of Navy;카를 되니츠 ;1939;1964;1999;NS;Indirect Approach Doctrine;Very High;M32;X
162;Chief of Navy;한스 게오르그 폰 프리데부르크 ;1944;1964;1999;NS;Open Seas Doctrine;Medium;M93;X
163;Chief of Navy;쿠르트 프라이하임 ;1945;1964;1999;NS;Base Control Doctrine;Medium;L391;X
164;Chief of Navy;알프레드 잘베히터 ;1933;1964;1999;FA;Open Seas Doctrine;High;M195;X
166;Chief of Navy;콘라트 알브레흐트 ;1939;1964;1999;PA;Open Seas Doctrine;Medium;L373;X
167;Chief of Navy;구스타프 키제릿츠키 ;1940;1964;1999;PA;Base Control Doctrine;Medium;M199;X
168;Chief of Navy;에리히 베이 ;1946;1964;1999;SC;Open Seas Doctrine;High;M200;X
169;Chief of Navy;프리츠 쉐엘렌 ;1933;1964;1999;ST;Base Control Doctrine;Very High;M29;X
170;Chief of Air Force;휴고 슈페를 ;1939;1964;1999;NS;Carpet Bombing Doctrine;High;L470;X
171;Chief of Air Force;로베르트 리터 폰 그라임 ;1944;1964;1999;NS;Air Superiority Doctrine;Medium;L475;X
172;Chief of Air Force;카를 콜러 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M205;X
173;Chief of Air Force;에버하르트 밀히 ;1942;1964;1999;FA;Air Superiority Doctrine;Medium;L456;X
174;Chief of Air Force;알베르트 케셀링 ;1944;1964;1999;FA;Vertical Envelopment Doctrine;High;M207;X
175;Chief of Air Force;카를 프리드리히 폰 지멘스 ;1933;1964;1999;PA;Air Superiority Doctrine;High;M208;X
176;Chief of Air Force;에른스트 우데트 ;1940;1964;1999;PA;Army Aviation Doctrine;High;M20;X
178;Foreign Minister;헬무트 헤르츠펠데 ;1933;1964;1999;ST;Ideological Crusader;High;M23;X
179;Head of Government;프란츠 크사버 리터 폰 에프 ;1933;1964;1999;NS;Old General;Very High;M214;X
180;Head of Government;한스 하인리히 라머스 ;1937;1964;1999;NS;Political Protege;Very High;M216;X
181;Head of Government;프리드리히 빌헬름 크리칭어 ;1945;1964;1999;NS;Naive Optimist;Very High;M217;X
182;Minister of Armament;프란츠 크사버 리터 폰 에프 ;1933;1964;1999;NS;Infantry Proponent;Very High;M214;X
183;Minister of Armament;프란츠 젤테 ;1933;1964;1999;NS;Military Entrepreneur;Very High;M220;X
184;Minister of Armament;콘스탄틴 히를 ;1933;1964;1999;NS;Resource Industrialist;Very High;M221;X
185;Minister of Armament;프란츠 크사버 도르슈 ;1944;1964;1999;FA;Construction magnate;Very High;M222;X
186;Minister of Security;프란츠 귀르트너 ;1933;1964;1999;FA;Silent Lawyer;Medium;M223;X
187;Minister of Security;쿠르트 달뤼게 ;1933;1964;1999;NS;Secret police chief;Very High;M82;X
188;Minister of Security;발터 부흐 ;1937;1964;1999;NS;Man of the People;High;M226;X
189;Minister of Security;한스 프랭크 ;1941;1964;1999;FA;Compassionate Gentleman;Medium;M227;X
190;Minister of Security;롤란트 프라이슬러 ;1942;1964;1999;NS;Crime Fighter;Very High;M228;X
191;Chief of Staff;에리히 폰 만슈타인 ;1942;1964;1999;PA;School of Manoeuvre;Medium;L324;X
192;Chief of Staff;에른스트 부쉬 ;1945;1964;1999;NS;School of Fire Support;High;L33;X
193;Chief of Army;귄터 폰 클루게 ;1942;1964;1999;PA;Decisive Battle Doctrine;Medium;L311;X
194;Chief of Army;파울 하우서 ;1944;1964;1999;NS;Armoured Spearhead Doctrine;Very High;L503;X
195;Chief of Navy;빌헬름 마르샬 ;1941;1964;1999;NS;Open Seas Doctrine;High;L407;X
196;Chief of Navy;발터 바르체샤 ;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;L891;X
197;Chief of Air Force;오토 데쓰로흐 ;1939;1964;1999;NS;Army Aviation Doctrine;High;L434;X
198;Chief of Air Force;울리히 그라우에르트 ;1933;1964;1999;FA;Air Superiority Doctrine;High;L439;X
199;Chief of Air Force;한스 융겐 슈툼프 ;1944;1964;1999;NS;Army Aviation Doctrine;Very High;L471;X
200;Chief of Staff;발터 폰 라이헤나우 ;1941;1942;1943;NS;School of Fire Support;Very High;L334;X
201;Head of Military Intelligence;에른스트 볼베버 ;1933;1964;1999;ST;Industrial Specialist;Very High;M27;X
202;Minister of Armament;카를 되니츠 ;1944;1964;1999;NS;Submarine Proponent;Very High;M32;X
203;Minister of Armament;루츠 폰 슈베린 크로지크 ;1945;1964;1999;NS;Resource Industrialist;High;M241;X
204;Minister of Security;파울 기슬러 ;1945;1964;1999;NS;Efficient Sociopath;Very High;M242;X
205;Minister of Security;베르너 나우만 ;1945;1964;1999;NS;Compassionate Gentleman;Very High;M243;X
206;Minister of Security;라인하르트 하이드리히 ;1931;1943;1999;NS;Secret police chief;Very High;M244;X
207;Minister of Armament;알프레드 후겐베르크 ;1933;1964;1999;PA;Resource Industrialist;High;M117;X
208;Minister of Security;헬무트 폰 몰트케 ;1939;1964;1999;SC;Compassionate Gentleman;High;M246;X
209;Head of Military Intelligence;한스 기제비우스 ;1939;1946;1999;SC;Dismal Enigma;Medium;M247;X
210;Minister of Security;한스 도흐나니 ;1933;1946;1999;SL;Silent Lawyer;Medium;M248;X
211;Head of Military Intelligence;한스 도흐나니 ;1933;1946;1999;SL;Political Specialist;Medium;M248;X
212;Minister of Security;루돌프 디엘스 ;1933;1964;1999;PA;Crime Fighter;Medium;M250;X
213;Minister of Armament;구스타프 크루프 ;1933;1964;1999;FA;Tank Proponent;High;M251;X
214;Minister of Armament;프리츠 자우켈 ;1942;1964;1999;NS;Infantry Proponent;High;M252;X
215;Chief of Air Force;한스 울리히 루델 ;1949;1964;1999;FA;Air Superiority Doctrine;Medium;L464;X
216;Minister of Security;프란츠 알프레드 식스 ;1943;1964;1999;FA;Prince of Terror;High;5906;X
218;Head of State;프리드리히 에베르트 ;1914;1930;1999;SD;Die-hard Reformer;High;3435;x
219;Head of Government;필리프 샤이데만 ;1914;1930;1999;SD;Flamboyant Tough Guy;High;3444;x
220;Chief of Army;한스 폰 젝트 ;1914;1930;1999;SC;Decisive Battle Doctrine;Medium;3395;x
221;Chief of Navy;라인하르트 셰어 ;1914;1930;1999;PA;Decisive Naval Battle Doctrine;High;1275;x
222;Chief of Air Force;에른스트 폰 호프너 ;1914;1930;1999;PA;Air Superiority Doctrine;Medium;1325;x
223;Foreign Minister;필리프 샤이데만 ;1914;1930;1999;SD;Great Compromiser;High;3444;x
224;Minister of Armament;빈트샤이트 데른부르크 ;1914;1930;1999;ML;Administrative Genius;High;3453;x
225;Minister of Security;에듀아르트 다비트 ;1914;1930;1999;SL;Compassionate Gentleman;High;5911;x
226;Head of Military Intelligence;발터 니콜라이 ;1914;1930;1999;PA;Dismal Enigma;Medium;3448;x
227;Minister of Armament;카를 크라우흐 ;1939;1964;1999;PA;Industrial chemist;High;5912;x
228;Chief of Staff;오스카 문첼 ;1948;1964;1999;PA;School of Fire Support;Very High;6015;x
229;Head of Military Intelligence;카를 프리드리히 오토 볼프 ;1946;1964;1999;NS;Dismal Enigma;High;6016;x
230;Chief of Staff;카를 프리드리히 오토 볼프 ;1946;1964;1999;NS;School of Defence;High;6016;x
231;Minister of Security;오토 에른스트 레머 ;1947;1964;1999;NS;Prince of Terror;High;6017;x
232;Chief of Navy;에리히 토프 ;1947;1964;1999;PA;Indirect Approach Doctrine;High;603;x
233;Chief of Air Force;아돌프 갈란트 ;1942;1964;1999;PA;Air Superiority Doctrine;High;L437;x 
234;Minister of Armament;아돌프 갈란트 ;1943;1964;1999;PA;Air Superiority Proponent;High;L437;x
235;Chief of Staff;귄터 블루멘트리트 ;1943;1964;1999;PA;School of Psychology;High;L21;x
236;Chief of Army;귄터 블루멘트리트 ;1945;1964;1999;PA;Elastic Defence Doctrine;High;L21;x
237;Chief of Staff;에른스트 부세 ;1940;1964;1999;PA;School of Mass Combat;High;L34;x
241;Chief of Staff;프란츠 바이어 ;1945;1964;1999;SC;School of Psychology;Very high;L982;x
242;Chief of Staff;발터 불레 ;1942;1964;1999;PA;School of Fire Support;High;L594;x
243;Chief of Army;발터 불레 ;1945;1964;1999;PA;Elastic Defence Doctrine;High;L594;x
244;Minister of Security;디트리히 폰 콜티츠 ;1943;1964;1999;FA;Compassionate Gentleman;High;L286;x
245;Chief of Staff;디트리히 폰 콜티츠 ;1942;1964;1999;FA;School of Defence;High;L286;x
246;Head of Military Intelligence;빌헬름 부르그도르프 ;1945;1964;1999;NS;Political Specialist;High;L32;x
247;Chief of Staff;빌헬름 부르그도르프 ;1944;1964;1999;NS;School of Mass Combat;High;L32;x
248;Chief of Army;빌헬름 부르그도르프 ;1946;1964;1999;NS;Decisive Battle Doctrine;High;L32;x
249;Chief of Army;프란츠 바이어 ;1946;1964;1999;SC;Armoured Spearhead Doctrine;Very high;L982;x
250;Chief of Staff;카를 알멘딩거 ;1941;1964;1999;PA;School of Fire Support;High;L2;x
251;Head of Military Intelligence;발터 다레 ;1933;1964;1999;NS;Industrial Specialist;High;7382;x
252;Head of Military Intelligence;카를 에른스트 하우스호퍼 ;1930;1964;1999;FA;Industrial Specialist;High;7383;x
253;Minister of Security;발터 다레 ;1938;1964;1999;NS;Efficient Sociopath;High;7382;x
254;Chief of Staff;프리드리히 빌헬름 호크 ;1946;1964;1999;PA;School of Fire Support;Medium;L126;x
255;Chief of Air Force;오이겐 마인들 ;1942;1964;1999;PA;Vertical Envelopment Doctrine;High;L198;x
256;Head of Military Intelligence;알베르트 프라운 ;1940;1964;1999;FA;Logistics Specialist;High;L220;x
257;Chief of Staff;막시밀리안 폰 바이히스 ;1939;1964;1999;FA;School of Fire Support;High;L351;x
258;Chief of Army;막시밀리안 폰 바이히스 ;1942;1964;1999;FA;Decisive Battle Doctrine;High;L351;x
259;Chief of Air Force;브루노 사센 ;1950;1964;1999;FA;Vertical Envelopment Doctrine;High;7445;x
260;Chief of Air Force;부르노 베거 ;1941;1964;1999;PA;Vertical Envelopment Doctrine;High;L29;x
261;Chief of Staff;발터 바를리몬트 ;1945;1964;1999;FA;School of Fire Support;High;L357;x
262;Chief of Army;발터 바를리몬트 ;1946;1964;1999;FA;Elastic Defence Doctrine;High;L357;x
263;Minister of Armament;발터 바를리몬트 ;1948;1964;1999;FA;Military Entrepreneur;High;L357;x
264;Foreign Minister;헤르만 에서 ;1940;1964;1999;NS;Ideological Crusader;High;7769;x
265;Minister of Armament;헤르만 에서 ;1942;1964;1999;NS;Laissez-faire Capitalist;High;7769;x
266;Head of Government;헤르만 에서 ;1930;1964;1999;NS;Corporate Suit;High;7769;x
267;Foreign Minister;디트리히 폰 콜티츠 ;1948;1964;1999;FA;General Staffer;High;L286;x
268;Head of State;파울 폰 힌덴부르크 ;1925;1964;1999;PA;Resigned Generalissimo;High;3400;X
269;Head of Government;쿠르트 폰 슐라이허 ;1933;1934;1999;PA;Political Protege;Low;5783;X
270;Chief of Staff;에른스트 룀 ;1933;1934;1999;NS;School of Mass Combat;Low;5781;X
271;Foreign Minister;하인리히 브뤼닝 ;1933;1934;1999;PA;Great Compromiser;Low;5782;x
272;Minister of Armament;그레고르 슈트라서 ;1933;1934;1999;FA;infantry proponent;Low;5784;x
273;Chief of Army;에르빈 롬멜 ;1943;1945;1999;PA;Doctrine of autonomy;High;M165;X
274;Head of Military Intelligence;라인하르트 하이드리히 ;1931;1943;1999;NS;The Hangman;Very High;M244;X
