CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
260829;Chief of Army;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Guns and Butter Doctrine;Medium;2337;X
260830;Chief of Navy;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Open Seas Doctrine;Medium;2337;X
260831;Chief of Air Force;Àå±ÅÅ¸¿À ;1920;1936;1963;ST;Army Aviation Doctrine;Medium;2337;X
260832;Head of State;ÃëÃß¹ÙÀÌ ;1923;1930;1964;ST;Barking Buffoon;High;8620;X
260833;Foreign Minister;ÃëÃß¹ÙÀÌ ;1923;1930;1964;ST;The Cloak N Dagger Schemer;High;8620;X
260834;Head of Government;Â÷ÀÌÇã½ã ;1921;1931;1970;LE;Silent Workhorse;High;8621;X
260835;Minister of Armament;Â÷ÀÌÇã½ã ;1921;1931;1970;LE;Administrative Genius;Medium;8621;X
260836;Head of State;¼§ÁßÆÄ ;1928;1931;1946;LE;Barking Buffoon;Low;9221;X
260837;Foreign Minister;¼§ÁßÆÄ ;1928;1931;1946;LE;Biased Intellectual;Low;9221;X
260838;Head of State;¿Õ¹Ö ;1924;1970;1970;ST;Autocratic Charmer;Medium;9222;X
260839;Head of Government;¿Õ¹Ö ;1924;1970;1970;ST;Naive Optimist;Medium;9222;X
260840;Minister of Armament;Ä£¹æ¼Ï ;1931;1935;1947;ST;Planned economy proponent;Low;9224;X
260841;Minister of Security;Ä£¹æ¼Ï ;1931;1935;1947;ST;Prince of Terror;Low;9224;X
260842;Head of State;Ä£¹æ¼Ï ;1931;1935;1947;ST;Autocratic Charmer;Low;9224;X
260843;Head of Government;Ä£¹æ¼Ï ;1931;1935;1947;ST;Political Protege;Low;9224;X
260844;Chief of Staff;Ä£¹æ¼Ï ;1931;1935;1947;ST;School of Mass Combat;Low;9224;X
260845;Head of Military Intelligence;¿ÀÅä ºê¶ó¿î ;1932;1935;1940;ST;Dismal Enigma;Medium;9225;X
260846;Chief of Staff;¿ÀÅä ºê¶ó¿î ;1932;1935;1940;ST;School of Psychology;Medium;9225;X
260847;Chief of Army;¿ÀÅä ºê¶ó¿î ;1932;1935;1940;ST;Decisive Battle Doctrine;Medium;9225;X
260848;Head of State;¸¶¿ÀÂ¼µÕ ;1921;1977;1977;ST;Mao_Zedong_1;Undying;2334;X
260849;Head of Government;¸¶¿ÀÂ¼µÕ ;1921;1977;1977;ST;old general;Undying;2334;X
260850;Minister of Security;¸¶¿ÀÂ¼µÕ ;1921;1958;1958;ST;man of the people;Undying;2334;X
260851;Chief of Army;¸¶¿ÀÂ¼µÕ ;1921;1958;1958;ST;Mao_Zedong_2;Undying;2334;X
260852;Minister of Security;¸®¸®½Ñ ;1927;1931;1964;ST;Prince of Terror;Medium;8622;X
260853;Head of Government;¸®¸®½Ñ ;1928;1931;1964;ST;ambitious union boss;Medium;8622;X
260854;Chief of Staff;¸®¸®½Ñ ;1929;1931;1964;ST;School of Mass Combat;Medium;8622;X
260855;Head of Military Intelligence;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Dismal Enigma;Undying;8983;X
260856;Minister of Security;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Man of the People;Undying;2339;X
260857;Minister of Armament;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Resource Industrialist;Undying;2339;X
260858;Head of Government;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Zhou_Enlai;Undying;2339;X
260859;Head of State;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Benevolent Gentleman;Undying;2339;X
260860;Chief of Staff;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;school of mass combat;Undying;8983;X
260861;Foreign Minister;Àú¿ì¾ð¶óÀÌ ;1919;1976;1976;LWR;Great Compromiser;Undying;2339;X
260862;Minister of Security;¿ÕÀÚ¼§ ;1928;1959;1972;LE;Back Stabber;Medium;9223;X
260863;Head of Military Intelligence;¿ÕÀÚ¼§ ;1928;1959;1972;LE;Logistics Specialist;Medium;9223;X
260864;Chief of Staff;¿ÕÀÚ¼§ ;1928;1959;1972;LE;School of Fire Support;Medium;9223;X
260865;Foreign Minister;¿ÕÀÚ¼§ ;1928;1959;1972;LE;Apologetic Clerk;Medium;9223;X
260866;Minister of Armament;Æã´õÈ­ÀÌ ;1926;1959;1964;LE;Reformer;High;2340;X
260867;Chief of Army;Æã´õÈ­ÀÌ ;1926;1959;1964;LE;elastic defence doctrine;High;2340;X
260868;Head of Military Intelligence;¸®Ä¿´± ;1926;1959;1959;ST;Logistics Specialist;Medium;2335;X
260869;Foreign Minister;¸®Ä¿´± ;1926;1959;1959;ST;Great Compromiser;Medium;2335;X
260870;Chief of Staff;ÁÖ´õ ;1922;1951;1952;ST;School of Mass Combat;Medium;2336;X
260871;Chief of Army;ÁÖ´õ ;1922;1951;1952;ST;Guns and Butter Doctrine;Medium;2336;X
260872;Chief of Navy;Âê¾Æ¿ÀÂ¡±¤ ;1924;1968;1969;ST;Open Seas Doctrine;Medium;9228;X
260873;Chief of Staff;Âê¾Æ¿ÀÂ¡±¤ ;1924;1968;1969;ST;School of Psychology;Medium;9228;X
260874;Chief of Air Force;ÆÎÂêÀÌ ;1930;1982;1983;ST;Army Aviation Doctrine;Medium;9229;X
260875;Head of State;¿¹Á¨À× ;1927;1983;1984;LWR;Insignificant Layman;Medium;9230;X
260876;Chief of Staff;¿¹Á¨À× ;1927;1978;1984;LWR;School of Manoeuvre;Medium;9230;X
260877;Chief of Army;¿¹Á¨À× ;1927;1978;1984;LWR;Doctrine of autonomy;Medium;9230;X
260878;Minister of Armament;¿¹Á¨À× ;1927;1978;1984;LWR;Mixed economy;Medium;9230;X
260879;Chief of Staff;ÃµÀÌ ;1923;1966;1967;ST;School of Psychology;Medium;M51045;X
260880;Chief of Army;ÃµÀÌ ;1923;1966;1967;ST;Armoured Spearhead Doctrine;Medium;M51045;X
260881;Foreign Minister;ÃµÀÌ ;1923;1966;1967;ST;General Staffer;High;M51045;X
260882;Chief of Army;°¡¿À°­ ;1926;1954;1954;ST;Elastic Defence Doctrine;Low;M51049;X
260883;Minister of Armament;°¡¿À°­ ;1926;1954;1954;ST;Planned economy proponent;Medium;M51049;X
260884;Minister of Security;·±ºñ½º ;1922;1950;1951;ST;Efficient Sociopath;Medium;9231;X
260885;Minister of Armament;¸°¹ò¿À ;1924;1971;1972;ST;Military Entrepreneur;High;9232;X
260886;Head of State;¸°¹ò¿À ;1924;1971;1972;ST;Barking Buffoon;High;9232;X
260887;Head of Government;¸°¹ò¿À ;1924;1971;1972;ST;Backroom Backstabber;High;9232;X
260888;Chief of Army;¸°¹ò¿À ;1924;1962;1963;ST;Armoured Spearhead Doctrine;High;9232;X
260889;Minister of Security;Ã¾À× ;1931;1971;1972;ST;Silent Lawyer;Medium;9233;X
260890;Head of Military Intelligence;Ã¾À× ;1931;1971;1972;ST;Political Specialist;Medium;9233;X
260891;Minister of Security;Á¤»ê ;1926;1974;1975;ST;Back Stabber;Medium;M51060;X
260892;Head of Military Intelligence;º¸ÀÌº¸ ;1928;1983;1984;ST;Technical Specialist;Medium;9234;X
260893;Head of Military Intelligence;¸®¼Ï³ê ;1931;1974;1975;LE;Logistics Specialist;Medium;321;X
260894;Head of State;¸®¼Ï³ê ;1931;1988;1989;LE;Insignificant Layman;Medium;321;X
260895;Chief of Army;¸®¼Ï³ê ;1931;1974;1975;LE;Armoured Spearhead Doctrine;Medium;321;X
260896;Chief of Navy;Àå¼¾À© ;1925;1928;1968;LE;Decisive Naval Battle Doctrine;High;9440;X
260897;Chief of Army;Ã¾°­ ;1927;1962;1962;LE;Guns and Butter Doctrine;High;9441;X
