AUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
115059;Minister of Security;카를 투피 ;1945;1964;1999;SC;Efficient Sociopath;Low;M23077;X
115060;Minister of Security;프란츠 제베크 ;1945;1964;1999;SD;Compassionate Gentleman;High;M23036;X
115061;Minister of Security;오토 바우어 ;1938;1964;1999;LE;Back Stabber;Very Low;M23031;X
115062;Minister of Security;빌리 프랑크 ;1945;1964;1999;ST;Crime Fighter;Medium;M23035;X
115063;Head of Military Intelligence;칼만 스젤 ;1945;1964;1999;PA;Political Specialist;Medium;M23093;X
115064;Head of Military Intelligence;콘스탄틴 둠바 ;1933;1964;1999;FA;Naval Intelligence Specialist;Medium;M23084;X
115065;Head of Military Intelligence;카를 에글제르 ;1938;1964;1999;FA;Logistics Specialist;High;M23095;X
115066;Head of Military Intelligence;빌헬름 볼프 ;1938;1964;1999;NS;Technical Specialist;High;M23013;X
115067;Head of Military Intelligence;알렉산더 뢰어 ;1942;1964;1999;NS;Dismal Enigma;Medium;8628;X
115068;Head of Military Intelligence;로베르트 빈터슈타인 ;1938;1964;1999;SC;Technical Specialist;High;M23025;X
115069;Head of Military Intelligence;율리우스 라프 ;1945;1964;1999;SC;Industrial Specialist;Medium;8597;X
115070;Head of Military Intelligence;프란츠 제베크 ;1945;1964;1999;SD;Political Specialist;High;M23036;X
115071;Head of Military Intelligence;리하르트 베르나쉐크 ;1945;1964;1999;ST;Technical Specialist;High;M23038;X
115072;Chief of Staff;오토 마익스너 폰 츠바이엔슈탐 ;1945;1964;1999;PA;School of Defence;Medium;M23103;X
115073;Chief of Staff;발터 에른스트 ;1933;1964;1999;FA;School of Defence;High;M23104;X
115074;Chief of Staff;루돌프 폰 브루더만 ;1941;1964;1999;FA;School of Manoeuvre;High;M23105;X
115075;Chief of Staff;에밀 히크만 ;1938;1964;1999;NS;School of Manoeuvre;High;M23017;X
115076;Chief of Staff;알프레드 후비키 ;1940;1964;1999;NS;School of Psychology;Medium;M23107;X
115077;Chief of Staff;오이겐 바이어 ;1942;1964;1999;NS;School of Fire Support;Medium;M23018;X
115078;Chief of Staff;빌헬름 제너 ;1938;1964;1999;SC;School of Mass Combat;High;8627;X
115079;Chief of Staff;에릭 폰 클롭펜부르크 ;1945;1964;1999;SC;School of Defence;High;M23039;X
115080;Chief of Staff;아돌프 샤프 ;1945;1964;1999;SD;School of Fire Support;Medium;M23022;X
115081;Chief of Staff;페르디난트 슈트라서 ;1938;1964;1999;LE;School of Manoeuvre;High;M23037;X
115082;Chief of Army;에릭 폰 클롭펜부르크 ;1945;1964;1999;PA;Static Defence Doctrine;High;M23039;X
115083;Chief of Army;오토 마익스너 폰 츠바이엔슈탐 ;1938;1964;1999;FA;Guns and Butter Doctrine;Medium;M23103;X
115084;Chief of Army;리하르트 마르티네크 ;1941;1964;1999;FA;Elastic Defence Doctrine;Medium;M23116;X
115085;Chief of Army;오이겐 바이어 ;1938;1964;1999;NS;Elastic Defence Doctrine;High;M23018;X
115086;Chief of Army;로타르 렌둘릭 ;1942;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M23118;X
115087;Chief of Army;하인리히 글라이스너 ;1938;1964;1999;SC;Decisive Battle Doctrine;Very Low;M23028;X
115088;Chief of Army;리하르트 베르나쉐크 ;1938;1964;1999;LE;Static Defence Doctrine;Medium;M23038;X
115089;Chief of Navy;오토 1세 ;1945;1964;1999;PA;Indirect Approach Doctrine;Very High;M23041;X
115090;Chief of Navy;이그나츠 자이펠 ;1938;1964;1999;FA;Power Projection Doctrine;High;M23124;X
115091;Chief of Navy;에밀 히크만 ;1938;1964;1999;NS;Open Seas Doctrine;Low;M23017;X
115092;Chief of Navy;로베르트 빈터슈타인 ;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M23025;X
115093;Chief of Navy;에릭 폰 클롭펜부르크 ;1938;1964;1999;LE;Open Seas Doctrine;High;M23039;X
115094;Chief of Navy;요제프 토이플 ;1945;1964;1999;ST;Base Control Doctrine;Medium;M23047;X
115095;Chief of Air Force;W. 에렌부르크 폰 뤼티츠 ;1945;1964;1999;PA;Army Aviation Doctrine;High;M23082;X
115096;Chief of Air Force;오토 쇼벨 ;1938;1964;1999;FA;Vertical Envelopment Doctrine;High;M23030;X
115097;Chief of Air Force;요제프 부르켈 ;1942;1964;1999;NS;Carpet Bombing Doctrine;High;M23042;X
115098;Chief of Air Force;율리우스 일람 ;1938;1964;1999;SC;Air Superiority Doctrine;Low;8776;X
115099;Chief of Air Force;에곤 베르거 발데네크 ;1942;1964;1999;SC;Carpet Bombing Doctrine;High;8596;X
115100;Head of Military Intelligence;쿠르트 슈슈니크 ;1937;1964;1999;FA;Political Specialist;Undying;8594;X
115101;Chief of Staff;쿠르트 슈슈니크 ;1933;1964;1999;FA;School of Fire Support;Undying;8594;X
115102;Head of State;알프레드 후비키 ;1945;1964;1999;NS;Stern Imperialist;High;M23107;X
115103;Chief of Air Force;아르투르 브레이샤 파우티어 ;1942;1964;1999;LE;Naval Aviation Doctrine;Low;M23136;X
115104;Head of State;카를 레너 ;1938;1964;1999;SC;Benevolent Gentleman;High;M23021;X
115105;Head of State;테오도르 쾨르너 ;1951;1964;1999;SC;Weary Stiffneck;High;M23144;X
115106;Head of State;테오도르 쾨르너 ;1951;1964;1999;SD;Weary Stiffneck;High;M23144;X
115107;Head of Government;레오폴트 휘글 ;1945;1964;1999;SC;Happy Amateur;High;M23045;X
115108;Head of Government;율리우스 라프 ;1951;1964;1999;SC;Corporate Suit;Medium;8597;X
115109;Minister of Armament;페르디난트 그라프 ;1945;1964;1999;SC;laissez-faire capitalist;Medium;M23148;X
115110;Minister of Security;요제프 게뢰 ;1945;1964;1999;SC;Silent Lawyer;Low;M23149;X
115111;Minister of Security;오토 차베크 ;1949;1964;1999;SC;Man of the People;Low;M23150;X
115112;Head of Military Intelligence;오스카 헬머 ;1945;1964;1999;ML;Dismal Enigma;High;M23151;X
115113;Foreign Minister;아돌프 샤프 ;1945;1964;1999;SD;Biased Intellectual;Very High;M23022;X
115114;Foreign Minister;빅토르 아들러 ;1914;1933;1999;SD;Great Compromiser;High;9853;X
115115;Foreign Minister;오토 바우어 ;1918;1933;1999;SD;Great Compromiser;High;3692;X
115116;Foreign Minister;카를 레너 ;1919;1933;1999;SD;Ideological Crusader;High;3693;X
115117;Foreign Minister;미카엘 마이어 ;1920;1933;1999;ML;Ideological Crusader;High;3694;X
115118;Foreign Minister;요한 쇼버 ;1921;1933;1999;SL;Great Compromiser;High;3695;X
115119;Foreign Minister;발터 브라이스키 ;1922;1933;1999;SL;Biased Intellectual;High;3696;X
115120;Foreign Minister;레오폴트 헤네트 ;1922;1933;1999;SL;Great Compromiser;High;unknownminister;X
115121;Foreign Minister;알프레드 그륀베르거 ;1922;1933;1999;ML;Great Compromiser;High;3697;X
115122;Foreign Minister;연방수상 ;1923;1933;1999;SL;ideological crusader;High;3698;X
115123;Head of Government;카를 레너 ;1916;1933;1999;SD;Silent Workhorse;High;3693;X
115124;Head of Government;미카엘 마이어 ;1920;1933;1999;ML;Naive Optimist;High;3694;X
115125;Head of Government;요한 쇼버 ;1921;1933;1999;SL;Political Protege;High;3695;X
115126;Head of Government;발터 브라이스키 ;1922;1933;1999;SL;Happy Amateur;High;3696;X
115127;Head of Government;이그나츠 자이펠 ;1922;1933;1999;ML;Happy Amateur;High;M23124;X
115128;Head of Government;루돌프 라메크 ;1924;1933;1999;ML;Naive Optimist;High;3699;X
115129;Head of State;임시평의회의장단 ;1899;1964;1999;SL;popular figurehead;High;3700;X
115130;Head of State;카를 자이츠 ;1916;1933;1999;SD;Insignificant Layman;High;3701;X
115131;Head of State;미카엘 하이니쉬 ;1919;1933;1999;ML;Insignificant Layman;High;3702;X
115132;Minister of Armament;오토 슈타인벤더 ;1914;1933;1999;SD;Resource Industrialist;Medium;3703;X
115133;Minister of Armament;요제프 슘페터 ;1919;1933;1999;SD;Keynesian economy;Medium;3704;X
115134;Minister of Armament;리하르트 라이쉬 ;1919;1933;1999;SD;Resource Industrialist;Medium;unknownminister;X
115135;Minister of Armament;페르디난트 그림 ;1920;1933;1999;ML;Administrative Genius;Medium;unknownminister;X
115136;Minister of Armament;알프레드 귀르틀러 ;1921;1933;1999;SL;Administrative Genius;Medium;3705;X
115137;Minister of Armament;요한 쇼버 ;1922;1933;1999;SL;Resource Industrialist;Medium;3695;X
115138;Minister of Armament;아우구스트 세구르 ;1922;1933;1999;SL;Resource Industrialist;Medium;3706;X
115139;Minister of Armament;빅토르 킨뵈크 ;1922;1933;1999;SL;Administrative Genius;Medium;3707;X
115140;Minister of Armament;야콥 아러 ;1922;1933;1999;ML;Administrative Genius;Medium;unknownminister;X
115141;Minister of Security;하인리히 마타야 ;1914;1933;1999;SD;Compassionate Gentleman;High;3708;X
115142;Minister of Security;카를 레너 ;1919;1933;1999;SD;Man of the People;High;3693;X
115143;Minister of Security;마티아스 엘더슈 ;1919;1933;1999;SD;Silent Lawyer;High;3709;X
115144;Minister of Security;발터 브라이스키 ;1916;1933;1999;SD;Man of the People;High;3696;X
115145;Minister of Security;에곤 글란츠 ;1920;1933;1999;ML;Silent Lawyer;Medium;unknownminister;X
115146;Minister of Security;레오폴트 바버 ;1921;1933;1999;SL;Man of the People;Medium;3710;X
115147;Minister of Security;요한 쇼버 ;1922;1933;1999;SL;Compassionate Gentleman;Medium;3695;X
115148;Minister of Security;발터 브라이스키 ;1922;1933;1999;SL;Silent Lawyer;Medium;3696;X
115149;Minister of Security;펠릭스 프랑크 ;1922;1933;1999;SL;Compassionate Gentleman;Medium;3711;X
115150;Head of Government;엥겔베르트 돌푸스 ;1932;1963;1999;FA;Flamboyant Tough Guy;High;8292;x
115151;Head of Government;에른스트 슈트레루비츠 ;1929;1933;1999;ML;Naive Optimist;Medium;unknownminister;X
115152;Head of Government;카를 파우가인 ;1930;1933;1999;ML;Backroom Backstabber;Medium;unknownminister;X
115153;Head of Government;오토 엔더 ;1930;1933;1999;ML;Political Protege;Medium;unknownminister;X
115154;Head of Government;카를 부레쉬 ;1931;1933;1999;ML;Flamboyant Tough Guy;Medium;unknownminister;X
115155;Foreign Minister;하인리히 마타야 ;1924;1933;1999;SD;Great Compromiser;High;3708;X
115156;Foreign Minister;루돌프 라메크 ;1926;1933;1999;ML;Great Compromiser;High;3699;X
115157;Foreign Minister;이그나츠 자이펠 ;1926;1933;1999;ML;Ideological Crusader;High;M23124;X
115158;Foreign Minister;에른스트 슈트레루비츠 ;1929;1933;1999;ML;Apologetic Clerk;Medium;unknownminister;X
115159;Foreign Minister;카를 부레쉬 ;1932;1933;1999;ML;Iron Fisted Brute;Medium;unknownminister;X
115160;Foreign Minister;엥겔베르트 돌푸스 ;1934;1964;1999;FA;Ideological Crusader;High;8292;X
115161;Minister of Armament;요제프 콜만 ;1926;1933;1999;ML;Laissez-Faire Capitalist;Medium;unknownminister;X
115162;Minister of Armament;요한 요제프 미텔베르거 ;1929;1933;1999;ML;Resource Industrialist;Medium;unknownminister;X
115163;Minister of Armament;오토 유흐 ;1929;1933;1999;ML;Resource Industrialist;Medium;unknownminister;X
115164;Minister of Armament;요제프 라들리히 ;1931;1933;1999;SL;Administrative Genius;Medium;unknownminister;X
115165;Minister of Armament;엠마누엘 바이덴호퍼 ;1931;1933;1999;ML;Laissez-Faire Capitalist;Medium;unknownminister;X
115166;Minister of Security;이그나츠 자이펠 ;1923;1933;1999;ML;Crime Fighter;High;M23124;X
115167;Minister of Security;루돌프 라메크 ;1924;1933;1999;ML;Compassionate Gentleman;High;3699;X
115168;Minister of Security;에른스트 슈트레루비츠 ;1929;1933;1999;ML;Silent Lawyer;Medium;unknownminister;X
115169;Minister of Security;빈첸츠 슈미 ;1929;1933;1999;ML;Silent Lawyer;Medium;unknownminister;X
115170;Minister of Security;에른스트 루디거 슈타렘베르크 ;1930;1933;1999;ML;Man of the People;Medium;unknownminister;X
115171;Minister of Security;오토 엔더 ;1931;1964;1999;ML;Silent Lawyer;Medium;unknownminister;X
115172;Minister of Security;프란츠 바힝거 ;1932;1964;1999;ML;Crime Fighter;Medium;unknownminister;X
