UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
545084;Head of Government;볼로디미르 빈니첸코 ;1914;1932;1999;SD;political protege;Medium;9079;X
545085;Head of Government;우세볼로트 홀루보비치;1914;1932;1999;SD;flamboyant tough guy;Medium;9089;X
545086;Head of Government;미콜라 바실렌코 ;1914;1932;1999;PA;backroom backstabber;Medium;9033;X
545087;Head of Government;페디르 리조훕 ;1914;1932;1999;PA;silent workhorse;Medium;8948;X
545088;Head of Government;세르히이 헤르벨 ;1914;1932;1999;PA;smiling oilman;Medium;9058;X
545089;Head of Government;볼로디미르 체르히우스키 ;1914;1932;1999;SD;naive optimist;Medium;9081;X
545090;Head of Government;세르히이 오스타펜코 ;1914;1932;1999;SD;corporate suit;Medium;9060;X
545091;Head of Government;보리스 마르토스 ;1914;1932;1999;SD;corporate suit;Medium;8941;X
545092;Head of Government;이삭 마제파 ;1914;1932;1999;SD;ambitious union boss;Medium;9017;X
545093;Head of Government;뱌체슬라프 프로코포비치 ;1914;1932;1999;SD;happy amateur;Medium;9091;X
545094;Foreign Minister;세르히이 예프레모우 ;1914;1932;1999;SD;iron fisted brute;Medium;9059;X
545095;Foreign Minister;올렉산드르 슈힌 ;1914;1932;1999;SD;general staffer;Medium;9048;X
545096;Foreign Minister;우세볼로트 홀루보비치 ;1914;1932;1999;SD;ideological crusader;Medium;9089;X
545097;Foreign Minister;미콜라 류빈스키 ;1914;1932;1999;SD;great compromiser;Medium;9031;X
545098;Foreign Minister;미콜라 바실렌코 ;1914;1932;1999;PA;apologetic clerk;Medium;9033;X
545099;Foreign Minister;드미트로 도로셴코 ;1914;1932;1999;PA;biased intellectual;Medium;8944;X
545100;Foreign Minister;게오르기 아파나세프 ;1914;1932;1999;PA;iron fisted brute;Medium;9013;X
545101;Foreign Minister;볼로디미르 체르히우스키 ;1914;1932;1999;SD;general staffer;Medium;9081;X
545102;Foreign Minister;코스탼틴 마체비치 ;1914;1932;1999;SD;ideological crusader;Medium;unknownminister;X
545103;Foreign Minister;볼로디미르 템니츠키 ;1914;1932;1999;SD;great compromiser;Medium;9080;X
545104;Foreign Minister;안드리이 리비츠키 ;1914;1932;1999;SD;apologetic clerk;Medium;8937;X
545105;Foreign Minister;안드리이 니코우스키 ;1914;1932;1999;SD;biased intellectual;Medium;8938;X
545106;Minister of Armament;흐리스토포르 바라노우스키 ;1914;1920;1999;SD;administrative genius;Medium;9019;X
545107;Minister of Armament;우세볼로트 홀루보비치 ;1914;1920;1999;SD;laissez-faire capitalist;Medium;9089;X
545108;Minister of Armament;S. 페레펠리차 ;1914;1920;1999;SD;corrupt kleptocrat;Medium;unknownminister;X
545109;Minister of Armament;P. 클리모비치 ;1914;1920;1999;SD;resource industrialist;Medium;unknownminister;X
545110;Minister of Armament;안톤 르제페츠키 ;1914;1932;1999;PA;theoretical scientist;Medium;8940;X
545111;Minister of Armament;세르히이 오스타펜코 ;1920;1932;1999;SD;Oil baron;Medium;9060;X
545112;Minister of Armament;바실 마주렌코 ;1920;1932;1999;SD;Construction magnate;Medium;unknownminister;X
545113;Minister of Armament;I. 페셴코 초피우스키 ;1920;1932;1999;SD;Balanced budget economy;Medium;unknownminister;X
545114;Minister of Armament;미하일로 크리베츠키 ;1920;1932;1999;SD;Mixed economy;Medium;unknownminister;X
545115;Minister of Armament;보리스 마르토스 ;1920;1932;1999;SD;Keynesian economy;Medium;8941;X
545116;Minister of Armament;M. 샤들룬 ;1920;1932;1999;SD;Reformer;Medium;unknownminister;X
545117;Minister of Armament;드미트로 안토노비치 ;1914;1932;1999;SD;battle fleet proponent;Medium;8946;X
545118;Minister of Armament;미콜라 막시모우 ;1914;1932;1999;PA;battle fleet proponent;Medium;9029;X
545119;Minister of Armament;안드리이 포크로우스키 ;1914;1932;1999;PA;submarine proponent;Medium;8935;X
545120;Minister of Armament;미하일 벨린스키 ;1914;1932;1999;SD;submarine proponent;Medium;unknownminister;X
545121;Minister of Armament;시몬 페트률라 ;1914;1920;1999;SD;infantry proponent;Medium;9061;X
545122;Minister of Armament;미콜라 포르쉬 ;1914;1920;1999;SD;tank proponent;Medium;9034;X
545123;Minister of Armament;이반 네몰로프스키 ;1914;1920;1999;SD;military entrepreneur;Medium;unknownminister;X
545124;Minister of Armament;올렉산드르 슈코우스키 ;1914;1920;1999;SD;infantry proponent;Medium;unknownminister;X
545125;Minister of Armament;올렉산드르 라호자 ;1914;1932;1999;PA;tank proponent;Medium;9039;X
545126;Minister of Armament;올렉산드르 오세츠키 ;1920;1932;1999;SD;military entrepreneur;Medium;9046;X
545127;Minister of Armament;올렉산드르 흐레키우 ;1920;1932;1999;SD;air to ground proponent;Medium;9044;X
545128;Minister of Armament;흐리호리 시로텐코 ;1920;1932;1999;SD;air to sea proponent;Medium;9015;X
545129;Minister of Armament;올렉산드르 샤포발 ;1920;1932;1999;SD;air superiority proponent;Medium;9038;X
545130;Minister of Armament;우세올로트 페트리우 ;1920;1932;1999;SD;strategic air proponent;Medium;9090;X
545131;Minister of Armament;볼로디미르 살스키 ;1920;1932;1999;SD;administrative genius;Medium;9086;X
545132;Minister of Security;볼로디미르 빈니첸코 ;1914;1932;1999;SD;compassionate gentleman;Medium;9079;X
545133;Minister of Security;파울로 흐리스톡 ;1914;1932;1999;SD;man of the people;Medium;9053;X
545134;Minister of Security;미하일로 트카첸코 ;1914;1920;1999;SD;prince of terror;Medium;unknownminister;X
545135;Minister of Security;비쉬네우스키 ;1914;1932;1999;PA;crime fighter;Medium;unknownminister;X
545136;Minister of Security;페디르 리조훕 ;1914;1932;1999;PA;silent lawyer;Medium;8948;X
545137;Minister of Security;이호르 키스탸키우시 ;1914;1932;1999;PA;back stabber;Medium;9016;X
545138;Minister of Security;빅토르 레인보트 ;1914;1932;1999;PA;efficient sociopath;Medium;unknownminister;X
545139;Minister of Security;흐리호리 치셰우스키 ;1914;1932;1999;SD;crooked kleptocrat;Medium;9014;X
545140;Minister of Security;이삭 마제파 ;1914;1932;1999;SD;Media magnate;Medium;9017;X
545141;Minister of Security;미하일 벨린스키 ;1914;1921;1999;SD;Health and safety;Medium;unknownminister;X
545142;Head of Military Intelligence;바실 튜튠니크 ;1914;1919;1999;SD;industrial specialist;Medium;9074;X
545143;Head of Military Intelligence;올렉산드르 우도비첸코 ;1914;1932;1999;PA;political specialist;Medium;9042;X
545144;Chief of Staff;보리스 보로프스키 ;1914;1918;1999;SL;school of fire support;Medium;8943;X
545145;Chief of Staff;올렉산드르 슬리빈스키 ;1914;1932;1999;SL;school of manoeuvre;Medium;9047;X
545146;Chief of Staff;올렉산드르 흐레키우 ;1914;1932;1999;SC;school of defence;Medium;9044;X
545147;Chief of Staff;올렉산드르 오세츠키 ;1914;1932;1999;SL;school of psychology;Medium;9046;X
545148;Chief of Staff;미콜라 유나키우 ;1914;1932;1999;SL;school of mass combat;Medium;9030;X
545149;Chief of Staff;볼로디미르 신클레르 ;1914;1932;1999;SL;commando doctrine staff;Medium;9083;X
545150;Chief of Army;보리스 보로프스키 ;1914;1932;1999;SL;guns and butter doctrine;Medium;8943;X
545151;Chief of Army;올렉산드르 슬리빈스키;1914;1932;1999;SL;armoured spearhead doctrine;Medium;9047;X
545152;Chief of Army;올렉산드르 흐레키우 ;1914;1932;1999;SC;decisive battle doctrine;Medium;9044;X
545153;Chief of Army;올렉산드르 오세츠키 ;1914;1932;1999;SL;static defence doctrine;Medium;9046;X
545154;Chief of Army;미콜라 유나키우 ;1914;1932;1999;SL;elastic defence doctrine;Medium;9030;X
545155;Chief of Army;볼로디미르 신클레르 ;1914;1932;1999;SL;commando doctrine army;Medium;9083;X
545156;Chief of Navy;미콜라 막시모우 ;1914;1932;1999;SL;base control doctrine;Medium;9029;X
545157;Chief of Navy;미콜라 프로타소우 ;1914;1932;1999;SC;open seas doctrine;Medium;unknownminister;X
545158;Chief of Navy;레프 포스트리가네프 ;1914;1932;1999;SL;decisive naval battle doctrine;Medium;unknownminister;X
545159;Chief of Navy;미하일 벨린스키;1914;1921;1999;SL;power projection doctrine;Medium;unknownminister;X
545160;Chief of Air Force;빅토르 파블렌코 ;1914;1932;1999;SC;air superiority doctrine;Medium;9077;X
545161;Chief of Air Force;바실 무라쉬코 ;1914;1932;1999;SL;army aviation doctrine;Medium;9075;X
