SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
40087;Head of State;구스타프 6세 아돌프 ;1950;1964;1999;SD;Benevolent Gentleman;High;M7093;X
40088;Minister of Armament;페르 에드빈 스쾰드 ;1949;1964;1999;SD;Infantry Proponent;High;M7041;X
40089;Head of State;구스타프 6세 아돌프 ;1950;1964;1999;ML;Benevolent Gentleman;High;M7093;X
40090;Chief of Army;카르스텐 발베리 ;1900;1911;1911;SC;static defence doctrine;High;9269;X
40091;Chief of Army;오스카르 2세 ;1900;1907;1999;SC;static defence doctrine;High;3308;X
40092;Chief of Army;악셀 라페 ;1900;1933;1999;SC;static defence doctrine;High;3309;X
40093;Chief of Army;크누트 일스 빌트 ;1905;1933;1999;SC;Decisive Battle Doctrine;High;3310;X
40094;Chief of Army;구스타프 5세 ;1907;1933;1999;ML;static defence doctrine;High;3311;X
40095;Chief of Army;안톤 닐손 ;1914;1933;1999;ST;Guns and Butter Doctrine;High;3312;X
40096;Chief of Army;악셀 라페 ;1915;1933;1999;PA;Guns and Butter Doctrine;Very High;3309;X
40097;Chief of Army;라르스 팅스텐 ;1916;1933;1999;SL;Decisive Battle Doctrine;High;3313;X
40098;Chief of Army;라르스 팅스텐 ;1919;1933;1999;SC;Decisive Battle Doctrine;High;3313;X
40099;Chief of Army;카를 함마르셸드 ;1922;1933;1999;SC;Static Defence Doctrine;High;3314;X
40100;Chief of Navy;테오도르 산드스트렘 ;1907;1933;1999;SC;Decisive Naval Battle Doctrine;High;unknownminister;X
40101;Chief of Navy;스텐 안카르시로나 ;1911;1933;1999;ML;Decisive Naval Battle Doctrine;High;unknownminister;X
40102;Chief of Navy;루드비그 시드네르 ;1914;1933;1999;SL;Indirect Approach Doctrine;High;3315;X
40103;Chief of Navy;헤닝 본 크루센스톄르나 ;1916;1933;1999;SL;Open Seas Doctrine;High;3316;X
40104;Chief of Staff;악셀 라페 ;1900;1933;1999;SC;School of Psychology;High;3309;X
40105;Chief of Staff;카르스텐 발베리 ;1900;1911;1911;SC;School of Defence;High;9269;X
40106;Chief of Staff;크누트 일스 빌트 ;1905;1933;1999;SC;School of Manoeuvre;High;3310;X
40107;Chief of Staff;악셀 라페 ;1914;1933;1999;PA;School of Psychology;Very High;3309;X
40108;Chief of Staff;안톤 닐손 ;1914;1933;1999;ST;School of Mass Combat;High;3312;X
40109;Chief of Staff;라르스 팅스텐 ;1919;1933;1999;SC;School of Psychology;High;3313;X
40110;Chief of Staff;카를 함마르셸드 ;1922;1933;1999;SC;School of Mass Combat;High;3314;X
40111;Foreign Minister;루드비그 더우글라스 ;1900;1933;1999;ML;Biased Intellectual;High;3317;X
40112;Foreign Minister;알프레드 라거르헤임 ;1900;1933;1999;SC;Great Compromiser;High;3318;X
40113;Foreign Minister;아우구스트 길덴스토르페 ;1904;1933;1999;ML;Apologetic clerk;High;3319;X
40114;Foreign Minister;에리크 트롤레 ;1905;1933;1999;SL;Great Compromiser;High;3320;X
40115;Foreign Minister;프레드리크 바시트마이스터 ;1905;1933;1999;SC;Biased Intellectual;High;3321;X
40116;Foreign Minister;빅토리아 ;1907;1933;1999;PA;Ideological Crusader;High;3322;X
40117;Foreign Minister;아르비드 토브 ;1909;1933;1999;ML;Ideological Crusader;High;unknownminister;X
40118;Foreign Minister;알베르트 에렌스베르드 ;1911;1933;1999;SL;Ideological Crusader;High;3323;X
40119;Foreign Minister;투레 네르만 ;1914;1933;1999;ST;Ideological Crusader;Very High;3324;X
40120;Foreign Minister;크누트 발렌베리 ;1914;1933;1999;SC;Ideological Crusader;High;3325;X
40121;Foreign Minister;아르비드 린드만 ;1917;1933;1999;ML;Ideological Crusader;High;3326;X
40122;Foreign Minister;요하네스 헬네르 ;1917;1933;1999;SL;Ideological Crusader;High;3327;X
40123;Foreign Minister;에리크 팔므스티에르나 ;1920;1933;1999;SD;Ideological Crusader;High;3328;X
40124;Foreign Minister;헤르만 렝겔 ;1920;1933;1999;ML;Ideological Crusader;High;3329;X
40125;Foreign Minister;위스텐 운덴 ;1920;1933;1999;SD;Apologetic Clerk;High;3330;X
40126;Foreign Minister;얄마르 브란팅 ;1921;1933;1999;SD;Apologetic Clerk;High;3331;X
40127;Foreign Minister;카를 헤데르스티에르나 ;1923;1933;1999;ML;Ideological Crusader;High;3332;X
40128;Foreign Minister;에리크 본 뷔르템베리 ;1923;1933;1999;ML;Biased Intellectual;High;3987;X
40129;Foreign Minister;엘리엘 뢰프그렌 ;1926;1933;1999;SL;BIASED INTELLECTUAL;High;3333;X
40130;Head of Government;에리크 구스타브 포스트렘 ;1900;1933;1999;SC;Flamboyant Tough Guy;High;3334;X
40131;Head of Government;프레드리크 본 오테르 ;1900;1933;1999;ML;Old Admiral;High;3335;X
40132;Head of Government;요한 람스테드 ;1905;1933;1999;ML;Corporate Suit;High;3336;X
40133;Head of Government;크리스티안 룬드베리 ;1905;1933;1999;SC;Corporate Suit;High;3337;X
40134;Head of Government;아르비드 린드만 ;1906;1933;1999;SC;Old Admiral;High;3326;X
40135;Head of Government;빅토리아 ;1907;1933;1999;PA;Silent Workhorse;High;3322;X
40136;Head of Government;얄마르 브란팅 ;1907;1933;1999;SD;Ambitious Union Boss;High;3331;X
40137;Head of Government;칼 스타프 ;1911;1933;1999;SL;Naive Optimist;High;3338;X
40138;Head of Government;얄마르 함마르셀드 ;1914;1933;1999;ML;Political Protege;High;3339;X
40139;Head of Government;카를 스바르트 ;1917;1933;1999;SC;Corporate Suit;High;3340;X
40140;Head of Government;닐스 에덴 ;1917;1933;1999;SL;Flamboyant Tough Guy;High;3341;X
40141;Head of Government;루이스 데 이에르 ;1920;1933;1999;SL;Political Protege;High;3342;X
40142;Head of Government;오스카르 본 시도브 ;1921;1933;1999;ML;Flamboyant Tough Guy;High;3343;X
40143;Head of Government;카를 구스타프 에크만 ;1922;1933;1999;SL;Backroom Backstabber;High;3344;X
40144;Head of Government;에른스트 트리게르 ;1923;1933;1999;SC;Happy Amateur;High;3345;X
40145;Head of Military Intelligence;카르스텐 발베리 ;1900;1911;1911;SC;Logistics Specialist;High;9269;X
40146;Head of Military Intelligence;악셀 라페 ;1900;1933;1999;SC;Logistics Specialist;High;3309;X
40147;Head of Military Intelligence;크누트 일스 빌트 ;1905;1933;1999;SC;Logistics Specialist;High;3310;X
40148;Head of Military Intelligence;오토 그림룬드 ;1914;1933;1999;ST;Dismal Enigma;High;3346;X
40149;Head of Military Intelligence;스벤 헤딘 ;1915;1933;1999;PA;Dismal Enigma;High;3347;X
40150;Head of Military Intelligence;라르스 팅스텐 ;1919;1933;1999;SC;Logistics Specialist;High;3313;X
40151;Head of Military Intelligence;카를로스 아들러르크루츠 ;1920;1933;1999;ML;Political Specialist;High;3348;X
40152;Head of Military Intelligence;카를 함마르셸드 ;1922;1933;1999;SC;Logistics Specialist;High;3314;X
40153;Head of State;오스카르 2세 ;1900;1907;1999;ML;Benevolent Gentleman;High;3308;X
40154;Head of State;오스카르 2세 ;1900;1907;1999;PA;Benevolent Gentleman;High;3308;X
40155;Head of State;오스카르 2세 ;1900;1907;1999;SC;Benevolent Gentleman;High;3308;X
40156;Head of State;구스타프 5세 ;1907;1933;1999;SC;Popular Figurehead;High;3311;X
40157;Head of State;구스타프 5세 ;1907;1933;1999;ML;Popular Figurehead;High;3311;X
40158;Head of State;구스타프 5세 ;1907;1933;1999;PA;Popular Figurehead;High;3311;X
40159;Head of State;제트 회글룬드 ;1914;1933;1999;ST;Die-hard Reformer;High;3349;X
40160;Minister of Armament;프레드리크 바시트마이스터 ;1900;1933;1999;SC;Resource Industrialist;High;3321;X
40161;Minister of Armament;에른스트 메위어 ;1902;1933;1999;SL;Laissez-Faire Capitalist;High;unknownminister;X
40162;Minister of Armament;엘로프 비에세르트 ;1905;1933;1999;SL;Resource Industrialist;High;unknownminister;X
40163;Minister of Armament;카를 스바르트 ;1906;1933;1999;SC;Resource Industrialist;High;3340;X
40164;Minister of Armament;테오도르 아델스베르드 ;1911;1933;1999;SL;Resource Industrialist;High;3350;X
40165;Minister of Armament;카를 킬봄 ;1914;1933;1999;ST;Battle Fleet proponent;High;9886;X
40166;Minister of Armament;악셀 벤네르스텐 ;1914;1933;1999;ML;Administrative Genius;High;3351;X
40167;Minister of Armament;에른스트 트리게르 ;1915;1933;1999;PA;Laissez-Faire Capitalist;High;3345;X
40168;Minister of Armament;페르 알빈 한손 ;1917;1933;1999;SD;military entrepreneur;High;3352;X
40169;Minister of Armament;콘라드 카를레손 ;1917;1933;1999;SC;Laissez-Faire Capitalist;High;3988;X
40170;Minister of Armament;얄마르 브란팅 ;1917;1933;1999;SD;Resource Industrialist;High;3331;X
40171;Minister of Armament;프레드리크 토르손 ;1918;1933;1999;SD;Resource Industrialist;High;3353;X
40172;Minister of Armament;리카르드 산들레르 ;1920;1933;1999;SD;Resource Industrialist;High;3354;X
40173;Minister of Armament;헨리크 탐 ;1920;1933;1999;ML;Administrative Genius;High;unknownminister;X
40174;Minister of Armament;야코브 베스코브 ;1921;1933;1999;ML;Resource Industrialist;High;3355;X
40176;Minister of Armament;카를 구스타프 에크만 ;1922;1933;1999;SL;Laissez-Faire Capitalist;High;3344;X
40177;Minister of Security;루드비그 안네르스테드 ;1900;1933;1999;SL;Crime Fighter;High;unknownminister;X
40178;Minister of Security;얄마르 함마르셀드 ;1901;1933;1999;ML;Crime Fighter;High;3339;X
40179;Minister of Security;오시안 베리에르 ;1902;1933;1999;SC;Compassionate Gentleman;High;3356;X
40180;Minister of Security;구스타프 베리 ;1905;1933;1999;SC;Compassionate Gentleman;High;unknownminister;X
40181;Minister of Security;칼 스타프 ;1905;1933;1999;SL;Man of the People;High;3338;X
40182;Minister of Security;알베르트 페테르손 ;1906;1933;1999;ML;Silent Lawyer;High;3357;X
40183;Minister of Security;구스타프 산드스트렘 ;1909;1933;1999;SL;Crime Fighter;High;3358;X
40184;Minister of Security;구스타프 산드스트렘 ;1911;1933;1999;SL;Crime Fighter;High;3358;X
40185;Minister of Security;카를 린드하겐 ;1914;1933;1999;ST;Back Stabber;High;3359;X
40186;Minister of Security;베른드 하셀르로트 ;1914;1933;1999;ML;Silent Lawyer;High;3360;X
40187;Minister of Security;스테노 스텐베리 ;1914;1933;1999;ML;Silent Lawyer;High;3989;X
40188;Minister of Security;스벤 헤딘 ;1915;1933;1999;PA;Man of the People;High;3347;X
40189;Minister of Security;엘리엘 뢰프그렌 ;1917;1933;1999;SL;Silent Lawyer;High;3333;X
40190;Minister of Security;위스텐 운덴 ;1920;1933;1999;SD;Crime Fighter;High;3330;X
40191;Minister of Security;비리에르 에케베리 ;1920;1933;1999;ML;Silent Lawyer;High;3361;X
40192;Minister of Security;아사르 오케르만 ;1920;1933;1999;SD;Silent Lawyer;High;3362;X
40193;Minister of Security;토르스텐 노틴 ;1924;1933;1999;SD;Silent Lawyer;High;3363;X
40194;Minister of Security;요한 티렌;1924;1933;1999;SL;Compassionate Gentleman;High;3364;X
40195;Chief of Air Force;토르스텐 라프 ;1948;1964;1999;SD;Air Superiority Doctrine;High;9918;x
40196;Chief of Army;닐스 스베드룬드 ;1950;1964;1999;ML;Armoured Spearhead Doctrine;High;6020;x 
40197;Minister of Security;비리에르 프루고르 ;1933;1964;1999;NS;Back Stabber;Medium;6021;x
40198;Foreign Minister;비리에르 프루고르 ;1933;1964;1999;NS;Apologetic Clerk;Medium;6021;x
