EUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
645023;Head of Government;아나클레도 오르투에타 ;1936;1964;1999;LWR;Backroom Backstabber;High;6570;X
645024;Head of Government;텔레스포로 몬손 ;1936;1964;1999;LE;Flamboyant Tough Guy;High;8511;X
645025;Foreign Minister;텔레스포로 몬손 ;1936;1964;1999;LE;Iron Fisted Brute;High;8511;X
645026;Foreign Minister;토마스 빌바오 ;1936;1964;1999;LWR;Apologetic Clerk;High;unknownminister;X
645027;Minister of Armament;산티아고 아즈나르 ;1936;1964;1999;LWR;Corrupt Kleptocrat;High;8512;X
645028;Minister of Armament;곤잘로 나르디스 ;1936;1964;1999;LWR;laissez-faire capitalist;High;8184;X
645029;Minister of Security;후스토 가라테 ;1936;1964;1999;LWR;Efficient Sociopath;Very High;8510;X
645030;Minister of Security;아나클레도 오르투에타 ;1936;1964;1999;LWR;Man of the People;High;6570;X
645031;Head of Military Intelligence;헤수스 라라냐가 ;1936;1964;1999;LWR;Industrial Specialist;High;unknownminister;X
645032;Head of Military Intelligence;프란시스코 데 미겔 ;1936;1964;1999;LWR;Logistics Specialist;Medium;8513;X
645033;Chief of Staff;아나클레도 오르투에타 ;1936;1964;1999;LWR;School of Fire Support;High;6570;X
645034;Chief of Staff;후스토 가라테 ;1936;1964;1999;LWR;School of Psychology;Very High;8510;X
645035;Chief of Army;펠릭스 리키니아노 ;1936;1964;1999;LE;Decisive Battle Doctrine;High;8514;X
645036;Chief of Army;케파 오르도키 ;1936;1964;1999;LE;Guns and Butter Doctrine;High;8515;X
645037;Chief of Navy;라파엘 멘차카 ;1936;1964;1999;ST;Indirect Approach Doctrine;High;8516;X
645038;Chief of Navy;마누엘 갈도스 ;1936;1964;1999;LWR;Open Seas Doctrine;High;8517;X
645039;Chief of Air Force;이달고 데 시스네로스 ;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M11030;X
645040;Chief of Air Force;파블로 라다 ;1936;1964;1999;LWR;Naval Aviation Doctrine;High;8518;X
645041;Head of State;알폰소 카를로스 1세 ;1931;1937;1999;PA;Benevolent Gentleman;High;8519;X
645042;Head of State;카를로스 12세 안토니오 ;1936;1964;1999;PA;Insignificant Layman;Medium;unknownminister;X
645043;Head of Government;페드로 무를라네 미첼레나 ;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;8188;X
645044;Head of Government;호세 펠릭스 레케리카 ;1936;1964;1999;PA;Silent Workhorse;High;8659;X
645045;Foreign Minister;호세 마리아 데 아레일사 ;1936;1964;1999;PA;Great Compromiser;Very High;8668;X
645046;Foreign Minister;호세 펠릭스 레케리카 ;1936;1964;1999;PA;Biased Intellectual;High;8659;X
645047;Minister of Armament;호세 루이스 아레스 ;1936;1964;1999;FA;Resource Industrialist;Medium;8660;X
645048;Minister of Armament;알레한드로 고이코에체아 ;1936;1964;1999;PA;Administrative Genius;High;8661;X
645049;Minister of Security;라파엘 산체스 마사스 ;1936;1964;1999;FA;Compassionate Gentleman;High;8669;X
645050;Minister of Security;페드로 무를라네 미첼레나 ;1936;1964;1999;FA;Man of the People;Very High;8188;X
645051;Head of Military Intelligence;마누엘 아즈나르 수비가라이 ;1919;1936;1999;PA;Political Specialist;Medium;8520;X
645052;Head of Military Intelligence;알레한드로 고이코에체아 ;1936;1964;1999;PA;Logistics Specialist;High;8661;X
645053;Chief of Staff;카를로스 11세 ;1936;1964;1999;PA;School of Mass Combat;High;unknownminister;X
645054;Chief of Staff;카를로스 12세 안토니오 ;1936;1964;1999;PA;School of Defence;Medium;unknownminister;X
645055;Chief of Army;알레한드로 고이코에체아 ;1936;1964;1999;PA;Static Defence Doctrine;High;8661;X
645056;Chief of Army;엔리케 소토마요르 ;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;6586;X
645057;Chief of Navy;펠리페 아브라수사 ;1936;1964;1999;PA;Power Projection Doctrine;High;8662;X
645058;Chief of Navy;프란시스코 데 올라녜타 ;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;8663;X
645059;Chief of Air Force;앙헬 살라스 ;1936;1964;1999;PA;Vertical Envelopment Doctrine;High;8664;X
645060;Chief of Air Force;에스테반 이바레체 ;1936;1964;1999;PA;Carpet Bombing Doctrine;High;6590;X
645061;Head of State;엔리케 5세 ;1936;1964;1999;PA;Weary Stiffneck;Medium;8665;X
645062;Head of State;호세 1세 ;1936;1964;1999;PA;Insignificant Layman;Medium;8666;X
645063;Head of State;엘리아스 1세 ;1939;1964;1999;PA;Popular Figurehead;High;8667;X
645064;Chief of Staff;엔리케 5세 ;1936;1964;1999;PA;School of Manoeuvre;Medium;8665;X
645065;Chief of Staff;호세 1세 ;1936;1964;1999;PA;School of Defence;Medium;8666;X
645066;Chief of Staff;엘리아스 1세 ;1939;1964;1999;PA;School of Fire Support;High;8667;X
645067;Chief of Army;사투르니노 벵고아 ;1936;1964;1999;SC;Static Defence Doctrine;High;unknownminister;X
645068;Chief of Staff;호세 안토니오 아기레 ;1936;1960;1999;SC;School of Defence;Very High;8505;X
645069;Head of State;루이스 아라나 고이리 ;1908;1933;1999;SC;stern imperialist;Very High;8521;X
645070;Minister of Armament;호세 안토니오 아기레 ;1936;1960;1999;SC;laissez-faire capitalist;High;8505;X
645071;Minister of Security;텔레스포로 몬손 ;1936;1964;1999;SD;man of the people;High;8511;X
645072;Chief of Air Force;마누엘 수비아가 알테코아 ;1914;1936;1999;SC;air superiority doctrine;Low;8522;X
645073;Chief of Air Force;루이스 라빈 ;1946;1963;1999;LE;army aviation doctrine;Medium;8523;X
645074;Chief of Staff;토마스 에차베 ;1936;1963;1999;LWR;School of Psychology;High;unknownminister;X
645075;Foreign Minister;에야스 가야스테기 ;1921;1937;1999;SD;Ideological Crusader;High;8524;X
645076;Foreign Minister;마누엘 데 라 소타 ;1921;1946;1999;SD;Biased Intellectual;High;8525;X
645077;Head of Military Intelligence;피델 로마라테기 ;1918;1937;1999;SL;logistics specialist;High;unknownminister;X
645078;Head of Military Intelligence;트리폰 에체바리아 ;1921;1937;1999;SL;political specialist;High;unknownminister;X
645079;Minister of Security;아돌포 데 라라냐가 ;1923;1950;1999;SC;man of the people;High;unknownminister;X
645080;Minister of Armament;아구스틴 멘디부루 ;1936;1958;1999;SD;resource industrialist;High;8526;X
645081;Minister of Security;마누엘 아란사디 이루호 ;1909;1942;1999;SC;Silent Lawyer;High;8527;X
645082;Chief of Army;후안 이바롤라 오루에타 ;1927;1964;1999;SC;guns and butter doctrine;Medium;8528;X
645083;Chief of Air Force;펠리페 델 리오 그레스포 ;1937;1939;1999;LWR;Air Superiority Doctrine;Low;8529;X
645084;Head of State;라몬 데 라 소타 ;1914;1936;1999;SC;weary stiffneck;High;8530;X
645085;Head of Government;라몬 데 라 소타 ;1914;1936;1999;SC;happy amateur;High;8530;X
645086;Chief of Air Force;호아킨 데 에기아 ;1936;1956;1999;SC;army aviation doctrine;High;8494;X
645087;Chief of Army;사투르니노 벵고아 ;1936;1964;1999;SC;Static Defence Doctrine;High;unknownminister;X
645088;Chief of Staff;호세 안토니오 아기레 ;1936;1960;1999;SC;School of Defence;Very High;8505;X
645089;Head of State;루이스 아라나 고이리 ;1908;1933;1999;SC;stern imperialist;Very High;8521;X
645090;Minister of Armament;호세 안토니오 아기레 ;1936;1960;1999;SC;laissez-faire capitalist;High;8505;X
645091;Minister of Security;텔레스포로 몬손 ;1936;1964;1999;SD;man of the people;High;8511;X
645092;Chief of Air Force;마누엘 수비아가 알테코아 ;1914;1936;1999;SC;air superiority doctrine;Low;8522;X
645093;Chief of Air Force;루이스 라빈 ;1946;1963;1999;LE;army aviation doctrine;Medium;8523;X
645094;Chief of Staff;토마스 에차베 ;1936;1963;1999;LWR;School of Psychology;High;unknownminister;X
645095;Foreign Minister;에야스 가야스테기 ;1921;1937;1999;SD;Ideological Crusader;High;8524;X
645096;Foreign Minister;마누엘 데 라 소타 ;1921;1946;1999;SD;Biased Intellectual;High;8525;X
645097;Head of Military Intelligence;피델 로마라테기 ;1918;1937;1999;SL;logistics specialist;High;unknownminister;X
645098;Head of Military Intelligence;트리폰 에체바리아 ;1921;1937;1999;SL;political specialist;High;unknownminister;X
645099;Minister of Security;아돌포 데 라라냐가 ;1923;1950;1999;SC;man of the people;High;unknownminister;X
645100;Minister of Armament;아구스틴 멘디부루 ;1936;1958;1999;SD;resource industrialist;High;8526;X
645101;Minister of Security;마누엘 아란사디 이루호 ;1909;1942;1999;SC;Silent Lawyer;High;8527;X
645102;Chief of Army;후안 이바롤라 오루에타 ;1927;1964;1999;SC;guns and butter doctrine;Medium;8528;X
645103;Chief of Air Force;펠리페 델 리오 그레스포 ;1937;1939;1999;LWR;Air Superiority Doctrine;Low;8529;X
645104;Head of State;라몬 데 라 소타 ;1914;1936;1999;SC;weary stiffneck;High;8530;X
645105;Head of Government;라몬 데 라 소타 ;1914;1936;1999;SC;happy amateur;High;8530;X
645106;Chief of Air Force;호아킨 데 에기아 ;1936;1956;1999;SC;army aviation doctrine;High;8494;X
