COS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
310039;Foreign Minister;치코 오를리치 ;1944;1964;1999;SL;Ideological Crusader;High;M47058;X
310040;Foreign Minister;아돌포 우리베 카스트로 ;1933;1964;1999;SC;Apologetic Clerk;Medium;M47044;X
310041;Foreign Minister;라파엘 칼데론 ;1940;1964;1999;SC;Biased Intellectual;Medium;M47036;X
310042;Foreign Minister;훌리오 아코스타 가르시아 ;1942;1964;1999;SC;Great Compromiser;Medium;M47004;X
310043;Foreign Minister;테오도로 피카도 ;1943;1964;1999;SC;Ideological Crusader;High;M47037;X
310044;Foreign Minister;마누엘 데 페랄타 ;1944;1964;1999;SC;Iron Fisted Brute;Medium;M47063;X
310045;Foreign Minister;라울 군디안 ;1933;1964;1999;PA;General Staffer;Medium;M47003;X
310046;Foreign Minister;마누엘 모라 발베르데 ;1940;1964;1999;LE;The Cloak N Dagger Schemer;Medium;M47021;X
310047;Foreign Minister;엔리케 디아스 톨레도 ;1947;1964;1999;LWR;Apologetic Clerk;Medium;M47066;X
310048;Minister of Armament;호세 피게레스 페레르 ;1944;1964;1999;SD;Administrative Genius;Medium;M47041;X
310049;Minister of Armament;칼루파 파야스 시나하 ;1947;1964;1999;SD;Submarine Proponent;High;M47068;X
310050;Minister of Armament;치코 오를리치 ;1940;1964;1999;SL;Tank Proponent;High;M47058;X
310051;Minister of Armament;로베르토 브레네스 ;1944;1964;1999;SL;Infantry Proponent;Medium;M47056;X
310052;Minister of Armament;토비아스 수니아가 ;1947;1964;1999;SL;Air to Ground Proponent;High;M47033;X
310053;Minister of Armament;후안 코르테스 카스트로 ;1933;1964;1999;SC;laissez-faire capitalist;Medium;M47073;X
310054;Minister of Armament;오토 코르테스 ;1938;1964;1999;SC;Administrative Genius;High;M47035;X
310055;Minister of Armament;토비아스 피카도 ;1941;1964;1999;SC;Battle Fleet Proponent;Very High;M47075;X
310056;Minister of Armament;이그나시오 멘데스 ;1933;1964;1999;PA;Corrupt Kleptocrat;High;M47014;X
310057;Minister of Armament;루이스 페르난데스 ;1940;1964;1999;LE;Air to Ground Proponent;Medium;M47024;X
310058;Minister of Armament;이그나시오 멘데스 ;1947;1964;1999;LWR;Corrupt Kleptocrat;High;M47014;X
310059;Minister of Security;칼루파 파야스 시나하 ;1944;1964;1999;SD;Silent Lawyer;Medium;M47068;X
310060;Minister of Security;호세 피게레스 페레르 ;1947;1964;1999;SD;Man of the People;High;M47041;X
310061;Minister of Security;이살리노 데 실바 ;1940;1964;1999;SL;Crime Fighter;Low;M47040;X
310062;Minister of Security;토비아스 수니아가 ;1944;1964;1999;SL;Silent Lawyer;High;M47033;X
310063;Minister of Security;알레한드로 데 카스트로 ;1947;1964;1999;SL;Man of the People;High;M47034;X
310064;Minister of Security;아돌포 우리베 카스트로 ;1933;1964;1999;SC;Compassionate Gentleman;Medium;M47044;X
310065;Minister of Security;토비아스 피카도 ;1946;1964;1999;SC;Prince of Terror;Very High;M47075;X
310066;Minister of Security;알베르토 마르텐 ;1933;1964;1999;PA;Crooked Kleptocrat;Very Low;M47015;X
310067;Minister of Security;이살리노 데 실바 ;1940;1964;1999;LWR;Crime Fighter;Low;M47040;X
310068;Minister of Security;카르멘 리라 ;1947;1964;1999;LWR;Prince of Terror;Low;M47025;X
310069;Head of Military Intelligence;호세 피게레스 페레르 ;1944;1964;1999;SD;Political Specialist;Medium;M47041;X
310070;Head of Military Intelligence;로무알도 히메네스 ;1933;1964;1999;SL;Technical Specialist;High;M47001;X
310071;Head of Military Intelligence;라울 군디안 ;1933;1964;1999;SL;Dismal Enigma;Medium;M47003;X
310072;Head of Military Intelligence;엔리케 디아스 톨레도 ;1944;1964;1999;SL;Logistics Specialist;Medium;M47066;X
310073;Head of Military Intelligence;토비아스 수니아가 ;1947;1964;1999;SL;Political Specialist;High;M47033;X
310074;Head of Military Intelligence;벤하민 누녜스 바르가스 ;1933;1964;1999;SC;Logistics Specialist;High;M47096;X
310075;Head of Military Intelligence;로무알도 피노 로하 ;1946;1964;1999;SC;Dismal Enigma;Low;M47011;X
310076;Head of Military Intelligence;호세 멘데스 알리노 ;1933;1964;1999;PA;Industrial Specialist;Medium;M47016;X
310077;Head of Military Intelligence;후고 몬테스 라미레스 ;1940;1964;1999;LE;Logistics Specialist;Medium;M47100;X
310078;Head of Military Intelligence;미겔 라미레스 알칸타라 ;1947;1964;1999;LWR;Dismal Enigma;Medium;M47026;X
310079;Chief of Staff;펠리페 아브레우 카스트로 ;1945;1964;1999;SD;School of Fire Support;High;M47102;X
310080;Chief of Staff;호세 피게레스 페레르 ;1947;1964;1999;SD;School of Mass Combat;High;M47103;X
310081;Chief of Staff;알레한드로 데 카스트로 ;1947;1964;1999;SL;School of Mass Combat;High;M47034;X
310082;Chief of Staff;호르헤 볼리오 히메네스 ;1944;1964;1999;SC;School of Manoeuvre;Medium;M47107;X
310083;Chief of Staff;후고 몬테스 라미레스 ;1940;1964;1999;LE;School of Psychology;Medium;M47100;X
310084;Chief of Staff;미겔 라미레스 알칸타라 ;1947;1964;1999;LWR;School of Fire Support;Medium;M47026;X
310085;Chief of Army;호세 피게레스 페레르 ;1947;1964;1999;SD;Decisive Battle Doctrine;High;M47103;X
310086;Chief of Army;토비아스 수니아가 ;1947;1964;1999;SL;Elastic Defence Doctrine;High;M47033;X
310087;Chief of Army;아르날도 사모라 ;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;M47111;X
310088;Chief of Army;호르헤 볼리오 히메네스 ;1944;1964;1999;SC;Armoured Spearhead Doctrine;High;M47107;X
310089;Chief of Army;밥티스타 E. 구티에레스 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M47018;X
310090;Chief of Army;후고 몬테스 라미레스 ;1940;1964;1999;LE;Decisive Battle Doctrine;Medium;M47100;X
310091;Chief of Army;프란시스코 로센도 ;1947;1964;1999;LWR;Guns and Butter Doctrine;Medium;M47028;X
310092;Chief of Navy;펠리페 아브레우 카스트로 ;1944;1964;1999;SD;Power Projection Doctrine;High;M47102;X
310093;Chief of Navy;마누엘 모라 발베르데 ;1940;1964;1999;LE;Base Control Doctrine;Medium;M47021;X
310094;Chief of Navy;후고 시에들레르 멘도사 ;1947;1964;1999;LWR;Indirect Approach Doctrine;Medium;M47029;X
310095;Chief of Air Force;귀예르모 마초 누녜스 ;1944;1964;1999;SD;Air Superiority Doctrine;Medium;M47127;X
310096;Chief of Air Force;카를로스 우리베 알포베다 ;1933;1964;1999;SC;Carpet Bombing Doctrine;Medium;M47129;X
310097;Chief of Air Force;마누엘 모라 발베르데 ;1940;1964;1999;LE;Army Aviation Doctrine;Medium;M47021;X
310098;Chief of Air Force;오스카르 파디야 ;1947;1964;1999;LWR;Naval Aviation Doctrine;Medium;M47030;X
310099;Head of State;산토스 레온 에레라 ;1947;1964;1999;SC;Pig-headed Isolationist;High;M47133;X
310100;Head of Government;산토스 레온 에레라 ;1947;1964;1999;SC;Corporate Suit;High;M47133;X
310101;Chief of Army;페데리코 티노코 그라나도스 ;1914;1933;1999;PA;Guns and Butter Doctrine;Very High;2449;X
310102;Chief of Army;하오킨 티노코 그라나도스 ;1914;1933;1999;PA;Decisive Battle Doctrine;Very High;2370;X
310103;Chief of Navy;페데리코 티노코 그라나도스 ;1914;1933;1999;PA;Power Projection Doctrine;High;2449;X
310104;Chief of Navy;하오킨 티노코 그라나도스 ;1914;1933;1999;PA;Base Control Doctrine;High;2370;X
310105;Chief of Staff;페데리코 티노코 그라나도스 ;1914;1933;1999;PA;School of Manoeuvre;Very High;2449;X
310106;Head of Government;알프레드 곤살레스 ;1914;1933;1999;SL;Silent Workhorse;High;2448;X
310107;Head of Government;페데리코 티노코 그라나도스 ;1914;1933;1999;PA;Old General;High;2449;X
310108;Head of Government;프란시스코 아길라르 ;1919;1933;1999;PA;Happy Amateur;High;unknownminister;X
310109;Head of Government;훌리오 아코스타 가르시아 ;1920;1933;1999;PA;Flamboyant Tough Guy;High;unknownminister;X
310110;Head of Government;리카르도 히메네스 ;1910;1937;1999;ML;Happy Amateur;High;unknownminister;X
310111;Head of Military Intelligence;후안 키로스 세구라 ;1914;1933;1999;PA;Political Specialist;High;2371;X
310112;Head of State;알프레드 곤살레스 ;1914;1933;1999;SL;Benevolent Gentleman;High;2448;X
310113;Head of State;페데리코 티노코 그라나도스 ;1914;1933;1999;PA;Die-hard Reformer;High;2449;X
310114;Head of State;프란시스코 아길라르 ;1919;1933;1999;PA;Weary Stiffneck;High;unknownminister;X
310115;Head of State;훌리오 아코스타 가르시아 ;1920;1933;1999;PA;Stern Imperialist;High;unknownminister;X
310116;Head of State;리카르도 히메네스 ;1910;1937;1999;ML;Weary Stiffneck;High;unknownminister;X
310117;Minister of Security;프란시스코 아길라르 ;1914;1933;1999;SL;Man of the People;Low;2445;X
310118;Foreign Minister;마누엘 카스트로 케사다 ;1914;1933;1999;SL;Iron Fisted Brute;Medium;2446;X
310119;Minister of Armament;리카르도 히메네스 ;1914;1933;1999;SL;Administrative Genius;Medium;2447;X
