NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
65034;Minister of Armament;벤야민 보그트 ;1940;1964;1999;ML;Battle Fleet Proponent;Medium;M14057;X
65035;Minister of Armament;미카엘 한손 ;1941;1964;1999;SL;Strategic Air Proponent;Medium;M14058;X
65036;Minister of Armament;알링 산베르그 ;1943;1964;1999;SL;Infantry Proponent;Very low;M14014;X
65037;Minister of Armament;군나르 얀 ;1945;1964;1999;SL;Keynesian economy;Medium;M14060;X
65038;Minister of Armament;알베르트 브릴리암 하겔린 ;1941;1964;1999;FA;Tank Proponent;Low;M14048;X
65039;Minister of Armament;프레드리크 프리츠 ;1942;1964;1999;FA;Submarine Proponent;Medium;M14062;X
65040;Minister of Armament;칼 프뢰힐리치 한센 ;1943;1964;1999;FA;Military Entrepreneur;Low;M14063;X
65041;Minister of Armament;에밀 뢰블리엔 ;1945;1964;1999;ST;Military Entrepreneur;Low;M14022;X
65042;Minister of Security;테리예 볼드 ;1939;1964;1999;SD;Silent Lawyer;Medium;M14065;X
65043;Minister of Security;아스비에른 브린 ;1943;1964;1999;SD;Crime Fighter;Low;M14066;X
65044;Minister of Security;호콘 리 ;1945;1964;1999;SD;Prince of Terror;High;M14067;X
65045;Minister of Security;아르네 순데 ;1937;1964;1999;SL;Silent Lawyer;High;M14068;X
65046;Minister of Security;알링 산베르그 ;1943;1964;1999;SL;Compassionate Gentleman;Very low;M14014;X
65047;Minister of Security;롤프 풀레상 ;1942;1964;1999;FA;Efficient Sociopath;Very Low;M14070;X
65048;Head of Military Intelligence;베르트람 디브와드 브로크만 ;1933;1964;1999;ML;Dismal Enigma;Medium;M14071;X
65049;Head of Military Intelligence;빌헬름 에방 ;1943;1964;1999;SD;Political Specialist;Medium;M14072;X
65050;Head of Military Intelligence;군나르 얀 ;1945;1964;1999;SL;Industrial Specialist;Medium;M14060;X
65051;Head of Military Intelligence;카를 A. 마르틴센 ;1940;1964;1999;NS;Dismal Enigma;Low;6033;X
65052;Chief of Staff;비르게르 융베르그 ;1933;1964;1999;SD;School of Defence;High;M14007;X
65053;Chief of Staff;비르게르 프레데리크 모츠펠트 ;1944;1964;1999;SD;School of Manoeuvre;Medium;M14076;X
65054;Chief of Staff;요한 바이크만 ;1942;1964;1999;ML;School of Mass Combat;Very High;M14077;X
65055;Chief of Staff;빌헬름 본 탕엔 한스텐 ;1946;1964;1999;ML;School of Fire Support;Very High;M14078;X
65056;Chief of Staff;할보르 한손 ;1946;1964;1999;ML;School of Psychology;Very High;M14079;X
65057;Chief of Army;오토 루게 ;1940;1964;1999;SD;Guns and Butter Doctrine;Medium;M14075;X
65058;Chief of Army;올라프 5세 ;1943;1964;1999;SD;Elastic Defence Doctrine;Very High;M14081;X
65059;Chief of Army;요르겐 바케 ;1942;1964;1999;NS;Decisive Battle Doctrine;Medium;M14082;X
65060;Chief of Navy;헨리 디센 ;1937;1964;1999;SD;Open Seas Doctrine;Medium;M14083;X
65061;Chief of Navy;군네르 호브데나크 ;1941;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M14084;X
65062;Chief of Navy;크리스토퍼르 메에르 ;1938;1964;1999;ML;Base Control Doctrine;Medium;M14085;X
65063;Chief of Navy;한스 코르넬리우센 ;1941;1964;1999;ML;Indirect Approach Doctrine;Medium;M14086;X
65064;Chief of Navy;투르라이프 폘스타드 ;1941;1964;1999;FA;Indirect Approach Doctrine;Medium;M14087;X
65065;Chief of Navy;켈 스투브 이르겐스 ;1942;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;6032;X
65066;Chief of Air Force;얄마르 리세르 라르센 ;1937;1964;1999;SD;Army Aviation Doctrine;Medium;M14089;X
65067;Chief of Air Force;비야르네 왼 ;1945;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M14090;X
65068;Chief of Air Force;하랄드 브루스고르드 ;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M14091;X
65069;Chief of Air Force;카를 굴릭센 ;1937;1964;1999;SL;Air Superiority Doctrine;Medium;M14092;X
65070;Chief of Air Force;트리그베 클링엔베르그 ;1937;1964;1999;SL;Army Aviation Doctrine;Medium;M14093;X
65071;Chief of Air Force;올레 라이스타드 ;1939;1964;1999;SL;Carpet Bombing Doctrine;Medium;M14094;X
65072;Head of Military Intelligence;칼 프뢰힐리치 한센 ;1945;1964;1999;FA;Industrial Specialist;Low;M14063;X
65073;Head of State;요세프 테르보벤 ;1933;1964;1999;FA;Resigned Generalissimo;High;M14011;X
65074;Head of Government;비드쿤 퀴슬링 ;1933;1964;1999;FA;Corporate Suit;High;M14012;X
65075;Foreign Minister;비드쿤 퀴슬링 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M14012;X
65076;Minister of Security;요나스 리 ;1933;1964;1999;NS;Crime Fighter;High;M14015;X
65077;Head of Military Intelligence;올리버르 메이스타드 ;1933;1964;1999;FA;Dismal Enigma;High;M14016;X
65078;Chief of Staff;스베르 리스네스 ;1933;1964;1999;FA;School of Defence;High;M14017;X
65079;Chief of Army;콘라드 순들로 ;1933;1964;1999;FA;Static Defence Doctrine;High;M14018;X
65080;Chief of Navy;베르텔 브룬 ;1933;1964;1999;FA;Open Seas Doctrine;Medium;M14019;X
65081;Chief of Air Force;트리그베 그란;1933;1964;1999;FA;Air Superiority Doctrine;High;M14020;X
65082;Head of State;아담 에그드 니센 ;1933;1964;1999;ST;Insignificant Layman;High;M14021;X
65083;Head of Government;에밀 뢰블리엔 ;1933;1964;1999;ST;Smiling Oilman;High;M14022;X
65084;Foreign Minister;페데르 프루보튼 ;1933;1964;1999;LE;Ideological Crusader;Medium;M14023;X
65085;Minister of Armament;헨리 빌헬름 크리스티안센 ;1933;1964;1999;ST;Military Entrepreneur;High;M14024;X
65086;Minister of Security;사무엘 티틀레스타드 ;1933;1964;1999;LE;Prince of Terror;High;M14025;X
65087;Head of Military Intelligence;아스비에른 순데 ;1933;1964;1999;ST;Political Specialist;Very High;M14026;X
65088;Chief of Staff;아르네 가우슬로 ;1933;1964;1999;LE;School of Defence;High;M14027;X
65089;Chief of Army;아르네 가우슬로 ;1933;1964;1999;LE;Elastic Defence Doctrine;Medium;M14027;X
65090;Chief of Navy;스큘레 스토르하일 ;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M14029;X
65091;Chief of Air Force;헨리크 노르뷔 ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M14030;X
65092;Head of Government;오스카 F. 토르프 ;1951;1964;1999;SD;Smiling Oilman;High;M14051;X
65093;Minister of Armament;닐스 랑헬레 ;1951;1964;1999;SD;Resource Industrialist;High;M14097;X
65094;Minister of Security;오스카 C. 군에르센 ;1946;1964;1999;SD;Silent Lawyer;High;M14098;X
65095;Chief of Air Force;아이나르 셈 야코브센 ;1914;1933;1999;ML;Army Aviation Doctrine;Very High;2877;X
65096;Chief of Navy;칼 프리드리히 도베스 ;1914;1933;1999;ML;Decisive Naval Battle Doctrine;High;3921;X
65097;Chief of Staff;크리스티안 홀트포트 ;1914;1933;1999;ML;School of Psychology;High;unknownminister;X
65098;Foreign Minister;닐스 일렌 ;1914;1933;1999;SL;Great Compromiser;High;3922;X
65099;Foreign Minister;크리스티안 미켈레트 ;1920;1933;1999;SC;Biased Intellectual;High;unknownminister;X
65100;Foreign Minister;아놀드 레스타드 ;1921;1933;1999;SL;Biased Intellectual;High;3923;X
65101;Foreign Minister;요한 모윈켈 ;1921;1933;1999;SL;Great Compromiser;High;2878;X
65102;Head of Government;옌스 브라틀리에 ;1914;1933;1999;SC;Old General;High;2879;X
65103;Head of Government;오토 하르보르센 ;1920;1933;1999;SC;Silent Workhorse;High;2880;X
65104;Head of Government;아브라함 베르게 ;1923;1933;1999;SL;Happy Amateur;High;3924;X
65105;Head of Government;요한 모윈켈 ;1924;1933;1999;SL;Corporate Suit;High;2878;X
65106;Head of Military Intelligence;트리그베 프리볼드 ;1914;1933;1999;SL;Naval Intelligence Specialist;High;2881;X
65107;Head of State;호콘 7세 ;1914;1933;1999;PA;Popular Figurehead;High;2882;X
65108;Head of State;호콘 7세 ;1914;1933;1999;SL;Popular Figurehead;High;2882;X
65109;Head of State;옌스 브라틀리에 ;1914;1933;1999;SC;Resigned Generalissimo;High;2879;X
65110;Head of State;오토 하르보르센 ;1920;1933;1999;SC;Benevolent Gentleman;High;2880;X
65111;Head of State;오토 블레르 ;1921;1933;1999;SL;Benevolent Gentleman;High;2883;X
65112;Head of State;아브라함 베르게 ;1923;1933;1999;SL;Insignificant Layman;High;3924;X
65113;Head of State;요한 모윈켈 ;1924;1933;1999;SL;Autocratic Charmer;High;2878;X
65114;Minister of Armament;안톤 옴홀트 ;1914;1933;1999;SL;Laissez-Faire Capitalist;High;unknownminister;X
65115;Minister of Armament;오토 블레르 ;1915;1933;1999;SL;Laissez-Faire Capitalist;High;2883;X
65116;Minister of Armament;아놀드 홀름보 ;1924;1933;1999;SL;Laissez-Faire Capitalist;High;unknownminister;X
65117;Minister of Security;라르스 아브라함센 ;1914;1933;1999;SL;Man of the People;High;2884;X
65118;Minister of Security;크리스티안 F. 페테르센 ;1914;1933;1999;SL;Compassionate Gentleman;High;unknownminister;X
65119;Minister of Security;안드레아스 우르뷔에 ;1916;1933;1999;SL;Silent Lawyer;High;2885;X
65120;Minister of Security;오토 블레르 ;1917;1933;1999;SL;Crime Fighter;High;2883;X
65121;Minister of Security;오토 하르보르센 ;1920;1933;1999;SC;Crime Fighter;High;2880;X
65122;Minister of Security;올라프 아문센 ;1921;1933;1999;SL;Silent Lawyer;High;unknownminister;X
65123;Minister of Security;라르스 오프테달 ;1921;1933;1999;SL;Compassionate Gentleman;High;3925;X
65124;Minister of Security;아놀드 홀름보 ;1922;1933;1999;SL;Silent Lawyer;High;unknownminister;X
65125;Minister of Security;오드 클링엔베르그 ;1923;1933;1999;SC;Crime Fighter;High;3926;X
65126;Minister of Security;크리스티안 롤프센 ;1923;1933;1999;SC;Silent Lawyer;High;unknownminister;X
65127;Minister of Security;폴 베르그 ;1924;1933;1999;SL;Crime Fighter;High;2886;X
65128;Minister of Security;카를 A. 마르틴센 ;1940;1964;1999;NS;Prince of Terror;Medium;6033;X
65129;Minister of Security;스베르 P. 리스네스 ;1939;1964;1999;FA;Silent Lawyer;Medium;5985;X
65130;Foreign Minister;요한 S. 요한센;1944;1964;1999;LE;Ideological Crusader;Medium;5986;X
65131;Head of Government;군나르 크누드센 ;1913;1920;1999;SL;Ambitious Union Boss;High;8022;X
65132;Minister of Armament;크리스티안 테오도르 홀트포트 ;1914;1919;1999;SL;Resource Industrialist;High;8023;X
65133;Chief of Army;아이나르 크론 ;1912;1916;1999;SL;Guns and Butter doctrine;High;8024;X
65134;Chief of Army;요한 크리스토퍼르 레더르 ;1916;1927;1999;SL;Guns and Butter doctrine;High;8025;X
65135;Chief of Navy;칼 프리드리히 도베스 ;1910;1919;1999;ML;Decisive Naval Battle Doctrine;High;8028;X
65136;Chief of Air Force;아이나르 크론 ;1912;1916;1999;SL;Air Superiority Doctrine;High;8024;X
65137;Chief of Air Force;아이나르 셈 야코브센 ;1912;1922;1999;SL;Air Superiority Doctrine;High;8026;X
65138;Foreign Minister;프리쇼프 난센 ;1910;1927;1999;ML;Great Compromiser;Very High;8544;X
65139;Minister of Security;헨리 빌헬름 크리스티안센 ;1933;1943;1999;ST;Media magnate;High;M14024;X
65140;Chief of Navy;Edgar Otto;1934;1939;1955;SD;Open Seas Doctrine;Medium;9937;X
65141;Chief of Air Force;Edgar Otto;1934;1939;1955;SD;Air Superiority Doctrine;Medium;9937;X
65142;Chief of Air Force;헨리 디센 ;1937;1944;1954;SD;Naval Aviation Doctrine;Medium;M14083;X
