HOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
15024;Head of Government;안톤 뮈세르트 ;1940;1964;1999;NS;Ambitious Union Boss;High;M8011;X
15025;Head of Government;그라프 더 마르한트 ;1940;1964;1999;PA;Flamboyant Tough Guy;High;M8013;X
15026;Head of Government;니콜라스 뵈제마커르 ;1937;1964;1999;ST;Happy Amateur;High;M8054;X
15027;Head of Government;다비드 베인쿠프 ;1943;1964;1999;ST;Naive Optimist;High;M8022;X
15028;Head of Government;다니엘 가울루저 ;1945;1964;1999;ST;Smiling Oilman;High;M8025;X
15029;Foreign Minister;세르바티우스 바르트 ;1937;1964;1999;SD;Great Compromiser;Medium;M8057;X
15030;Foreign Minister;아드리아뉘스 페르트 ;1938;1964;1999;SD;Apologetic Clerk;Medium;M8058;X
15031;Foreign Minister;헤오르허 반 덴 베르흐 ;1943;1964;1999;SD;Iron Fisted Brute;Medium;M8059;X
15032;Foreign Minister;얀 반 로이언 ;1946;1964;1999;SD;Biased Intellectual;Low;M8060;X
15033;Foreign Minister;핌 반 부트제라어르 ;1946;1964;1999;ML;General Staffer;Medium;M8061;X
15034;Foreign Minister;하를레스 크라머르 ;1947;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M8062;X
15035;Foreign Minister;헨드리퀴스 콜에인 ;1937;1964;1999;ML;Ideological Crusader;Medium;M8002;X
15036;Foreign Minister;야코뷔스 파테인 ;1937;1964;1999;ML;Apologetic Clerk;Medium;M8064;X
15037;Foreign Minister;안드리스 디르크 더 그라프 ;1933;1964;1999;SC;Great Compromiser;High;M8048;X
15038;Foreign Minister;엘코 반 클레펀스 ;1939;1964;1999;SC;Great Compromiser;Medium;M8065;X
15039;Foreign Minister;야코뷔스 파테인 ;1940;1964;1999;PA;Apologetic Clerk;Medium;M8064;X
15040;Foreign Minister;그라프 더 마르한트 ;1937;1964;1999;FA;Ideological Crusader;Very Low;M8013;X
15041;Foreign Minister;안톤 뮈세르트 ;1943;1964;1999;FA;The Cloak N Dagger Schemer;Low;M8011;X
15042;Foreign Minister;메인아우트 반 토닝헌 ;1943;1964;1999;NS;Iron Fisted Brute;Medium;M8012;X
15043;Foreign Minister;벤야민 부르스 ;1937;1964;1999;ST;Great Compromiser;Medium;M8040;X
15044;Foreign Minister;니콜라스 뵈제마커르 ;1939;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M8054;X
15045;Foreign Minister;다비드 베인쿠프 ;1940;1964;1999;ST;Biased Intellectual;Low;M8022;X
15046;Foreign Minister;사울 더 그루트 ;1941;1964;1999;LE;Ideological Crusader;Low;M8021;X
15047;Foreign Minister;빌렘 반 라베스터인 ;1943;1964;1999;LE;Apologetic Clerk;Medium;M8023;X
15048;Minister of Armament;야콥 반 헬데런 ;1937;1964;1999;SD;laissez-faire capitalist;High;M8077;X
15049;Minister of Armament;람베르튀스 H. 만스홀트 ;1939;1964;1999;SD;Resource Industrialist;Medium;M8078;X
15050;Minister of Armament;하를레스 벨터르 ;1940;1964;1999;SD;Theoretical Scientist;Medium;M8079;X
15051;Minister of Armament;요한 알바르다 ;1941;1964;1999;SD;laissez-faire capitalist;High;M8043;X
15052;Minister of Armament;야커스 더 카트 ;1942;1964;1999;SD;Military Entrepreneur;High;M8081;X
15053;Minister of Armament;하를레스 크라머르 ;1944;1964;1999;SD;Air Superiority Proponent;Very High;M8062;X
15054;Minister of Armament;알렉산더르 피에버즈 ;1946;1964;1999;ML;Administrative Genius;Medium;M8083;X
15055;Minister of Armament;얀 틴베르건 ;1947;1964;1999;SD;Resource Industrialist;Very High;M8084;X
15056;Minister of Armament;티에처 피에터르 세벤스마 ;1939;1964;1999;ML;Laissez-Faire Capitalist;Medium;M8086;X
15057;Minister of Armament;다니에르 반 데르 지 ;1940;1964;1999;ML;Air to Sea Proponent;Medium;M8087;X
15058;Minister of Armament;W.G. 반 베튐 ;1941;1964;1999;ML;Tank Proponent;Medium;M8088;X
15059;Minister of Armament;빌렘 스헤르메르호른 ;1941;1964;1999;ML;Resource Industrialist;Medium;M8047;X
15060;Minister of Armament;O. 반 리트 더 에위더 ;1942;1964;1999;ML;Administrative Genius;Medium;M8090;X
15061;Minister of Armament;야메스 더 부이 ;1945;1964;1999;ML;Battle Fleet Proponent;Medium;M8091;X
15062;Minister of Armament;요한네스 메이넌 ;1945;1964;1999;ML;Theoretical Scientist;High;M8092;X
15063;Minister of Armament;유스트 반 하멀 ;1946;1964;1999;ML;Military Entrepreneur;High;M8093;X
15064;Minister of Armament;디르크 얀 더 헤르 ;1939;1964;1999;SC;Infantry Proponent;High;M8049;X
15065;Minister of Armament;아드리안 데익후른 ;1940;1964;1999;SC;Tank Proponent;Very High;M8007;X
15066;Minister of Armament;막시밀리언 스텐베르허 ;1942;1964;1999;SC;Air to Ground Proponent;Medium;M8096;X
15067;Minister of Armament;얀 더 크바이 ;1944;1964;1999;SC;Resource Industrialist;High;M8050;X
15068;Minister of Armament;얀너스 반 데이크 ;1940;1964;1999;SC;Administrative Genius;High;M8098;X
15069;Minister of Armament;C.J. 하위헌스 ;1937;1964;1999;NS;Administrative Genius;Very Low;M8014;X
15070;Minister of Armament;헤르리트 반 뷔린크 ;1943;1964;1999;NS;Infantry Proponent;Medium;M8100;X
15071;Minister of Armament;헤르리트 반 뷔린크 ;1945;1964;1999;PA;Infantry Proponent;Medium;M8100;X
15072;Minister of Armament;페이터르 베르그스마 ;1937;1964;1999;ST;laissez-faire capitalist;Medium;M8102;X
15073;Minister of Armament;야커스 더 카트 ;1939;1964;1999;LE;Military Entrepreneur;High;M8081;X
15074;Minister of Armament;얀 포스트마 ;1940;1964;1999;LE;Theoretical Scientist;Low;M8024;X
15075;Minister of Armament;야코뷔스 엥헬스 ;1944;1964;1999;LE;Strategic Air Proponent;High;M8105;X
15076;Minister of Security;프란크 반 데르 후스 ;1937;1964;1999;SD;Man of the People;Medium;M8106;X
15077;Minister of Security;얀 베르그메이어르 ;1939;1964;1999;SD;Compassionate Gentleman;Medium;M8107;X
15078;Minister of Security;라우이스 베어르 ;1940;1964;1999;SD;Man of the People;Medium;M8044;X
15079;Minister of Security;하를레스 크라머르 ;1941;1964;1999;SD;Silent Lawyer;Very High;M8062;X
15080;Minister of Security;요한 브라우티함 ;1945;1964;1999;SD;Prince of Terror;Medium;M8110;X
15081;Minister of Security;피에터르 게르브란디 ;1939;1964;1999;ML;Crime Fighter;Very High;M8046;X
15082;Minister of Security;페더 스휘러르 ;1946;1964;1999;ML;Man of the People;Medium;M8113;X
15083;Minister of Security;빌헬뮈스 안드리에선 ;1940;1964;1999;ML;Prince of Terror;Medium;M8114;X
15084;Minister of Security;욘 라우돈 ;1942;1964;1999;ML;Compassionate Gentleman;Medium;M8115;X
15085;Minister of Security;베르나르트 C.J. 로더르 ;1937;1964;1999;SC;Back Stabber;Medium;M8116;X
15086;Minister of Security;루이스 아인트호번 ;1939;1964;1999;SC;Crime Fighter;Very High;M8117;X
15087;Minister of Security;헤리트 반 회번 구드하르트 ;1943;1964;1999;SC;Compassionate Gentleman;High;M8118;X
15088;Minister of Security;코르넬리스 반 헤엘케르컨 ;1937;1964;1999;NS;Prince of Terror;High;M8015;X
15089;Minister of Security;코르넬리스 반 헤엘케르컨 ;1945;1964;1999;PA;Prince of Terror;High;M8015;X
15090;Minister of Security;카렐 구스린흐 ;1940;1964;1999;PA;Compassionate Gentleman;Medium;M8122;X
15091;Minister of Security;포커 보스만 ;1937;1964;1999;ST;Compassionate Gentleman;High;M8123;X
15092;Minister of Security;헨드리퀴스 스네블리어트 ;1939;1964;1999;ST;Man of the People;High;M8124;X
15093;Minister of Security;다니엘 가울루저 ;1943;1964;1999;ST;Crime Fighter;Low;M8025;X
15094;Head of Military Intelligence;에마뉘엘 부크만 ;1937;1964;1999;SD;Dismal Enigma;Very High;M8126;X
15095;Head of Military Intelligence;하르멘 더 부르 ;1939;1964;1999;SD;Political Specialist;Very High;M8127;X
15096;Head of Military Intelligence;하를레스 크라머르 ;1940;1964;1999;SD;Technical Specialist;Very High;M8062;X
15097;Head of Military Intelligence;얀 람베르튀스 파베르 ;1943;1964;1999;SD;Political Specialist;Very High;M8129;X
15098;Head of Military Intelligence;빌렘 드레스 ;1945;1964;1999;SD;Logistics Specialist;Very High;M8130;X
15099;Head of Military Intelligence;H.A. 반 카메버크 ;1937;1964;1999;ML;Technical Specialist;Very High;M8131;X
15100;Head of Military Intelligence;얀 슬로트마커르 ;1939;1964;1999;ML;Logistics Specialist;Very High;M8132;X
15101;Head of Military Intelligence;G.J. 사스 ;1940;1964;1999;ML;Logistics Specialist;Very High;M8133;X
15102;Head of Military Intelligence;프란스 퓌크스호트 ;1946;1964;1999;ML;Dismal Enigma;Very High;M8134;X
15103;Head of Military Intelligence;크리스토퍼르 반 튀넌 ;1939;1964;1999;SC;Industrial Specialist;Very High;M8136;X
15104;Head of Military Intelligence;시몬 스푸르 ;1942;1964;1999;SC;Naval Intelligence Specialist;Very High;M8137;X
15105;Head of Military Intelligence;헨크 펠드메이에르 ;1937;1964;1999;NS;Political Specialist;Low;M8016;X
15106;Head of Military Intelligence;미히엘 더 브뤼너 ;1945;1964;1999;PA;Technical Specialist;Low;M8139;X
15107;Head of Military Intelligence;아브라함 메니스트 ;1937;1964;1999;LE;Political Specialist;High;M8026;X
15108;Head of Military Intelligence;이나 빌레커스 맥도날드 ;1943;1964;1999;ST;Dismal Enigma;Very High;M8141;X
15109;Chief of Staff;베른하르트 콜토프 ;1937;1964;1999;SD;School of Psychology;High;M8142;X
15110;Chief of Staff;시몬 스푸르 ;1943;1964;1999;SC;School of Psychology;High;M8137;X
15111;Chief of Staff;안톤 뮈세르트 ;1937;1964;1999;FA;School of Psychology;High;M8148;X
15112;Chief of Staff;헨드리크 세이파르트 ;1943;1964;1999;FA;School of Defence;Medium;M8017;X
15113;Chief of Staff;토마스 스트뤼크 ;1937;1964;1999;ST;School of Mass Combat;High;M8027;X
15114;Chief of Staff;헤르트 스테린하 ;1940;1964;1999;ST;School of Defence;High;M8152;X
15115;Chief of Staff;야코뷔스 엥헬스 ;1943;1964;1999;LE;School of Psychology;High;M8105;X
15116;Chief of Army;얀 반 부르스트;1937;1964;1999;ML;Static Defence Doctrine;High;M8155;X
15117;Chief of Army;헨리 빈켈만 ;1940;1964;1999;ML;Elastic Defence Doctrine;High;M8154;X
15118;Chief of Army;아드리아뉘스 존데르반 ;1937;1964;1999;NS;Decisive Battle Doctrine;Very Low;M8018;X
15119;Chief of Army;헨드리크 세이파르트 ;1943;1964;1999;FA;Guns and Butter Doctrine;Very High;M8017;X
15120;Chief of Army;헤르만 반 부르스트 ;1945;1964;1999;PA;Elastic Defence Doctrine;Very High;M8161;X
15121;Chief of Army;알렉산더르 더 레이우 ;1937;1964;1999;ST;Elastic Defence Doctrine;Very High;M8162;X
15122;Chief of Army;니코 반 스트라턴 ;1943;1964;1999;LE;Armoured Spearhead Doctrine;Low;M8028;X
15123;Chief of Army;안톤 쿠에만스 ;1945;1964;1999;ST;Guns and Butter Doctrine;Very High;M8164;X
15124;Chief of Navy;피에터르 쿤라트 ;1937;1964;1999;FA;Base Control Doctrine;Low;M8019;X
15125;Chief of Navy;크리스티안 베크만 ;1937;1964;1999;LE;Base Control Doctrine;Low;M8170;X
15126;Chief of Navy;포커 보스만 ;1940;1964;1999;ST;Open Seas Doctrine;High;M8123;X
15127;Chief of Air Force;페트뤼스 W. 베스트 ;1939;1964;1999;SD;Naval Aviation Doctrine;High;M8172;X
15128;Chief of Air Force;클라에스 반 데르 크라프 ;1937;1964;1999;FA;Naval Aviation Doctrine;Low;M8020;X
15129;Chief of Air Force;얀 디에테르스 ;1937;1964;1999;ST;Vertical Envelopment Doctrine;High;M8041;X
15130;Chief of Air Force;윌리우스 제거르스 ;1943;1964;1999;LE;Air Superiority Doctrine;Low;M8030;X
15131;Chief of Army;베른하르트 콜토프 ;1939;1964;1999;SD;Elastic Defence Doctrine;High;M8142;X
15132;Head of State;알렉산더 폰 팔켄하우젠 ;1940;1964;1999;NS;Resigned Generalissimo;Very High;M510086;X
15133;Head of State;아르투어 자이스 잉크바르트 ;1940;1964;1999;NS;Powerhungry Demagogue;Very High;M58;X
15134;Chief of Navy;카렐 두르만 ;1933;1964;1999;LWR;Open Seas Doctrine;Low;M8029;X
15135;Head of State;빌헬미나 ;1933;1964;1999;SL;Stern Imperialist;Very High;M8001;X
15136;Head of State;율리아나 ;1948;1964;1999;SD;Popular Figurehead;High;M8186;X
15137;Head of State;율리아나 ;1948;1964;1999;SC;Popular Figurehead;High;M8186;X
15138;Head of Government;빌렘 드레스 ;1948;1964;1999;SD;Ambitious Union Boss;High;M8130;X
15139;Foreign Minister;디르크 U. 스티커르 ;1948;1964;1999;SL;Great Compromiser;Medium;M8189;X
15140;Foreign Minister;얀 빌렘 베이언 ;1951;1964;1999;SL;Apologetic Clerk;Medium;M8190;X
15141;Minister of Armament;빔 스호킹 ;1948;1964;1999;SD;Air to Ground Proponent;Medium;M8191;X
15142;Minister of Armament;루이스 더 비서르 ;1950;1964;1999;LWR;Theoretical Scientist;Medium;M8192;X
15143;Minister of Armament;키어스 스타프 ;1951;1964;1999;SL;Resource Industrialist;Medium;M8193;X
15144;Minister of Security;요하네스 반 마르세베언 ;1946;1964;1999;ML;Silent Lawyer;Medium;M8194;X
15145;Minister of Security;퇸 스트루이켄 ;1948;1964;1999;SL;Back Stabber;Medium;M8195;X
15146;Minister of Security;헨리크 뮐데르이어 ;1951;1964;1999;SL;Crime Fighter;Medium;M8196;X
15147;Minister of Security;레엔더르트 A. 돈커르 ;1952;1964;1999;SD;Compassionate Gentleman;Medium;M8197;X
15148;Chief of Air Force;헨드리크 발아르드트 사크레 ;1914;1933;1999;ML;Army Aviation Doctrine;Very High;2653;X
15149;Chief of Army;코르넬리스 스네이더르스 ;1914;1933;1999;ML;static defence doctrine;Very High;2654;X
15150;Chief of Army;코르넬리스 스네이더르스 ;1914;1933;1999;PA;static defence doctrine;Very High;2654;X
15151;Chief of Army;니콜라스 보스봄 ;1914;1933;1999;ML;elastic defence doctrine;Very High;2655;X
15152;Chief of Army;P. 포르버스 벨스 ;1922;1933;1999;ML;Guns and Butter Doctrine;Very High;3904;X
15153;Chief of Navy;이에안 람보네트 ;1914;1933;1999;ML;Open Seas Doctrine;High;2656;X
15154;Chief of Navy;이에안 람보네트 ;1914;1933;1999;PA;Open Seas Doctrine;High;2656;X
15155;Chief of Navy;빌렘 나우딘 텐 카터 ;1918;1933;1999;ML;Decisive Naval Battle Doctrine;High;2657;X
15156;Chief of Staff;코르넬리스 스네이더르스 ;1914;1933;1999;ML;school of defence;Very High;2654;X
15157;Chief of Staff;코르넬리스 스네이더르스 ;1914;1933;1999;PA;school of defence;Very High;2654;X
15158;Chief of Staff;니콜라스 보스봄 ;1914;1933;1999;ML;School of Fire Support;Very High;2655;X
15159;Chief of Staff;P. 포르버스 벨스 ;1922;1933;1999;ML;School of Fire Support;Very High;3904;X
15160;Foreign Minister;다비드 베인쿠프 ;1914;1933;1999;ST;Ideological Crusader;Very High;2658;X
15161;Foreign Minister;헤르만 반 카르네베크 ;1918;1933;1999;ML;Ideological Crusader;High;2659;X
15162;Foreign Minister;욘 라우돈 ;1914;1933;1999;SL;Great Compromiser;High;2660;X
15163;Foreign Minister;피에트르 반 데르 린덴 ;1914;1933;1999;SL;Apologetic Clerk;High;2661;X
15164;Foreign Minister;레네커 더 마레어스 ;1914;1933;1999;SC;Great Compromiser;High;3859;X
15165;Foreign Minister;빌렘 나우딘 텐 카터 ;1914;1933;1999;PA;General Staffer;High;2657;X
15166;Head of Government;하를레스 레이스 데 베렌부르크 ;1914;1933;1999;SC;Happy Amateur;Very High;2662;X
15167;Head of Government;코르넬리스 스네이더르스 ;1914;1933;1999;PA;Old General;High;2654;X
15168;Head of Government;다비드 베인쿠프 ;1914;1933;1999;ST;Flamboyant Tough Guy;High;2658;X
15169;Head of Government;피에트르 반 데르 린덴 ;1913;1933;1999;SL;Naive Optimist;Very High;2661;X
15170;Head of Government;피에터르 트룰스트라 ;1914;1933;1999;LWR;Happy Amateur;High;2663;X
15171;Head of Military Intelligence;코르넬리스 스네이더르스 ;1914;1933;1999;PA;LOGISTICS SPECIALIST;High;2654;X
15172;Head of Military Intelligence;J.J. 러 로이 ;1914;1933;1999;SL;Dismal Enigma;Very High;3905;X
15173;Head of State;루이스 더 비서르 ;1914;1933;1999;ST;Barking Buffoon;High;M8192;X
15174;Head of State;빌헬미나 ;1914;1933;1999;SC;Stern Imperialist;High;2664;X
15175;Head of State;빌헬미나 ;1914;1933;1999;PA;Stern Imperialist;High;2664;X
15176;Minister of Armament;안토네이 베르트링 ;1914;1933;1999;SL;Corrupt Kleptocrat;High;3860;X
15177;Minister of Armament;안톤 반 헤인 ;1916;1933;1999;SL;Laissez-Faire Capitalist;High;3861;X
15178;Minister of Armament;다비드 베인쿠프 ;1914;1933;1999;ST;Resource Industrialist;Very High;2658;X
15179;Minister of Armament;디르크 얀 더 헤르 ;1921;1933;1999;SC;Resource Industrialist;High;2665;X
15180;Minister of Armament;헨드리퀴스 콜레인 ;1923;1933;1999;SC;Military Entrepreneur;High;2666;X
15181;Minister of Armament;이에안 람보네트 ;1914;1933;1999;PA;Battle Fleet Proponent;High;2656;X
15182;Minister of Armament;얀 하르트 반 테켈렌뷔르흐 ;1914;1933;1999;SC;Corrupt Kleptocrat;High;3862;X
15183;Minister of Armament;막시밀리언 콜크만 ;1914;1933;1999;SC;Administrative Genius;High;3863;X
15184;Minister of Armament;리시몬 더 브리어스 ;1918;1933;1999;SC;Resource Industrialist;High;2667;X
15185;Minister of Armament;빌렘 트뢰브 ;1914;1933;1999;SL;Resource Industrialist;High;2668;X
15186;Minister of Security;하를레스 레이스 데 베렌부르크 ;1918;1933;1999;SC;Compassionate Gentleman;High;2662;X
15187;Minister of Security;헨드리크 구만 보르헤시위스 ;1914;1933;1999;SL;Crime Fighter;High;2669;X
15188;Minister of Security;호라크 반 기블란트 ;1914;1933;1999;PA;Efficient Sociopath;High;unknownminister;X
15189;Minister of Security;루이스 더 비서르 ;1914;1933;1999;ST;Man of the People;Medium;M8192;X
15190;Minister of Security;피에트르 반 데르 린덴 ;1914;1933;1999;SL;Compassionate Gentleman;High;2661;X
15191;Minister of Security;피에테르 린크 ;1914;1933;1999;SL;Silent Lawyer;High;2670;X
15192;Minister of Security;테오도뤼스 헴스커르크 ;1914;1933;1999;SC;Man of the People;High;2671;X
