EAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
635037;Chief of Staff;제레미 J. 피어슨 ;1941;1964;1999;ML;School of Psychology;Medium;M550037;X
635038;Chief of Staff;에드워드 무테사 ;1933;1964;1999;SD;School of Mass Combat;Medium;M550038;X
635039;Chief of Staff;헨리 주마라 ;1933;1964;1999;LWR;School of Fire Support;Medium;M550039;X
635040;Chief of Army;피터 밀스 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M550040;X
635041;Chief of Army;헨리 G. 필링 ;1941;1964;1999;ML;Static Defence Doctrine;Medium;M550018;X
635042;Chief of Army;옹게리 보기타 ;1933;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M550042;X
635043;Chief of Army;주마 다타위 ;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M550043;X
635044;Chief of Navy;다우디 차와 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M550044;X
635045;Chief of Navy;나시루딘 메흐타 ;1933;1964;1999;SD;Power Projection Doctrine;Medium;M550045;X
635046;Chief of Navy;에드워드 몬트포드 ;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M550046;X
635047;Chief of Air Force;마칸 싱 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M550027;X
635048;Chief of Air Force;제임스 하우 돕슨 ;1941;1964;1999;ML;Army Aviation Doctrine;Medium;M550048;X
635049;Chief of Air Force;나시르다스 메흐타 ;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M550025;X
635050;Chief of Air Force;에드워드 몬트포드 ;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M550046;X
