CZE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
120047;Minister of Armament;¿¡¹Ð¸® µµºê¸®¼½ ;1933;1964;1999;PA;Administrative Genius;Low;M24070;X
120048;Minister of Armament;¿¡¹Ð ÇÏÇÏ ;1939;1964;1999;PA;Balanced budget economy;Low;2381;X
120049;Minister of Armament;ÇÁ¶ûÆ¼¼½ º£Å©¸£ ;1941;1964;1999;SC;Theoretical Scientist;Medium;M24072;X
120050;Minister of Armament;Ä«·¼ Ã¼¸£´Ï ;1943;1964;1999;PA;Infantry Proponent;High;M24073;X
120051;Minister of Armament;¾ÈÅä´Ñ ÆÄºí¸®Å© ;1945;1964;1999;PA;Tank Proponent;High;M24074;X
120052;Minister of Armament;¿¡¸¥½ºÆ® ÄïÆ® ;1933;1964;1999;NS;Resource Industrialist;High;M24014;X
120053;Minister of Armament;¿ÀÅäÄ«¸£ ¼¼ºê¸° ;1938;1964;1999;NS;laissez-faire capitalist;High;M24076;X
120054;Minister of Armament;Ä«·¼ Ä«·½¼½ ;1941;1964;1999;NS;Administrative Genius;Low;M24048;X
120055;Minister of Armament;¾á º£¸¦¶ó ;1945;1964;1999;NS;Infantry Proponent;Low;M24078;X
120056;Minister of Armament;º¸ÈÄ¹Ð ½´Å×ÆÇ¼½ ;1933;1964;1999;ST;Tank Proponent;Medium;M24079;X
120057;Minister of Armament;Ä«·¼ ¿Ã¸¶³Ø ;1941;1964;1999;ST;laissez-faire capitalist;Medium;M24080;X
120058;Minister of Armament;·çµ¹ÇÁ ½½¶õ½ºÅ° ;1945;1964;1999;ST;Planned economy proponent;Medium;M24024;X
120059;Minister of Security;ºòÅä¸£ Æú¶õ¼½ ;1933;1964;1999;ML;Crime Fighter;Medium;M24082;X
120060;Minister of Security;¾ß·Î¹Ì¸£ ÄÚÆå½ºÅ° ;1939;1964;1999;ML;Prince of Terror;Medium;M24084;X
120061;Minister of Security;¾á ½¬¶ó¸ß ;1940;1964;1999;ML;Silent Lawyer;Medium;M24044;X
120062;Minister of Security;¿¡¸¥½ºÆ® ÇÁ¸®¼Å ;1943;1964;1999;ML;Back Stabber;Medium;M24086;X
120063;Minister of Security;¿ÀÅ¸Ä«¸£ ¿¡ÀÌ¼Å ;1933;1964;1999;PA;Compassionate Gentleman;Very High;M24087;X
120064;Minister of Security;ÇÁ¶û¼ö¿Í È£´ÙÄ¡ ;1939;1964;1999;SC;Silent Lawyer;Medium;M24088;X
120065;Minister of Security;¿ä¼Á ¿¹Á§ ;1941;1964;1999;SC;Crime Fighter;Medium;M24016;X
120066;Minister of Security;À¯¶ó ½½¶óºñÅ© ;1943;1964;1999;SC;Man of the People;High;M24057;X
120067;Minister of Security;¾á Ä«ÇÁ¶ó½º ;1945;1964;1999;PA;Prince of Terror;Medium;M24015;X
120068;Minister of Security;¿äÇÑ ½´º£¸° Æù Å©·ÎÁöÅ© ;1939;1964;1999;NS;Man of the People;Medium;M24037;X
120069;Minister of Security;Äí¸£Æ® ´Þ·ò°Ô ;1941;1964;1999;NS;Secret police chief;Very High;M24038;X
120070;Minister of Security;Ä® Çì¸£¸¸ ÇÁ¶ûÅ© ;1943;1964;1999;NS;Secret police chief;High;M24011;X
120071;Minister of Security;ÇÁ·ÎÄÚÇÁ µå¸®Æ¼³ª ;1933;1964;1999;ST;Man of the People;High;M24025;X
120072;Minister of Security;Å×¾îµµ¾î ¿¡½¦¸®Èå ;1939;1964;1999;ST;Prince of Terror;High;M24051;X
120073;Minister of Security;Å©¸®½ºÅäÇÁ ¿¡¸Þ¸®Èå ;1941;1964;1999;ST;Silent Lawyer;Very High;M24097;X
120074;Minister of Security;¿äÁ¦ÇÁ Á¦¸¸ ;1945;1964;1999;ST;Back Stabber;Very High;M24098;X
120075;Head of Military Intelligence;º¸¸®½º Æ®·³Æä¸£ ;1933;1964;1999;ML;Political Specialist;Very High;M24099;X
120076;Head of Military Intelligence;Åäºñ¾Æ½º Ä®·¹¸£ ;1938;1964;1999;ML;Industrial Specialist;Very High;M24100;X
120077;Head of Military Intelligence;º¸¸®½º ÄÚ¹ÝÃÊÅ© ;1943;1964;1999;ML;Technical Specialist;Very High;M24102;X
120078;Head of Military Intelligence;º£µå¸®Èå È£¸ô¶ó ;1933;1964;1999;SC;Dismal Enigma;Medium;M24047;X
120079;Head of Military Intelligence;º¸ÈÄ¹Ð ³×¸ÞÅ© ;1933;1964;1999;PA;Industrial Specialist;High;M24104;X
120080;Head of Military Intelligence;·çµ¹ÇÁ º£¶õ ;1943;1964;1999;PA;Political Specialist;High;M24012;X
120081;Head of Military Intelligence;º¸ÈÄ½½¶óºê ºê¼¼Æ¼Ä¡Ä« ;1945;1964;1999;PA;Logistics Specialist;High;M24106;X
120082;Head of Military Intelligence;¿ä¼Á ¿¹Á§ ;1933;1964;1999;NS;Political Specialist;Very High;M24016;X
120083;Head of Military Intelligence;º¸ÈÄ¹Ð Å©¸£ÆäÄ¡ ;1941;1964;1999;NS;Logistics Specialist;Very High;M24108;X
120084;Head of Military Intelligence;¿¤¸®³Ä½º ÄÜ ;1933;1964;1999;ST;Technical Specialist;High;M24041;X
120085;Head of Military Intelligence;·çµ¹ÇÁ ½½¶õ½ºÅ° ;1940;1964;1999;ST;Political Specialist;High;M24024;X
120086;Head of Military Intelligence;Á¦³ªÅ© ÇÇ¾î¸µ¾î ;1945;1964;1999;ST;Dismal Enigma;Very High;M24026;X
120087;Chief of Staff;ºí¶óµð¹Ì¸£ Ä«ÀÌµµ½º ;1933;1964;1999;ML;School of Fire Support;Very High;M24112;X
120088;Chief of Staff;¼¼¸£°ÔÀÌ ¾á À×±×¸£ ;1941;1964;1999;ML;School of Manoeuvre;Very High;M24114;X
120089;Chief of Staff;¾ß·Î½½¶óÇÁ Ä¡ÇÏÅ© ;1943;1964;1999;ML;School of Mass Combat;Very High;M24115;X
120090;Chief of Staff;ºê·ç³ë ½ºÅ©·»Äß½ºÅ° ;1945;1964;1999;ML;School of Psychology;Very High;M24116;X
120091;Chief of Staff;Æä¸£µð³­Æ® Ä«Æ®·Î½º ;1933;1964;1999;PA;School of Defence;Medium;M24117;X
120092;Chief of Staff;¾á °ñ¸®¾È ;1941;1964;1999;PA;School of Manoeuvre;Very High;M24118;X
120093;Chief of Staff;¿ä¼Á Åõ¶ó³Ø ;1933;1964;1999;NS;School of Psychology;Very High;M24119;X
120094;Chief of Staff;·Îº£¸£Æ® ¸®ÈåÆ®¸£¸ðÅ© ;1941;1964;1999;NS;School of Manoeuvre;Medium;9710;X
120095;Chief of Staff;·çµåºñÅ© ½ºº¸º¸´Ù ;1933;1964;1999;ST;School of Mass Combat;High;M24027;X
120096;Chief of Army;ÇÁ¶ûÆ¼¼½ ÀÚºñ½ºÄ« ;1938;1964;1999;ML;Guns and Butter Doctrine;Medium;M24123;X
120097;Chief of Army;¿¡¹Ð ÇÇ¾Æ¶ó ;1939;1964;1999;ML;Decisive Battle Doctrine;Medium;M24124;X
120098;Chief of Army;¼¼¸£°ÔÀÌ ¾á À×±×¸£ ;1941;1964;1999;ML;Elastic Defence Doctrine;Very High;M24114;X
120099;Chief of Army;º¸ÈÄ¹Ð º¸¼½ ;1943;1964;1999;ML;Armoured Spearhead Doctrine;Very High;M24126;X
120100;Chief of Army;¾á ½Ã·ÎºêÁö ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;2382;X
120101;Chief of Army;º£µå¸®Èå È£¸ô¶ó ;1939;1964;1999;PA;Static Defence Doctrine;Very High;M24047;X
120102;Chief of Army;¾Èµå·¹ÀÌ ºí¶ó¼ÒÇÁ ;1943;1964;1999;PA;Decisive Battle Doctrine;High;M24129;X
120103;Chief of Army;·çµ¹ÇÁ ºñ¿¡½ºÆ® ;1945;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M24130;X
120104;Chief of Army;¾ß·Î½½¶óºê º£ÇÏÅ© ;1933;1964;1999;NS;Elastic Defence Doctrine;Medium;M24131;X
120105;Chief of Army;¾Ë·ÎÀÌ½º ¿¤¸®³Ä½º ;1939;1964;1999;NS;Static Defence Doctrine;Medium;M24040;X
120106;Chief of Army;¿ÀÅä ºí¶óÇÏ ;1943;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M24018;X
120107;Chief of Army;·çµåºñÅ© ½ºº¸º¸´Ù ;1933;1964;1999;ST;Static Defence Doctrine;High;M24027;X
120108;Chief of Navy;¾ß·Î½½¶óºê Ä¡ÇÏÅ© ;1939;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M24115;X
120109;Chief of Navy;Æä¸£µð³­Æ® Ä«Æ®·Î½º ;1933;1964;1999;PA;Base Control Doctrine;Medium;M24117;X
120110;Chief of Navy;·Îº£¸£Æ® ¸®È÷Æ®¸£¸ðÅ© ;1933;1964;1999;NS;Open Seas Doctrine;High;9710;X
120111;Chief of Navy;Å¬·¹¸àÆ® °íÆ®¹ßÆ® ;1933;1964;1999;ST;Base Control Doctrine;High;M24021;X
120112;Chief of Air Force;¿ä¼Á ÇÁ¶ûÆ¼¼½ ;1933;1964;1999;ML;Air Superiority Doctrine;Low;M24140;X
120113;Chief of Air Force;Ä«·¼ ÄíÅÚ¹Ù¼Å ;1943;1964;1999;ML;Army Aviation Doctrine;Very High;M24142;X
120114;Chief of Air Force;¾î±¸½ºÆ¾ ¸¶¶ó¸£ ;1933;1964;1999;NS;Vertical Envelopment Doctrine;High;M24020;X
120115;Chief of Air Force;¾á ÇÁ·ÎÄÚÇÁ ;1933;1964;1999;ST;Vertical Envelopment Doctrine;High;M24030;X
120116;Minister of Security;¿ÀÅ¸Ä«¸£ ¿¡ÀÌ¼Å ;1933;1964;1999;NS;Compassionate Gentleman;Very High;M24087;X
120117;Head of Government;Å¬·¹¸àÆ® °íÆ®¹ßÆ® ;1945;1964;1999;ST;Backroom Backstabber;High;M24021;X
120118;Head of State;¿¡µÎ¾Æ¸£µå º£¼¼´Ï ;1939;1964;1999;ML;Pig-headed Isolationist;High;2379;X
120119;Head of Government;Ä«·¼ Ä«·½¼½ ;1933;1964;1999;PA;Happy Amateur;High;M24048;X
120120;Head of State;ÄÜ½ºÅºÆ¾ Æù ¿¡ÄÚÃÊÇÁ ;1945;1964;1999;NS;Autocratic Charmer;High;M24060;X
120121;Minister of Armament;·çµ¹ÇÁ ½½¶õ½ºÅ° ;1933;1964;1999;ST;Theoretical Scientist;Medium;M24024;X
120122;Head of Military Intelligence;Á¦³ªÅ© ÇÇ¾î¸µ¾î ;1933;1964;1999;ST;Political Specialist;Very High;M24026;X
120123;Head of State;¾ÈÅä´Ñ ÀÚÆ÷ÅäÃ÷Å° ;1953;1964;1999;ST;Pig-headed Isolationist;High;M24151;X
120124;Head of Government;¾ÈÅä´Ñ ³ëº¸Æ®´Ï ;1953;1964;1999;ST;Corporate Suit;High;M24152;X
120125;Foreign Minister;ºô¸®¾ö ½Ã·ÎÃ÷Å° ;1950;1964;1999;ST;Iron Fisted Brute;Medium;M24153;X
120126;Minister of Armament;·çµåºñÅ© ½ºº¸º¸´Ù ;1933;1964;1999;ST;Military Entrepreneur;Medium;M24027;X
120127;Minister of Armament;¾Ë·º¼¼ÀÌ Ã¼ÇÇÃ÷Ä« ;1950;1964;1999;ST;Infantry Proponent;Medium;M24155;X
120128;Minister of Security;¹ÙÃ÷¶óÇÁ ³ë¼½ ;1945;1964;1999;ST;Efficient Sociopath;Very High;M24156;X
120129;Head of Military Intelligence;ÇÁ·ÎÄÚÇÁ µå¸®Æ¼³ª;1945;1964;1999;ST;Political Specialist;High;M24025;X
120130;Head of Military Intelligence;¾Ë·º¼¼ÀÌ Ã¼ÇÇÃ÷Ä« ;1948;1964;1999;ST;Logistics Specialist;High;M24155;X
120131;Head of Military Intelligence;½ºÅ×ÆÇ ¶óÀÌ½º ;1950;1964;1999;ST;Dismal Enigma;High;M24158;X
120132;Chief of Air Force;ÇÏÀÎ¸®È÷ ÄÚ½ºÆ®¶ó¹Ù ;1914;1933;1999;ML;air superiority doctrine;Medium;2383;X
120133;Chief of Army;¹Ð¶õ ½´Å×ÆÄ´Ð ;1914;1933;1999;ML;static defence doctrine;Medium;2384;X
120134;Chief of Staff;¹Ð¶õ ½´Å×ÆÄ´Ð ;1914;1933;1999;ML;School of Defence;Very High;2384;X
120135;Foreign Minister;¿¡µå¹Ù¸£Æ® º£³×½Ã ;1914;1933;1999;SD;Ideological Crusader;High;2379;X
120136;Head of Government;ºí¶ó½ºÆ¼¹Ð Åõ»ç¸£ ;1919;1933;1999;SD;Ambitious Union Boss;High;3726;X
120137;Head of Government;¾á Ã¼¸£´Ï ;1920;1933;1999;SL;Backroom Backstabber;High;3727;X
120138;Head of Government;¿¡µå¹Ù¸£Æ® º£³×½Ã ;1920;1933;1999;SD;Flamboyant Tough Guy;High;2379;X
120139;Head of Government;¾ÈÅä´Ñ ½ºº£Èå¶ó ;1922;1933;1999;ML;Happy Amateur;High;3728;X
120140;Head of Government;Ä«·¼ Å©¶ó¸¶¸£ ;1914;1933;1999;ML;Naive Optimist;High;3729;X
120141;Head of State;Åä¸¶½º ¸¶»ç¸¯ ;1914;1938;1999;ML;Popular Figurehead;High;3730;X
120142;Minister of Armament;Å°¸± È£¶ó¼½ ;1919;1933;1999;SD;Resource Industrialist;High;3731;X
120143;Minister of Armament;Äí³×½Ã ¼ÕÅ¸±× ;1919;1933;1999;SL;Administrative Genius;High;3732;X
120144;Minister of Armament;Ä«·¼ ¿¨±×¸®½Ã ;1920;1933;1999;SL;Resource Industrialist;High;3733;X
120145;Minister of Armament;¹ßµ¥¸¶¸£ È£³ªÄ¡Å© ;1920;1933;1999;SL;Resource Industrialist;High;unknownminister;X
120146;Minister of Armament;¾î±¸½ºÆ¾ ³ë¹ÙÅ© ;1921;1933;1999;SD;Resource Industrialist;High;3734;X
120147;Minister of Armament;¾Ë·ÎÀÌ½º ¶ó½Å ;1922;1933;1999;ML;Laissez-Faire Capitalist;High;3735;X
120148;Minister of Armament;º¸Èå´Ü º£Ä« ;1923;1933;1999;SL;Resource Industrialist;High;3736;X
120149;Minister of Armament;¾Ë·ÎÀÌ½º ¶ó½Å ;1914;1933;1999;ML;Resource Industrialist;High;3735;X
120150;Minister of Security;¾á Ã¼¸£´Ï ;1920;1933;1999;SL;Silent Lawyer;High;3727;X
120151;Minister of Security;¾á ¸»¸®ÆäÆ®¸£ ;1922;1933;1999;SL;Crime Fighter;High;3737;X
120152;Minister of Security;¾ÈÅä´Ñ ½ºº£Èå¶ó ;1914;1933;1999;ML;Man of the People;Medium;3738;X
120153;Minister of Security;¿¡¸¶´©¿¤ ¸ð¶óº¤ ;1939;1964;1999;NS;Prince of Terror;Low;6074;x
120154;Chief of Staff;¿¡¸¶´©¿¤ ¸ð¶óº¤ ;1945;1964;1999;NS;School of Defence;Low;6074;x
120155;Head of Government;¾á ¸»¸®ÆäÆ®¸£ ;1922;1947;1999;SL;Flamboyant Tough Guy;High;3737;X
120156;Head of Government;¾ÈÅä´Ñ ³×¸ÞÅ© ;1917;1933;1999;SD;happy amateur;Medium;unknownminister;X
120157;Head of Government;ÇÁ¶õÆ¼¼ÎÅ© ¿ìµå¸£Àß ;1929;1938;1999;SL;naive optimist;Medium;unknownminister;X
120158;Head of Government;¾ÈÅä´Ñ ÇÔÇÃ ;1925;1938;1999;SD;ambitious union boss;Medium;unknownminister;X
120159;Head of Military Intelligence;Vladimír Chalupa;1929;1934;1938;ML;logistics specialist;High;9768;X
120160;Head of Military Intelligence;Šimon Drgác;1934;1951;1981;SD;logistics specialist;High;9769;X
120161;Head of Military Intelligence;František Hájek;1936;1939;1943;ML;technical specialist;High;unknownminister;X
120162;Head of Military Intelligence;František Moravec;1939;1948;1967;ML;dismal enigma;High;9770;X
120163;Chief of Air Force;Jaroslav Fjafr;1927;1940;1959;ML;air superiority doctrine;High;9771;X
120164;Chief of Air Force;Karel Janousek;1940;1945;1972;ML;army aviation doctrine;High;9772;X
