SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
280032;Head of Military Intelligence;구스타브 말라르 ;1938;1964;1999;FA;Naval Intelligence Specialist;High;L70010;X
280033;Head of Military Intelligence;한스 버나드 ;1939;1964;1999;NS;Industrial Specialist;High;M31055;X
280034;Head of Military Intelligence;만프레드 폰 킬링거 ;1940;1964;1999;NS;Logistics Specialist;High;M31056;X
280035;Head of Military Intelligence;한스 엘라드 루딘 ;1941;1964;1999;NS;Political Specialist;High;M31057;X
280036;Head of Military Intelligence;빌모스 네예들리 ;1945;1964;1999;PA;Technical Specialist;High;M31058;X
280037;Head of Military Intelligence;야로슬라프 멜란 ;1946;1964;1999;SC;Industrial Specialist;High;M31059;X
280038;Chief of Staff;구스타브 말라르 ;1938;1964;1999;FA;School of Fire Support;High;L70010;X
280039;Chief of Staff;오토마르 쿠베라 ;1944;1964;1999;NS;School of Mass Combat;Medium;M31061;X
280040;Chief of Army;페르디난트 카트로스 ;1938;1964;1999;FA;Guns and Butter Doctrine;Low;3175;X
280041;Chief of Army;요제프 슈네이다레크 ;1944;1964;1999;NS;Decisive Battle Doctrine;High;M31064;X
280042;Chief of Army;에밀 렌드베이 ;1945;1964;1999;PA;Armoured Spearhead Doctrine;High;M31045;X
280043;Chief of Navy;요제프 투라넥 ;1938;1964;1999;FA;Open Seas Doctrine;Medium;L70016;X
280044;Chief of Navy;보이테흐 다우브너 ;1945;1964;1999;PA;Indirect Approach Doctrine;Medium;M31068;X
280045;Chief of Air Force;안톤 풀라닉 ;1938;1964;1999;FA;Army Aviation Doctrine;Medium;M31069;X
280046;Chief of Air Force;프랑티섹 스트라카 ;1944;1964;1999;NS;Vertical Envelopment Doctrine;Medium;M31070;X
280047;Chief of Air Force;보이테흐 다우브너 ;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M31068;X
280048;Head of State;얀 스로바 바브로 ;1933;1964;1999;SC;Insignificant Layman;High;M31011;X
280049;Head of Government;다니엘 에르틀 ;1933;1964;1999;SC;Ambitious Union Boss;High;M31012;X
280050;Foreign Minister;라디슬라프 스코비라 ;1933;1964;1999;SC;Great Compromiser;Low;M31013;X
280051;Minister of Armament;프랑티섹 할라스 ;1933;1964;1999;ML;Infantry Proponent;Medium;M31014;X
280052;Minister of Security;율리안 파울리니 ;1933;1964;1999;SC;Man of the People;Low;M31015;X
280053;Head of Military Intelligence;에두아르드 유룩스 ;1933;1964;1999;ML;Dismal Enigma;High;M31016;X
280054;Chief of Staff;루돌프 비에스트 ;1933;1964;1999;PA;School of Fire Support;Low;M31017;X
280055;Chief of Army;루돌프 비에스트 ;1933;1964;1999;PA;Decisive Battle Doctrine;High;M31017;X
280056;Chief of Navy;요제프 쿠빈 ;1933;1964;1999;SC;Power Projection Doctrine;Medium;M31019;X
280057;Chief of Air Force;요제프 쿠빈 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M31019;X
280058;Head of State;루돌프 슬란스키 ;1933;1964;1999;ST;Powerhungry Demagogue;High;M31021;X
280059;Head of Government;미하일 노스코 ;1933;1964;1999;ST;Happy Amateur;High;M31022;X
280060;Foreign Minister;구스타프 후샥 ;1933;1964;1999;ST;Ideological Crusader;Low;M31023;X
280061;Minister of Armament;카렐 콘라트 ;1933;1964;1999;LE;Tank Proponent;Medium;M31024;X
280062;Minister of Security;프라노 크랄 ;1933;1964;1999;ST;Man of the People;Low;M31025;X
280063;Head of Military Intelligence;프랑티섹 크랄리나 ;1933;1964;1999;LE;Technical Specialist;High;M31026;X
280064;Chief of Staff;율리우스 노스코 ;1933;1964;1999;ST;School of Psychology;Low;M31027;X
280065;Chief of Army;프랑티섹 사덱 ;1933;1964;1999;ST;Armoured Spearhead Doctrine;High;M31028;X
280066;Chief of Navy;인드리치 혼즐 ;1933;1964;1999;ST;Open Seas Doctrine;Medium;M31029;X
280067;Chief of Air Force;키릴 쿠흐타 ;1933;1964;1999;ST;Air Superiority Doctrine;Medium;M31030;X
