MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
170219;Foreign Minister;알베르토 호세 파니 ;1921;1930;1999;SD;General Staffer;Medium;903;X
170220;Foreign Minister;아론 사엔스 ;1923;1930;1999;SD;Apologetic Clerk;Medium;899;X
170221;Minister of Armament;프란시스코 에스쿠데로 ;1913;1928;1999;SL;Administrative Genius;Medium;2851;X
170222;Minister of Armament;파스토르 루아익스 ;1914;1930;1999;ML;laissez-faire capitalist;Medium;8323;X
170223;Minister of Armament;알베르토 호세 파니 ;1917;1930;1999;SD;Corrupt Kleptocrat;Medium;903;X
170224;Minister of Armament;플루타르코 엘리아스 ;1919;1930;1999;SD;Military Entrepreneur;Medium;8326;X
170225;Minister of Armament;하신토 블라스 트레비뇨 ;1920;1930;1999;SL;Infantry Proponent;Medium;7226;X
170226;Minister of Armament;라파엘 수바란 카프마니 ;1920;1930;1999;SD;Theoretical Scientist;Medium;8333;X
170227;Minister of Armament;미구엘 알레시오 로블레스 ;1922;1930;1999;SD;Air Superiority Proponent;Medium;8303;X
170228;Minister of Armament;마누엘 페레스 트레비뇨 ;1923;1930;1999;SD;Battle Fleet Proponent;Medium;7278;X
170229;Minister of Armament;루이스 나폴레온 모로네스 ;1924;1930;1999;SD;Infantry Proponent;Medium;7264;X
170230;Minister of Security;라파엘 수바란 카프마니 ;1913;1930;1999;SD;Compassionate Gentleman;Medium;8333;X
170231;Minister of Security;아돌포 데 라 우에르타 ;1915;1930;1999;SL;Crime Fighter;Medium;901;X
170232;Minister of Security;마누엘 아기르 베르란가 ;1917;1930;1999;ML;Efficient Sociopath;Medium;7271;X
170233;Minister of Security;길베르토 발렌수엘라 ;1920;1930;1999;SL;Man of the People;Medium;unknownminister;X
170234;Minister of Security;호세 이노센테 루고 ;1920;1930;1999;SL;Prince of Terror;Medium;7239;X
170235;Minister of Security;플루타르코 엘리아스 ;1920;1930;1999;SD;Silent Lawyer;Medium;8326;X
170236;Minister of Security;엔리케 코룬가 ;1923;1930;1999;SD;Back Stabber;Medium;unknownminister;X
170237;Minister of Security;로메오 오르테가 ;1924;1930;1999;SD;Efficient Sociopath;Medium;unknownminister;X
170239;Chief of Staff;에두아르도 아이 ;1914;1930;1999;ML;School of Manoeuvre;Medium;937;X
170240;Chief of Staff;하신토 블라스 트레비뇨 ;1914;1930;1999;SL;School of Defence;Medium;7227;X
170241;Chief of Staff;이그나시오 L. 페스케이라 ;1914;1930;1999;ML;School of Psychology;Medium;7223;X
170242;Chief of Staff;알바로 오브레곤 ;1916;1928;1999;SD;School of Mass Combat;Medium;8366;X
170243;Chief of Staff;헤수스 아구스틴 카스트로 ;1917;1930;1999;ML;School of Fire Support;Medium;7231;X
170244;Chief of Staff;후안 호세 리오스 ;1918;1930;1999;ML;School of Manoeuvre;Medium;7257;X
170245;Chief of Staff;프란시스코 L. 우르키소 ;1920;1930;1999;ML;School of Defence;Medium;unknownminister;X
170246;Chief of Staff;플루타르코 엘리아스 ;1920;1930;1999;SD;School of Psychology;Medium;8327;X
170247;Chief of Staff;벤하민 일 ;1920;1920;1999;SD;School of Mass Combat;Medium;918;X
170248;Chief of Staff;엔리케 에스트라다 ;1920;1930;1999;SD;School of Fire Support;Medium;1737;X
170249;Chief of Staff;프란시스코 로케 세라노 ;1922;1927;1999;SD;School of Manoeuvre;Medium;unknownminister;X
170250;Chief of Staff;호아킨 아마로 도밍게스 ;1924;1930;1999;SD;School of Defence;Medium;7235;X
170252;Chief of Army;에두아르도 아이 ;1914;1930;1999;ML;Armoured Spearhead Doctrine;Medium;937;X
170253;Chief of Army;하신토 블라스 트레비뇨 ;1914;1930;1999;SL;Decisive Battle Doctrine;Medium;7227;X
170254;Chief of Army;이그나시오 L. 페스케이라 ;1914;1930;1999;ML;Static Defence Doctrine;Medium;7223;X
170255;Chief of Army;알바로 오브레곤 ;1916;1928;1999;SD;elastic defence doctrine;Medium;8366;X
170256;Chief of Army;헤수스 아구스틴 카스트로 ;1917;1930;1999;ML;Guns and Butter Doctrine;Medium;7231;X
170257;Chief of Army;후안 호세 리오스 ;1918;1930;1999;ML;Armoured Spearhead Doctrine;Medium;7257;X
170258;Chief of Army;프란시스코 L. 우르키소 ;1920;1930;1999;ML;Decisive Battle Doctrine;Medium;unknownminister;X
170259;Chief of Army;플루타르코 엘리아스 ;1920;1930;1999;SD;Static Defence Doctrine;Medium;8327;X
170260;Chief of Army;벤하민 일 ;1920;1920;1999;SD;elastic defence doctrine;Medium;918;X
170261;Chief of Army;엔리케 에스트라다 ;1920;1930;1999;SD;Guns and Butter Doctrine;Medium;1737;X
170262;Chief of Army;프란시스코 로케 세라노 ;1922;1927;1999;SD;Armoured Spearhead Doctrine;Medium;unknownminister;X
170263;Chief of Army;호아킨 아마로 도밍게스 ;1924;1930;1999;SD;Decisive Battle Doctrine;Medium;7235;X
170265;Chief of Navy;에두아르도 아이 ;1914;1930;1999;ML;Open Seas Doctrine;Medium;937;X
170266;Chief of Navy;하신토 블라스 트레비뇨 ;1914;1930;1999;SL;Decisive Naval Battle Doctrine;Medium;7227;X
170267;Chief of Navy;이그나시오 L. 페스케이라 ;1914;1930;1999;ML;Power Projection Doctrine;Medium;7223;X
170268;Chief of Navy;알바로 오브레곤 ;1916;1928;1999;SD;Indirect Approach Doctrine;Medium;8366;X
170269;Chief of Navy;헤수스 아구스틴 카스트로 ;1917;1930;1999;ML;Base Control Doctrine;Medium;7231;X
170270;Chief of Navy;후안 호세 리오스 ;1918;1930;1999;ML;Open Seas Doctrine;Medium;7257;X
170271;Chief of Navy;프란시스코 L. 우르키소 ;1920;1930;1999;ML;Decisive Naval Battle Doctrine;Medium;unknownminister;X
170272;Chief of Navy;플루타르코 엘리아스 ;1920;1930;1999;SD;Power Projection Doctrine;Medium;8327;X
