NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
215044;Minister of Security;고든 코츠 ;1938;1964;1999;SC;Silent Lawyer;High;M55046;X
215045;Minister of Security;아담 해밀턴 ;1939;1964;1999;SC;Crime Fighter;High;M55037;X
215046;Minister of Security;시드니 홀랜드 ;1942;1964;1999;SC;Prince of Terror;Very High;M55039;X
215047;Minister of Security;케네스 포크스 ;1945;1964;1999;SC;Compassionate Gentleman;Medium;M55006;X
215048;Head of Military Intelligence;휴고 필포트 ;1938;1964;1999;SD;Logistics Specialist;High;M55069;X
215049;Head of Military Intelligence;톰 스탠리 ;1943;1964;1999;SD;Political Specialist;Low;M55021;X
215050;Head of Military Intelligence;아담 해밀턴 ;1937;1964;1999;SC;Dismal Enigma;High;M55037;X
215051;Head of Military Intelligence;켄 매캔지 ;1939;1964;1999;SC;Industrial Specialist;High;M55058;X
215052;Head of Military Intelligence;E.R. 드러먼드 ;1942;1964;1999;SC;Naval Intelligence Specialist;High;M55009;X
215053;Head of Military Intelligence;J.E. 디건 ;1942;1964;1999;SC;Technical Specialist;High;M55060;X
215054;Chief of Staff;J.E. 디건 ;1937;1964;1999;ML;School of Manoeuvre;High;M55060;X
215055;Chief of Staff;로널드 파크 ;1940;1964;1999;ML;School of Mass Combat;High;M55076;X
215056;Chief of Staff;에드워드 퍼틱 ;1941;1964;1999;ML;School of Defence;High;M55059;X
215057;Chief of Staff;윌리엄 스티븐스 ;1942;1964;1999;ML;School of Fire Support;High;M55078;X
215058;Chief of Staff;N. 웨이르 ;1946;1964;1999;ML;School of Psychology;High;M55079;X
215059;Chief of Army;노리스 스티븐 ;1937;1964;1999;ML;Elastic Defence Doctrine;High;M55080;X
215060;Chief of Army;J.E. 디건 ;1937;1964;1999;ML;Armoured Spearhead Doctrine;High;M55060;X
215061;Chief of Army;J.C. 니콜스 ;1940;1964;1999;ML;Static Defence Doctrine;High;M55082;X
215062;Chief of Army;에드워드 퍼틱 ;1941;1964;1999;ML;Decisive Battle Doctrine;High;M55059;X
215063;Chief of Army;N. 웨이르 ;1946;1964;1999;ML;Guns and Butter Doctrine;High;M55079;X
215064;Chief of Navy;H.E. 호랜 ;1938;1964;1999;ML;Open Seas Doctrine;High;M55085;X
215065;Chief of Navy;W.E. 패리 ;1940;1964;1999;ML;Indirect Approach Doctrine;High;M55052;X
215066;Chief of Navy;프레드릭 필드 ;1942;1964;1999;ML;Decisive Naval Battle Doctrine;High;M55057;X
215067;Chief of Navy;W.H. 스트래튼 ;1945;1964;1999;ML;Power Projection Doctrine;High;M55056;X
215068;Chief of Navy;G.W.G. 심슨 ;1945;1964;1999;ML;Base Control Doctrine;High;M55089;X
215069;Chief of Air Force;W.H. 스트래튼 ;1939;1964;1999;ML;Army Aviation Doctrine;High;M55056;X
215070;Chief of Air Force;H.D. 맥그리거 ;1941;1964;1999;ML;Vertical Envelopment Doctrine;High;M55091;X
215071;Chief of Air Force;L.M. 이싯 ;1943;1964;1999;ML;Naval Aviation Doctrine;High;M55050;X
215072;Chief of Air Force;고든 H. 스테그 ;1944;1964;1999;ML;Air Superiority Doctrine;High;M55093;X
215073;Chief of Air Force;A. 드 테로트 네빌 ;1945;1964;1999;ML;Carpet Bombing Doctrine;High;9814;X
215074;Head of State;T.C.A. 히슬롭 ;1933;1964;1999;PA;Benevolent Gentleman;High;M55011;X
215075;Head of Government;A.E. 데이비 ;1933;1964;1999;PA;Happy Amateur;High;M55012;X
215076;Foreign Minister;A.E. 데이비 ;1933;1964;1999;PA;Ideological Crusader;Very High;M55012;X
215077;Minister of Armament;A.J. 스톨워디 ;1933;1964;1999;PA;Air to Sea Proponent;High;M55014;X
215078;Minister of Security;W.A. 베이츠 밀네 ;1933;1964;1999;PA;Prince of Terror;High;M55015;X
215079;Head of Military Intelligence;아서 도즈 ;1933;1964;1999;PA;Naval Intelligence Specialist;High;M55016;X
215080;Chief of Staff;시모어 드위트 ;1933;1964;1999;PA;School of Manoeuvre;High;M55017;X
215081;Chief of Army;시모어 드위트 ;1933;1964;1999;PA;Elastic Defence Doctrine;High;M55017;X
215082;Chief of Navy;트래버 핸들리 ;1933;1964;1999;PA;Base Control Doctrine;High;M55019;X
215083;Chief of Air Force;마가렛 위팅턴 ;1933;1964;1999;PA;Vertical Envelopment Doctrine;High;M55020;X
215084;Head of State;톰 스탠리 ;1933;1964;1999;LE;Powerhungry Demagogue;High;M55021;X
215085;Head of Government;빅터 윌콕스 ;1933;1964;1999;LE;Happy Amateur;High;M55022;X
215086;Foreign Minister;빅터 윌콕스 ;1933;1964;1999;LE;Biased Intellectual;Very High;M55022;X
215087;Minister of Armament;시드 스캇 ;1933;1964;1999;LWR;Theoretical Scientist;High;M55024;X
215088;Minister of Security;고든 왓슨 ;1933;1964;1999;ST;Efficient Sociopath;High;M55025;X
215089;Head of Military Intelligence;프레드릭 프리먼 ;1933;1964;1999;LWR;Technical Specialist;High;M55026;X
215090;Chief of Staff;헨리 콜트로프 ;1933;1964;1999;ST;School of Psychology;High;M55027;X
215091;Chief of Army;고든 왓슨 ;1933;1964;1999;ST;Guns and Butter Doctrine;High;M55025;X
215092;Chief of Navy;에릭 프렌더개스트 ;1933;1964;1999;LE;Decisive Naval Battle Doctrine;High;M55029;X
215093;Chief of Air Force;L.P. 피터슨 ;1933;1964;1999;ST;Air Superiority Doctrine;High;M55030;X
215094;Head of State;윌러비 노리 ;1952;1964;1999;ML;Weary Stiffneck;High;M55095;X
215095;Head of State;윌러비 노리 ;1952;1964;1999;SD;Weary Stiffneck;High;M55095;X
215096;Head of Government;월터 내시 ;1947;1964;1999;SD;Happy Amateur;High;M55004;X
215097;Foreign Minister;프레드릭 W. 도잇지 ;1949;1964;1999;SC;Biased Intellectual;Very High;M55098;X
215098;Foreign Minister;토마스 C. 웨브 ;1951;1964;1999;SC;Iron Fisted Brute;Very High;M55099;X
215099;Foreign Minister;아놀드 H. 노드마이어 ;1950;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M55100;X
215100;Minister of Security;토마스 L. 맥도널드 ;1951;1964;1999;SC;Efficient Sociopath;Medium;M55101;X
215101;Chief of Army;윌리엄 말론 ;1914;1933;1999;SC;Guns and Butter Doctrine;Very High;2887;X
215102;Chief of Navy;퍼시벌 홀 톰슨 ;1914;1933;1999;SC;Open Seas Doctrine;Very High;2888;X
215103;Chief of Staff;아서 마이어스 ;1914;1933;1999;SL;School of Defence;very High;2889;X
215104;Foreign Minister;토마스 매킨지 ;1914;1933;1999;SL;Apologetic Clerk;very High;2890;X
215105;Head of Government;토마스 매킨지 ;1914;1933;1999;SL;Silent Workhorse;very High;2890;X
215106;Head of Military Intelligence;아서 마이어스 ;1914;1933;1999;SL;Industrial Specialist;very High;2889;X
215107;Head of State;아서 폴잼브 ;1912;1933;1999;ML;Stern Imperialist;Very High;2891;X
215108;Minister of Armament;아서 마이어스 ;1914;1933;1999;SL;Military Entrepreneur;very High;2889;X
215109;Minister of Security;존 핀들레이 ;1914;1933;1999;SL;Compassionate Gentleman;Very High;2892;X
215110;Minister of Security;프랜시스 벨 ;1918;1933;1999;SC;Man of the People;Very high;2893;X
215111;Head of State;찰스 배서스트 ;1930;1935;1999;SD;Popular Figurehead;High;5769;X
215112;Head of State;찰스 배서스트 ;1930;1935;1999;SC;Popular Figurehead;High;5769;X
215113;Head of Military Intelligence;윌리엄 스티븐스 ;1931;1938;1969;SC;logistics specialist;High;M55078;X
215114;Head of Military Intelligence;William George Gentry;1933;1934;1956;SC;logistics specialist;High;L58011;X
215115;Head of Military Intelligence;George Henry Clifton;1937;1939;1940;SC;logistics specialist;High;L58004;X
215116;Head of Military Intelligence;Leonard George Goss;1939;1940;1947;SC;logistics specialist;High;L58012;X
215117;Chief of Navy;Fischer Watson;1932;1936;1936;SC;decisive naval battle doctrine;High;unknownminister;X
215118;Chief of Navy;Irvine Glennie;1938;1939;1948;SC;open seas doctrine;High;9815;X
215119;Chief of Navy;James Rivett-Carnac;1938;1940;1948;SC;decisive naval battle doctrine;High;9816;X
215120;Chief of Navy;Atwell Henry Lake;1942;1945;1946;SC;open seas doctrine;High;9817;X
215121;Chief of Navy;George Haynes Faulkner;1945;1947;1948;SC;decisive naval battle doctrine;High;9818;X
215122;Chief of Navy;F. A. Balance;1950;1953;1954;SC;open seas doctrine;High;unknownminister;X
215123;Chief of Navy;Charles Madden;1953;1955;1966;SC;decisive naval battle doctrine;High;9819;X
215124;Chief of Air Force;Hugh Saunders;1939;1942;1954;SC;air superiority doctrine;High;9820;X
215125;Chief of Air Force;Victor Goddard;1941;1943;1952;SC;naval aviation doctrine;High;9821;X
215126;Chief of Air Force;David Carnegie;1951;1954;1955;SC;air superiority doctrine;High;unknownminister;X
215127;Chief of Air Force;Walter Merton;1954;1956;1964;SC;carpet bombing doctrine;High;unknownminister;X
215128;Head of Government;William Massey;1912;1925;1926;SD;Silent Workhorse;High;9774;X
215129;Minister of Security;Alexander Herdman;1912;1929;1954;SC;efficient sociopath;Very high;9941;X
