VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
180017;Foreign Minister;카를로스 모랄레스 아콜시아 ;1945;1964;1999;SD;Iron Fisted Brute;Medium;M38037;X
180018;Foreign Minister;곤살로 바리오스 ;1947;1964;1999;ML;General Staffer;Medium;M38038;X
180019;Minister of Armament;돈 페드로 그라세스 ;1938;1964;1999;PA;laissez-faire capitalist;Medium;M38039;X
180020;Minister of Armament;카를로스 라모스 디아스 ;1941;1964;1999;SC;Submarine Proponent;Low;M38040;X
180021;Minister of Armament;미구엘 디아스 프라일레 ;1942;1964;1999;SC;Strategic Air Proponent;Low;M38041;X
180022;Minister of Armament;카를로스 몰리나 탈라바요 ;1942;1964;1999;ML;Battle Fleet Proponent;Low;M38042;X
180023;Minister of Armament;엘로이 라레스 마르티네스 ;1943;1964;1999;ML;laissez-faire capitalist;Medium;M38043;X
180024;Minister of Armament;훌리오 가르시아 하르파 ;1945;1964;1999;ML;Military Entrepreneur;Medium;M38044;X
180025;Minister of Armament;호세 비센테 랑헬 ;1946;1964;1999;SD;Resource Industrialist;Medium;M38045;X
180026;Minister of Security;호세 아게레 베레 ;1933;1964;1999;SC;Efficient Sociopath;Medium;M38046;X
180027;Minister of Security;안토니오 호세 비예가스 ;1938;1964;1999;SC;Silent Lawyer;Medium;M38047;X
180028;Minister of Security;세자르 수메타;1939;1964;1999;PA;Compassionate Gentleman;Medium;M38048;X
180029;Minister of Security;알레한드로 아르마스 ;1941;1964;1999;SC;Prince of Terror;Medium;M38049;X
180030;Minister of Security;안토니오 J. 디아스 ;1943;1964;1999;ML;Crime Fighter;Medium;M38050;X
180031;Minister of Security;로물로 가예고스 프레이레 ;1945;1964;1999;SD;Man of The People;Medium;M38051;X
180032;Minister of Security;호세 상기노 카르데나스 ;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M38052;X
180033;Minister of Security;콘셉시온 키하다 곤살레스 ;1946;1964;1999;SD;Silent Lawyer;Medium;M38053;X
180034;Minister of Security;아돌포 곤살레스 아킬라르 ;1947;1964;1999;LWR;Efficient Sociopath;Medium;M38054;X
180035;Minister of Security;이시도로 루이스 투에로 ;1947;1964;1999;ML;Prince of Terror;Medium;M38011;X
180036;Head of Military Intelligence;디오헤네스 에스칼란테 ;1933;1964;1999;PA;Industrial Specialist;Medium;M38056;X
180037;Head of Military Intelligence;안토니오 카사스 곤살레스 ;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M38057;X
180038;Head of Military Intelligence;페드로 알칸타라 라야 ;1941;1964;1999;SC;Industrial Specialist;Medium;M38058;X
180039;Head of Military Intelligence;페드로 파블로 아스푸루아 ;1942;1964;1999;ML;Technical Specialist;Medium;M38059;X
180040;Head of Military Intelligence;루이스 몬살보 마레노 ;1945;1964;1999;SD;Logistics Specialist;Medium;M38060;X
180041;Head of Military Intelligence;로베르트 레츠 산체스 ;1946;1964;1999;ML;Technical Specialist;Medium;M38061;X
180042;Head of Military Intelligence;호비토 비얄바 ;1947;1964;1999;LWR;Political Specialist;Medium;M38021;X
180043;Chief of Staff;안토니오 카사스 곤살레스 ;1938;1964;1999;SC;School of Psychology;Medium;M38057;X
180044;Chief of Staff;카를로스 가르시아 멘도사 ;1941;1964;1999;SC;School of Mass Combat;Medium;M38064;X
180045;Chief of Staff;구스타보 곤살레스 로페스 ;1943;1964;1999;ML;School of Manoeuvre;Medium;M38065;X
180046;Chief of Staff;라울 레오니 오테로 ;1945;1964;1999;SD;School of Psychology;Medium;M38027;X
180047;Chief of Army;빅토르 산체스 크로에스 ;1940;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M38028;X
180048;Chief of Army;토마스 콘트레라스 ;1941;1964;1999;SC;Decisive Battle Doctrine;Low;M38019;X
180049;Chief of Army;카를로스 델가도 찰봇 ;1945;1964;1999;ML;Guns and Butter Doctrine;Medium;L270004;X
180050;Chief of Army;넬손 베르데 그라테롤 ;1947;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M38070;X
180051;Chief of Navy;페드로 베아오페르투이 ;1939;1964;1999;SC;Power Projection Doctrine;Medium;M38004;X
180052;Chief of Navy;카를로스 몰리나 탈라바요 ;1941;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M38042;X
180053;Chief of Navy;루이스 알바레스 산티아고 ;1942;1964;1999;ML;Open Seas Doctrine;Medium;M38073;X
180054;Chief of Navy;카를로스 라모스 디아스 ;1945;1964;1999;ML;Indirect Approach Doctrine;Medium;M38040;X
180055;Chief of Navy;안토니오 카사스 곤살레스 ;1947;1964;1999;SD;Base Control Doctrine;Medium;M38057;X
180056;Chief of Air Force;로베르토 데 루카 바레사노 ;1939;1964;1999;PA;Air Superiority Doctrine;Medium;M38020;X
180057;Chief of Air Force;기예르모 그리피스 ;1941;1964;1999;SC;Army Aviation Doctrine;Medium;M38077;X
180058;Chief of Air Force;미구엘 디아스 프라일레 ;1945;1964;1999;ML;Carpet Bombing Doctrine;Medium;M38041;X
180059;Chief of Air Force;토마스 콘트레라스 ;1946;1964;1999;LWR;Naval Aviation Doctrine;Medium;M38019;X
180060;Chief of Air Force;호세 폴라레스 파본 ;1947;1964;1999;SD;Air Superiority Doctrine;Medium;M38080;X
180061;Foreign Minister;페드로 이트리아고 차신 ;1933;1935;1999;PA;Biased Intellectual;Medium;M38081;X
180062;Head of State;이시도로 루이스 투에로 ;1933;1964;1999;PA;Resigned Generalissimo;High;M38011;X
180063;Head of Government;이시도로 루이스 투에로 ;1933;1964;1999;PA;Old General;High;M38011;X
180064;Foreign Minister;에르네스토 마이스 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M38013;X
180065;Minister of Armament;리카르도 멘데스 모레노 ;1933;1964;1999;PA;Infantry Proponent;Medium;M38014;X
180066;Minister of Security;헤수스 알칸타라 보레고 ;1933;1964;1999;PA;Back Stabber;Medium;M38015;X
180067;Head of Military Intelligence;카를로스 카사노바 레알 ;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M38016;X
180068;Chief of Staff;베르나르도 호세 몬티야 ;1933;1964;1999;PA;School of Fire Support;Medium;M38017;X
180069;Chief of Army;페드로 엘리아스 기테레스 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M38018;X
180070;Chief of Navy;토마스 콘트레라스 ;1933;1964;1999;FA;Indirect Approach Doctrine;Low;M38019;X
180071;Head of State;호비토 비얄바 ;1933;1964;1999;LWR;Powerhungry Demagogue;High;M38021;X
180072;Head of Government;마누엘 디아스 로드리게스 ;1933;1964;1999;LWR;Naive Optimist;High;M38022;X
180073;Foreign Minister;페드로 레온 카스트로 ;1933;1964;1999;LWR;Biased Intellectual;Medium;M38023;X
180074;Minister of Armament;마누엘 디아스 로드리게스 ;1933;1964;1999;LWR;Air to Sea Proponent;Medium;M38022;X
180075;Minister of Security;프란시스코 페이세르 ;1933;1964;1999;LWR;Crime Fighter;Medium;M38025;X
180076;Head of Military Intelligence;페드로 레온 카스트로 ;1933;1964;1999;LWR;Dismal Enigma;Medium;M38023;X
180077;Chief of Air Force;움베르토 S. 토레스 빌레라 ;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M38030;X
180078;Head of State;로물로 가예고스 프레이레 ;1948;1964;1999;SD;Popular Figurehead;Medium;M38051;X
180079;Head of State;카를로스 델가도 찰봇 ;1948;1964;1999;SC;Resigned Generalissimo;Medium;L270004;X
180080;Head of State;헤르만 수아레스 플라메릭 ;1950;1964;1999;SC;Insignificant Layman;Medium;M38084;X
180081;Head of State;마르코스 페레스 히메네스 ;1952;1964;1999;PA;Barking Buffoon;Medium;L270021;X
180082;Head of Government;루이스 요베라 파에스 ;1948;1964;1999;SC;old airmarshal;High;M38086;X
180083;Head of Government;마르코스 페레스 히메네스 ;1948;1964;1999;PA;Old General;High;L270021;X
180084;Foreign Minister;헤르만 수아레스 플라메릭 ;1948;1964;1999;SC;Biased Intellectual;Medium;M38084;X
180085;Foreign Minister;안토니오 카사스 곤살레스 ;1952;1964;1999;PA;General Staffer;Medium;M38057;X
180086;Chief of Army;마르코스 페레스 히메네스 ;1948;1964;1999;SC;Elastic Defence Doctrine;Medium;L270021;X
180087;Chief of Army;월프강 라라사발 우게토 ;1952;1964;1999;PA;Armoured Spearhead Doctrine;Medium;L270011;X
180088;Chief of Army;이그나시오 안드라데 ;1900;1933;1999;ML;ARMOURED SPEARHEAD DOCTRINE;Medium;3681;X
180089;Chief of Army;후안 비센테 고메스 ;1902;1933;1999;PA;DECISIVE BATTLE DOCTRINE;Medium;7985;X
180090;Chief of Army;후안 페나솔라 ;1903;1933;1999;ML;ELASTIC DEFENCE DOCTRINE;Medium;3682;X
180091;Chief of Army;엘레아사르 로페스 ;1919;1933;1999;PA;GUNS AND BUTTER DOCTRINE;Medium;3683;X
180092;Chief of Staff;이그나시오 안드라데 ;1900;1933;1999;ML;SCHOOL OF DEFENCE;Medium;3681;X
180093;Chief of Staff;후안 비센테 고메스 ;1902;1933;1999;PA;SCHOOL OF FIRE SUPPORT;Medium;7985;X
180094;Chief of Staff;후안 페나솔라 ;1903;1933;1999;ML;SCHOOL OF MASS COMBAT;Medium;3682;X
180095;Chief of Staff;엘레아사르 로페스 ;1919;1933;1999;PA;SCHOOL OF MANOEUVRE;Medium;3683;X
180096;Foreign Minister;페드로 이트리아고 차신 ;1914;1933;1999;PA;General Staffer;Medium;3684;X
180097;Foreign Minister;이그나시오 안드라데 ;1916;1933;1999;ML;General Staffer;Medium;3681;X
180098;Foreign Minister;에스테반 힐 보르헤스 ;1914;1933;1999;SL;Great Compromiser;Medium;3685;X
180099;Head of Government;호아킨 크레스포 ;1900;1933;1999;PA;Old General;Medium;3686;X
180100;Head of Government;치프리아노 카스트로 ;1900;1933;1999;PA;Old General;Medium;3687;X
180101;Head of Government;후안 비센테 고메스 ;1908;1935;1999;PA;Old General;Medium;3688;X
180102;Head of Government;빅토리노 마르케스 ;1914;1933;1999;SL;Old General;Medium;3689;X
180103;Head of Military Intelligence;에우스토키오 고메스 ;1908;1933;1999;PA;DISMAL ENIGMA;Medium;3690;X
180104;Head of State;호아킨 크레스포 ;1900;1933;1999;PA;Stern Imperialist;Medium;3686;X
180105;Head of State;치프리아노 카스트로 ;1900;1933;1999;PA;Stern Imperialist;Medium;3687;X
180106;Head of State;후안 비센테 고메스 ;1908;1935;1999;PA;Stern Imperialist;Medium;3688;X
180107;Head of State;빅토리노 마르케스 ;1914;1933;1999;SL;Stern Imperialist;Medium;3689;X
180108;Minister of Security;이그나시오 안드라데 ;1917;1933;1999;ML;SILENT LAWYER;Medium;3681;X
