DOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
320063;Chief of Air Force;프란크 펠리스 미란다 ;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M49030;X
320064;Head of State;라펠 트루히요 ;1930;1964;1999;PA;Barking Buffoon;High;M49001;X
320065;Chief of Air Force;에드가르 마르티네스 ;1941;1964;1999;LWR;Air Superiority Doctrine;High;M49029;X
320066;Head of State;후안 보스크 ;1933;1964;1999;LWR;Die-hard Reformer;High;M49021;X
320067;Head of Government;헤수스 데 갈린데스 ;1933;1964;1999;LWR;Flamboyant Tough Guy;High;M49013;X
320068;Head of State;엑토르 트루히요 ;1952;1964;1999;PA;Insignificant Layman;High;M49067;X
320069;Head of Government;호세 보르다스 발데스 ;1913;1933;1999;ML;Corporate Suit;Medium;unknownminister;X
320070;Head of Government;라몬 바에스 마차도 ;1914;1933;1999;ML;Naive Optimist;Medium;unknownminister;X
320071;Head of Government;후안 이시드로 히메네스 ;1914;1933;1999;SL;Political Protege;Medium;unknownminister;X
320072;Head of Government;프란시스코 엔리케스 ;1916;1933;1999;ML;Smiling Oilman;Medium;unknownminister;X
320073;Head of State;호세 보르다스 발데스 ;1913;1933;1999;ML;Weary Stiffneck;Medium;unknownminister;X
320074;Head of State;라몬 바에스 마차도 ;1914;1933;1999;ML;Popular Figurehead;Medium;unknownminister;X
320075;Head of State;후안 이시드로 히메네스 ;1914;1933;1999;SL;Insignificant Layman;Medium;unknownminister;X
320076;Head of State;프란시스코 엔리케스 ;1916;1933;1999;ML;Barking Buffoon;Medium;unknownminister;X
