FLA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
650108;Minister of Security;폴 스튀리에 ;1947;1964;1999;SC;Man of the People;Very High;M15090;X
650109;Head of Military Intelligence;헤르만 보스 ;1944;1964;1999;SD;Political Specialist;Very High;M15099;X
650110;Head of Military Intelligence;피에 베르멜런 ;1947;1964;1999;SC;Technical Specialist;Very High;M15102;X
650111;Chief of Staff;오스카르 미흐이엘스 ;1940;1964;1999;SC;School of Mass Combat;Very High;M15107;X
650112;Chief of Army;트라오윌 반 오베르스트라이턴 ;1938;1964;1999;SC;Guns and Butter Doctrine;Very High;M15110;X
650113;Minister of Armament;에드몬트 뤼번스 ;1933;1964;1999;SC;Resource Industrialist;Very High;M15124;X
650114;Minister of Armament;알베르 바우테르 ;1939;1964;1999;SD;Military Entrepreneur;Very High;M15125;X
650115;Minister of Armament;라우이스 프란크 ;1933;1964;1999;SC;Resource Industrialist;Very High;M15128;X
650116;Minister of Armament;헨드리크 헤이만 ;1933;1964;1999;SC;Air to Ground Proponent;Very High;M15129;X
650117;Minister of Armament;마우리스 리펀스 ;1933;1964;1999;ML;Resource Industrialist;Very High;M15130;X
650118;Minister of Security;필리프 반 이사커르 ;1933;1964;1999;SC;Crime Fighter;Very High;M15131;X
650119;Minister of Armament;키리엘 반 오베르베흐 ;1937;1964;1999;SC;Theoretical Scientist;High;M15137;X
650120;Minister of Armament;휘스타아프 사프 ;1933;1964;1999;SC;Military Entrepreneur;High;M15140;X
650121;Chief of Navy;G. 팀메르만스 ;1933;1964;1999;SC;Indirect Approach Doctrine;Very High;M15009;X
650122;Chief of Air Force;L.F.E. 바우테르스;1933;1964;1999;SC;Vertical Envelopment Doctrine;Very High;M15010;X
650123;Chief of Staff;레오 길리스 ;1949;1964;1999;NS;School of Manoeuvre;medium;6069;x
