USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240048;Foreign Minister;샘 달시 ;1937;1964;1964;ST;Ideological Crusader;Low;M6073;X
240049;Foreign Minister;제임스 폴 와벅 ;1940;1970;1970;LE;Ideological Crusader;High;M6023;X
240050;Foreign Minister;로버트 마이너 ;1920;1953;1953;ST;General Staffer;High;M6075;X
240051;Foreign Minister;유진 데니스 ;1926;1962;1962;LE;Biased Intellectual;High;M6076;X
240052;Minister of Armament;조지 H. 던 ;1933;1937;1937;SD;Military Entrepreneur;High;M6004;X
240053;Minister of Armament;해리 L. 홉킨스 ;1938;1947;1947;SL;laissez-faire capitalist;High;M6078;X
240054;Minister of Armament;제시 H. 존스 ;1940;1957;1957;SL;Construction magnate;Very High;M6079;X
240055;Minister of Armament;리로이 그러먼 ;1940;1967;1967;SD;Air Superiority Proponent;Very High;M6080;X
240056;Minister of Armament;프리스턴 T. 터커 ;1944;1951;1951;SL;Strategic Air Proponent;Very High;M6081;X
240057;Minister of Armament;헨리 J. 카이저 ;1944;1968;1968;SL;Administrative Genius;Very High;M6082;X
240058;Minister of Armament;로버트 P. 패터슨 ;1945;1953;1953;SL;Tank Proponent;High;M6083;X
240059;Minister of Armament;케네스 C. 로얄 ;1947;1972;1972;SD;laissez-faire capitalist;High;M6084;X
240060;Minister of Armament;대니얼 C. 로퍼 ;1933;1944;1944;ML;Air Superiority Proponent;Very High;M6085;X
240061;Minister of Armament;제임스 M. 콕스 ;1939;1958;1958;ML;Military Entrepreneur;Very High;M6086;X
240062;Minister of Armament;워렌 G. 후퍼 ;1940;1946;1946;ML;Corrupt Kleptocrat;Low;M6033;X
240063;Minister of Armament;해리 H. 우드링 ;1933;1968;1968;ML;Strategic Air Proponent;High;M6089;X
240064;Minister of Armament;존 D. 록펠러 2세 ;1944;1961;1961;ML;Oil baron;High;M6090;X
240065;Minister of Armament;프레드릭 M. 빈슨 ;1945;1954;1954;ML;Keynesian economy;Very High;M6091;X
240066;Minister of Armament;루이스 존슨 ;1945;1951;1951;ML;Battle Fleet Proponent;High;M6092;X
240067;Minister of Armament;노먼 H. 데이비스 ;1922;1945;1945;ML;Balanced budget economy;Very High;M6093;X
240068;Minister of Armament;월리엄 D. 펠리 ;1933;1966;1966;FA;Air to Sea Proponent;Very High;M6094;X
240069;Minister of Armament;프란시스 타운센드 ;1940;1961;1961;PA;Resource Industrialist;Very High;M6095;X
240070;Minister of Armament;헨리 포드 ;1928;1948;1948;PA;Administrative Genius;Very High;M6014;X
240071;Minister of Armament;월리엄 F. 렘키 ;1944;1951;1951;PA;Theoretical Scientist;High;M6097;X
240072;Minister of Armament;윈덤 모티머 ;1933;1967;1967;LWR;Resource Industrialist;Low;M6098;X
240073;Minister of Armament;엘리자베스 걸리 플린 ;1938;1965;1965;ST;Battle Fleet Proponent;Very High;M6099;X
240074;Minister of Armament;업튼 싱클레어 ;1940;1969;1969;ST;Air to Ground Proponent;High;M6100;X
240075;Minister of Armament;레머트 해리스 ;1944;1964;1964;LWR;Resource Industrialist;Very High;M6101;X
240076;Minister of Armament;월터 루서 ;1946;1971;1971;LWR;Resource Industrialist;Very High;M6102;X
240077;Minister of Security;빅터 셀던 클라크 ;1940;1946;1946;SL;Health and safety;Very High;M6104;X
240078;Minister of Security;헨리 차머스 ;1944;1964;1964;SD;Man of the People;Very High;M6105;X
240079;Minister of Security;프란시스 B. 비들 ;1944;1969;1969;SL;Prince of Terror;Very High;M6106;X
240080;Minister of Security;프랭크 머피 ;1933;1950;1950;ML;Crime Fighter;Very High;M6107;X
240081;Minister of Security;로버트 H. 잭슨 ;1939;1955;1955;ML;Silent Lawyer;Very High;M6108;X
240082;Minister of Security;휴 시몬스 깁슨 ;1944;1955;1955;ML;Compassionate Gentleman;Very High;M6110;X
240083;Minister of Security;프리츠 쿤 ;1933;1952;1952;FA;Prince of Terror;Medium;M6011;X
240084;Minister of Security;사무엘 그린 ;1940;1950;1950;FA;Man of the People;Medium;M6054;X
240085;Minister of Security;사무엘 로퍼 ;1944;1987;1987;PA;Back Stabber;Medium;M6113;X
240086;Minister of Security;윌리엄 알토 ;1933;1959;1959;LWR;Back Stabber;Medium;M6114;X
240087;Minister of Security;찰리 채플린 ;1937;1978;1978;LWR;Man of the People;Medium;M6115;X
240088;Minister of Security;레이먼드 찰스 몰리 ;1939;1976;1976;LE;Prince of Terror;Low;M6116;X
240089;Minister of Security;존 압트 ;1940;1992;1992;LE;Efficient Sociopath;Medium;M6029;X
240090;Minister of Security;다니엘 호안 ;1928;1961;1961;LWR;Silent Lawyer;Medium;M6025;X
240091;Minister of Security;제시카 스미스 ;1944;1984;1984;LE;Compassionate Gentleman;Medium;M6119;X
240092;Head of Military Intelligence;헨리 J. 카이저 ;1942;1968;1968;SL;Industrial Specialist;High;M6082;X
240093;Head of Military Intelligence;아돌프 A. 베를 ;1939;1972;1972;SL;Political Specialist;Very High;M6123;X
240094;Head of Military Intelligence;빈센트 애스터 ;1937;1960;1960;SL;Dismal Enigma;Very High;M6124;X
240095;Head of Military Intelligence;J. 에드거 후버 ;1944;1973;1973;SL;Political Specialist;Very High;M6005;X
240096;Head of Military Intelligence;시드니 W. 수어스 ;1945;1974;1974;SD;Naval Intelligence Specialist;Very High;M6126;X
240097;Head of Military Intelligence;로스코 H. 힐렌케터 ;1947;1983;1983;SL;Dismal Enigma;Very High;M6127;X
240098;Head of Military Intelligence;윌리엄 J. 도너번 ;1940;1960;1960;ML;Political Specialist;High;M6128;X
240099;Head of Military Intelligence;호이트 S. 반덴버그 ;1942;1955;1955;ML;Technical Specialist;High;M6130;X
240100;Head of Military Intelligence;헨리 캐벗 로지 ;1944;1986;1986;ML;Dismal Enigma;High;M6131;X
240101;Head of Military Intelligence;하이럼 W. 에반스 ;1933;1967;1967;FA;Political Specialist;High;M6132;X
240102;Head of Military Intelligence;제임스 A. 콜스코트 ;1940;1951;1951;FA;Political Specialist;High;M6016;X
240103;Head of Military Intelligence;해리 헤이우드 ;1923;1986;1986;LE;Dismal Enigma;High;M6026;X
240104;Chief of Staff;조지 G. 마셜 ;1939;1960;1960;SL;School of Fire Support;High;M6064;X
240105;Chief of Staff;드와이트 D. 아이젠하워 ;1942;1970;1970;ML;School of Manoeuvre;High;M6137;X
240106;Chief of Staff;파커 세이지 ;1933;1964;1964;FA;School of Defence;High;M6017;X
240107;Chief of Staff;한스 아멜리 ;1924;1950;1950;ST;School of Defence;High;M6027;X
240108;Chief of Army;다비드 맥켄지 케이 ;1940;1964;1964;SD;Static Defence Doctrine;High;M6143;X
240109;Chief of Army;조지 G. 마셜 ;1939;1960;1960;SL;Decisive Battle Doctrine;High;M6064;X
240110;Chief of Army;오마르 N. 브래들리 ;1944;1954;1954;SD;Armoured Spearhead Doctrine;High;M6145;X
240111;Chief of Army;드와이트 D. 아이젠하워 ;1942;1970;1970;ML;Guns and Butter Doctrine;High;M6137;X
240112;Chief of Army;조지 반 혼 모슬리 ;1932;1961;1961;NS;Armoured Spearhead Doctrine;High;9709;X
240113;Chief of Army;올리버 로 ;1924;1938;1976;ST;Decisive Battle Doctrine;High;M6149;X
240114;Chief of Army;스티브 넬슨 ;1924;1976;1976;ST;Static Defence Doctrine;High;M6150;X
240115;Chief of Army;로버트 메리먼 ;1937;1939;1984;ST;Armoured Spearhead Doctrine;High;M6028;X
240116;Chief of Navy;프랭크 녹스 ;1940;1945;1945;SL;Base Control Doctrine;High;M6048;X
240117;Chief of Navy;찰스 에디슨 ;1940;1970;1970;SD;Open Seas Doctrine;High;M6154;X
240118;Chief of Navy;제임스 V. 포레스탈 ;1944;1950;1950;SL;Decisive Naval Battle Doctrine;High;M6155;X
240119;Chief of Navy;체스터 W. 니미츠 ;1941;1967;1967;SL;Power Projection Doctrine;High;M6156;X
240120;Chief of Navy;월리엄 C. 블리트 ;1947;1968;1968;SL;Base Control Doctrine;High;M6157;X
240121;Chief of Navy;월리엄 H. 스탠들리 ;1933;1964;1964;SL;Base Control Doctrine;High;M6158;X
240122;Chief of Navy;해럴드 R. 스탁 ;1939;1947;1947;SL;Open Seas Doctrine;High;M6159;X
240123;Chief of Navy;앤드류 J. 히긴스 ;1943;1953;1953;ML;Base Control Doctrine;High;M6160;X
240124;Chief of Navy;헨리 J. 카이저 ;1940;1968;1968;ML;Open Seas Doctrine;High;M6082;X
240125;Chief of Navy;월리엄 D. 레이히 ;1933;1960;1960;ML;Decisive Naval Battle Doctrine;Very High;M6162;X
240126;Chief of Navy;어네스트 J. 킹 ;1941;1957;1957;ML;Power Projection Doctrine;High;M6163;X
240127;Chief of Navy;제임스 A. 콜스코트 ;1933;1951;1951;NS;Open Seas Doctrine;High;M6016;X
240128;Chief of Navy;존 압트 ;1924;1992;1992;ST;Base Control Doctrine;Medium;M6029;X
240129;Chief of Air Force;헨리 H. 아놀드 ;1938;1951;1951;ML;Carpet Bombing Doctrine;High;M6167;X
240130;Chief of Air Force;리로이 그러먼 ;1944;1967;1967;ML;Naval Aviation Doctrine;High;M6080;X
240131;Chief of Air Force;찰스 린드버그 ;1924;1975;1975;FA;Air Superiority Doctrine;High;M6020;X
240132;Chief of Air Force;네이선 B. 포레스트 3세 ;1940;1944;1981;NS;Army Aviation Doctrine;High;M6173;X
240133;Chief of Air Force;마틴 J. 몬티 ;1943;2001;2001;FA;Naval Aviation Doctrine;High;M6174;X
240134;Chief of Air Force;존 압트 ;1924;1992;1992;ST;Army Aviation Doctrine;Medium;M6029;X
240135;Chief of Staff;월리엄 D. 레이히 ;1941;1960;1960;ML;School of Manoeuvre;Very High;M6162;X
240136;Minister of Armament;어베렐 H. 해리먼 ;1946;1987;1987;SD;Resource Industrialist;High;M6177;X
240137;Chief of Navy;토마스 C. 하트 ;1940;1972;1972;ML;Decisive Naval Battle Doctrine;Medium;L60417;X
240138;Chief of Air Force;칼 A. 스파츠 ;1942;1975;1975;ML;Army Aviation Doctrine;Very High;L60557;X
240139;Chief of Air Force;아이러 C. 이커 ;1944;1988;1988;SL;Carpet Bombing Doctrine;Very High;L60506;X
240140;Chief of Staff;더글러스 맥아더 ;1930;1965;1965;ML;School of Psychology;High;L60250;X
240141;Chief of Army;더글러스 맥아더 ;1930;1965;1965;ML;Elastic Defence Doctrine;High;L60250;X
240142;Chief of Navy;로버트 L. 곰레이 ;1933;1959;1959;ML;Open Seas Doctrine;Very High;L60406;X
240143;Head of Military Intelligence;프랭크 B. 롤렛 ;1933;1999;1999;SL;Naval Intelligence Specialist;High;M6184;X
240144;Minister of Armament;조셉 P. 래시 ;1940;1988;1988;LWR;Resource Industrialist;Very High;M6024;X
240145;Head of Government;프리츠 쿤 ;1933;1952;1952;FA;Naive Optimist;High;M6011;X
240146;Head of State;월리엄 F. 렘키 ;1933;1951;1951;PA;Barking Buffoon;Medium;M6097;X
240147;Head of Government;로렌스 데니스 ;1933;1978;1978;SC;Happy Amateur;Medium;M6187;X
240148;Minister of Security;제럴드 L. K. 스미스 ;1933;1977;1977;PA;Back Stabber;Low;M6040;X
240149;Head of State;찰스 린드버그 ;1940;1975;1975;PA;Pig-headed Isolationist;Very High;M6020;X
240150;Head of Government;로버트 E. 우드 ;1940;1970;1970;PA;Silent Workhorse;Very High;M6190;X
240151;Minister of Security;제럴드 B. 윈로드 ;1940;1958;1958;PA;Efficient Sociopath;Very High;M6191;X
240152;Chief of Staff;로버트 E. 우드 ;1933;1970;1970;PA;School of Defence;High;M6190;X
240153;Chief of Staff;월터 베델 스미스 ;1942;1962;1964;SL;School of Fire Support;Very High;L60031;X
240154;Chief of Army;마크 클라크 ;1945;1985;1985;SL;Decisive Battle Doctrine;Very High;L60098;X
240155;Chief of Staff;조 L. 콜린스 ;1945;1988;1988;SL;School of Manoeuvre;Very High;L60105;X
240156;Chief of Army;조지프 스틸웰 ;1944;1947;1947;SL;Decisive Battle Doctrine;Very High;L60341;X
240157;Chief of Navy;윌리엄 홀시 ;1944;1960;1960;SC;Power Projection Doctrine;Very High;L60414;X
240158;Minister of Armament;딘 애치슨 ;1944;1972;1972;SL;laissez-faire capitalist;Very High;M6198;X
240159;Minister of Armament;해럴드 이키즈 ;1933;1953;1953;SL;Secretary of the Interior;Very High;M6199;X
240160;Minister of Security;아치볼드 매클리시 ;1939;1983;1983;LWR;Man of the People;Medium;M6200;X
240161;Foreign Minister;아치볼드 매클리시 ;1939;1983;1983;LWR;Biased Intellectual;Medium;M6200;X
240162;Minister of Security;버튼 K. 휠러 ;1910;1947;1958;SC;Efficient Sociopath;Medium;3621;X
240163;Foreign Minister;토마스 코넬리 ;1941;1964;1964;SL;Ideological Crusader;High;M6203;X
240164;Minister of Security;찰스 E. 휴즈 ;1933;1949;1949;SC;Efficient Sociopath;Medium;M6204;X
240165;Minister of Security;휴고 블랙 ;1937;1972;1972;SL;Compassionate Gentleman;High;M6205;X
240166;Minister of Armament;로버트 F. 와그너 ;1933;1954;1954;SL;laissez-faire capitalist;Very High;M6206;X
240167;Minister of Armament;헨리 L. 스팀슨 ;1940;1946;1946;SL;Secretary of War;Very High;M6061;X
240168;Head of State;드와이트 D. 아이젠하워 ;1952;1970;1970;ML;Resigned Generalissimo;High;M6208;X
240169;Head of State;애들라이 스티븐슨 ;1952;1966;1966;SL;Benevolent Gentleman;High;M6209;X
240170;Head of Government;얼 워런 ;1948;1975;1975;ML;Naive Optimist;High;M6210;X
240171;Head of Government;리처드 M. 닉슨 ;1952;1961;1961;ML;Backroom Backstabber;High;M6211;X
240172;Head of Government;존 스파크먼 ;1952;1961;1961;SL;Corporate Suit;High;M6212;X
240173;Foreign Minister;딘 애치슨 ;1949;1972;1972;SL;Biased Intellectual;High;M6198;X
240174;Foreign Minister;앨런 테이트 ;1948;1980;1980;ML;Apologetic Clerk;High;M6214;X
240175;Foreign Minister;존 포스터 덜레스 ;1952;1960;1960;ML;Iron Fisted Brute;High;M6215;X
240176;Foreign Minister;쿨버트 래비 올슨 ;1952;1963;1963;SL;Great Compromiser;High;M6216;X
240177;Minister of Armament;존 W. 스나이더 ;1948;1954;1954;SL;Theoretical Scientist;High;M6217;X
240178;Minister of Armament;조셉 브래큰 리 ;1948;1997;1997;ML;Infantry Proponent;High;M6218;X
240179;Minister of Armament;조지 M. 험프리 ;1952;1971;1971;ML;Balanced budget economy;High;M6219;X
240180;Minister of Armament;허버트 R. 오코너 ;1952;1961;1961;SL;Submarine Proponent;High;M6220;X
240181;Minister of Security;줄리어스 A. 크루그 ;1948;1971;1971;SL;Silent Lawyer;Very High;M6221;X
240182;Minister of Security;오스카 L. 챔프먼 ;1951;1979;1979;SL;Man of the People;Very High;M6222;X
240183;Minister of Security;고든 J. 나이트 ;1948;1964;1964;ML;Back Stabber;Very High;M6223;X
240184;Minister of Security;더글러스 맥케이 ;1952;1960;1960;ML;Prince of Terror;Very High;M6224;X
240185;Minister of Security;프랭크 J. 로셔 ;1952;1970;1970;SL;Compassionate Gentleman;Very High;M6225;X
240186;Head of Military Intelligence;월터 베델 스미스 ;1950;1962;1962;SL;Logistics Specialist;Very High;L60031;X
240187;Head of Military Intelligence;존 하워드 파일 ;1948;1988;1988;ML;Industrial Specialist;Very High;M6227;X
240188;Head of Military Intelligence;앨런 W. 덜레스 ;1952;1970;1970;ML;Dismal Enigma;Very High;M6228;X
240189;Head of Military Intelligence;월리엄 프레스턴 레인 ;1952;1968;1968;SL;Industrial Specialist;Very High;M6229;X
240190;Chief of Staff;오마르 N. 브래들리 ;1948;1954;1954;ML;School of Mass Combat;High;M6145;X
240191;Chief of Army;J. 로턴 콜린스 ;1948;1988;1988;ML;Decisive Battle Doctrine;High;L60105;X
240192;Chief of Navy;루이스 E. 덴펠드 ;1948;1973;1973;ML;Open Seas Doctrine;High;M6232;X
240193;Chief of Navy;포레스트 P. 셔먼 ;1949;1952;1952;ML;Indirect Approach Doctrine;High;L60464;X
240194;Chief of Navy;월리엄 R. 페첼러 ;1951;1968;1968;ML;Power Projection Doctrine;High;L60402;X
240195;Chief of Air Force;호이트 반덴버그 ;1948;1955;1955;ML;Vertical Envelopment Doctrine;Medium;M6235;X
240196;Head of State;더글러스 맥아더 ;1952;1965;1965;SC;Resigned Generalissimo;Medium;L60250;X
240197;Head of Military Intelligence;찰스 윌로비 ;1952;1973;1973;PA;Dismal Enigma;High;M6237;X
240198;Minister of Security;조셉 매카시 ;1952;1958;1958;ML;Man of the People;High;M6238;X
240199;Head of Government;조셉 매카시 ;1952;1958;1958;ML;Political Protege;High;M6238;X
240200;Foreign Minister;크리스티안 A. 허터 ;1959;1967;1967;ML;Apologetic Clerk;High;M6240;X
240201;Head of State;리처드 M. 닉슨 ;1960;1969;1969;ML;Ruthless Powermonger;High;M6211;X
240202;Head of State;존 F. 케네디 ;1960;1964;2003;SL;Autocratic Charmer;High;M6242;X
240203;Head of Government;헨리 캐벗 로지 ;1960;1969;1969;ML;Political Protege;High;M6243;X
240204;Head of Government;린든 B. 존슨 ;1960;1974;1974;SL;Ambitious Union Boss;High;M6244;X
240205;Head of Government;에스테스 케포버 ;1956;1964;1964;SL;Backroom Backstabber;High;M6245;X
240206;Foreign Minister;스트롬 서몬드 ;1960;2004;2004;SC;Iron Fisted Brute;High;M6051;X
240207;Foreign Minister;딘 러스크 ;1960;1970;1970;SL;Ideological Crusader;High;M6247;X
240208;Minister of Armament;로버트 B. 앤더슨 ;1956;1962;1962;ML;Resource Industrialist;High;M6248;X
240209;Minister of Armament;로버트 A. 러빗 ;1956;1987;1987;SL;Military Entrepreneur;High;M6249;X
240210;Minister of Armament;C. 더글러스 딜론 ;1958;1976;1976;SL;Submarine Proponent;High;M6250;X
240211;Minister of Armament;넬슨 A. 록펠러 ;1950;1979;1979;ML;laissez-faire capitalist;High;M6251;X
240212;Head of Military Intelligence;피터 C. 라일리 ;1956;1964;1964;SL;Political Specialist;Very High;M6252;X
240213;Head of Military Intelligence;존 A. 맥콘 ;1960;1966;1966;SL;Technical Specialist;Very High;M6253;X
240214;Head of State;린든 B. 존슨 ;1963;1974;1974;SL;Stern Imperialist;High;M6244;X
240215;Head of Government;허버트 험프리 ;1963;1974;1974;SL;Silent Workhorse;High;M6255;X
240216;Chief of Staff;아서 W. 래드포드 ;1954;1974;1974;ML;School of Psychology;High;M6256;X
240217;Chief of Staff;나산 F. 트위닝 ;1957;1961;1961;ML;School of Fire Support;High;L60560;X
240218;Chief of Staff;라이먼 L. 렘니처 ;1960;1970;1970;SL;School of Mass Combat;High;L60244;X
240219;Chief of Staff;맥스웰 D. 테일러 ;1962;1971;1971;SL;School of Manoeuvre;High;L60348;X
240220;Chief of Army;매튜 B. 릿지웨이 ;1953;1956;1956;ML;Guns and Butter Doctrine;High;L60311;X
240221;Chief of Army;맥스웰 D. 테일러 ;1955;1971;1971;ML;Elastic Defence Doctrine;High;L60348;X
240222;Chief of Army;라이먼 L. 렘니처 ;1959;1964;1964;ML;Armoured Spearhead Doctrine;High;L60244;X
240223;Chief of Army;조지 H. 덱커 ;1960;1963;1963;SL;Decisive Battle Doctrine;High;L60127;X
240224;Chief of Army;얼 G. 휠러 ;1962;1971;1971;SL;Static Defence Doctrine;High;L60368;X
240225;Chief of Navy;로버트 B. 카니 ;1953;1956;1956;ML;Indirect Approach Doctrine;High;M6265;X
240226;Chief of Navy;알레이 A. 버크 ;1955;1962;1962;ML;Decisive Naval Battle Doctrine;High;L60386;X
240227;Chief of Navy;조지 W. 앤더슨 ;1961;1964;1964;SL;Open Seas Doctrine;High;L60380;X
240228;Chief of Navy;데이비드 L. 맥도날드 ;1963;1968;1968;SL;Power Projection Doctrine;High;M6268;X
240229;Chief of Air Force;나산 F. 트위닝 ;1953;1961;1961;ML;Air Superiority Doctrine;Medium;L60560;X
240230;Chief of Air Force;토마스 D. 화이트 ;1957;1962;1962;ML;Army Aviation Doctrine;Medium;L60370;X
240231;Chief of Air Force;커티스 르메이 ;1943;1966;1966;SC;Carpet Bombing Doctrine;Medium;L60532;X
240232;Head of Government;해리 I. 홉킨스 ;1933;1947;1947;SL;Silent Workhorse;Very High;M6078;X
240233;Chief of Air Force;찰스 챈들러 ;1912;1921;1921;SL;Army Aviation Doctrine;High;3597;X
240234;Chief of Air Force;월리엄 미첼 ;1912;1926;1926;PA;Air Superiority Doctrine;High;3598;X
240236;Chief of Air Force;월리엄 L. 켄리 ;1917;1929;1929;ML;Air Superiority Doctrine;High;3998;X
240237;Chief of Air Force;벤자민 퓨로이스 ;1908;1936;1936;ML;Army Aviation Doctrine;High;3599;X
240238;Chief of Air Force;메이슨 패트릭 ;1918;1928;1928;ML;Air Superiority Doctrine;High;3600;X
240239;Chief of Air Force;찰스 T. 메노허 ;1918;1927;1927;ML;Army Aviation Doctrine;High;3601;X
240241;Chief of Army;사무엘 영 ;1861;1905;1905;ML;Decisive Battle Doctrine;High;3602;X
240242;Chief of Army;애드너 R. 채피 ;1904;1915;1915;ML;Decisive Battle Doctrine;High;3603;X
240243;Chief of Army;존 C. 베이츠 ;1906;1920;1920;ML;Decisive Battle Doctrine;High;3604;X
240244;Chief of Army;J. 프랭클린 벨 ;1906;1920;1920;ML;Decisive Battle Doctrine;High;3605;X
240246;Chief of Army;레오나드 우드 ;1912;1928;1928;PA;Decisive Battle Doctrine;High;3606;X
240247;Chief of Army;월리엄 W. 워더스푼 ;1914;1922;1922;ML;static defence doctrine;High;3607;X
240248;Chief of Army;휴 L. 스콧 ;1914;1920;1920;ML;Decisive Battle Doctrine;High;3608;X
240249;Chief of Army;타스커 H. 블리스 ;1917;1931;1931;ML;Decisive Battle Doctrine;High;3609;X
240250;Chief of Army;페이턴 C. 마치 ;1918;1921;1921;ML;Decisive Battle Doctrine;High;3610;X
240251;Chief of Army;존 J. 퍼싱 ;1921;1924;1924;ML;Guns and Butter Doctrine;High;3611;X
240252;Chief of Army;존 L. 하인즈 ;1924;1933;1933;ML;static defence doctrine;High;3612;X
240253;Chief of Army;넬슨 A. 마일즈 ;1898;1926;1926;ML;Decisive Battle Doctrine;High;3613;X
240254;Chief of Navy;월리엄 S. 벤슨 ;1912;1932;1932;SD;Decisive Naval Battle Doctrine;High;3614;X
240255;Chief of Navy;월리엄 S. 벤슨 ;1912;1932;1932;FA;Decisive Naval Battle Doctrine;High;3614;X
240256;Chief of Navy;로버트 E. 쿤츠 ;1919;1929;1929;ML;Open Seas Doctrine;High;3615;X
240257;Chief of Navy;에드워드 W. 에벌리 ;1923;1929;1929;ML;Base Control Doctrine;High;3616;X
240259;Chief of Navy;조지 듀이 ;1900;1917;1917;ML;Decisive Naval Battle Doctrine;High;3617;X
240260;Chief of Staff;사무엘 영 ;1861;1905;1905;ML;School of Fire Support;High;3602;X
240261;Chief of Staff;애드너 R. 채피 ;1904;1915;1915;ML;School of Fire Support;High;3603;X
