JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
50041;Foreign Minister;고노에 후미마로 ;1926;1946;1946;PA;Apologetic Clerk;Medium;M5034;X
50042;Foreign Minister;아리타 하치로 ;1919;1966;1966;FA;Ideological Crusader;Medium;M5057;X
50043;Foreign Minister;아베 노부유키 ;1910;1954;1954;FA;Iron Fisted Brute;Medium;M5035;X
50044;Foreign Minister;노무라 기치사부로 ;1912;1965;1965;PA;General Staffer;Medium;M5059;X
50045;Foreign Minister;마쓰오카 요스케 ;1915;1947;1947;PA;Ideological Crusader;Medium;M5060;X
50046;Foreign Minister;도요다 데이지로 ;1920;1962;1962;PA;Iron Fisted Brute;Medium;M5061;X
50047;Foreign Minister;하야시 센주로 ;1911;1944;1944;PA;General Staffer;Medium;M5033;X
50048;Foreign Minister;도고 시게노리 ;1917;1951;1951;FA;Biased Intellectual;Medium;M5065;X
50049;Foreign Minister;다니 마사유키 ;1924;1963;1963;FA;Apologetic Clerk;Medium;M5066;X
50050;Foreign Minister;시게미쓰 마모루 ;1922;1958;1958;FA;Great Compromiser;Medium;M5050;X
50051;Foreign Minister;시가 요시오 ;1936;1990;1990;LE;Biased Intellectual;Very Low;M5013;X
50052;Minister of Armament;요시노 신지 ;1923;1972;1972;SD;Laissez-Faire Capitalist;Very High;M5069;X
50053;Minister of Armament;미즈타니 조사부로 ;1932;1961;1961;SD;Resource Industrialist;High;M5070;X
50054;Minister of Armament;호시지마 니로 ;1922;1981;1981;SD;Administrative Genius;Medium;M5071;X
50055;Minister of Armament;오가와 고타로 ;1911;1946;1946;SC;Resource Industrialist;Medium;M5072;X
50056;Minister of Armament;고도 다쿠오 ;1912;1957;1957;SC;Battle Fleet Proponent;Medium;M5073;X
50057;Minister of Armament;요시다 시게루 ;1913;1968;1968;SC;Balanced Budget Economy;Medium;M5031;X
50058;Minister of Armament;시데하라 기주로 ;1907;1952;1952;SC;Tank Proponent;High;M5030;X
50059;Minister of Armament;하토야마 이치로 ;1918;1960;1960;SC;Administrative Genius;High;M5032;X
50060;Minister of Armament;호시지마 니로 ;1922;1981;1981;SC;Military Entrepreneur;Very High;M5071;X
50061;Minister of Armament;오가사와라 산쿠로 ;1920;1968;1968;SC;Laissez-Faire Capitalist;Medium;M5079;X
50062;Minister of Armament;가와사키 다쿠키치 ;1906;1937;1937;PA;Air Superiority Proponent;Medium;M5080;X
50063;Minister of Armament;이케다 시게아키 ;1902;1951;1951;PA;Resource Industrialist;High;M5081;X
50064;Minister of Armament;핫타 요시아키 ;1914;1965;1965;PA;Military Entrepreneur;Medium;M5082;X
50065;Minister of Armament;고바야시 세이이치 ;1999;1999;1999;PA;Laissez-Faire Capitalist;Medium;unknownminister;X
50066;Minister of Armament;후지와라 긴지로 ;1904;1961;1961;PA;Administrative Genius;Medium;M5084;X
50067;Minister of Armament;기시 노부스케 ;1931;1988;1988;PA;Theoretical Scientist;Medium;M5085;X
50068;Minister of Armament;도요다 데이지로 ;1920;1962;1962;PA;Air to Ground Proponent;Medium;M5061;X
50069;Minister of Armament;사콘지 세이조 ;1914;1970;1970;PA;Submarine Proponent;Medium;M5087;X
50070;Minister of Armament;데라우치 히사이치 ;1914;1947;1947;PA;Tank Proponent;High;M5039;X
50071;Minister of Armament;요나이 미쓰마사 ;1915;1949;1949;PA;Battle Fleet Proponent;High;M5036;X
50072;Minister of Armament;쇼다 가즈에 ;1931;1949;1949;FA;Military Entrepreneur;High;M5090;X
50073;Minister of Armament;고바야시 이치조 ;1908;1958;1958;FA;Resource Industrialist;High;M5083;X
50074;Minister of Armament;도조 히데키 ;1919;1949;1949;FA;Infantry Proponent;Medium;M5042;X
50075;Minister of Armament;나카지마 지쿠헤이 ;1919;1950;1950;FA;Air to Sea Proponent;Medium;M5093;X
50076;Minister of Armament;가토 소토마쓰 ;1999;1999;1999;FA;Tank Proponent;Medium;M5094;X
50077;Minister of Armament;도쿠다 규이치 ;1929;1954;1954;LWR;Resource Industrialist;Low;M5014;X
50078;Minister of Security;야마모토 다쓰오 ;1891;1948;1948;SD;Compassionate Gentleman;High;2796;X
50079;Minister of Security;고토 후미오 ;1919;1981;1981;SD;Silent Lawyer;High;9935;X
50080;Minister of Security;기무라 고자에몬 ;1923;1953;1953;SD;Man of the People;High;M5098;X
50081;Minister of Security;가와라다 가키치 ;1921;1956;1956;SC;Man of the People;High;M5099;X
50082;Minister of Security;오하라 나오시 ;1912;1968;1968;SC;Back Stabber;Medium;M5100;X
50083;Minister of Security;오무라 세이이치 ;1927;1969;1969;SC;Silent Lawyer;Very High;M5101;X
50084;Minister of Security;호리키리 젠지로 ;1919;1980;1980;SC;Crime Fighter;Medium;M5102;X
50085;Minister of Security;야마자키 이와오 ;1929;1969;1969;SC;Man of the People;Medium;M5103;X
50086;Minister of Security;우시오 시게노스케 ;1916;1956;1956;PA;Crime Fighter;Very High;M5105;X
50087;Minister of Security;스에쓰구 노부마사 ;1915;1945;1945;PA;Silent Lawyer;Medium;M5106;X
50088;Minister of Security;바바 에이이치 ;1914;1938;1938;PA;Prince of Terror;Medium;M5107;X
50089;Minister of Security;기도 고이치 ;1924;1978;1978;PA;Crime Fighter;Medium;M5108;X
50090;Minister of Security;야스이 에이지 ;1925;1983;1983;PA;Crooked Kleptocrat;High;M5110;X
50091;Minister of Security;고바야시 세이조 ;1912;1963;1963;PA;Man of the People;High;M5111;X
50092;Minister of Security;다나베 하무미치 ;1913;1951;1951;PA;Man of the People;Medium;M5112;X
50093;Minister of Security;유자와 미치오 ;1923;1964;1964;PA;Silent Lawyer;Medium;M5113;X
50094;Minister of Security;아베 겐키 ;1929;1990;1990;PA;Silent Lawyer;Medium;M5114;X
50095;Minister of Security;후지에 게이스케 ;1920;1970;1970;FA;Prince of Terror;Medium;M5115;X
50096;Minister of Security;나카지마 게사고 ;1916;1946;1946;FA;Man of the People;Medium;M5116;X
50097;Minister of Security;다나카 시즈이치 ;1922;1946;1946;FA;Back Stabber;Medium;M5117;X
50098;Minister of Security;히라바야시 모리토 ;1922;1969;1969;FA;Silent Lawyer;Medium;M5118;X
50099;Minister of Security;히라누마 기치로 ;1902;1953;1953;FA;Prince of Terror;Medium;M5041;X
50100;Minister of Security;데시마 후사타로 ;1924;1980;1980;FA;Crime Fighter;Medium;M5120;X
50101;Minister of Security;고다마 히데오 ;1911;1948;1948;FA;Silent Lawyer;Low;M5109;X
50102;Minister of Security;나카무라 아케토 ;1924;1967;1967;FA;Crime Fighter;Medium;M5122;X
50103;Minister of Security;도조 히데키 ;1919;1949;1949;FA;Secret Police Chief;Medium;M5042;X
50104;Minister of Security;가토 하쿠지로 ;1922;1952;1952;FA;Man of the People;Medium;M5124;X
50105;Minister of Security;오다치 시게오 ;1927;1956;1956;FA;Man of the People;Medium;M5125;X
50106;Minister of Security;이무라 조 ;1923;1977;1977;FA;Crime Fighter;Medium;M5126;X
50107;Minister of Security;노사카 산조 ;1927;1994;1994;LE;Man of the People;Very High;M5011;X
50108;Head of Military Intelligence;노사카 산조 ;1927;1994;1994;SD;Industrial Specialist;Low;M5011;X
50109;Head of Military Intelligence;가타야마 데쓰 ;1922;1979;1979;SD;Naval Intelligence Specialist;Medium;M5027;X
50110;Head of Military Intelligence;우가키 가즈시게 ;1931;1957;1957;SC;Political Specialist;Medium;M5028;X
50111;Head of Military Intelligence;마치다 주지 ;1898;1947;1947;SC;Technical Specialist;High;M5004;X
50112;Head of Military Intelligence;오가와 고타로 ;1911;1946;1946;SC;Dismal Enigma;Medium;M5072;X
50113;Head of Military Intelligence;호리키리 젠지로 ;1919;1980;1980;SC;Logistics Specialist;Medium;M5102;X
50114;Head of Military Intelligence;다카스 시로 ;1919;1945;1945;PA;Industrial Specialist;Medium;M5134;X
50115;Head of Military Intelligence;노무라 나오쿠니 ;1920;1974;1974;PA;Naval Intelligence Specialist;Medium;M5135;X
50116;Head of Military Intelligence;가노 지고로 ;1895;1939;1939;PA;Dismal Enigma;Medium;M5136;X
50117;Head of Military Intelligence;오카 다카즈미 ;1925;1974;1974;PA;Logistics Specialist;Medium;M5137;X
50118;Head of Military Intelligence;마에다 미노루 ;1928;1991;1991;PA;Technical Specialist;Medium;M5138;X
50119;Head of Military Intelligence;스즈키 간타로 ;1903;1949;1949;PA;Political Specialist;Medium;M5037;X
50120;Head of Military Intelligence;혼마 마사하루 ;1922;1947;1947;FA;Dismal Enigma;Medium;M5141;X
50121;Head of Military Intelligence;히구치 기이치로 ;1923;1971;1971;FA;Logistics Specialist;Medium;M5142;X
50122;Head of Military Intelligence;아라키 사다오 ;1912;1967;1967;FA;Naval Intelligence Specialist;Medium;M5143;X
50123;Head of Military Intelligence;쓰치하시 유이쓰 ;1916;1973;1973;FA;Technical Specialist;Medium;M5144;X
50124;Head of Military Intelligence;고이소 구니아키 ;1915;1951;1951;FA;Industrial Specialist;Medium;M5043;X
50125;Head of Military Intelligence;미야모토 겐지 ;1943;1999;1999;LE;Industrial Specialist;Medium;M5012;X
50126;Chief of Staff;나카자와 다스쿠 ;1929;1978;1978;SD;School of Psychology;Very Low;M5147;X
50127;Chief of Staff;오사무라 가지카 ;1999;1999;1999;SD;School of Fire Support;Very Low;M5148;X
50128;Chief of Staff;하야시다 히로쓰구 ;1999;1999;1999;SC;School of Fire Support;Very Low;M5149;X
50129;Chief of Staff;다시로 가니치로 ;1916;1938;1938;SC;Commando Doctrine Staff;Very Low;M5150;X
50130;Chief of Staff;다니가와 가즈오 ;1934;1955;1955;SC;School of Mass Combat;Very Low;M5151;X
50131;Chief of Staff;아베 노부유키 ;1910;1954;1954;PA;School of Fire Support;Medium;M5035;X
50132;Chief of Staff;미카와 군이치 ;1923;1982;1982;PA;School of Psychology;Medium;M5154;X
50133;Chief of Staff;스기야마 하지메 ;1915;1946;1946;FA;School of Defence;Medium;M5155;X
50134;Chief of Staff;도조 히데키 ;1919;1949;1949;FA;School of Psychology;Medium;M5042;X
50135;Chief of Staff;우메즈 요시지로 ;1917;1950;1950;FA;School of Fire Support;Medium;M5157;X
50136;Chief of Staff;구사카 류노스케 ;1927;1972;1972;LWR;School of Defence;Medium;M5017;X
50137;Chief of Army;이마이 다케오 ;1933;1983;1983;SD;Elastic Defence Doctrine;Medium;M5018;X
50138;Chief of Army;이나바 사토루 ;1999;1999;1999;SC;Guns and Butter Doctrine;Medium;M5160;X
50139;Chief of Army;쓰치하시 유이쓰 ;1916;1973;1973;SC;Decisive Battle Doctrine;Medium;M5144;X
50140;Chief of Army;후지오카 다케오 ;1926;1946;1946;PA;Elastic Defence Doctrine;Very Low;M5163;X
50141;Chief of Army;아오쓰 기쿠타로 ;1932;1948;1948;PA;Doctrine of Autonomy;Very Low;M5164;X
50142;Chief of Army;스기야마 하지메 ;1915;1946;1946;FA;Decisive Battle Doctrine;Medium;M5155;X
50143;Chief of Army;도조 히데키 ;1919;1949;1949;FA;Elastic Defence Doctrine;Medium;M5042;X
50144;Chief of Army;우메즈 요시지로 ;1917;1950;1950;FA;Guns and Butter Doctrine;Medium;M5157;X
50145;Chief of Navy;가와이 아키라 ;1999;1999;1999;SD;Open Seas Doctrine;Medium;M5019;X
50146;Chief of Navy;시마다 시게타로 ;1918;1977;1977;SC;Open Seas Doctrine;Medium;M5170;X
50147;Chief of Navy;도요다 소에무 ;1920;1958;1958;FA;Decisive Naval Battle Doctrine;Medium;M5171;X
50148;Chief of Navy;후지타 히사노리 ;1915;1971;1971;PA;Decisive Naval Battle Doctrine;Medium;M5172;X
50149;Chief of Navy;나가노 오사미 ;1915;1948;1948;PA;Power Projection Doctrine;Medium;M5173;X
50150;Chief of Navy;오키카와 고시로 ;1918;1959;1959;PA;Base Control Doctrine;Medium;M5175;X
50151;Chief of Air Force;후쿠이 요시오 ;1999;1999;1999;SD;Air Superiority Doctrine;Medium;M5020;X
50152;Chief of Air Force;이노우에 시게요시 ;1924;1976;1976;SC;Naval Aviation Doctrine;Medium;M5180;X
50153;Chief of Air Force;쓰카하라 니시조 ;1922;1967;1967;SC;Air Superiority Doctrine;Medium;M5181;X
50154;Chief of Air Force;오이카와 고시로 ;1918;1959;1959;PA;Naval Aviation Doctrine;Medium;M5175;X
50155;Chief of Air Force;히가시쿠니 나루히코 ;1922;1991;1991;PA;Carpet Bombing Doctrine;Medium;M5038;X
50156;Chief of Air Force;도요다 데이지로 ;1920;1962;1962;PA;Vertical Envelopment Doctrine;Medium;M5061;X
50157;Chief of Air Force;와다 미사오 ;1924;1982;1982;PA;Vertical Envelopment Doctrine;Medium;M5182;X
50158;Chief of Air Force;하타 슌로쿠 ;1914;1963;1963;FA;Army Aviation Doctrine;Medium;M5189;X
50159;Chief of Air Force;도조 히데키 ;1919;1949;1949;FA;Army Aviation Doctrine;Medium;M5042;X
50160;Chief of Air Force;야마시타 도모유키 ;1920;1947;1947;FA;Carpet Bombing Doctrine;Medium;M5192;X
50161;Chief of Air Force;도이하라 겐지 ;1918;1949;1949;FA;Naval Aviation Doctrine;Medium;M5193;X
50162;Chief of Air Force;아나미 고레치카 ;1922;1946;1946;FA;Vertical Envelopment Doctrine;Medium;M5194;X
50163;Chief of Air Force;우시로쿠 준 ;1919;1974;1974;FA;Army Aviation Doctrine;Medium;M5195;X
50164;Chief of Air Force;스가와라 미치오 ;1923;1984;1984;FA;Air Superiority Doctrine;Medium;M5196;X
50165;Chief of Air Force;가와베 마사카즈 ;1921;1966;1966;PA;Army Aviation Doctrine;Medium;M5197;X
50166;Foreign Minister;도조 히데키 ;1919;1949;1949;FA;General Staffer;Medium;M5042;X
50167;Chief of Navy;야마모토 이소로쿠 ;1919;1944;1944;FA;Power Projection Doctrine;Very High;M5010;X
50168;Chief of Navy;고가 미네이치 ;1920;1945;1945;FA;Decisive Naval Battle Doctrine;Very High;L101243;X
50169;Chief of Navy;오자와 지사부로 ;1921;1967;1967;PA;Open Seas Doctrine;High;L101273;X
50170;Head of Government;고노에 후미마로 ;1999;1999;1999;PA;Flamboyant Tough Guy;High;M5034;X
50171;Foreign Minister;스즈키 간타로 ;1903;1949;1949;PA;Biased Intellectual;High;M5037;X
50172;Head of State;히로히토 ;1901;1990;1990;SD;Benevolent Gentleman;High;M5001;X
50173;Head of State;히로히토 ;1901;1990;1990;ML;Benevolent Gentleman;High;M5001;X
50174;Head of Government;아시다 히토시 ;1931;1960;1960;SL;Smiling Oilman;High;M5046;X
50175;Minister of Security;이시바시 단잔 ;1919;1974;1974;SC;Silent Lawyer;Medium;M5210;X
50176;Head of Government;이시바시 단잔 ;1928;1974;1974;SC;Silent Workhorse;High;M5210;X
50177;Head of Government;기시 노부스케 ;1940;1988;1988;SC;Backroom Backstabber;High;M5085;X
50178;Head of Government;이케다 하야토 ;1943;1957;1957;SC;Corporate Suit;High;M5213;X
50179;Head of Government;니시오 스에히로 ;1935;1982;1982;SD;Flamboyant Tough Guy;High;M5214;X
50180;Foreign Minister;구보타 가니치로 ;1937;1978;1978;SD;Iron Fisted Brute;Medium;M5215;X
50181;Foreign Minister;기시 노부스케 ;1931;1988;1988;SC;Ideological Crusader;Medium;M5085;X
50182;Foreign Minister;후지야마 아이이치로 ;1932;1986;1986;SC;Apologetic Clerk;Medium;M5217;X
50183;Foreign Minister;고사카 젠타로 ;1947;1999;1999;SC;Biased Intellectual;Medium;M5218;X
50184;Foreign Minister;오히라 마사요시 ;1945;1981;1981;SC;The Cloak N Dagger Schemer;Medium;M5219;X
50185;Minister of Armament;이케다 하야토 ;1934;1966;1966;SC;Infantry Proponent;High;M5213;X
50186;Minister of Armament;무카이 다다하루 ;1920;1983;1983;SC;Strategic Air Proponent;High;M5221;X
50187;Minister of Armament;이치마다 히사토 ;1928;1985;1985;SC;Submarine Proponent;High;M5222;X
50188;Minister of Armament;사토 에이사쿠 ;1936;1976;1976;SC;Administrative Genius;High;M5223;X
50189;Minister of Armament;미즈타 미키오 ;1940;1977;1977;SC;Resource Industrialist;High;M5224;X
50190;Minister of Armament;다나카 가쿠에이 ;1953;1994;1994;SC;Corrupt Kleptocrat;High;M5225;X
50191;Minister of Armament;니시오 스에히로 ;1926;1982;1982;SD;Military Entrepreneur;Medium;M5214;X
50192;Minister of Armament;우사미 마코토 ;1936;1984;1984;SD;Theoretical Scientist;Medium;M5227;X
50193;Minister of Security;오하시 다케오 ;1939;1982;1982;SC;Crooked Kleptocrat;Medium;M5228;X
50194;Minister of Security;기무라 도쿠타로 ;1921;1983;1983;SC;Efficient Sociopath;Medium;M5229;X
50195;Minister of Security;이누카이 다케루 ;1931;1961;1961;SC;Back Stabber;Medium;M5230;X
50196;Minister of Security;나카무라 우메키치 ;1936;1985;1985;SC;Compassionate Gentleman;Medium;M5231;X
50197;Minister of Security;우에키 고시로 ;1935;1981;1981;SC;Silent Lawyer;Medium;M5232;X
50198;Minister of Security;하나무라 시로 ;1926;1964;1964;SD;Prince of Terror;Medium;M5233;X
50199;Minister of Security;모리나가 데이이치로 ;1945;1987;1987;SD;Crime Fighter;Medium;M5234;X
50200;Head of Military Intelligence;가토 료고로 ;1918;1971;1971;SC;Political Specialist;Medium;M5235;X
50201;Head of Military Intelligence;오하라 나오시 ;1912;1968;1968;SC;Technical Specialist;Medium;M5236;X
50202;Head of Military Intelligence;하나무라 시로 ;1926;1964;1964;SD;Dismal Enigma;Medium;M5233;X
50203;Chief of Air Force;히노 구마조 ;1913;1947;1947;SD;Army Aviation Doctrine;Medium;2735;X
50204;Chief of Air Force;이노우에 이쿠타로 ;1907;1966;1966;ML;Air Superiority Doctrine;Medium;2736;X
50205;Chief of Air Force;시라카와 요시노리 ;1904;1933;1933;ML;Vertical Envelopment Doctrine;Medium;2737;X
50206;Chief of Air Force;도쿠가와 요시토시 ;1919;1964;1964;ML;Army Aviation Doctrine;Very High;2738;X
50207;Chief of Air Force;이노우에 니로 ;1899;1920;1920;PA;Air Superiority Doctrine;Medium;9882;X
50208;Chief of Air Force;야마모토 에이스케 ;1911;1963;1963;ML;Naval Aviation Doctrine;Medium;2739;X
50209;Chief of Army;하세가와 요시미치 ;1885;1925;1925;SC;Decisive Battle Doctrine;Medium;2740;X
50210;Chief of Army;가와이 미사오 ;1899;1942;1942;SC;Guns and Butter Doctrine;Medium;2741;X
50211;Chief of Army;기고시 야스쓰나 ;1889;1933;1933;SL;Elastic Defence Doctrine;Medium;2742;X
50212;Chief of Army;구스노세 유키히코 ;1893;1928;1928;ML;Elastic Defence Doctrine;Very High;2743;X
50213;Chief of Army;오카 이치노스케 ;1895;1917;1917;ML;Static Defence Doctrine;Medium;2744;X
50214;Chief of Army;오쿠 야스카타 ;1882;1931;1931;PA;Static Defence Doctrine;Medium;2745;X
50215;Chief of Army;오시마 겐이치 ;1893;1948;1948;PA;Decisive Battle Doctrine;Medium;2746;X
50216;Chief of Army;간인노미야 고토히토 ;1900;1931;1931;NS;Decisive Battle Doctrine;Medium;2747;X
50217;Chief of Army;시라카와 요시노리 ;1904;1933;1933;SD;Static Defence Doctrine;Medium;2737;X
50218;Chief of Army;다카시마 도모노스케 ;1879;1917;1917;PA;Decisive Battle Doctrine;Medium;2748;X
50219;Chief of Army;다나카 기이치 ;1899;1930;1930;ML;Guns and Butter Doctrine;Medium;2749;X
50220;Chief of Army;데라우치 마사타케 ;1887;1920;1920;PA;Static Defence Doctrine;Medium;2750;X
50221;Chief of Army;우에하라 요사쿠 ;1891;1934;1934;FA;Guns and Butter Doctrine;Medium;2751;X
50222;Chief of Army;우가키 가즈시게 ;1903;1931;1931;FA;Armoured Spearhead Doctrine;Medium;2752;X
50223;Chief of Navy;이주인 고로 ;1887;1922;1922;SD;Base Control Doctrine;Medium;2753;X
50224;Chief of Navy;가토 히로하루 ;1905;1940;1940;FA;Decisive Naval Battle Doctrine;Medium;2754;X
50225;Chief of Navy;가토 도모사부로 ;1896;1924;1924;ML;Decisive Naval Battle Doctrine;Medium;2755;X
50226;Chief of Navy;무라카미 가쿠이치 ;1897;1928;1928;SD;Base Control Doctrine;Medium;2756;X
50227;Chief of Navy;오카다 게이스케 ;1903;1953;1953;SD;Indirect Approach Doctrine;Medium;M5002;X
50228;Chief of Navy;후시미노미야 히로야스 ;1910;1947;1947;NS;Base Control Doctrine;Medium;2758;X
50229;Chief of Navy;사이토 마코토 ;1893;1937;1937;ML;Decisive Naval Battle Doctrine;High;2759;X
50230;Chief of Navy;다카라베 다케시 ;1902;1950;1950;ML;Indirect Approach Doctrine;Medium;2760;X
50231;Chief of Navy;도고 헤이하치로 ;1883;1935;1935;FA;Decisive Naval Battle Doctrine;Medium;2761;X
50232;Chief of Navy;야마모토 곤노효에 ;1887;1934;1934;ML;Power Projection Doctrine;Medium;2762;X
50233;Chief of Navy;야시로 로쿠로 ;1895;1931;1931;ML;Open Seas Doctrine;Medium;2763;X
50234;Chief of Staff;하세가와 요시미치 ;1885;1925;1925;SC;School of Fire Support;Medium;2740;X
50235;Chief of Staff;가와이 미사오 ;1899;1942;1942;SC;School of Fire Support;Medium;2741;X
50236;Chief of Staff;기고시 야스쓰나 ;1889;1933;1933;SL;School of Defence;Medium;2742;X
50237;Chief of Staff;구스노세 유키히코 ;1893;1928;1928;ML;School of Psychology;Very High;2743;X
50238;Chief of Staff;오카 이치노스케 ;1895;1917;1917;ML;School of Fire Support;Medium;2744;X
50239;Chief of Staff;오쿠 야스카타 ;1882;1931;1931;PA;School of Defence;Medium;2745;X
50240;Chief of Staff;오시마 겐이치 ;1893;1948;1948;PA;School of Mass Combat;Medium;2746;X
50241;Chief of Staff;간인노미야 고토히토 ;1900;1931;1931;NS;School of Mass Combat;Medium;2747;X
50242;Chief of Staff;시라카와 요시노리 ;1904;1933;1933;SD;School of Defence;Medium;2737;X
50243;Chief of Staff;다카시마 도모노스케 ;1879;1917;1917;PA;School of Fire Support;Medium;2748;X
50244;Chief of Staff;다나카 기이치 ;1899;1930;1930;ML;School of Psychology;Medium;2749;X
50245;Chief of Staff;데라우치 마사타케 ;1887;1920;1920;PA;School of Fire Support;Medium;2750;X
50246;Chief of Staff;우에하라 요사쿠 ;1891;1934;1934;FA;School of Fire Support;Medium;2751;X
50247;Chief of Staff;우가키 가즈시게 ;1903;1931;1931;FA;School of Fire Support;Medium;2752;X
50248;Foreign Minister;아라하타 간손 ;1922;1982;1982;ST;General Staffer;Medium;2764;X
50249;Foreign Minister;이누카이 쓰요시 ;1890;1933;1933;SD;General Staffer;Medium;2765;X
50250;Foreign Minister;이시이 기쿠지로 ;1901;1946;1946;ML;Great Compromiser;Medium;2766;X
50251;Foreign Minister;가토 다카아키 ;1895;1927;1927;SL;Apologetic Clerk;Medium;2767;X
50252;Foreign Minister;기요우라 게이고 ;1885;1943;1943;FA;Biased Intellectual;Medium;2768;X
50253;Foreign Minister;마키노 노부아키 ;1896;1950;1950;ML;Biased Intellectual;High;2769;X
50254;Foreign Minister;모토노 이치로 ;1897;1919;1919;PA;The Cloak N Dagger Schemer;Medium;2770;X
50255;Foreign Minister;오쿠마 시게노부 ;1873;1923;1923;ML;General Staffer;Medium;2771;X
50256;Foreign Minister;사이온지 긴모치 ;1884;1941;1941;ML;Great Compromiser;Medium;2772;X
50257;Foreign Minister;시데하라 기주로 ;1907;1952;1952;SD;Great Compromiser;Medium;M5030;X
50258;Foreign Minister;데라우치 마사타케 ;1887;1920;1920;PA;General Staffer;Medium;2750;X
50259;Foreign Minister;우치다 고사이 ;1900;1937;1937;ML;General Staffer;Medium;2774;X
50260;Head of Government;하마구치 오사치 ;1914;1932;1932;SD;Flamboyant Tough Guy;Medium;2775;X
