LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
375063;Chief of Air Force;페트로 트라드 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M529022;X
375064;Head of Government;앙리 덴츠 ;1933;1964;1999;PA;Old General;High;9887;X
375065;Head of Military Intelligence;앙리 덴츠 ;1933;1964;1999;PA;Logistics Specialist;High;9887;X
375066;Chief of Staff;앙리 덴츠 ;1933;1964;1999;PA;School of Defence;High;9887;X
375067;Foreign Minister;하미드 파란지야 ;1938;1964;1999;PA;Iron Fisted Brute;Medium;M529067;X
375068;Minister of Armament;카밀 샤문 ;1938;1964;1999;PA;laissez-faire capitalist;Medium;M529068;X
375069;Head of Military Intelligence;아흐마드 알 후사이니 ;1938;1964;1999;PA;Dismal Enigma;Medium;M529069;X
375070;Head of State;카미유 차몬 ;1952;1964;1999;SC;Powerhungry Demagogue;High;M529070;X
375071;Head of Government;하산 알 오웨이니 ;1951;1964;1999;SC;Happy Amateur;High;M529071;X
375072;Head of Government;나짐 알 아카리 ;1952;1964;1999;SC;Smiling Oilman;High;M529072;X
375073;Head of Government;사에브 살람 ;1952;1964;1999;ML;Naive Optimist;High;M529073;X
375074;Foreign Minister;푸아드 체하브 ;1950;1964;1999;SC;General Staffer;High;M529056;X
375075;Minister of Security;윌리엄 아미네 하위 ;1937;1964;1999;FA;Prince of Terror;High;8557;X
375076;Chief of Staff;윌리엄 아미네 하위 ;1941;1964;1999;FA;School of Mass Combat;High;8557;X
375077;Foreign Minister;피에르 게마엘 ;1943;1964;1999;FA;Ideological Crusader;Medium;8558;X
375078;Head of Government;피에르 게마엘 ;1935;1964;1999;FA;Naive Optimist;High;8558;X
375079;Foreign Minister;샤를 엘루 ;1937;1964;1999;FA;Great Compromiser;High;8559;X
375080;Head of State;샤를 엘루 ;1958;1964;1999;PA;Autocratic Charmer;High;8559;X
