PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
325041;Minister of Security;호세 P. 라우렐 ;1941;1964;1999;SC;Silent Lawyer;Medium;M50061;X
325042;Minister of Security;호세 M. 크리솔 ;1942;1964;1999;SD;Crooked Kleptocrat;Low;M50062;X
325043;Minister of Security;알베르토 라모스 ;1944;1964;1999;SL;Silent Lawyer;Medium;M50064;X
325044;Minister of Security;세라핀 파우스토 ;1945;1964;1999;SC;Silent Lawyer;Medium;M50051;X
325045;Minister of Security;호세 G. 루크반 ;1945;1964;1999;SC;Efficient Sociopath;Medium;M50066;X
325046;Minister of Security;라몬 키숨빙 ;1945;1964;1999;SL;Man of the People;Medium;M50067;X
325047;Chief of Staff;바실리오 J. 발데스 ;1939;1964;1999;SC;School of Defence;Low;M50017;X
325048;Chief of Staff;아우구스토 후라도 ;1944;1964;1999;SL;School of Mass Combat;Medium;M50069;X
325049;Chief of Staff;키린토 P. 에방헬리스타 ;1945;1964;1999;SL;School of Manoeuvre;High;M50070;X
325050;Chief of Army;베니토 N. 에부엔 ;1937;1964;1999;SL;Decisive Battle Doctrine;High;M50006;X
325051;Chief of Army;비센테 P. 림 ;1939;1964;1999;SL;Elastic Defence Doctrine;Medium;M50073;X
325052;Chief of Army;에라클리오 알라노 ;1944;1964;1999;SL;Armoured Spearhead Doctrine;High;M50074;X
325053;Chief of Army;마테오 M. 카핀핀 ;1945;1964;1999;SL;Guns and Butter Doctrine;Medium;M50075;X
325054;Chief of Army;라파엘 할란도니 ;1946;1964;1999;SL;Guns and Butter Doctrine;Medium;M50076;X
325055;Head of Military Intelligence;제임스 윌슨 ;1933;1964;1999;SL;Naval Intelligence Specialist;High;M50077;X
325056;Head of Military Intelligence;레실리 에일런 윌러 ;1938;1964;1999;SL;Technical Specialist;High;M50078;X
325057;Head of Military Intelligence;피델 세군도 ;1939;1964;1999;SL;Logistics Specialist;High;M50079;X
325058;Head of Military Intelligence;베니그노 라모스 ;1942;1964;1999;SL;Political Specialist;Very Low;M50016;X
325059;Head of Military Intelligence;존 길버트 위넌트 ;1943;1964;1999;SL;Industrial Specialist;Medium;M50081;X
325060;Chief of Navy;에우스타시오 오로비아 ;1938;1964;1999;SC;Indirect Approach Doctrine;Very Low;M50019;X
325061;Chief of Navy;호세 V. 안드라다 ;1938;1964;1999;SL;Open Seas Doctrine;Low;M50083;X
325062;Chief of Navy;라몬 A. 알카라스 ;1942;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M50084;X
325063;Chief of Air Force;바실리오 페란도 ;1940;1964;1999;SL;Army Aviation Doctrine;High;M50085;X
325064;Chief of Air Force;에드윈 앤드루스 ;1944;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M50086;X
325065;Chief of Air Force;빅토르 H. 디손 ;1946;1964;1999;SC;Naval Aviation Doctrine;High;M50087;X
325066;Head of Government;마누엘 록사스 ;1945;1964;1999;SL;Old General;High;M50035;X
325067;Head of State;호세 P. 라우렐 ;1933;1964;1999;PA;Powerhungry Demagogue;High;M50011;X
325068;Head of Government;호세 P. 라우렐 ;1933;1964;1999;PA;Smiling Oilman;High;M50011;X
325069;Minister of Security;베니그노 아키노 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M50015;X
325070;Chief of Army;바실리오 J. 발데스 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M50017;X
325071;Chief of Air Force;펠릭스 페스타나 ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M50020;X
325072;Head of State;크리산토 에방헬리스타 ;1933;1964;1999;LE;Weary Stiffneck;High;M50021;X
325073;Head of Government;페드로 아바드 산토스 ;1933;1964;1999;LE;Corporate Suit;High;M50022;X
325074;Foreign Minister;카스토 알레한드리노 ;1933;1964;1999;LE;Apologetic Clerk;Medium;M50023;X
325075;Minister of Armament;크리산토 에방헬리스타 ;1933;1964;1999;LE;Administrative Genius;Medium;M50021;X
325076;Minister of Security;마리아노 발고스 ;1933;1964;1999;LWR;Crime Fighter;Medium;M50025;X
325077;Head of Military Intelligence;루이스 타루크 ;1933;1964;1999;LE;Dismal Enigma;Medium;M50026;X
325078;Chief of Staff;루이스 타루크 ;1933;1964;1999;LE;School of Manoeuvre;Medium;M50026;X
325079;Chief of Army;헤수스 라바 ;1933;1964;1999;LE;Guns and Butter Doctrine;Medium;M50028;X
325080;Chief of Navy;헤수스 라바 ;1933;1964;1999;LE;Base Control Doctrine;Medium;M50028;X
325081;Chief of Air Force;조 로저스 ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M50030;X
325082;Head of State;시어도어 루스벨트 2세 ;1933;1933;1999;ML;Autocratic Charmer;High;5770;X
325083;Head of State;프랭크 머피 ;1933;1935;1999;ML;Benevolent Gentleman;High;M6107;X
