POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
60029;Head of Government;로만 드모프스키 ;1933;1964;1999;FA;Backroom Backstabber;High;M13050;X
60030;Head of Government;타데우치 비엘레츠키 ;1933;1964;1999;NS;Happy Amateur;High;M13051;X
60031;Head of Government;우게니우슈 크피아트코프스키 ;1937;1964;1999;SL;Naive Optimist;High;M13052;X
60032;Head of Government;마르첼리 노보트코 ;1941;1964;1999;ST;Political Protege;High;M13053;X
60033;Head of Government;얀 크와핀스키 ;1944;1964;1999;SC;Corporate Suit;High;M13054;X
60034;Head of Government;스타니스와프 오시에츠키 ;1933;1964;1999;SD;Happy Amateur;High;M13055;X
60035;Head of Government;볼레스와프 드로브네르 ;1943;1964;1999;LWR;Naive Optimist;High;M13056;X
60036;Foreign Minister;아우구스트 잘레스키 ;1939;1964;1999;SC;Ideological Crusader;High;M13012;X
60037;Foreign Minister;에드바르트 라친스키 ;1941;1964;1999;SC;Biased Intellectual;Medium;M13059;X
60038;Foreign Minister;타데우치 로메르 ;1943;1964;1999;ML;Apologetic Clerk;Medium;M13060;X
60039;Foreign Minister;아담 타르노프스키 ;1944;1964;1999;SL;Iron Fisted Brute;High;M13061;X
60040;Foreign Minister;에드바르트 모라프스키 ;1945;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M13022;X
60041;Foreign Minister;빈센트 르즈모프스키 ;1945;1964;1999;SD;Great Compromiser;High;M13063;X
60042;Foreign Minister;지그문트 모젤레프스키 ;1947;1964;1999;ST;Biased Intellectual;High;M13064;X
60043;Foreign Minister;얀 피에카우키에비치 ;1939;1964;1999;SD;Biased Intellectual;Medium;M13065;X
60044;Foreign Minister;헨르크 레온 스트라스부르거르 ;1938;1964;1999;SL;Biased Intellectual;High;M13066;X
60045;Foreign Minister;옝제이 기에르트흐 ;1933;1964;1999;FA;Ideological Crusader;Medium;M13067;X
60046;Foreign Minister;이그나츠 얀 파데레프스키 ;1933;1964;1999;SD;General Staffer;High;M13036;X
60047;Foreign Minister;볼레스와프 드로브네르 ;1943;1964;1999;LWR;Ideological Crusader;Low;M13056;X
60048;Foreign Minister;아담 프루흐니크 ;1945;1964;1999;SD;Biased Intellectual;Low;M13070;X
60049;Foreign Minister;노르베르트 바를리츠키 ;1943;1964;1999;LWR;Ideological Crusader;Medium;M13021;X
60050;Minister of Armament;우게니우슈 크피아트코프스키 ;1933;1964;1999;PA;Administrative Genius;Very High;M13052;X
60051;Minister of Armament;차시미르 흐렌베르크 ;1939;1964;1999;SC;laissez-faire capitalist;Medium;M13073;X
60052;Minister of Armament;브로니스와프 레굴스키 ;1941;1964;1999;SC;Infantry Proponent;High;M13074;X
60053;Minister of Armament;루드비크 W. 라이흐만 ;1943;1964;1999;ML;Resource Industrialist;High;M13075;X
60054;Minister of Armament;보이치에흐 코르판트 ;1943;1964;1999;ML;Military Entrepreneur;Medium;M13042;X
60055;Minister of Armament;스타니슬라스 A. 네으만 ;1944;1964;1999;SL;Administrative Genius;High;M13044;X
60056;Minister of Armament;헤르만 리베르만 ;1945;1964;1999;SD;Theoretical Scientist;Medium;M13027;X
60057;Minister of Armament;힐라리 민츠 ;1947;1964;1999;ST;Air to Sea Proponent;Medium;M13079;X
60058;Minister of Armament;레온 코즈와프스키 ;1937;1964;1999;NS;Infantry Proponent;Medium;M13080;X
60059;Minister of Armament;헨르크 레온 스트라스부르거르 ;1937;1964;1999;SD;laissez-faire capitalist;Medium;M13066;X
60060;Minister of Armament;아담 코츠 ;1933;1964;1999;SL;Resource Industrialist;Medium;M13082;X
60061;Minister of Armament;스타니스와프 그와빈스키 ;1933;1964;1999;FA;laissez-faire capitalist;Medium;M13083;X
60062;Minister of Armament;얀 스테판 하네만 ;1944;1964;1999;ST;Air to Ground Proponent;Medium;M13084;X
60063;Minister of Armament;유제프 니에츠코 ;1933;1964;1999;SD;Resource Industrialist;Medium;M13085;X
60064;Minister of Armament;미하우 지미에르스키 ;1944;1964;1999;ST;Tank Proponent;Medium;M13086;X
60065;Minister of Armament;유제프 할레르 ;1933;1964;1999;SL;Military Entrepreneur;Medium;M13087;X
60066;Minister of Armament;타데우치 르초프스키 ;1939;1964;1999;SD;Administrative Genius;Medium;M13088;X
60067;Minister of Security;펠리치얀 스콰드코프스키 ;1933;1964;1999;PA;Efficient Sociopath;High;M13041;X
60068;Minister of Security;아담 로스 ;1939;1964;1999;SC;Crime Fighter;Medium;M13090;X
60069;Minister of Security;우게니우슈 크피아트코프스키 ;1940;1964;1999;SC;Prince of Terror;Very High;M13052;X
60070;Minister of Security;마르얀 루진스키 ;1943;1964;1999;ML;Back Stabber;Medium;M13092;X
60071;Minister of Security;안토니 로만 ;1943;1964;1999;ML;Silent Lawyer;Low;M13093;X
60072;Minister of Security;빈센트 비토스 ;1944;1964;1999;SL;Man of the People;High;M13094;X
60073;Minister of Security;미에츠스와프 니에지워코프스키 ;1945;1964;1999;SD;Crime Fighter;Medium;M13095;X
60074;Minister of Security;야쿠브 베르만 ;1947;1964;1999;ST;Prince of Terror;Medium;M13096;X
60075;Minister of Security;스타니스와프 미코와이츠크 ;1939;1964;1999;SD;Man of the People;Medium;M13046;X
60076;Minister of Security;카롤 포피엘 ;1933;1964;1999;SL;Silent Lawyer;High;M13098;X
60077;Minister of Security;알렉산데르 자바츠키 ;1943;1964;1999;ST;Compassionate Gentleman;Medium;M13099;X
60078;Minister of Security;바츠와프 모흘 ;1940;1964;1999;PA;Compassionate Gentleman;Medium;M13100;X
60079;Minister of Security;미에츠스와프 트라이도스 ;1938;1964;1999;FA;Silent Lawyer;Medium;M13101;X
60080;Minister of Security;카지미에쉬 스비탈스키 ;1933;1964;1999;PA;Efficient Sociopath;Medium;M13102;X
60081;Minister of Security;비톨드 그라보프스키 ;1933;1964;1999;PA;Crime Fighter;Medium;M13103;X
60082;Minister of Security;야누슈 라지빌 ;1933;1964;1999;PA;Man of the People;Medium;M13104;X
60083;Minister of Security;카지미에쉬 바르텔 ;1933;1964;1999;PA;Back Stabber;Medium;M13105;X
60084;Head of Military Intelligence;아담 타르노프스키 ;1939;1964;1999;SC;Dismal Enigma;High;M13061;X
60085;Head of Military Intelligence;펠릭스 코네츠느 ;1943;1964;1999;ML;Technical Specialist;High;M13108;X
60086;Head of Military Intelligence;알프레드 레온 코노프카 ;1944;1964;1999;SL;Political Specialist;High;M13109;X
60087;Head of Military Intelligence;미에츠스와프 소콜로프스키 ;1945;1964;1999;SD;Industrial Specialist;High;M13110;X
60088;Head of Military Intelligence;스타니스와프 두보이스 ;1945;1964;1999;ST;Political Specialist;Medium;M13026;X
60089;Head of Military Intelligence;이그나츠 마투셰프스키 ;1937;1964;1999;SC;Logistics Specialist;Medium;M13112;X
60090;Head of Military Intelligence;얀 코발레프스키 ;1933;1966;1966;PA;Dismal Enigma;Medium;M13113;X
60091;Head of Military Intelligence;비에스와프 도마니에프스키 ;1938;1964;1999;SL;Technical Specialist;High;M13114;X
60092;Chief of Staff;바츠와프 스타히에비치 ;1918;1964;1999;PA;School of Fire Support;Low;M13115;X
60093;Chief of Staff;브와디스와프 시코르스키 ;1939;1944;1957;SC;School of Manoeuvre;Medium;M13043;X
60094;Chief of Staff;미할 카라시에비치 토카제프스키 ;1943;1964;1999;ML;School of Defence;Medium;M13117;X
60095;Chief of Staff;스테판 로베츠키 ;1943;1964;1999;ML;School of Psychology;Medium;M13118;X
60096;Chief of Staff;타데우치 보르 코모로프스키 ;1943;1964;1999;SL;School of Mass Combat;Medium;M13119;X
60097;Chief of Staff;스타니스와프 코판스키 ;1944;1964;1999;SL;School of Manoeuvre;High;M13120;X
60098;Chief of Staff;레오폴드 오쿨리츠키 ;1945;1964;1999;SD;School of Fire Support;Low;M13121;X
60099;Chief of Staff;미하우 지미에르스키 ;1944;1964;1999;ST;School of Mass Combat;Medium;M13122;X
60100;Chief of Army;브와디스와프 시코르스키 ;1939;1944;1957;SC;Guns and Butter Doctrine;Medium;M13043;X
60101;Chief of Army;브와디스와프 안데르스 ;1943;1964;1999;ML;Elastic Defence Doctrine;Medium;M13125;X
60102;Chief of Army;타데우치 보르 코모로프스키 ;1944;1964;1999;SL;Guns and Butter Doctrine;Medium;M13119;X
60103;Chief of Army;미하우 지미에르스키 ;1945;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M13122;X
60104;Chief of Army;브와디스와프 그랍스크 ;1945;1964;1999;SD;Guns and Butter Doctrine;Medium;M13128;X
60105;Chief of Army;얀 코발레프스키 ;1937;1966;1966;FA;Elastic Defence Doctrine;Low;M13113;X
60106;Chief of Navy;유제프 운루크 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M13130;X
60107;Chief of Navy;프란초이스 소칼 ;1939;1964;1999;SC;Open Seas Doctrine;Medium;M13131;X
60108;Chief of Navy;레온 하인 ;1943;1964;1999;ML;Base Control Doctrine;Medium;M13132;X
60109;Chief of Navy;아담 라파츠키 ;1945;1964;1999;LE;Power Projection Doctrine;High;M13029;X
60110;Chief of Air Force;루도미우 라으스키 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M13134;X
60111;Chief of Air Force;스타니스와프 파블루츠 ;1939;1964;1999;SC;Air Superiority Doctrine;Medium;M13135;X
60112;Chief of Air Force;브와디스와프 카르쿠스 ;1943;1964;1999;SL;Carpet Bombing Doctrine;Medium;M13136;X
60113;Chief of Air Force;체스와프 비에시차트 ;1945;1964;1999;ST;Army Aviation Doctrine;Very High;M13137;X
60114;Head of State;볼레스와프 피아세츠키 ;1933;1964;1999;PA;Barking Buffoon;High;M13011;X
60115;Head of Government;아우구스트 잘레스키 ;1933;1964;1999;PA;Happy Amateur;High;M13012;X
60116;Foreign Minister;얀 시엠베크 ;1933;1964;1999;PA;Apologetic Clerk;Low;M13013;X
60117;Minister of Armament;예르즈 지에호프스키 ;1933;1964;1999;NS;Corrupt Kleptocrat;Medium;M13014;X
60118;Minister of Security;레온 요세프 바란스키 ;1933;1964;1999;PA;Back Stabber;Medium;M13015;X
60119;Head of Military Intelligence;야누슈 졸토프스키 ;1933;1964;1999;FA;Dismal Enigma;Medium;M13016;X
60120;Chief of Staff;브와디스와프 모차르 ;1933;1964;1999;FA;School of Psychology;Medium;M13017;X
60121;Chief of Army;토미스와프 우파슈코 ;1933;1964;1999;PA;Decisive Battle Doctrine;Low;M13018;X
60122;Chief of Navy;얀 키베르스키 ;1933;1964;1999;FA;Indirect Approach Doctrine;Low;M13019;X
60123;Chief of Air Force;알프레드 흐와포프스키 ;1933;1964;1999;FA;Army Aviation Doctrine;Low;M13020;X
60124;Head of State;노르베르트 바를리츠키 ;1933;1964;1999;ST;Ruthless Powermonger;High;M13021;X
60125;Head of Government;에드바르트 모라프스키 ;1933;1964;1999;ST;Political Protege;High;M13022;X
60126;Foreign Minister;파벨 핀더르 ;1933;1964;1999;LE;The Cloak N Dagger Schemer;Low;M13023;X
60127;Minister of Armament;지그문트 베를링크 ;1933;1964;1999;ST;Infantry Proponent;Medium;M13024;X
60128;Minister of Security;스타니스와프 라드키에비치 ;1933;1964;1999;ST;Efficient Sociopath;Medium;M13025;X
60129;Chief of Staff;헤르만 리베르만 ;1933;1964;1999;LWR;School of Psychology;Medium;M13027;X
60130;Chief of Army;카롤 시비에르시에프스키 ;1933;1964;1999;ST;Decisive Battle doctrine;Low;M13028;X
60131;Chief of Air Force;루드비크 그로스펠트 ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Very High;M13030;X
60132;Head of Government;볼레스와프 비에루트 ;1952;1964;1999;ST;Flamboyant Tough Guy;High;M13033;X
60133;Foreign Minister;스타니스와프 스크세시에프스키 ;1951;1964;1999;ST;Apologetic Clerk;High;M13139;X
60134;Minister of Armament;콘스탄트 동브로프스키 ;1945;1964;1999;ST;Resource Industrialist;Medium;M13140;X
60135;Head of Military Intelligence;헨르크 시피옹트코프스키 ;1947;1964;1999;ST;Dismal Enigma;Medium;M13141;X
60136;Chief of Air Force;히폴리트 워소프스키 ;1914;1933;1999;PA;Air Superiority Doctrine;Medium;2931;X
60137;Chief of Army;유제프 피우수드스키 ;1900;1919;1999;PA;Guns and Butter Doctrine;Medium;2932;X
60138;Chief of Army;유제프 할레르 ;1919;1933;1999;SC;Guns and Butter Doctrine;Medium;2933;X
60139;Chief of Army;유제프 피우수드스키 ;1919;1935;1999;PA;Decisive Battle Doctrine;Medium;2932;X
60140;Chief of Navy;카지미에쉬 포레프스키 ;1914;1933;1999;PA;Open Seas Doctrine;Medium;2934;X
60141;Chief of Staff;유제프 레쉬니에프스키 ;1914;1920;1999;ML;School of Psychology;High;3929;X
60142;Chief of Staff;카지미에쉬 소슨카우프스키 ;1920;1933;1999;SC;School of Manoeuvre;Medium;2935;X
60143;Chief of Staff;얀 미할스키 ;1919;1933;1999;SC;School of Psychology;Medium;3930;X
60144;Chief of Staff;얀 스토인스키 ;1919;1933;1999;SC;School of Psychology;Medium;unknownminister;X
60145;Chief of Staff;브와디스와프 그르젱지엘스키 ;1919;1933;1999;SD;School of Fire Support;Medium;unknownminister;X
60146;Chief of Staff;얀 브로친스키 ;1919;1946;1946;SC;School of Fire Support;Medium;unknownminister;X
60147;Chief of Staff;유제프 피우수드스키 ;1900;1935;1999;PA;School of Manoeuvre;Medium;2932;X
60148;Chief of Staff;타데우치 로즈바도프스키 ;1918;1933;1999;PA;School of Psychology;Medium;2936;X
60149;Chief of Staff;유제프 레시니에프스키 ;1920;1922;1999;SC;School of Manoeuvre;Medium;3929;X
60150;Foreign Minister;레온 바실레프스키 ;1914;1919;1999;SC;Great Compromiser;Medium;2937;X
60151;Foreign Minister;얀 다브스키 ;1920;1933;1999;SD;Great Compromiser;Medium;2938;X
60152;Foreign Minister;콘스탄트 스키르문트 ;1920;1933;1999;ML;Great Compromiser;Medium;3931;X
60153;Foreign Minister;레온 바실레프스키 ;1919;1933;1999;SC;Great Compromiser;Medium;2937;X
60154;Foreign Minister;브와디스와프 브루블레프스키 ;1919;1932;1952;SC;Great Compromiser;Medium;2939;X
60155;Foreign Minister;이그나츠 파데레프스키 ;1917;1933;1999;SD;Great Compromiser;High;2940;X
60156;Foreign Minister;스타니스와프 파테크 ;1919;1933;1999;SC;Apologetic Clerk;High;2941;X
60157;Foreign Minister;에우스타흐 사피에하 ;1919;1933;1999;SC;Apologetic Clerk;High;2942;X
60158;Foreign Minister;아담 타르노프스키 ;1919;1933;1999;SD;Iron Fisted Brute;High;3932;X
60159;Foreign Minister;얀 시엠베크 ;1919;1933;1999;SC;Apologetic Clerk;Low;2943;X
60160;Head of Government;옝제이 모라체프스키 ;1914;1933;1999;SC;Flamboyant Tough Guy;High;2944;X
60161;Head of Government;이그나츠 파데레프스키 ;1917;1933;1999;SD;Happy Amateur;High;2940;X
60162;Head of Government;레오폴드 스쿨스키 ;1919;1933;1999;SD;Silent Workhorse;High;3933;X
60163;Head of Government;브와디스와프 그랍스키 ;1919;1933;1999;ML;Corporate Suit;High;2945;X
60164;Minister of Security;빈센트 비토스 ;1919;1933;1999;SC;Man of the People;High;2946;X
60165;Head of Government;보이치에흐 코르판트 ;1919;1933;1999;SC;Happy Amateur;High;2947;X
60166;Head of Government;로만 드모프스키 ;1919;1933;1999;SD;Backroom Backstabber;High;M13050;X
60167;Head of Military Intelligence;스하도프 ;1914;1933;1999;PA;Logistics Specialist;High;unknownminister;X
60168;Head of Military Intelligence;아담 타르노프스키 ;1919;1933;1999;SD;Dismal Enigma;High;3932;X
60169;Head of State;유제프 피우수드스키 ;1900;1935;1999;PA;Resigned Generalissimo;High;2932;X
60170;Head of State;가브리엘 나루토비치 ;1917;1933;1999;ML;Benevolent Gentleman;High;2948;X
60171;Head of State;이그나츠 얀 파데레프스키 ;1919;1933;1999;SD;Weary Stiffneck;High;2940;X
60172;Head of State;스타니스와프 보이체호프스키 ;1919;1933;1999;SC;Weary Stiffneck;High;2951;X
60173;Head of State;스하도프 ;1914;1933;1999;PA;Benevolent Gentleman;High;unknownminister;X
60174;Minister of Armament;안토니 민키에비치 ;1914;1933;1999;PA;Military Entrepreneur;Medium;9923;X
60175;Minister of Armament;브와디스와프 그랍스키 ;1917;1933;1999;ML;Administrative Genius;Medium;2945;X
60176;Minister of Armament;레온 브촐코프스키 ;1920;1933;1999;SC;Military Entrepreneur;Medium;3934;X
60177;Minister of Armament;브와디스와프 브르카 ;1919;1933;1999;SC;Military Entrepreneur;Medium;3935;X
60178;Minister of Armament;이그나츠 베인펠트 ;1919;1933;1999;SC;Military Entrepreneur;Medium;unknownminister;X
60179;Minister of Armament;스테판 프차노프스키 ;1920;1933;1999;ML;laissez-faire capitalist;Medium;3936;X
60180;Minister of Armament;얀 미할스키 ;1920;1933;1999;ML;laissez-faire capitalist;Medium;3930;X
60181;Minister of Armament;헨르크 스트라스부르거르 ;1920;1933;1999;ML;Resource Industrialist;Medium;M13066;X
60182;Minister of Armament;얀 스토인스키 ;1920;1933;1999;SC;Military Entrepreneur;Medium;unknownminister;X
60183;Minister of Armament;얀 칸트 스테츠코프스키 ;1914;1930;1930;ML;laissez-faire capitalist;Medium;3937;X
60184;Minister of Armament;프란치셰크 보으다 ;1919;1933;1999;ML;Military Entrepreneur;Medium;3057;X
60185;Minister of Armament;브와제이 스톨라르스키 ;1919;1933;1999;ML;Military Entrepreneur;Medium;3938;X
60187;Minister of Armament;볼레스와프 마르코프스키 ;1921;1933;1999;SC;Military Entrepreneur;Medium;3939;X
60188;Minister of Armament;오스카르 소반스키 ;1919;1933;1999;SD;Military Entrepreneur;Medium;3031;X
60189;Minister of Armament;스타니스와프 카르핀스키 ;1919;1933;1999;SC;Military Entrepreneur;Medium;2949;X
60190;Minister of Armament;안토니 올시에프스키 ;1919;1933;1999;SC;Military Entrepreneur;Medium;3042;X
60191;Minister of Armament;비에스와프 샤노프스키 ;1919;1933;1999;PA;Military Entrepreneur;Medium;3940;X
60192;Minister of Armament;레온 빌린스키 ;1919;1933;1999;SD;laissez-faire capitalist;Medium;9915;X
60193;Minister of Armament;카지미에쉬 홍치아 ;1919;1933;1999;SD;laissez-faire capitalist;Medium;3941;X
60194;Minister of Armament;유제프 엥글리흐 ;1919;1933;1999;ML;laissez-faire capitalist;Medium;3942;X
60195;Minister of Armament;스타니스와프 스위빈스키 ;1919;1933;1999;ML;Military Entrepreneur;Medium;3943;X
60196;Minister of Armament;가브리엘 나루토비치 ;1919;1933;1999;ML;laissez-faire capitalist;Medium;2948;X
60197;Minister of Armament;보이치에흐 코르판트 ;1919;1933;1999;SD;Military Entrepreneur;Medium;2947;X
60198;Minister of Armament;유제프 할레르 ;1919;1933;1999;SC;Military Entrepreneur;Medium;2933;X
60199;Minister of Security;스타니스와프 투구트 ;1914;1933;1999;SC;Silent Lawyer;Medium;2950;X
60200;Minister of Security;레오폴드 스쿨스키 ;1919;1933;1999;SC;Silent Lawyer;Medium;3933;X
60201;Minister of Security;브와디스와프 라치키에비치 ;1919;1933;1999;SC;Silent Lawyer;Medium;M13005;X
60202;Minister of Security;스타니스와프 투구트 ;1919;1933;1999;SC;Silent Lawyer;Medium;2950;X
60203;Minister of Security;이그나츠 얀 파데레프스키 ;1919;1933;1999;SD;Silent Lawyer;Medium;2940;X
60204;Minister of Security;스타니스와프 보이체호프스키 ;1917;1933;1999;SC;Compassionate Gentleman;Medium;2951;X
60205;Minister of Security;유제프 쿠친스키 ;1919;1933;1999;SC;Compassionate Gentleman;Medium;3944;X
60206;Minister of Security;스타니스와프 도브나로비치 ;1921;1933;1999;SC;Compassionate Gentleman;Medium;3052;X
60207;Minister of Security;마르얀 루진스키 ;1919;1943;1999;SC;Back Stabber;Medium;M13092;X
60208;Head of Government;빈센트 비토스 ;1919;1964;1999;SC;flamboyant tough guy;High;M13094;X
60209;Minister of Armament;헨르크 스트라스부르거르 ;1920;1933;1999;ML;Resource Industrialist;Medium;unknownminister;X
60210;Head of State;섭정 의회 ;1914;1999;1999;PA;Local tyrant2;Medium;9251;X
60211;Head of Government;얀 칸트 스테츠코프스키 ;1914;1930;1930;PA;corporate suit;High;3937;X
60212;Foreign Minister;스타니스와프 그와빈스키 ;1914;1932;1942;PA;ideological crusader;High;M13083;X
60213;Foreign Minister;보이치에흐 로스트보로프스키 ;1914;1932;1953;PA;apologetic clerk;High;9252;X
60214;Foreign Minister;티투스 필리포비치 ;1914;1932;1954;SD;biased intellectual;High;9253;X
60215;Foreign Minister;야누슈 라지빌 ;1914;1945;1968;PA;great compromiser;High;M13104;X
60216;Minister of Armament;스타니슬라프 지에주비츠키 ;1914;1920;1920;PA;laissez-faire capitalist;High;9254;X
60217;Minister of Armament;루드비크 구르스키 ;1914;1932;1932;PA;Industrial chemist;High;unknownminister;X
60218;Minister of Armament;얀 자글레니치니 ;1914;1932;1932;PA;Industrial chemist;High;9255;X
60219;Minister of Armament;에드바르트 리츠 시미그위 ;1914;1942;1942;PA;infantry proponent;High;M13007;X
60220;Minister of Armament;얀 브로친스키 ;1914;1946;1946;PA;military entrepreneur;High;9256;X
60221;Minister of Security;얀 스테츠키 ;1914;1932;1955;PA;silent lawyer;High;9257;X
60222;Minister of Security;지그문트 흐샤노프스키 ;1914;1937;1937;PA;compassionate gentleman;High;unknownminister;X
60223;Minister of Security;스타니슬라프 우스티아노프스키 ;1914;1932;1943;PA;crime fighter;High;unknownminister;X
60224;Head of Military Intelligence;미에치슬라프 마츠키에비치 ;1914;1955;1955;PA;logistics specialist;High;9275;X
60225;Head of Military Intelligence;타데우시 푸슈친스키 ;1914;1940;1940;PA;industrial specialist;High;9258;X
60226;Head of Military Intelligence;카롤 볼데스쿨 ;1914;1945;1945;PA;political specialist;High;unknownminister;X
60227;Chief of Staff;마리안 야누샤이티스-제고타 ;1914;1940;1974;PA;school of defence;High;L8158;X
60228;Chief of Staff;마리안 쿠키엘 ;1914;1946;1973;PA;school of fire support;High;9259;X
60229;Chief of Staff;스타니슬라프 솁티츠키 ;1914;1932;1951;PA;school of psychology;High;9260;X
60230;Chief of Staff;블로지미에시 자구르스키 ;1914;1928;1928;PA;school of manoeuvre;High;9261;X
60231;Chief of Army;지그문트 지엘린스키 ;1914;1926;1926;PA;decisive battle doctrine;High;9262;X
60232;Chief of Army;스타니슬라프 솁티츠키 ;1914;1932;1951;PA;static defence doctrine;High;9260;X
60233;Chief of Army;스타니슬라프 푸할스키 ;1914;1932;1932;PA;guns and butter doctrine;High;6926;X
60234;Chief of Navy;보구밀 노보트니 ;1914;1932;1961;PA;decisive naval battle doctrine;High;9263;X
60235;Chief of Air Force;율리안 슬로니에프스키 ;1914;1921;1921;PA;air superiority doctrine;High;9264;X
60236;Chief of Air Force;세르기우시 아브줄토프스키 ;1914;1940;1940;PA;air superiority doctrine;High;9265;X
60237;Chief of Air Force;로만 플로레르 ;1914;1932;1974;PA;army aviation doctrine;High;9266;X
60238;Chief of Air Force;피오트르 아바카노비치 ;1914;1932;1949;PA;army aviation doctrine;High;6912;X
60239;Chief of Air Force;블로지미에시 자구르스키 ;1914;1928;1928;PA;army aviation doctrine;High;9261;X
