BEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
565044;Minister of Security;알베르 도티 ;1933;1964;1999;PA;Back Stabber;Medium;M533044;X
565045;Minister of Security;모리스 야메오고 ;1933;1964;1999;LWR;Crime Fighter;Medium;M533045;X
565046;Head of Military Intelligence;샤를 게리토 ;1940;1964;1999;SL;Dismal Enigma;Medium;M533038;X
565047;Head of Military Intelligence;오스발드 뒤랑 ;1944;1964;1999;SL;Political Specialist;Medium;M533026;X
565048;Head of Military Intelligence;로베르 조아니 ;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M533048;X
565049;Head of Military Intelligence;아마니 디오리 ;1933;1964;1999;LWR;Naval Intelligence Specialist;Medium;M533049;X
565050;Head of Military Intelligence;바바카 바 ;1943;1964;1999;LWR;Industrial Specialist;Medium;M533050;X
565051;Chief of Staff;앙드레 라트리예 ;1943;1964;1999;SL;School of Manoeuvre;Medium;M533024;X
565052;Chief of Staff;프랑시스 돌트르 세이유 ;1933;1964;1999;PA;School of Defence;Medium;M533009;X
565053;Chief of Staff;아키라 조모 ;1933;1964;1999;LWR;School of Psychology;Medium;M533053;X
565054;Chief of Staff;알리 사이부 ;1941;1964;1999;LWR;School of Defence;Medium;M533054;X
565055;Chief of Army;피에르 살세티 ;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M533014;X
565056;Chief of Army;로제르 포되르 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M533056;X
565057;Chief of Army;아비브 알아지즈 ;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M533057;X
565058;Chief of Army;요르기 콜리 ;1941;1964;1999;LWR;Guns and Butter Doctrine;Medium;M533058;X
565059;Chief of Navy;에드몽 루보 ;1942;1964;1999;SL;Base Control Doctrine;Medium;M533059;X
565060;Chief of Navy;장 라세르 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M533060;X
565061;Chief of Navy;프랑수아 톰발바예 ;1933;1964;1999;LWR;Power Projection Doctrine;Medium;M533061;X
565062;Chief of Air Force;프레드 스카마로니 ;1941;1964;1999;SL;Army Aviation Doctrine;Medium;M533062;X
565063;Chief of Air Force;오귀스티노 드 수자 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M533063;X
565064;Chief of Air Force;오귀스트 드니스 ;1933;1964;1999;LWR;Air Superiority Doctrine;Medium;M533064;X
