BUL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
95185;Foreign Minister;바실 라도슬라보프 ;1914;1933;1999;ML;Ideological Crusader;Very High;2273;X
95186;Foreign Minister;알렉산다르 스탐보리스키 ;1920;1933;1999;LWR;Great Compromiser;Very High;2274;X
95187;Foreign Minister;디미타르 스탄코프 ;1914;1933;1999;ML;Apologetic Clerk;Very High;2275;X
95188;Foreign Minister;테어도르 테어도로프 ;1918;1933;1999;SC;Great Compromiser;Very High;2276;X
95189;Head of Government;디미타르 브라고예프 ;1914;1933;1999;ST;Ambitious Union Boss;High;2277;X
95190;Head of Government;스토얀 다네프 ;1914;1933;1999;ML;Naive Optimist;High;2265;X
95191;Head of Government;게오르기 디미트로프 ;1914;1933;1999;ST;Flamboyant Tough Guy;High;2257;X
95192;Head of Government;이반 에브스트라티예프 게소프 ;1914;1933;1999;SC;Flamboyant Tough Guy;High;2267;X
95193;Head of Government;페타르 구데프 ;1914;1933;1999;ML;Political Protege;High;2278;X
95194;Head of Government;알렉산드르 말리노프 ;1914;1933;1999;SC;Silent Workhorse;High;2271;X
95195;Head of Government;라코 페트로프 ;1914;1933;1999;ML;Old General;High;2272;X
95196;Head of Government;바실 라도슬라보프 ;1914;1933;1999;ML;Flamboyant Tough Guy;High;2273;X
95197;Head of Government;알렉산다르 스탐보리스키 ;1919;1933;1999;LWR;Silent Workhorse;High;2274;X
95198;Head of Government;디미타르 스탄코프 ;1914;1933;1999;SC;Political Protege;High;2275;X
95199;Head of Government;테어도르 테어도로프 ;1918;1933;1999;SC;Naive Optimist;High;2276;X
95200;Head of Government;알렉산더르 챤코프 ;1923;1933;1999;PA;Flamboyant Tough Guy;High;2279;X
95201;Head of Military Intelligence;스테판 노이코프 ;1914;1933;1999;SC;Logistics Specialist;Medium;2280;X
95202;Head of Military Intelligence;아타나스 바체프 ;1914;1933;1999;PA;Political Specialist;Medium;2281;X
95203;Head of State;디미타르 브라고예프 ;1914;1933;1999;ST;Pig-Headed Isolationist;High;2277;X
95204;Head of State;게오르기 디미트로프 ;1924;1933;1999;ST;Ruthless Powermonger;High;2257;X
95205;Head of State;페르디난트 1세 ;1914;1933;1999;PA;Stern Imperialist;High;2282;X
95206;Head of State;알렉산더르 스탐보리스키 ;1923;1933;1999;LWR;Ruthless Powermonger;High;2274;X
95207;Head of State;알렉산더르 챤코프 ;1923;1933;1999;PA;Barking Buffoon;High;2279;X
95208;Minister of Armament;디미타르 브라고예프 ;1914;1933;1999;ST;Resource Industrialist;High;2277;X
95209;Minister of Armament;스토얀 다네프 ;1918;1933;1999;ML;Resource Industrialist;High;2265;X
95210;Minister of Armament;라이코 다스카로프 ;1920;1933;1999;LWR;Military Entrepreneur;High;2283;X
95211;Minister of Armament;게오르기 디미트로프 ;1914;1933;1999;ST;Military Entrepreneur;High;2257;X
95212;Minister of Armament;이반 에브스트라티예프 게소프 ;1914;1933;1999;SC;Administrative Genius;High;2267;X
95213;Minister of Armament;토도르 이반코프 ;1914;1933;1999;ML;Laissez-Faire Capitalist;High;2284;X
95214;Minister of Armament;안드레이 타셰프 라프셰프 ;1914;1933;1999;ML;Laissez-Faire Capitalist;High;2285;X
95215;Minister of Armament;이반 사라바셰프 ;1914;1933;1999;SC;Theoretical Scientist;High;2286;X
95216;Minister of Armament;테어도어 테오도로프 ;1914;1933;1999;SC;Resource Industrialist;High;2276;X
95217;Minister of Armament;페타르 토도로프 ;1923;1935;1999;PA;Resource Industrialist;High;2287;X
95218;Minister of Armament;디미타르 톤셰프 ;1914;1933;1999;ML;Resource Industrialist;High;2288;X
95219;Minister of Armament;마르코 투라코프 ;1920;1933;1999;LWR;Corrupt Kleptocrat;High;2289;X
95220;Minister of Armament;페타르 야네프 ;1923;1933;1999;LWR;Resource Industrialist;High;2290;X
95221;Minister of Security;라이코 다스카로프 ;1922;1933;1999;LWR;Silent Lawyer;High;2283;X
95222;Minister of Security;알렉산더르 디미트로프 ;1919;1933;1999;LWR;Silent Lawyer;High;2291;X
95223;Minister of Security;니콜라 게나디예프 ;1914;1933;1999;ML;Silent Lawyer;High;2266;X
95224;Minister of Security;페타르 구데프 ;1914;1933;1999;ML;Crime Fighter;High;2278;X
95225;Minister of Security;바실 콜라로프 ;1914;1933;1999;ST;Silent Lawyer;High;2269;X
95226;Minister of Security;알렉산다르 류스카노프 ;1902;1933;1999;ML;Silent Lawyer;High;2292;X
95227;Minister of Security;미하일 마자로프 ;1914;1933;1999;SC;Silent Lawyer;High;2270;X
95228;Minister of Security;니콜라 무사노프 ;1914;1933;1999;ML;Silent Lawyer;High;2293;X
95229;Minister of Security;알렉산다르 오보프 ;1923;1933;1999;LWR;Silent Lawyer;High;2294;X
95230;Minister of Security;크리스토 파츄코프 ;1919;1933;1999;SD;Man of the People;High;2295;X
95231;Minister of Security;라코 페트로프 ;1914;1933;1999;ML;Silent Lawyer;High;2272;X
95232;Minister of Security;흐리스토 포포브 ;1914;1933;1999;ML;Silent Lawyer;High;2296;X
95233;Minister of Security;알렉산다르 라도로프 ;1914;1933;1999;LWR;Silent Lawyer;High;2297;X
95234;Minister of Security;바실 라도슬라보프 ;1914;1933;1999;ML;Prince of Terror;Very High;2273;X
95235;Minister of Security;이반 루셰프 ;1923;1933;1999;PA;Crime Fighter;High;2298;X
95236;Minister of Security;크리스토 스토야노프 ;1923;1933;1999;LWR;Silent Lawyer;High;2299;X
95237;Minister of Security;콘스탄틴 토모프 ;1921;1933;1999;LWR;Silent Lawyer;High;2300;X
95238;Chief of Army;니콜라 졔코프 ;1914;1933;1999;PA;Decisive Battle Doctrine;Very High;2264;X
95239;Chief of Staff;프라보슬라프 테네프 ;1914;1933;1999;SC;School of Fire Support;High;2252;X
95240;Head of State;보리스 3세 ;1914;1933;1999;SC;Autocratic Charmer;High;8657;X
95241;Head of Government;Nikola Mushanov;1931;1964;1999;SC;Silent Workhorse;High;M19015;X
95242;Foreign Minister;Nikola Mushanov;1931;1964;1999;SC;Biased Intellectual;High;M19015;X
95243;Foreign Minister;Sava Kirov;1941;1964;1999;PA;Biased Intellectual;Low;M19079;X
95244;Minister of Armament;Stefan Stefanov;1931;1964;1999;SC;Planned economy proponent;High;9922;X
95245;Foreign Minister;Kimon Georgiev;1934;1964;1999;LWR;General Staffer;Medium;M19059;X
95246;Minister of Security;Petar Midilev;1934;1964;1999;SC;Man of the People;High;3718;X
95247;Head of Government;Pencho Zlatev;1935;1964;1999;PA;Old General;High;9661;X
95248;Foreign Minister;Konstantin Batolov;1935;1939;1999;SC;Apologetic Clerk;High;9662;X
95249;Minister of Armament;Mihail Kalenderov;1935;1964;1999;SC;Resource Industrialist;High;9663;X
95250;Minister of Security;Krum Kolev;1935;1964;1999;SC;Efficient Sociopath;Medium;9664;X
95251;Head of Government;Andrey Toshev;1935;1964;1999;SC;Silent Workhorse;Medium;9665;X
95252;Minister of Armament;Marko Ryaskov;1935;1964;1999;SC;laissez-faire capitalist;Medium;9666;X
95253;Minister of Security;Rashko Atanasov;1935;1945;1999;SC;Prince of Terror;Medium;9667;X
95254;Minister of Armament;Stoycho Moshanov;1935;1964;1999;SC;Resource Industrialist;Medium;9668;X
