AZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
460036;Chief of Air Force;캄비즈 크라스노샤프카 ;1933;1964;1999;SD;Naval Aviation Doctrine;High;M516009;X
460037;Chief of Air Force;안드로니크 아브람 카자리안 ;1933;1964;1999;ML;Army Aviation Doctrine;High;M516037;X
460038;Chief of Army;미르자 후세이노프 ;1920;1933;1999;LE;static defence doctrine;Medium;5949;X
460039;Chief of Army;나림 나리마노프 ;1920;1933;1999;LE;decisive battle doctrine;Medium;5950;X
460040;Chief of Staff;미르자 후세이노프 ;1920;1933;1999;LE;school of defence;Medium;5949;X
460041;Chief of Staff;나림 나리마노프 ;1920;1933;1999;LE;school of psychology;Medium;5950;X
460042;Foreign Minister;알리마르단베이 톱추바쇼프 ;1918;1933;1999;SL;biased intellectual;Medium;5951;X
460043;Head of Government;파트 알리 칸 코이시키 ;1914;1933;1999;ML;Happy Amateur;Medium;5952;X
460044;Head of Government;나시베이 유시프베일리 ;1919;1933;1999;ML;Happy Amateur;Medium;5953;X
460045;Head of Government;미르자 후세이노프 ;1920;1933;1999;ST;Backroom Backstabber;Medium;5949;X
460046;Head of Government;나림 나리마노프 ;1921;1933;1999;ST;Political Protege;Medium;5950;X
460047;Head of Government;무흐타르 하지예프 ;1921;1933;1999;ST;Flamboyant Tough Guy;Medium;unknownminister;X
460048;Head of Government;사마드 알리예프 ;1922;1933;1999;ST;Backroom Backstabber;Medium;5954;X
460049;Head of State;메메드 레술자드 ;1914;1933;1999;ML;Insignificant Layman;Medium;5955;X
460050;Head of State;알리마르단베이 톱추바쇼프 ;1918;1933;1999;ML;Insignificant Layman;Medium;5951;X
460051;Head of State;미르자 후세이노프 ;1920;1933;1999;ST;Popular Figurehead;Medium;5949;X
460052;Head of State;나림 나리마노프 ;1921;1933;1999;ST;Ruthless Powermonger;Medium;5950;X
460053;Head of State;무흐타르 하지예프 ;1921;1933;1999;ST;Stern Imperialist;Medium;unknownminister;X
460054;Head of State;사마드 알리예프 ;1922;1933;1999;ST;Weary Stiffneck;Medium;5954;X
460055;Minister of Security;아슬란 칸 코이시키 ;1914;1933;1999;SL;efficient sociopath;Medium;unknownminister;X
460056;Minister of Security;나림 나리마노프 ;1921;1933;1999;LE;crime fighter;Medium;5950;X
460057;Minister of Security;가잔파르 무사베코프 ;1922;1933;1999;LE;Secret police chief;Medium;5956;X
