IRQ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
365028;Head of Government;살리흐 자브르 ;1947;1964;1999;PA;Political Protege;High;M91050;X
365029;Head of Government;파우시 알 카우크지 ;1933;1964;1999;FA;Flamboyant Tough Guy;High;M91014;X
365030;Head of Government;라시드 알리 알 가일라니 ;1933;1964;1999;FA;Smiling Oilman;High;M91011;X
365031;Head of Government;아미니 알 후세이니 ;1941;1964;1999;FA;Backroom Backstabber;High;M91013;X
365032;Head of Government;히크메트 술레이만 ;1933;1964;1999;LWR;Naive Optimist;High;M91054;X
365033;Head of Government;야야 하무드 ;1940;1964;1999;LWR;Backroom Backstabber;High;M91021;X
365034;Head of Government;타우피크 알 수웨이디 ;1946;1964;1969;LWR;Ambitious Union Boss;High;M91056;X
365035;Head of Government;아르샤드 알 우마리 ;1946;1964;1999;LWR;Happy Amateur;High;M91027;X
365036;Foreign Minister;라그헤브 나샤시비 ;1933;1964;1999;SC;Biased Intellectual;Medium;M91045;X
365037;Foreign Minister;타하 파샤 알 하시미 ;1940;1964;1999;PA;Ideological Crusader;High;M91044;X
365038;Foreign Minister;무사 알 알라미 ;1941;1964;1999;SC;Great Compromiser;Low;M91043;X
365039;Foreign Minister;아잠 파샤 ;1933;1964;1999;PA;Apologetic Clerk;Medium;M91046;X
365040;Foreign Minister;타우피크 알 수웨이디 ;1937;1964;1969;PA;Apologetic Clerk;Low;M91056;X
365041;Foreign Minister;알리 자우다트 ;1939;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M91064;X
365042;Foreign Minister;자밀 알 미드파이 ;1940;1964;1999;PA;Apologetic Clerk;Medium;M91047;X
365043;Foreign Minister;살리흐 자브르 ;1941;1964;1999;PA;Ideological Crusader;Medium;M91050;X
365044;Foreign Minister;압달라 알 다믈루지 ;1942;1964;1999;PA;Iron Fisted Brute;Medium;M91067;X
365045;Foreign Minister;압드 알 일라 알 하피즈 ;1942;1964;1999;PA;Great Compromiser;Medium;M91068;X
365046;Foreign Minister;나스타르 알 파리시 ;1943;1964;1999;PA;Iron Fisted Brute;Medium;M91069;X
365047;Foreign Minister;타흐신 알 아스카리 ;1943;1964;1999;PA;Ideological Crusader;Medium;M91070;X
365048;Foreign Minister;마흐무드 수브히 ;1943;1964;1999;PA;Apologetic Clerk;High;M91071;X
365049;Foreign Minister;아르샤드 알 우마리 ;1944;1964;1999;PA;General Staffer;Low;M91027;X
365050;Foreign Minister;아흐마드 압둘 바키 ;1946;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M91073;X
365051;Foreign Minister;마흐무드 파델포말리 ;1946;1964;1999;PA;Biased Intellectual;Medium;M91074;X
365052;Foreign Minister;라시드 알리 알 가일라니 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M91011;X
365053;Foreign Minister;알리 마흐무드 알 샤이흐 ;1940;1964;1999;FA;Great Compromiser;Medium;M91019;X
365054;Foreign Minister;아미니 알 후세이니 ;1940;1964;1999;FA;Ideological Crusader;High;M91013;X
365055;Foreign Minister;무사 베이 알 샤반다르 ;1941;1964;1999;FA;Biased Intellectual;Medium;M91078;X
365056;Foreign Minister;나지 알 아실 ;1933;1964;1999;PA;Ideological Crusader;Medium;M91080;X
365057;Foreign Minister;히크메트 술레이만 ;1933;1964;1999;PA;Great Compromiser;Medium;M91054;X
365058;Foreign Minister;타우피크 알 수웨이디 ;1946;1964;1969;LWR;Apologetic Clerk;Low;M91056;X
365059;Foreign Minister;알리 뭄타즈 ;1946;1964;1999;LWR;General Staffer;Medium;M91083;X
365060;Foreign Minister;마흐무드 파델포말리 ;1946;1964;1999;LWR;Biased Intellectual;Medium;M91074;X
365061;Foreign Minister;야야 하무드 ;1947;1964;1999;LWR;Iron Fisted Brute;High;M91021;X
365062;Minister of Armament;압델 라티프 살라 ;1933;1964;1999;SC;Resource Industrialist;High;M91086;X
365063;Minister of Armament;무사 알 알라미 ;1941;1964;1999;SC;laissez-faire capitalist;High;M91043;X
365064;Minister of Armament;엘리에 모세리 ;1946;1964;1999;SC;Administrative Genius;Medium;M91088;X
365065;Minister of Armament;누리 앗 사이드 ;1914;1964;1999;PA;Infantry Proponent;Medium;M91003;X
365066;Minister of Armament;야고웁 파라지 ;1938;1964;1999;PA;laissez-faire capitalist;High;M91090;X
365067;Minister of Armament;자밀 알 미드파이 ;1941;1964;1999;PA;Theoretical Scientist;Medium;M91047;X
365068;Minister of Armament;로버트 H. 브랜드 ;1942;1964;1999;PA;Air to Ground Proponent;High;M91092;X
365069;Minister of Armament;자말 후세이니 ;1943;1964;1999;PA;Air Superiority Proponent;High;M91093;X
365070;Minister of Armament;타우피크 알 수웨이디 ;1944;1964;1969;PA;Submarine Proponent;Low;M91056;X
365071;Minister of Armament;알리 아븐 후세인 ;1946;1964;1999;PA;Corrupt Kleptocrat;High;M91005;X
365072;Minister of Armament;압둘라 마흐무드 ;1946;1964;1999;PA;Military Entrepreneur;Medium;M91028;X
365073;Minister of Armament;아미르 알 자헤드 ;1933;1964;1999;FA;Military Entrepreneur;Medium;M91097;X
365074;Minister of Armament;야야 알 나지프 ;1937;1964;1999;FA;Submarine Proponent;Medium;M91098;X
365075;Minister of Armament;아잠 파샤 ;1941;1964;1999;FA;Infantry Proponent;Medium;M91046;X
365076;Minister of Armament;파우시 알 카우크지 ;1940;1964;1999;FA;Corrupt Kleptocrat;Medium;M91014;X
365077;Minister of Armament;할레드 알 달라베흐 ;1933;1964;1999;LWR;Theoretical Scientist;Medium;M91030;X
365078;Minister of Armament;안와르 하티브 ;1946;1964;1999;LWR;Strategic Air Proponent;Medium;M91024;X
365079;Minister of Security;굴람 알리 알라나 ;1940;1964;1999;SC;Compassionate Gentleman;Medium;M91104;X
365080;Minister of Security;라그헤브 나샤시비 ;1946;1964;1999;SC;Crime Fighter;Medium;M91045;X
365081;Minister of Security;카멜 에레카트 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M91106;X
365082;Minister of Security;아흐마드 압둘 바키 ;1937;1964;1999;PA;Man of the People;Medium;M91073;X
365083;Minister of Security;술레이만 알 타지 ;1939;1964;1999;PA;Prince of Terror;Medium;M91108;X
365084;Minister of Security;로버트 H. 브랜드 ;1941;1964;1999;PA;Silent Lawyer;Medium;M91092;X
365085;Minister of Security;존 샌더슨 헬데인 ;1944;1964;1999;PA;Crime Fighter;Medium;M91110;X
365086;Minister of Security;누리 앗 사이드 ;1920;1964;1999;PA;crime fighter;Medium;M91003;X
365087;Minister of Security;자밀 알 미드파이 ;1933;1964;1999;FA;Crooked Kleptocrat;Low;M91047;X
365088;Minister of Security;알리 라사흐 ;1937;1964;1999;FA;Man of the People;Medium;M91113;X
365089;Minister of Security;아흐메드 아미르 바디 ;1940;1964;1999;FA;Efficient Sociopath;Medium;M91114;X
365090;Minister of Security;라시드 알리 알 가일라니 ;1941;1964;1999;FA;Prince of Terror;High;M91011;X
365091;Minister of Security;아미니 알 후세이니 ;1941;1964;1999;FA;Efficient Sociopath;High;M91013;X
365092;Minister of Security;안와르 하티브 ;1933;1964;1999;LWR;Man of the People;Medium;M91024;X
365093;Minister of Security;히크메트 술레이만 ;1941;1964;1999;LWR;Compassionate Gentleman;Medium;M91054;X
365094;Head of Military Intelligence;마흐무드 알 아지르 ;1941;1964;1999;SC;Logistics Specialist;Medium;M91120;X
365095;Head of Military Intelligence;타하 파샤 알 하시미 ;1946;1964;1999;SC;Dismal Enigma;High;M91044;X
365096;Head of Military Intelligence;에밀 구리 ;1933;1964;1999;PA;Technical Specialist;Medium;M91122;X
365097;Head of Military Intelligence;자밀 알 미드파이 ;1938;1964;1999;PA;Political Specialist;Medium;M91047;X
365098;Head of Military Intelligence;존 배것 글루브 ;1941;1964;1999;PA;Logistics Specialist;Medium;M91124;X
365099;Head of Military Intelligence;존 샌더슨 헬데인 ;1941;1964;1999;PA;Dismal Enigma;Medium;M91110;X
365100;Head of Military Intelligence;프랜시스 P. 월터스 ;1944;1964;1999;PA;Industrial Specialist;Medium;M91126;X
365101;Head of Military Intelligence;압둘라 마흐무드 ;1945;1964;1999;PA;Political Specialist;Medium;M91028;X
365102;Head of Military Intelligence;누리 앗 사이드 ;1914;1964;1999;PA;Logistics Specialist;Medium;M91003;X
365103;Head of Military Intelligence;리파이 알 파델 ;1933;1964;1999;FA;Political Specialist;Medium;M91129;X
365104;Head of Military Intelligence;라시드 알리 알 가일라니 ;1940;1964;1999;FA;Dismal Enigma;Medium;M91011;X
365105;Head of Military Intelligence;아잠 파샤 ;1940;1964;1999;FA;Logistics Specialist;Medium;M91046;X
365106;Head of Military Intelligence;파우시 알 카우크지 ;1946;1964;1999;FA;Industrial Specialist;Medium;M91014;X
365107;Head of Military Intelligence;타하 알 아흐마니 ;1933;1964;1999;LWR;Industrial Specialist;Medium;M91029;X
365108;Head of Military Intelligence;압달라 뭄타즈 ;1940;1964;1999;LWR;Technical Specialist;Medium;M91026;X
365109;Head of Military Intelligence;술레이만 알 타지 ;1941;1964;1999;LWR;Political Specialist;Medium;M91108;X
365110;Head of Military Intelligence;리파이 알 파델 ;1946;1964;1999;LWR;Dismal Enigma;Medium;M91129;X
365111;Chief of Staff;프레드릭 G. 피크 ;1933;1964;1999;SC;School of Fire Support;Low;M91008;X
365112;Chief of Staff;존 배것 글루브 ;1941;1964;1999;SC;School of Psychology;Low;M91124;X
365113;Chief of Staff;누리 앗 사이드 ;1914;1964;1999;PA;School of Mass Combat;Medium;M91003;X
365114;Chief of Staff;파우시 알 카우크지 ;1933;1964;1999;FA;School of Fire Support;Medium;M91014;X
365115;Chief of Staff;바크르 시드키 ;1933;1964;1999;LWR;School of Defence;Low;M91007;X
365116;Chief of Staff;아르샤드 알 우마리 ;1939;1964;1999;LWR;School of Fire Support;Medium;M91027;X
365117;Chief of Army;존 배것 글루브 ;1946;1964;1999;PA;Decisive Battle Doctrine;High;M91124;X
365118;Chief of Army;가지 빈 파이살 ;1933;1940;1999;PA;Guns and Butter Doctrine;High;M91001;X
365119;Chief of Army;누리 앗 사이드 ;1914;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M91003;X
365120;Chief of Army;압드 알 일라 ;1944;1964;1999;PA;Static Defence Doctrine;Medium;M91035;X
365121;Chief of Army;파이살 빈 가지 ;1939;1964;1999;PA;Static Defence Doctrine;High;M91039;X
365122;Chief of Army;파우시 알 카우크지 ;1933;1964;1999;FA;Static Defence Doctrine;Medium;M91014;X
365123;Chief of Army;압둘라 마흐무드 ;1941;1964;1999;FA;Elastic Defence Doctrine;Medium;M91028;X
365124;Chief of Army;아르샤드 알 우마리 ;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M91027;X
365125;Chief of Navy;하므디 알 파차치 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Low;M91049;X
365126;Chief of Navy;자밀 알 미드파이 ;1946;1964;1999;PA;Indirect Approach Doctrine;Medium;M91047;X
365127;Chief of Navy;알리 마흐무드 알 샤이흐 ;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M91019;X
365128;Chief of Navy;타하 알 아흐마니 ;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M91029;X
365129;Chief of Air Force;앨런 롤린슨 ;1941;1964;1999;SC;Army Aviation Doctrine;Medium;M91164;X
365130;Chief of Air Force;압드 알 일라 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M91035;X
365131;Chief of Air Force;압둘라 알 텔 ;1940;1964;1999;PA;Naval Aviation Doctrine;Medium;M91166;X
365132;Chief of Air Force;자밀 알 미드파이 ;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M91047;X
365133;Chief of Air Force;파이살 빈 가지 ;1939;1964;1999;PA;Vertical Envelopment Doctrine;High;M91039;X
365134;Chief of Air Force;파흐미 사이드 ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M91020;X
365135;Chief of Air Force;할레드 알 달라베흐 ;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M91030;X
365136;Head of State;라시드 알리 알 가일라니 ;1933;1964;1999;FA;Powerhungry Demagogue;High;M91011;X
365137;Chief of Navy;라시드 알리 알 가일라니 ;1946;1964;1999;FA;Power Projection Doctrine;Medium;M91011;X
365138;Head of Government;히크메트 술레이만 ;1933;1964;1999;PA;Naive Optimist;High;M91054;X
365140;Head of Government;자밀 알 미드파이 ;1941;1964;1999;PA;Smiling Oilman;High;M91047;X
365141;Head of Government;누리 앗 사이드 ;1941;1964;1999;PA;Ambitious Union Boss;High;M91003;X
365145;Head of State;야야 하무드 ;1933;1964;1999;ST;Barking Buffoon;High;M91021;X
365146;Head of Government;야야 하무드 ;1933;1964;1999;ST;Backroom Backstabber;High;M91021;X
365147;Head of Government;마흐무드 앗 사드르 ;1948;1964;1999;PA;Naive Optimist;High;M91179;X
365148;Head of Government;무자힘 알 바야지 ;1948;1964;1999;SC;Corporate Suit;High;M91180;X
365149;Head of Government;알리 자우다트 ;1934;1964;1999;PA;Backroom Backstabber;High;M91064;X
365150;Head of Government;타우피크 알 수웨이디 ;1950;1964;1969;PA;Ambitious Union Boss;High;M91056;X
365151;Head of Government;누레딘 마흐무드 ;1952;1964;1999;PA;Old General;High;M91183;X
365152;Head of Government;무스타파 알 우마리 ;1952;1964;1999;ML;Silent Workhorse;High;M91184;X
365153;Head of Government;마흐무드 파델 알 자말리 ;1953;1964;1999;SC;Happy Amateur;High;M91185;X
365154;Head of Military Intelligence;누레딘 마흐무드 ;1945;1964;1999;PA;Logistics Specialist;Medium;M91183;X
365155;Head of State;파이살 빈 가지 ;1939;1964;1999;SC;Benevolent Gentleman;High;M91039;X
365156;Chief of Army;압둘 라흐만 아리프 ;1948;1964;1999;PA;Decisive Battle Doctrine;High;6071;x
365157;Chief of Staff;압둘 라흐만 아리프 ;1945;1964;1999;PA;School of Fire Support;High;6071;x
365158;Chief of Army;압둘 라흐만 아리프 ;1948;1964;1999;SC;Decisive Battle Doctrine;High;6071;x
365159;Chief of Staff;압둘 라흐만 아리프 ;1945;1964;1999;SC;School of Fire Support;High;6071;x
365160;Head of State;파이살 빈 후세인 ;1914;1934;1934;SC;Benevolent Gentleman;High;5767;X
365161;Head of State;파이살 빈 후세인 ;1914;1934;1934;FA;Benevolent Gentleman;High;5767;X
365162;Head of Government;Abd Al-Rahman Al-Gillani;1914;1927;1928;SC;backroom backstabber;High;2757;X
365163;Head of Government;Abd al-Muhsin Al-Saadoon;1914;1929;1930;SC;old general;High;2773;X
365164;Head of Government;Jafar Pasha al-Askari;1914;1937;1937;SC;old general;High;2785;X
365165;Foreign Minister;Jafar Pasha al-Askari;1914;1937;1937;SC;general staffer;High;2785;X
365166;Minister of Security;Jafar Pasha al-Askari;1914;1937;1937;SC;efficient sociopath;High;2785;X
365167;Head of Government;타우피크 알 수웨이디 ;1929;1932;1933;SC;Ambitious Union Boss;High;M91056;X
365168;Foreign Minister;타우피크 알 수웨이디 ;1914;1932;1933;SC;Apologetic Clerk;High;M91056;X
365169;Head of Government;Naji al-Suwaydi;1929;1931;1943;SC;political protege;High;5907;X
365170;Head of Government;Muhammad Naji Shawkat;1932;1933;1981;SC;political protege;High;7528;X
365171;Chief of Staff;Salah al-Din al-Sabbagh;1921;1945;1965;FA;School of Psychology;High;9889;X
365172;Chief of Air Force;Mahmud Salman;1925;1945;1965;FA;Air Superiority Doctrine;High;9890;X
