OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
720141;Minister of Security;메흐메드 파이크 멤두흐 ;1908;1923;1999;PA;back stabber;Medium;unknownminister;X
720142;Minister of Security;아키프 하릴 ;1908;1909;1999;SC;compassionate gentleman;Medium;unknownminister;X
720143;Minister of Security;레시드 아키프 ;1908;1920;1999;SC;man of the people;Medium;6929;X
720144;Minister of Security;이브라힘 하키 ;1908;1918;1999;SC;prince of terror;Medium;3761;X
720145;Minister of Security;휘세인 힐미 ;1908;1923;1999;SC;crime fighter;Medium;3757;X
720146;Minister of Security;아블론야르 메흐메드 페리드 ;1908;1914;1999;SC;silent lawyer;Medium;2555;X
720147;Minister of Security;메흐메드 탈라트 ;1908;1921;1999;PA;back stabber;Medium;3773;X
720148;Minister of Security;하릴 ;1908;1925;1999;SC;efficient sociopath;Medium;3755;X
720149;Minister of Security;메흐메드 세랄 ;1908;1926;1999;SC;crooked kleptocrat;Medium;3769;X
720150;Minister of Security;하지 메흐메트 아딜 ;1908;1930;1999;SC;Media magnate;Medium;unknownminister;X
720151;Minister of Security;메흐메드 지야 ;1908;1930;1999;SC;Health and safety;Medium;unknownminister;X
720152;Minister of Security;알리 다니시 ;1908;1930;1999;SC;Secret police chief;Medium;unknownminister;X
720153;Minister of Security;아블론야르 메흐메드 페리드 ;1908;1914;1999;SC;compassionate gentleman;Medium;2555;X
720154;Minister of Security;아흐메드 레시트 레이 ;1908;1956;1999;SC;man of the people;Medium;unknownminister;X
720155;Minister of Security;무스타파 아리프 데이메르 ;1908;1954;1999;SC;prince of terror;Medium;441;X
720156;Minister of Security;알리 페트히 오크야르 ;1908;1943;1999;SC;crime fighter;Medium;2552;X
720157;Minister of Security;이스마일 ;1908;1930;1999;SC;silent lawyer;Medium;unknownminister;X
720158;Minister of Security;아흐메드 이세트 ;1918;1936;1999;SC;back stabber;Medium;2550;X
720159;Minister of Security;제말 케시미르 ;1918;1949;1999;SC;efficient sociopath;Medium;unknownminister;X
720160;Minister of Security;메흐메드 알리 ;1918;1939;1999;SC;crooked kleptocrat;Medium;3774;X
720161;Minister of Security;알리 케말 ;1918;1922;1999;SC;Media magnate;Medium;2554;X
720162;Minister of Security;하지 아딜 ;1918;1924;1999;SC;Health and safety;Medium;unknownminister;X
720163;Minister of Security;메흐메드 세리프 ;1918;1951;1999;SC;Secret police chief;Medium;3772;X
720164;Minister of Security;에부베키르 하짐 테페이란 ;1908;1947;1999;SC;compassionate gentleman;Medium;2559;X
720165;Minister of Security;레시드 뮘타즈 ;1908;1921;1999;SC;man of the people;Medium;unknownminister;X
720166;Minister of Security;세리프 메흐메드 라우프 ;1908;1923;1999;SC;prince of terror;Medium;unknownminister;X
720167;Minister of Security;알리 리자 ;1908;1932;1999;SC;crime fighter;Medium;unknownminister;X
720168;Minister of Security;살리흐 훌루시 케즈라크 ;1908;1939;1999;SC;silent lawyer;Medium;7753;X
720169;Head of Military intelligence;쉴레이만 아스케리 ;1908;1915;1999;SC;industrial specialist;Medium;8688;X
720170;Head of Military intelligence;에스레프 센제르 쿠시주바시 ;1908;1964;1999;SC;political specialist;Medium;2560;X
720171;Head of Military intelligence;알리 바시함파 ;1908;1933;1999;SC;dismal enigma;Medium;unknownminister;X
720172;Head of Military intelligence;휘사메틴 에르튀르크 ;1908;1933;1999;SC;naval intelligence specialist;Medium;unknownminister;X
720173;Head of Military intelligence;갈라탈리 세브케트 ;1908;1933;1999;SC;technical specialist;Medium;unknownminister;X
720174;Head of Military intelligence;마흐무드 제랄 ;1908;1986;1999;SC;logistics specialist;Medium;3766;X
720175;Head of Military intelligence;아흐메드 제말 ;1908;1922;1999;PA;industrial specialist;Medium;2548;X
720176;Chief of Staff;아흐메드 이세트 ;1908;1937;1999;SC;school of fire support;Medium;2550;X
720177;Chief of Staff;이스마일 엔베르 ;1908;1922;1999;PA;school of manoeuvre;Medium;3763;X
720178;Chief of Staff;이스마일 제바트 조반리 ;1908;1938;1999;SC;school of defence;Medium;3762;X
720179;Chief of Staff;페브지 자크마크 ;1908;1950;1999;SC;school of psychology;Medium;2561;X
720180;Chief of Staff;하디 압뒬하디 ;1908;1932;1999;SC;school of mass combat;Medium;unknownminister;X
720181;Chief of Staff;알리 푸아드 제베소이 ;1908;1968;1999;SC;commando doctrine staff;Medium;2553;X
720182;Chief of Staff;세브케트 투르구트 ;1908;1924;1999;SC;school of fire support;Medium;8148;X
720183;Chief of Staff;나지프 ;1908;1940;1999;SC;school of manoeuvre;Medium;unknownminister;X
720184;Chief of Army;외메르 뤼쉬튀 ;1908;1922;1999;SC;guns and butter doctrine;Medium;8720;X
720185;Chief of Army;레제프 ;1908;1925;1999;SC;armoured spearhead doctrine;Medium;unknownminister;X
720186;Chief of Army;뒤즈타반 알리 리자 ;1908;1932;1999;SC;decisive battle doctrine;Medium;2558;X
720187;Chief of Army;나짐 ;1908;1913;1999;SC;static defence doctrine;Medium;unknownminister;X
720188;Chief of Army;이브라힘 에드헴 ;1908;1922;1999;SC;elastic defence doctrine;Medium;unknownminister;X
720189;Chief of Army;살리흐 훌루시 케즈라크 ;1908;1939;1999;SC;commando doctrine army;Medium;7753;X
720190;Chief of Army;마흐무드 세브케트 ;1908;1913;1999;SC;Doctrine of autonomy;Medium;3767;X
720191;Chief of Army;후루시트 ;1908;1922;1999;SC;guns and butter doctrine;Medium;unknownminister;X
720192;Chief of Army;아흐메드 이세트 ;1908;1937;1999;SC;armoured spearhead doctrine;Medium;2550;X
720193;Chief of Army;쥐뤼크술루 마흐무드 ;1908;1936;1999;SC;decisive battle doctrine;Medium;2557;X
720194;Chief of Army;이스마일 엔베르 ;1908;1922;1999;PA;static defence doctrine;Medium;3763;X
720195;Chief of Army;쾰레멘 압둘라 ;1908;1937;1999;SC;elastic defence doctrine;Medium;3765;X
720196;Chief of Army;이스마일 제바트 조반리 ;1908;1938;1999;SC;commando doctrine army;Medium;3762;X
720197;Chief of Army;외메르 야베르 ;1919;1931;1999;SC;Doctrine of autonomy;Medium;unknownminister;X
720198;Chief of Army;다마트 페리드 ;1919;1923;1999;SC;guns and butter doctrine;Medium;unknownminister;X
720199;Chief of Army;아부크 아흐메드 ;1919;1923;1999;SC;armoured spearhead doctrine;Medium;unknownminister;X
720200;Chief of Army;메흐메드 샤키르 ;1919;1919;1999;SC;decisive battle doctrine;Medium;3777;X
720201;Chief of Army;세브케트 투르구트 ;1919;1924;1999;SC;static defence doctrine;Medium;8148;X
720202;Chief of Army;나짐 ;1919;1936;1999;SC;elastic defence doctrine;Medium;unknownminister;X
720203;Chief of Army;쉴레이만 세피크 ;1919;1936;1999;SC;commando doctrine army;Medium;8693;X
720204;Chief of Army;메르신리 메흐메드 제말 ;1919;1941;1999;SC;Doctrine of autonomy;Medium;unknownminister;X
720205;Chief of Army;페브지 자크마크 ;1920;1950;1999;SC;guns and butter doctrine;Medium;2561;X
720206;Chief of Army;휘세인 휘스뉘 ;1920;1936;1999;SC;armoured spearhead doctrine;Medium;3759;X
720207;Chief of Army;지야 쿠트나크 ;1920;1940;1999;SC;decisive battle doctrine;Medium;8717;X
720208;Chief of Navy;하산 라미 ;1908;1928;1999;SC;base control doctrine;Medium;3756;X
720209;Chief of Navy;타히르 지발리리 메흐메드 ;1908;1933;1999;SC;open seas doctrine;Medium;unknownminister;X
720210;Chief of Navy;세르메트 파질 ;1908;1933;1999;SC;decisive naval battle doctrine;Medium;unknownminister;X
720211;Chief of Navy;셀라니클리 라미즈 누만 ;1908;1933;1999;SC;power projection doctrine;Medium;unknownminister;X
720212;Chief of Navy;아리프 아흐메드 ;1908;1933;1999;SC;indirect approach doctrine;Medium;unknownminister;X
720213;Chief of Navy;함디 테브피크 ;1908;1933;1999;SC;base control doctrine;Medium;unknownminister;X
720214;Chief of Navy;하산 푸아트 카야잔 ;1908;1933;1999;SC;open seas doctrine;Medium;unknownminister;X
720215;Chief of Air Force;쉴레야 일멘 ;1911;1933;1999;SC;air superiority doctrine;Medium;8701;X
720216;Chief of Air Force;샤키르 페브지 ;1914;1933;1999;SC;army aviation doctrine;Medium;7754;X
720217;Minister of Armament;발데마르 피페르 ;1914;1933;1999;PA;ger_mil_m1;Medium;unknownminister;X
720218;Minister of Armament;하인리히 아우구스트 마이스너 ;1914;1933;1999;PA;ger_mil_m2;Medium;9162;X
720219;Minister of Armament;기도 폰 우제돔 ;1914;1925;1999;PA;ger_mil_m11;Medium;9147;X
720220;Head of Military intelligence;시베르트 ;1914;1933;1999;PA;ger_mil_m9;Medium;unknownminister;X
720221;Head of Military intelligence;에티엔 폰 토베나이 ;1914;1933;1999;PA;ger_mil_m10;Medium;9168;X
720222;Chief of Staff;프리드리히 폰 셸렌도르프 ;1914;1933;1999;PA;ger_mil_m3;Medium;9145;X
720223;Chief of Staff;한스 폰 제크트 ;1914;1933;1999;PA;ger_mil_m4;Medium;1346;X
720224;Chief of Navy;빌헬름 주숀 ;1914;1933;1999;PA;ger_mil_m5;Medium;9160;X
720225;Chief of Navy;후베르트 폰 레보이르 파쉬비츠 ;1914;1933;1999;PA;ger_mil_m6;Medium;9151;X
720226;Chief of Air Force;에리히 세르노 ;1914;1933;1999;PA;ger_mil_m7;Medium;9144;X
720227;Chief of Air Force;콘라드 골츠 ;1914;1933;1999;PA;ger_mil_m8;Medium;unknownminister;X
720228;Chief of Navy;아서 헨리 림퍼스 ;1914;1933;1999;SC;brit_nav_mis;Medium;9167;X
720229;Head of Military intelligence;바하딘 샤키르 ;1911;1922;1999;SC;industrial specialist;Medium;2345;X
720230;Head of Military intelligence;미드하트 쉬크뤼 블레다 ;1908;1956;1999;PA;technical specialist;Medium;2346;X
